Orthogroup	Praa	Pran
OG0000000	Praa.g_00678	Pran.g_01500
OG0000001	Praa.g_01297	Pran.g_00593
OG0000001	Praa.g_01597	Pran.g_00579
OG0000003	Praa.g_00413, Praa.g_01298	Pran.g_00894
OG0000004	Praa.g_00735	Pran.g_00576
OG0000004	Praa.g_00742	Pran.g_01436
OG0000004	Praa.g_01294	Pran.g_00895
OG0000005	Praa.g_01244, Praa.g_01235	Pran.g_01423
OG0000005	Praa.g_01598	Pran.g_00601
OG0000006	Praa.g_00497	Pran.g_01681
OG0000006	Praa.g_01635	Pran.g_00970
OG0000007	Praa.g_00672	Pran.g_01506
OG0000008	Praa.g_00382	Pran.g_01811
OG0000008	Praa.g_01256	Pran.g_00526
OG0000009	Praa.g_00782	Pran.g_01363
OG0000009	Praa.g_00249	Pran.g_01943
OG0000010	Praa.g_01110	Pran.g_00114
OG0000011	Praa.g_00330	Pran.g_01864
OG0000012	Praa.g_00598	Pran.g_01580
OG0000015	Praa.g_00380	Pran.g_01813
OG0000016	Praa.g_01362	Pran.g_00845
OG0000017	Praa.g_01496	Pran.g_00713
OG0000018	Praa.g_00241, Praa.g_01245	Pran.g_01951
OG0000019	Praa.g_00364, Praa.g_01623	Pran.g_01829
OG0000021	Praa.g_00784	Pran.g_01361
OG0000022	Praa.g_01300	Pran.g_00582
OG0000023	Praa.g_01264	Pran.g_00615
OG0000024	Praa.g_00306	Pran.g_01888
OG0000025	Praa.g_01075	Pran.g_00149, Pran.g_00936, Pran.g_01789
OG0000026	Praa.g_00033	Pran.g_00391
OG0000027	Praa.g_00738, Praa.g_01564	Pran.g_01464
OG0000028	Praa.g_01476	Pran.g_00733
OG0000029	Praa.g_01590	Pran.g_00614
OG0000030	Praa.g_01221	Pran.g_01952
OG0000031	Praa.g_01291	Pran.g_00898
OG0000033	Praa.g_00013	Pran.g_00620
OG0000034	Praa.g_01407	Pran.g_00777
OG0000036	Praa.g_00585	Pran.g_01593
OG0000037	Praa.g_00623	Pran.g_01555
OG0000038	Praa.g_00763	Pran.g_01401
OG0000039	Praa.g_00166	Pran.g_00266
OG0000040	Praa.g_00359	Pran.g_01834
OG0000041	Praa.g_00417	Pran.g_01758
OG0000042	Praa.g_00711	Pran.g_01460
OG0000043	Praa.g_00787	Pran.g_01358
OG0000044	Praa.g_01415	Pran.g_00060
OG0000045	Praa.g_01425	Pran.g_00807
OG0000046	Praa.g_01628	Pran.g_00963
OG0000047	Praa.g_01832	Pran.g_01160
OG0000048	Praa.g_01839	Pran.g_01167
OG0000050	Praa.g_00031	Pran.g_00393, Pran.g_00930
OG0000051	Praa.g_00157	Pran.g_00275
OG0000052	Praa.g_00369	Pran.g_01824
OG0000053	Praa.g_00539	Pran.g_01639
OG0000054	Praa.g_00757	Pran.g_01408, Pran.g_01379
OG0000055	Praa.g_00826	Pran.g_01321
OG0000056	Praa.g_01117	Pran.g_00935, Pran.g_00108
OG0000057	Praa.g_00237	Pran.g_00195
OG0000058	Praa.g_00475, Praa.g_01414	Pran.g_01703
OG0000059	Praa.g_00698	Pran.g_01480
OG0000060	Praa.g_00740	Pran.g_00905
OG0000061	Praa.g_00984	Pran.g_00507
OG0000062	Praa.g_01127	Pran.g_00093
OG0000063	Praa.g_01255	Pran.g_01466
OG0000064	Praa.g_01620	Pran.g_01463
OG0000065	Praa.g_01318	Pran.g_00938, Pran.g_00876
OG0000066	Praa.g_01387	Pran.g_00752
OG0000067	Praa.g_01626	Pran.g_01384
OG0000068	Praa.g_01775	Pran.g_01105
OG0000071	Praa.g_00011	Pran.g_01268
OG0000072	Praa.g_00322	Pran.g_01872
OG0000073	Praa.g_00669	Pran.g_01509
OG0000074	Praa.g_00691	Pran.g_01487
OG0000075	Praa.g_00811, Praa.g_00810	Pran.g_01336
OG0000076	Praa.g_01039	Pran.g_00568, Pran.g_00903
OG0000078	Praa.g_01394	Pran.g_00806
OG0000079	Praa.g_01555	Pran.g_00655
OG0000080	Praa.g_01606	Pran.g_00575, Pran.g_00912
OG0000081	Praa.g_01806	Pran.g_01135
OG0000082	Praa.g_01894	Pran.g_01222
OG0000083	Praa.g_00003	Pran.g_01260
OG0000084	Praa.g_00006	Pran.g_01263
OG0000085	Praa.g_00023	Pran.g_00401
OG0000086	Praa.g_00409	Pran.g_00386
OG0000087	Praa.g_00049	Pran.g_00376
OG0000088	Praa.g_00113	Pran.g_00320
OG0000089	Praa.g_00121	Pran.g_00312
OG0000090	Praa.g_00139	Pran.g_00295
OG0000091	Praa.g_00169	Pran.g_00263
OG0000092	Praa.g_00170	Pran.g_00262
OG0000093	Praa.g_00184	Pran.g_00248
OG0000094	Praa.g_00202	Pran.g_00230
OG0000095	Praa.g_00207	Pran.g_00225
OG0000096	Praa.g_00251	Pran.g_01941
OG0000097	Praa.g_00274	Pran.g_01920
OG0000098	Praa.g_00284	Pran.g_01910
OG0000099	Praa.g_00294	Pran.g_01900
OG0000100	Praa.g_00297	Pran.g_01897
OG0000101	Praa.g_00356	Pran.g_01838
OG0000102	Praa.g_00381	Pran.g_01812
OG0000103	Praa.g_00476	Pran.g_01702
OG0000104	Praa.g_00480	Pran.g_01698
OG0000105	Praa.g_00499	Pran.g_01679
OG0000106	Praa.g_00532	Pran.g_01646
OG0000107	Praa.g_00533	Pran.g_01645
OG0000108	Praa.g_00544	Pran.g_01635
OG0000109	Praa.g_00553	Pran.g_01626
OG0000110	Praa.g_00569	Pran.g_01609
OG0000111	Praa.g_00651	Pran.g_01527
OG0000112	Praa.g_00652	Pran.g_01526
OG0000113	Praa.g_00733	Pran.g_01438
OG0000114	Praa.g_00801	Pran.g_01345
OG0000115	Praa.g_00964	Pran.g_00487
OG0000116	Praa.g_00968	Pran.g_00491
OG0000117	Praa.g_01036	Pran.g_00565
OG0000118	Praa.g_01089	Pran.g_00135
OG0000119	Praa.g_01130	Pran.g_00090
OG0000120	Praa.g_01165	Pran.g_00054
OG0000121	Praa.g_01184	Pran.g_00035
OG0000122	Praa.g_01203	Pran.g_00016
OG0000123	Praa.g_01216	Pran.g_00003
OG0000124	Praa.g_01224	Pran.g_00918
OG0000125	Praa.g_01330	Pran.g_00864
OG0000126	Praa.g_01366	Pran.g_00841
OG0000127	Praa.g_01463	Pran.g_00746
OG0000128	Praa.g_01477	Pran.g_00732
OG0000129	Praa.g_01513	Pran.g_00696
OG0000130	Praa.g_01633	Pran.g_00968
OG0000131	Praa.g_01672	Pran.g_01006
OG0000132	Praa.g_01675	Pran.g_01009
OG0000133	Praa.g_01734	Pran.g_01063
OG0000134	Praa.g_01770	Pran.g_01100
OG0000135	Praa.g_01772	Pran.g_01102
OG0000136	Praa.g_01817	Pran.g_01145
OG0000137	Praa.g_01849	Pran.g_01177
OG0000138	Praa.g_01885	Pran.g_01212
OG0000139	Praa.g_01911	Pran.g_01239
OG0000140	Praa.g_00001	Pran.g_01258
OG0000141	Praa.g_00002	Pran.g_01259
OG0000142	Praa.g_00004	Pran.g_01261
OG0000143	Praa.g_00005	Pran.g_01262
OG0000144	Praa.g_00007	Pran.g_01264
OG0000145	Praa.g_00008	Pran.g_01265
OG0000146	Praa.g_00009	Pran.g_01266
OG0000147	Praa.g_00010	Pran.g_01267
OG0000148	Praa.g_00012	Pran.g_01269
OG0000149	Praa.g_00014	Pran.g_00410
OG0000150	Praa.g_00015	Pran.g_00409
OG0000151	Praa.g_00016	Pran.g_00408
OG0000152	Praa.g_00017	Pran.g_00407
OG0000153	Praa.g_00018	Pran.g_00406
OG0000154	Praa.g_00019	Pran.g_00405
OG0000155	Praa.g_00020	Pran.g_00404
OG0000156	Praa.g_00021	Pran.g_00403
OG0000157	Praa.g_00022	Pran.g_00402
OG0000158	Praa.g_00024	Pran.g_00400
OG0000159	Praa.g_00025	Pran.g_00399
OG0000160	Praa.g_00026	Pran.g_00398
OG0000161	Praa.g_00027	Pran.g_00397
OG0000162	Praa.g_00028	Pran.g_00396
OG0000163	Praa.g_00029	Pran.g_00395
OG0000164	Praa.g_00032	Pran.g_00392
OG0000165	Praa.g_00035	Pran.g_00389
OG0000166	Praa.g_00036	Pran.g_00388
OG0000167	Praa.g_00037	Pran.g_00387
OG0000168	Praa.g_00040	Pran.g_00385
OG0000169	Praa.g_00042	Pran.g_00383
OG0000170	Praa.g_00043	Pran.g_00382
OG0000171	Praa.g_00044	Pran.g_00381
OG0000172	Praa.g_00045	Pran.g_00380
OG0000173	Praa.g_00046	Pran.g_00379
OG0000174	Praa.g_00047	Pran.g_00378
OG0000175	Praa.g_00048	Pran.g_00377
OG0000176	Praa.g_00050	Pran.g_00375
OG0000177	Praa.g_00051	Pran.g_00374
OG0000178	Praa.g_00052	Pran.g_00373
OG0000179	Praa.g_00064	Pran.g_00368
OG0000180	Praa.g_00065	Pran.g_00367
OG0000181	Praa.g_00066	Pran.g_00366
OG0000182	Praa.g_00069	Pran.g_00363
OG0000183	Praa.g_00070	Pran.g_00362
OG0000184	Praa.g_00073	Pran.g_00359
OG0000185	Praa.g_00077	Pran.g_00355
OG0000186	Praa.g_00078	Pran.g_00354
OG0000187	Praa.g_00079	Pran.g_00353
OG0000188	Praa.g_00080	Pran.g_00352
OG0000189	Praa.g_00081	Pran.g_00351
OG0000190	Praa.g_00082	Pran.g_00350
OG0000191	Praa.g_00083	Pran.g_00349
OG0000192	Praa.g_00084	Pran.g_00348
OG0000193	Praa.g_00085	Pran.g_00347
OG0000194	Praa.g_00086	Pran.g_00346
OG0000195	Praa.g_00088	Pran.g_00344
OG0000196	Praa.g_00089	Pran.g_00343
OG0000197	Praa.g_00090	Pran.g_00342
OG0000198	Praa.g_00091	Pran.g_00341
OG0000199	Praa.g_00094	Pran.g_00339
OG0000200	Praa.g_00095	Pran.g_00338
OG0000201	Praa.g_00096	Pran.g_00337
OG0000202	Praa.g_00097	Pran.g_00336
OG0000203	Praa.g_00098	Pran.g_00335
OG0000204	Praa.g_00099	Pran.g_00334
OG0000205	Praa.g_00100	Pran.g_00333
OG0000206	Praa.g_00101	Pran.g_00332
OG0000207	Praa.g_00102	Pran.g_00331
OG0000208	Praa.g_00103	Pran.g_00330
OG0000209	Praa.g_00104	Pran.g_00329
OG0000210	Praa.g_00106	Pran.g_00327
OG0000211	Praa.g_00107	Pran.g_00326
OG0000212	Praa.g_00108	Pran.g_00325
OG0000213	Praa.g_00109	Pran.g_00324
OG0000214	Praa.g_00111	Pran.g_00322
OG0000215	Praa.g_00112	Pran.g_00321
OG0000216	Praa.g_00114	Pran.g_00319
OG0000217	Praa.g_00115	Pran.g_00318
OG0000218	Praa.g_00116	Pran.g_00317
OG0000219	Praa.g_00117	Pran.g_00316
OG0000220	Praa.g_00120	Pran.g_00313
OG0000221	Praa.g_00122	Pran.g_00311
OG0000222	Praa.g_00123	Pran.g_00310
OG0000223	Praa.g_00124	Pran.g_00309
OG0000224	Praa.g_00127	Pran.g_00307
OG0000225	Praa.g_00129	Pran.g_00305
OG0000226	Praa.g_00130	Pran.g_00304
OG0000227	Praa.g_00131	Pran.g_00303
OG0000228	Praa.g_00132	Pran.g_00302
OG0000229	Praa.g_00133	Pran.g_00301
OG0000230	Praa.g_00134	Pran.g_00300
OG0000231	Praa.g_00136	Pran.g_00298
OG0000232	Praa.g_00137	Pran.g_00297
OG0000233	Praa.g_00140	Pran.g_00294
OG0000234	Praa.g_00142	Pran.g_00292
OG0000235	Praa.g_00145	Pran.g_00288
OG0000236	Praa.g_00146	Pran.g_00287
OG0000237	Praa.g_00147	Pran.g_00286
OG0000238	Praa.g_00148	Pran.g_00285
OG0000239	Praa.g_00149	Pran.g_00283
OG0000240	Praa.g_00151	Pran.g_00281
OG0000241	Praa.g_00152	Pran.g_00280
OG0000242	Praa.g_00153	Pran.g_00279
OG0000243	Praa.g_00154	Pran.g_00278
OG0000244	Praa.g_00155	Pran.g_00277
OG0000245	Praa.g_00156	Pran.g_00276
OG0000246	Praa.g_00158	Pran.g_00274
OG0000247	Praa.g_00159	Pran.g_00273
OG0000248	Praa.g_00160	Pran.g_00272
OG0000249	Praa.g_00161	Pran.g_00271
OG0000250	Praa.g_00162	Pran.g_00270
OG0000251	Praa.g_00163	Pran.g_00269
OG0000252	Praa.g_00164	Pran.g_00268
OG0000253	Praa.g_00165	Pran.g_00267
OG0000254	Praa.g_00167	Pran.g_00265
OG0000255	Praa.g_00168	Pran.g_00264
OG0000256	Praa.g_00171	Pran.g_00261
OG0000257	Praa.g_00173	Pran.g_00259
OG0000258	Praa.g_00174	Pran.g_00258
OG0000259	Praa.g_00175	Pran.g_00257
OG0000260	Praa.g_00176	Pran.g_00256
OG0000261	Praa.g_00177	Pran.g_00255
OG0000262	Praa.g_00178	Pran.g_00254
OG0000263	Praa.g_00179	Pran.g_00253
OG0000264	Praa.g_00181	Pran.g_00251
OG0000265	Praa.g_00182	Pran.g_00250
OG0000266	Praa.g_00183	Pran.g_00249
OG0000267	Praa.g_00185	Pran.g_00247
OG0000268	Praa.g_00186	Pran.g_00246
OG0000269	Praa.g_00187	Pran.g_00245
OG0000270	Praa.g_00188	Pran.g_00244
OG0000271	Praa.g_00189	Pran.g_00243
OG0000272	Praa.g_00190	Pran.g_00242
