Orthogroup	Praa	Praq
OG0000000	Praa.g_01359	Praq.g_00168
OG0000000	Praa.g_00678	Praq.g_00807
OG0000002	Praa.g_01351	Praq.g_00160
OG0000002	Praa.g_01220, Praa.g_01222	Praq.g_01393
OG0000003	Praa.g_00413, Praa.g_01298	Praq.g_00115
OG0000004	Praa.g_00735	Praq.g_00607
OG0000004	Praa.g_00742	Praq.g_00614
OG0000005	Praa.g_01235	Praq.g_01956
OG0000005	Praa.g_01598	Praq.g_00026
OG0000006	Praa.g_00497	Praq.g_01105
OG0000006	Praa.g_01635	Praq.g_00497
OG0000007	Praa.g_01241	Praq.g_00071
OG0000007	Praa.g_00672	Praq.g_00801
OG0000008	Praa.g_00382	Praq.g_01159
OG0000008	Praa.g_01256	Praq.g_00085
OG0000009	Praa.g_00782	Praq.g_00649
OG0000009	Praa.g_00249	Praq.g_01753
OG0000010	Praa.g_01110	Praq.g_01283
OG0000010	Praa.g_01280	Praq.g_00097
OG0000011	Praa.g_00330	Praq.g_01672
OG0000012	Praa.g_00598	Praq.g_01004
OG0000013	Praa.g_00765	Praq.g_00065
OG0000014	Praa.g_00470, Praa.g_01301	Praq.g_00521
OG0000015	Praa.g_00380	Praq.g_01161
OG0000016	Praa.g_01362	Praq.g_00171
OG0000017	Praa.g_01496	Praq.g_00314
OG0000018	Praa.g_00241, Praa.g_01245	Praq.g_01761
OG0000019	Praa.g_00364, Praa.g_01623	Praq.g_01179
OG0000020	Praa.g_00373	Praq.g_01169
OG0000021	Praa.g_00784	Praq.g_00651
OG0000022	Praa.g_01300	Praq.g_00117
OG0000023	Praa.g_01589, Praa.g_01264	Praq.g_00017
OG0000024	Praa.g_00306, Praa.g_01409	Praq.g_01696
OG0000025	Praa.g_01075	Praq.g_01654
OG0000026	Praa.g_00033	Praq.g_01237
OG0000027	Praa.g_00738	Praq.g_00610
OG0000027	Praa.g_01564	Praq.g_00381
OG0000028	Praa.g_01476	Praq.g_00294
OG0000029	Praa.g_01590	Praq.g_00018
OG0000030	Praa.g_01221, Praa.g_00038	Praq.g_01242
OG0000036	Praa.g_00585	Praq.g_01018
OG0000037	Praa.g_00623	Praq.g_00979
OG0000038	Praa.g_00763	Praq.g_00635
OG0000039	Praa.g_00166	Praq.g_01836
OG0000040	Praa.g_00359	Praq.g_01184
OG0000041	Praa.g_00399, Praa.g_00417	Praq.g_01129
OG0000042	Praa.g_00711	Praq.g_00583
OG0000043	Praa.g_00787	Praq.g_00654
OG0000044	Praa.g_01159, Praa.g_01415	Praq.g_01333
OG0000045	Praa.g_01425	Praq.g_00218, Praq.g_00271
OG0000047	Praa.g_01832	Praq.g_00763
OG0000048	Praa.g_01839	Praq.g_00770
OG0000050	Praa.g_00031	Praq.g_01234
OG0000051	Praa.g_00157	Praq.g_01845
OG0000052	Praa.g_00369	Praq.g_01173
OG0000053	Praa.g_00539	Praq.g_01063
OG0000054	Praa.g_00757	Praq.g_00629
OG0000055	Praa.g_00826	Praq.g_01420
OG0000056	Praa.g_01117	Praq.g_01289
OG0000057	Praa.g_00237	Praq.g_01765
OG0000058	Praa.g_00475, Praa.g_01414	Praq.g_00526
OG0000059	Praa.g_00698	Praq.g_00827
OG0000060	Praa.g_00740	Praq.g_00612
OG0000061	Praa.g_01125, Praa.g_00984	Praq.g_01298
OG0000062	Praa.g_01127	Praq.g_01300
OG0000063	Praa.g_01255	Praq.g_00084
OG0000064	Praa.g_01268, Praa.g_01620	Praq.g_00091
OG0000065	Praa.g_01318	Praq.g_00133
OG0000066	Praa.g_01387	Praq.g_00208
OG0000067	Praa.g_01626	Praq.g_00100
OG0000068	Praa.g_01775	Praq.g_00879
OG0000071	Praa.g_00011	Praq.g_00437
OG0000072	Praa.g_00322	Praq.g_01680
OG0000073	Praa.g_00669	Praq.g_00798
OG0000074	Praa.g_00691	Praq.g_00820
OG0000075	Praa.g_00811, Praa.g_00810	Praq.g_00677
OG0000076	Praa.g_01039	Praq.g_01619
OG0000078	Praa.g_01394	Praq.g_00216
OG0000079	Praa.g_01555	Praq.g_00372
OG0000080	Praa.g_01606	Praq.g_00052
OG0000081	Praa.g_01806	Praq.g_00737
OG0000082	Praa.g_01894	Praq.g_00392
OG0000083	Praa.g_00003	Praq.g_00429
OG0000084	Praa.g_00006	Praq.g_00432
OG0000085	Praa.g_00023	Praq.g_01226
OG0000086	Praa.g_00039, Praa.g_00409	Praq.g_01254
OG0000087	Praa.g_00049	Praq.g_01265
OG0000088	Praa.g_00113	Praq.g_01890
OG0000089	Praa.g_00121	Praq.g_01882
