Orthogroup	Praa	Prap
OG0000000	Praa.g_01359	Prap.g_00720, Prap.g_00715
OG0000000	Praa.g_00678	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Praa.g_01351	Prap.g_01925
OG0000002	Praa.g_01220, Praa.g_01222	Prap.g_00653
OG0000003	Praa.g_00413, Praa.g_01298	Prap.g_00494
OG0000004	Praa.g_00735, Praa.g_00742, Praa.g_01294	Prap.g_00535
OG0000005	Praa.g_01235	Prap.g_01862
OG0000006	Praa.g_00497	Prap.g_01270
OG0000006	Praa.g_01635	Prap.g_01779
OG0000007	Praa.g_01241	Prap.g_01888
OG0000009	Praa.g_00782	Prap.g_00480
OG0000009	Praa.g_00249	Prap.g_01462
OG0000010	Praa.g_01110, Praa.g_01280	Prap.g_00010
OG0000012	Praa.g_00598	Prap.g_01170, Prap.g_01163
OG0000014	Praa.g_00470, Praa.g_01301	Prap.g_01912, Prap.g_01860
OG0000015	Praa.g_00380	Prap.g_01851, Prap.g_01818
OG0000016	Praa.g_01362	Prap.g_00510, Prap.g_00218
OG0000018	Praa.g_00241, Praa.g_01245	Prap.g_01470
OG0000019	Praa.g_01623	Prap.g_00797
OG0000020	Praa.g_00373	Prap.g_00548, Prap.g_01439
OG0000021	Praa.g_00784	Prap.g_01797
OG0000023	Praa.g_01264	Prap.g_00216
OG0000024	Praa.g_00306	Prap.g_01403
OG0000025	Praa.g_01075	Prap.g_00667
OG0000028	Praa.g_01476	Prap.g_00121
OG0000029	Praa.g_01590	Prap.g_01312
OG0000033	Praa.g_00013	Prap.g_00514
OG0000034	Praa.g_01407	Prap.g_00099
OG0000036	Praa.g_00585	Prap.g_01790, Prap.g_01183
OG0000037	Praa.g_00623	Prap.g_00236, Prap.g_01145
OG0000038	Praa.g_00763	Prap.g_00212
OG0000039	Praa.g_00166	Prap.g_01004
OG0000040	Praa.g_00359	Prap.g_00029
OG0000042	Praa.g_00711	Prap.g_00791
OG0000043	Praa.g_00787	Prap.g_00691
OG0000045	Praa.g_01425	Prap.g_00081
OG0000046	Praa.g_01628	Prap.g_01787, Prap.g_01917
OG0000047	Praa.g_01832	Prap.g_01580
OG0000048	Praa.g_01839	Prap.g_01572
OG0000050	Praa.g_00031	Prap.g_00923
OG0000051	Praa.g_00157	Prap.g_01013
OG0000052	Praa.g_00369	Prap.g_00591
OG0000053	Praa.g_00539	Prap.g_01230, Prap.g_01867
OG0000054	Praa.g_00757	Prap.g_01128
OG0000055	Praa.g_00826	Prap.g_00760
OG0000056	Praa.g_01117	Prap.g_00512
OG0000057	Praa.g_00237	Prap.g_01475
OG0000058	Praa.g_00475	Prap.g_01292
OG0000059	Praa.g_00698	Prap.g_00799
OG0000062	Praa.g_01127	Prap.g_01883
OG0000063	Praa.g_01255	Prap.g_00429
OG0000065	Praa.g_01318	Prap.g_00561
OG0000066	Praa.g_01387	Prap.g_00079
OG0000067	Praa.g_01626	Prap.g_00619
OG0000068	Praa.g_01775	Prap.g_01642
OG0000071	Praa.g_00011	Prap.g_00043
OG0000072	Praa.g_00322	Prap.g_01389
OG0000073	Praa.g_00669	Prap.g_00356
OG0000074	Praa.g_00691	Prap.g_00809
OG0000075	Praa.g_00811, Praa.g_00810	Prap.g_00776
OG0000076	Praa.g_01039	Prap.g_00708
OG0000077	Praa.g_01236	Prap.g_01863
OG0000078	Praa.g_01394	Prap.g_00082
OG0000079	Praa.g_01555	Prap.g_00206
OG0000080	Praa.g_01606	Prap.g_00618
OG0000081	Praa.g_01806	Prap.g_01608
OG0000082	Praa.g_01894	Prap.g_00623
OG0000083	Praa.g_00003	Prap.g_00051
OG0000084	Praa.g_00006	Prap.g_00048
OG0000085	Praa.g_00023	Prap.g_00932
OG0000087	Praa.g_00049	Prap.g_00903
OG0000088	Praa.g_00113	Prap.g_01061
OG0000089	Praa.g_00121	Prap.g_01052
OG0000090	Praa.g_00139	Prap.g_01035
OG0000091	Praa.g_00169	Prap.g_01001
OG0000092	Praa.g_00170	Prap.g_01000
OG0000093	Praa.g_00184	Prap.g_00986
OG0000094	Praa.g_00202	Prap.g_00967
OG0000095	Praa.g_00207	Prap.g_00962
OG0000096	Praa.g_00251	Prap.g_01460
OG0000097	Praa.g_00274	Prap.g_01436
OG0000099	Praa.g_00294	Prap.g_01415
OG0000100	Praa.g_00297	Prap.g_01412
OG0000101	Praa.g_00356	Prap.g_01347
OG0000102	Praa.g_00381	Prap.g_00543
OG0000103	Praa.g_00476	Prap.g_01291
OG0000104	Praa.g_00480	Prap.g_01287
OG0000105	Praa.g_00499	Prap.g_01267
OG0000106	Praa.g_00532	Prap.g_01237
OG0000107	Praa.g_00533	Prap.g_01236
OG0000108	Praa.g_00544	Prap.g_01226
OG0000109	Praa.g_00553	Prap.g_01217
OG0000110	Praa.g_00569	Prap.g_01200
OG0000111	Praa.g_00651	Prap.g_00375
OG0000112	Praa.g_00652	Prap.g_00374
OG0000113	Praa.g_00733	Prap.g_00324
OG0000114	Praa.g_00801	Prap.g_00785
OG0000115	Praa.g_00964	Prap.g_00257
OG0000116	Praa.g_00968	Prap.g_00261
OG0000117	Praa.g_01036	Prap.g_00705
OG0000118	Praa.g_01089	Prap.g_00501
OG0000119	Praa.g_01130	Prap.g_01880
OG0000120	Praa.g_01165	Prap.g_00450
OG0000121	Praa.g_01184	Prap.g_00427
OG0000122	Praa.g_01203	Prap.g_00407
OG0000123	Praa.g_01216	Prap.g_01135
OG0000124	Praa.g_01224	Prap.g_00217
OG0000125	Praa.g_01330	Prap.g_00574
OG0000126	Praa.g_01366	Prap.g_00059
OG0000127	Praa.g_01463	Prap.g_00109
OG0000128	Praa.g_01477	Prap.g_00122
OG0000129	Praa.g_01513	Prap.g_00158
OG0000130	Praa.g_01633	Prap.g_01782
OG0000131	Praa.g_01672	Prap.g_01742
OG0000132	Praa.g_01675	Prap.g_01739
OG0000133	Praa.g_01734	Prap.g_01685
OG0000134	Praa.g_01770	Prap.g_01648, Prap.g_01649
OG0000135	Praa.g_01772	Prap.g_01646
OG0000136	Praa.g_01817	Prap.g_01596
OG0000137	Praa.g_01849	Prap.g_01562
OG0000138	Praa.g_01885	Prap.g_01528
OG0000139	Praa.g_01911	Prap.g_01497
OG0000140	Praa.g_00001	Prap.g_00053
OG0000141	Praa.g_00002	Prap.g_00052
OG0000142	Praa.g_00004	Prap.g_00050
OG0000143	Praa.g_00005	Prap.g_00049
OG0000144	Praa.g_00007	Prap.g_00047
OG0000145	Praa.g_00008	Prap.g_00046
OG0000146	Praa.g_00009	Prap.g_00045
OG0000147	Praa.g_00010	Prap.g_00044
OG0000148	Praa.g_00012	Prap.g_00042
OG0000149	Praa.g_00014	Prap.g_00941
OG0000150	Praa.g_00015	Prap.g_00940
OG0000151	Praa.g_00016	Prap.g_00939
OG0000152	Praa.g_00017	Prap.g_00938
OG0000153	Praa.g_00018	Prap.g_00937
OG0000154	Praa.g_00019	Prap.g_00936
OG0000155	Praa.g_00020	Prap.g_00935
OG0000156	Praa.g_00021	Prap.g_00934
OG0000157	Praa.g_00022	Prap.g_00933
OG0000158	Praa.g_00024	Prap.g_00931
OG0000159	Praa.g_00025	Prap.g_00930
OG0000160	Praa.g_00026	Prap.g_00929
OG0000161	Praa.g_00027	Prap.g_00928
OG0000162	Praa.g_00028	Prap.g_00927
OG0000163	Praa.g_00029	Prap.g_00925
OG0000164	Praa.g_00032	Prap.g_00922
OG0000165	Praa.g_00035	Prap.g_00919
OG0000166	Praa.g_00036	Prap.g_00918
OG0000167	Praa.g_00037	Prap.g_00917
OG0000168	Praa.g_00040	Prap.g_00915
OG0000169	Praa.g_00042	Prap.g_00913
OG0000170	Praa.g_00043	Prap.g_00911
OG0000171	Praa.g_00044	Prap.g_00910
OG0000172	Praa.g_00045	Prap.g_00909
OG0000173	Praa.g_00046	Prap.g_00906
OG0000174	Praa.g_00047	Prap.g_00905
OG0000175	Praa.g_00048	Prap.g_00904
OG0000176	Praa.g_00050	Prap.g_00902
OG0000177	Praa.g_00051	Prap.g_00901
OG0000178	Praa.g_00052	Prap.g_00899
OG0000179	Praa.g_00064	Prap.g_00887
OG0000180	Praa.g_00065	Prap.g_00886
OG0000181	Praa.g_00066	Prap.g_00885
OG0000182	Praa.g_00069	Prap.g_00881
OG0000183	Praa.g_00070	Prap.g_00880
OG0000184	Praa.g_00073	Prap.g_00877
OG0000185	Praa.g_00077	Prap.g_01100
OG0000186	Praa.g_00078	Prap.g_01099
OG0000187	Praa.g_00079	Prap.g_00025
OG0000188	Praa.g_00080	Prap.g_01098
OG0000189	Praa.g_00081	Prap.g_01097
OG0000190	Praa.g_00082	Prap.g_01096
OG0000191	Praa.g_00083	Prap.g_01095
OG0000192	Praa.g_00084	Prap.g_01094
OG0000193	Praa.g_00085	Prap.g_01093
OG0000194	Praa.g_00086	Prap.g_01092
OG0000195	Praa.g_00088	Prap.g_01090
OG0000196	Praa.g_00089	Prap.g_01089
OG0000197	Praa.g_00090	Prap.g_01088
OG0000198	Praa.g_00091	Prap.g_01087
OG0000199	Praa.g_00094	Prap.g_01084
OG0000200	Praa.g_00095	Prap.g_01083
OG0000201	Praa.g_00096	Prap.g_01082
OG0000202	Praa.g_00097	Prap.g_01080
OG0000203	Praa.g_00098	Prap.g_01079
OG0000204	Praa.g_00099	Prap.g_01078
OG0000205	Praa.g_00100	Prap.g_01076
OG0000206	Praa.g_00101	Prap.g_01075
OG0000207	Praa.g_00102	Prap.g_01074
OG0000208	Praa.g_00103	Prap.g_01073
OG0000209	Praa.g_00104	Prap.g_01072
OG0000210	Praa.g_00106	Prap.g_01071
OG0000211	Praa.g_00107	Prap.g_01069
OG0000212	Praa.g_00108	Prap.g_01068
OG0000213	Praa.g_00109	Prap.g_01067
OG0000214	Praa.g_00111	Prap.g_01063
OG0000215	Praa.g_00112	Prap.g_01062
OG0000216	Praa.g_00114	Prap.g_01060
OG0000217	Praa.g_00115	Prap.g_01059
OG0000218	Praa.g_00116	Prap.g_01058
OG0000219	Praa.g_00117	Prap.g_01057
OG0000220	Praa.g_00120	Prap.g_01054
OG0000221	Praa.g_00122	Prap.g_01051
OG0000222	Praa.g_00123	Prap.g_01050
OG0000223	Praa.g_00124	Prap.g_01049
OG0000224	Praa.g_00127	Prap.g_01047
OG0000225	Praa.g_00129	Prap.g_01045
OG0000226	Praa.g_00130	Prap.g_01043
OG0000227	Praa.g_00131	Prap.g_01042
OG0000228	Praa.g_00132	Prap.g_01041
