Orthogroup	Prbg	Prbj
OG0000000	Prbg.g_01222, Prbg.g_01227	Prbj.g_02517
OG0000000	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521	Prbj.g_00030
OG0000002	Prbg.g_00502	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prbg.g_01524	Prbj.g_00165
OG0000004	Prbg.g_00451	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prbg.g_00216	Prbj.g_01610
OG0000006	Prbg.g_01650	Prbj.g_00857
OG0000007	Prbg.g_00744, Prbg.g_00745	Prbj.g_00928, Prbj.g_00929
OG0000009	Prbg.g_01510, Prbg.g_01032	Prbj.g_01349
OG0000011	Prbg.g_00143	Prbj.g_02509
OG0000012	Prbg.g_00324	Prbj.g_01761
OG0000012	Prbg.g_00317	Prbj.g_01769
OG0000013	Prbg.g_01635	Prbj.g_02502
OG0000016	Prbg.g_01540	Prbj.g_00740
OG0000016	Prbg.g_00688	Prbj.g_00778
OG0000017	Prbg.g_01595, Prbg.g_00612	Prbj.g_00638
OG0000018	Prbg.g_01024	Prbj.g_02699
OG0000019	Prbg.g_01145	Prbj.g_01774
OG0000020	Prbg.g_00464	Prbj.g_01393
OG0000024	Prbg.g_00086	Prbj.g_01442
OG0000026	Prbg.g_00730	Prbj.g_01208
OG0000028	Prbg.g_00591	Prbj.g_01056
OG0000031	Prbg.g_00408	Prbj.g_00705
OG0000032	Prbg.g_00550	Prbj.g_01522, Prbj.g_01527
OG0000034	Prbg.g_00816	Prbj.g_01487
OG0000036	Prbg.g_00304, Prbg.g_01639	Prbj.g_01789
OG0000037	Prbg.g_00342, Prbg.g_00706	Prbj.g_02552
OG0000038	Prbg.g_00682	Prbj.g_00050
OG0000039	Prbg.g_00944	Prbj.g_00521
OG0000040	Prbg.g_00013	Prbj.g_02392
OG0000042	Prbg.g_01151	Prbj.g_02178, Prbj.g_00913
OG0000043	Prbg.g_01251	Prbj.g_00023, Prbj.g_00025
OG0000044	Prbg.g_01486	Prbj.g_00971
OG0000045	Prbg.g_00551	Prbj.g_01467
OG0000046	Prbg.g_00716, Prbg.g_01642	Prbj.g_00869
OG0000047	Prbg.g_01847	Prbj.g_01598
OG0000048	Prbg.g_01855	Prbj.g_01808, Prbj.g_00001
OG0000050	Prbg.g_00842	Prbj.g_01204
OG0000051	Prbg.g_00935	Prbj.g_00530
OG0000052	Prbg.g_00388	Prbj.g_00875
OG0000053	Prbg.g_00256	Prbj.g_02141
OG0000054	Prbg.g_00359	Prbj.g_01324
OG0000055	Prbg.g_01182	Prbj.g_02437
OG0000056	Prbg.g_01542	Prbj.g_00227
OG0000058	Prbg.g_00194	Prbj.g_00128
OG0000059	Prbg.g_01143	Prbj.g_00758
OG0000062	Prbg.g_00749	Prbj.g_01990
OG0000063	Prbg.g_01459	Prbj.g_01915
OG0000065	Prbg.g_00477	Prbj.g_01728
OG0000066	Prbg.g_00549	Prbj.g_01465
OG0000068	Prbg.g_01785	Prbj.g_00415, Prbj.g_00981
OG0000069	Prbg.g_00630	Prbj.g_00659
OG0000071	Prbg.g_00778	Prbj.g_02085
OG0000072	Prbg.g_00100	Prbj.g_01460
OG0000073	Prbg.g_01386	Prbj.g_00824
OG0000074	Prbg.g_01133	Prbj.g_00933
OG0000075	Prbg.g_01166	Prbj.g_02419
OG0000076	Prbg.g_01234	Prbj.g_01838
OG0000078	Prbg.g_00552	Prbj.g_01464
OG0000079	Prbg.g_00676	Prbj.g_00881
OG0000080	Prbg.g_00414	Prbj.g_01678
OG0000081	Prbg.g_01819	Prbj.g_01500
OG0000082	Prbg.g_00419	Prbj.g_01999
OG0000083	Prbg.g_00770	Prbj.g_02076
OG0000084	Prbg.g_00773	Prbj.g_02079
OG0000085	Prbg.g_00851	Prbj.g_01195
OG0000087	Prbg.g_00822	Prbj.g_01921
OG0000088	Prbg.g_00887	Prbj.g_01551
OG0000089	Prbg.g_00896	Prbj.g_01566
OG0000090	Prbg.g_00913	Prbj.g_01547
OG0000091	Prbg.g_00947	Prbj.g_00518
OG0000092	Prbg.g_00948	Prbj.g_00517
OG0000093	Prbg.g_00962	Prbj.g_01138
OG0000094	Prbg.g_00981	Prbj.g_01167
OG0000095	Prbg.g_00986	Prbj.g_00288
OG0000096	Prbg.g_01034	Prbj.g_01352
OG0000097	Prbg.g_00053	Prbj.g_01397
OG0000098	Prbg.g_00064	Prbj.g_01410
OG0000099	Prbg.g_00074	Prbj.g_01422
OG0000100	Prbg.g_00077	Prbj.g_01426
OG0000101	Prbg.g_00139	Prbj.g_00067
OG0000102	Prbg.g_00459	Prbj.g_02004
OG0000103	Prbg.g_00195	Prbj.g_00127
OG0000104	Prbg.g_00199	Prbj.g_01630
OG0000105	Prbg.g_00219	Prbj.g_01608
OG0000106	Prbg.g_00249	Prbj.g_02125
OG0000107	Prbg.g_00250	Prbj.g_02127
OG0000108	Prbg.g_00260	Prbj.g_02668
OG0000109	Prbg.g_00270	Prbj.g_01866
OG0000110	Prbg.g_00287	Prbj.g_01885
OG0000111	Prbg.g_01405	Prbj.g_00792
OG0000112	Prbg.g_01404	Prbj.g_00793
OG0000113	Prbg.g_01354	Prbj.g_02314
OG0000114	Prbg.g_01157	Prbj.g_02410
OG0000115	Prbg.g_01287	Prbj.g_02268
OG0000116	Prbg.g_01291	Prbj.g_02260
OG0000117	Prbg.g_01237	Prbj.g_01841
OG0000118	Prbg.g_01531	Prbj.g_02066
OG0000119	Prbg.g_00752	Prbj.g_01992
OG0000120	Prbg.g_01480	Prbj.g_00843
OG0000121	Prbg.g_01457	Prbj.g_00003
OG0000122	Prbg.g_01437	Prbj.g_02156
OG0000123	Prbg.g_00352	Prbj.g_00020
OG0000124	Prbg.g_00687	Prbj.g_01848
OG0000125	Prbg.g_00490	Prbj.g_01742
OG0000126	Prbg.g_00529	Prbj.g_01639
OG0000127	Prbg.g_00579	Prbj.g_01040
OG0000128	Prbg.g_00592	Prbj.g_01057
OG0000129	Prbg.g_00628	Prbj.g_00656
OG0000130	Prbg.g_01647	Prbj.g_00863
OG0000131	Prbg.g_01686	Prbj.g_00461
OG0000132	Prbg.g_01689	Prbj.g_00458
OG0000133	Prbg.g_01743	Prbj.g_01024
OG0000134	Prbg.g_01779	Prbj.g_00987
OG0000135	Prbg.g_01781	Prbj.g_00985
OG0000136	Prbg.g_01831	Prbj.g_01516
OG0000137	Prbg.g_01865	Prbj.g_01280
OG0000138	Prbg.g_01900	Prbj.g_01963
OG0000139	Prbg.g_01931	Prbj.g_02047
OG0000140	Prbg.g_00768	Prbj.g_02074
OG0000141	Prbg.g_00769	Prbj.g_02075
OG0000142	Prbg.g_00771	Prbj.g_02077
OG0000143	Prbg.g_00772	Prbj.g_02078
OG0000144	Prbg.g_00774	Prbj.g_02080
OG0000145	Prbg.g_00775	Prbj.g_02082
OG0000146	Prbg.g_00776	Prbj.g_02083
OG0000147	Prbg.g_00777	Prbj.g_02084
OG0000148	Prbg.g_00779	Prbj.g_02086
OG0000149	Prbg.g_00860	Prbj.g_01182
OG0000150	Prbg.g_00859	Prbj.g_01183
OG0000151	Prbg.g_00858	Prbj.g_01188
OG0000152	Prbg.g_00857	Prbj.g_01189
OG0000153	Prbg.g_00856	Prbj.g_01190
OG0000154	Prbg.g_00855	Prbj.g_01191
OG0000155	Prbg.g_00854	Prbj.g_01192
OG0000156	Prbg.g_00853	Prbj.g_01193
OG0000157	Prbg.g_00852	Prbj.g_01194
OG0000158	Prbg.g_00850	Prbj.g_01196
OG0000159	Prbg.g_00849	Prbj.g_01197
OG0000160	Prbg.g_00848	Prbj.g_01198
OG0000161	Prbg.g_00847	Prbj.g_01199
OG0000162	Prbg.g_00846	Prbj.g_01200
OG0000163	Prbg.g_00844	Prbj.g_01202
OG0000164	Prbg.g_00841	Prbj.g_01207
OG0000165	Prbg.g_00838	Prbj.g_01212
OG0000166	Prbg.g_00837	Prbj.g_01213
OG0000167	Prbg.g_00836	Prbj.g_01214
OG0000168	Prbg.g_00834	Prbj.g_01215
OG0000169	Prbg.g_00832	Prbj.g_01217
OG0000170	Prbg.g_00830	Prbj.g_01953
OG0000171	Prbg.g_00829	Prbj.g_01951
OG0000172	Prbg.g_00828	Prbj.g_01950
OG0000173	Prbg.g_00825	Prbj.g_01943
OG0000174	Prbg.g_00824	Prbj.g_01936
OG0000175	Prbg.g_00823	Prbj.g_01928
OG0000176	Prbg.g_00821	Prbj.g_01920
OG0000177	Prbg.g_00820	Prbj.g_01919
OG0000178	Prbg.g_00818	Prbj.g_01918
OG0000179	Prbg.g_00806	Prbj.g_00558
OG0000180	Prbg.g_00805	Prbj.g_00560
OG0000181	Prbg.g_00804	Prbj.g_00561
OG0000182	Prbg.g_00800	Prbj.g_00564
OG0000183	Prbg.g_00799	Prbj.g_00565
OG0000184	Prbg.g_00796	Prbj.g_00569
OG0000185	Prbg.g_00792	Prbj.g_00575
OG0000186	Prbg.g_00791	Prbj.g_00576
OG0000187	Prbg.g_00017	Prbj.g_00047
OG0000188	Prbg.g_00790	Prbj.g_00577
OG0000189	Prbg.g_00789	Prbj.g_00580
OG0000190	Prbg.g_00788	Prbj.g_00581
OG0000191	Prbg.g_00787	Prbj.g_00582
OG0000192	Prbg.g_00786	Prbj.g_00583
OG0000193	Prbg.g_00785	Prbj.g_00584
OG0000194	Prbg.g_00784	Prbj.g_00585
OG0000195	Prbg.g_00782	Prbj.g_00589
OG0000196	Prbg.g_00781	Prbj.g_00590
OG0000197	Prbg.g_00780	Prbj.g_00596
OG0000198	Prbg.g_00861	Prbj.g_00600
OG0000199	Prbg.g_00864	Prbj.g_00605
OG0000200	Prbg.g_00865	Prbj.g_00606
OG0000201	Prbg.g_00866	Prbj.g_00607
OG0000202	Prbg.g_00868	Prbj.g_00609
OG0000203	Prbg.g_00869	Prbj.g_00610
OG0000204	Prbg.g_00870	Prbj.g_00611
OG0000205	Prbg.g_00872	Prbj.g_00613
OG0000206	Prbg.g_00873	Prbj.g_00614
OG0000207	Prbg.g_00874	Prbj.g_00615
OG0000208	Prbg.g_00875	Prbj.g_00616
OG0000209	Prbg.g_00876	Prbj.g_00617
OG0000210	Prbg.g_00877	Prbj.g_00619
OG0000211	Prbg.g_00879	Prbj.g_00620
OG0000212	Prbg.g_00880	Prbj.g_00621
OG0000213	Prbg.g_00881	Prbj.g_00624
OG0000214	Prbg.g_00885	Prbj.g_00630
OG0000215	Prbg.g_00886	Prbj.g_01550
OG0000216	Prbg.g_00888	Prbj.g_01552
OG0000217	Prbg.g_00889	Prbj.g_01554
OG0000218	Prbg.g_00890	Prbj.g_01556
OG0000219	Prbg.g_00891	Prbj.g_01557
OG0000220	Prbg.g_00894	Prbj.g_01562
OG0000221	Prbg.g_00897	Prbj.g_01567
OG0000222	Prbg.g_00898	Prbj.g_01568
OG0000223	Prbg.g_00899	Prbj.g_01569
OG0000224	Prbg.g_00901	Prbj.g_01530
OG0000225	Prbg.g_00903	Prbj.g_01532
OG0000226	Prbg.g_00905	Prbj.g_01535
OG0000227	Prbg.g_00906	Prbj.g_01537
OG0000228	Prbg.g_00907	Prbj.g_01538
OG0000229	Prbg.g_00908	Prbj.g_01539
OG0000230	Prbg.g_00909	Prbj.g_01540
OG0000231	Prbg.g_01349	Prbj.g_01542
OG0000232	Prbg.g_00911	Prbj.g_01543
OG0000233	Prbg.g_00914	Prbj.g_01548
OG0000234	Prbg.g_00916	Prbj.g_00545
OG0000235	Prbg.g_00922	Prbj.g_00543
