Orthogroup	Prbg	Praa
OG0000000	Prbg.g_01222, Prbg.g_01227	Praa.g_01359
OG0000000	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521	Praa.g_00678
OG0000002	Prbg.g_00502	Praa.g_01351
OG0000002	Prbg.g_01069	Praa.g_01222, Praa.g_01220
OG0000003	Prbg.g_01524	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000004	Prbg.g_00451	Praa.g_00742
OG0000005	Prbg.g_01567	Praa.g_01598, Praa.g_01244, Praa.g_01235
OG0000006	Prbg.g_00216	Praa.g_00497
OG0000006	Prbg.g_01650	Praa.g_01635
OG0000007	Prbg.g_00744	Praa.g_01241
OG0000009	Prbg.g_01510	Praa.g_00782
OG0000009	Prbg.g_01032	Praa.g_00249
OG0000010	Prbg.g_00032	Praa.g_01110, Praa.g_01280
OG0000012	Prbg.g_00324, Prbg.g_00317	Praa.g_00598
OG0000013	Prbg.g_01589, Prbg.g_01635	Praa.g_00765
OG0000014	Prbg.g_01569, Prbg.g_00721	Praa.g_01301, Praa.g_00470
OG0000015	Prbg.g_01578, Prbg.g_01611	Praa.g_00380
OG0000016	Prbg.g_01540, Prbg.g_00688	Praa.g_01362
OG0000018	Prbg.g_01024	Praa.g_01245, Praa.g_00241
OG0000019	Prbg.g_01145	Praa.g_01623, Praa.g_00364
OG0000020	Prbg.g_00050	Praa.g_00373
OG0000021	Prbg.g_01632	Praa.g_00784
OG0000023	Prbg.g_00686	Praa.g_01264
OG0000024	Prbg.g_00086	Praa.g_00306
OG0000028	Prbg.g_00591	Praa.g_01476
OG0000029	Prbg.g_00174	Praa.g_01590
OG0000034	Prbg.g_00569, Prbg.g_00816	Praa.g_01407
OG0000036	Prbg.g_00304, Prbg.g_01639	Praa.g_00585
OG0000037	Prbg.g_00342, Prbg.g_00706	Praa.g_00623
OG0000038	Prbg.g_00682	Praa.g_00763
OG0000039	Prbg.g_00944	Praa.g_00166
OG0000040	Prbg.g_00013	Praa.g_00359
OG0000041	Prbg.g_01614, Prbg.g_01608	Praa.g_00399
OG0000042	Prbg.g_01151	Praa.g_00711
OG0000043	Prbg.g_01251	Praa.g_00787
OG0000044	Prbg.g_01486	Praa.g_01159, Praa.g_01415
OG0000045	Prbg.g_00551	Praa.g_01425
OG0000046	Prbg.g_00716, Prbg.g_01642	Praa.g_01628
OG0000047	Prbg.g_01847	Praa.g_01832
OG0000048	Prbg.g_01855	Praa.g_01839
OG0000050	Prbg.g_00842	Praa.g_00031
OG0000051	Prbg.g_00935	Praa.g_00157
OG0000052	Prbg.g_00388	Praa.g_00369
OG0000053	Prbg.g_00256	Praa.g_00539
OG0000055	Prbg.g_01182	Praa.g_00826
OG0000057	Prbg.g_01019	Praa.g_00237
OG0000058	Prbg.g_00194	Praa.g_01414, Praa.g_00475
OG0000059	Prbg.g_01143	Praa.g_00698
OG0000062	Prbg.g_00749	Praa.g_01127
OG0000063	Prbg.g_01459	Praa.g_01255
OG0000065	Prbg.g_00477	Praa.g_01318
OG0000066	Prbg.g_00549	Praa.g_01387
OG0000067	Prbg.g_00415	Praa.g_01626
OG0000068	Prbg.g_01785	Praa.g_01775
OG0000071	Prbg.g_00778	Praa.g_00011
OG0000072	Prbg.g_00100	Praa.g_00322
OG0000073	Prbg.g_01386	Praa.g_00669
OG0000074	Prbg.g_01133	Praa.g_00691
OG0000075	Prbg.g_01166	Praa.g_00810, Praa.g_00811
OG0000076	Prbg.g_01234	Praa.g_01039
OG0000077	Prbg.g_01566	Praa.g_01236
OG0000078	Prbg.g_00552	Praa.g_01394
OG0000079	Prbg.g_00676	Praa.g_01555
OG0000080	Prbg.g_00414	Praa.g_01606
OG0000081	Prbg.g_01819	Praa.g_01806
OG0000083	Prbg.g_00770	Praa.g_00003
OG0000084	Prbg.g_00773	Praa.g_00006
OG0000085	Prbg.g_00851	Praa.g_00023
OG0000087	Prbg.g_00822	Praa.g_00049
OG0000088	Prbg.g_00887	Praa.g_00113
