Orthogroup	Prbc	Syab
OG0000000	Prbc.g_02163, Prbc.g_00103	Syab.g_01226
OG0000001	Prbc.g_00588	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syab.g_02285
OG0000004	Prbc.g_01381	Syab.g_00549, Syab.g_01193
OG0000004	Prbc.g_00339	Syab.g_01911, Syab.g_02377
OG0000005	Prbc.g_00098	Syab.g_02289
OG0000005	Prbc.g_00788	Syab.g_02232
OG0000006	Prbc.g_02202	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbc.g_01556	Syab.g_02117
OG0000007	Prbc.g_00832	Syab.g_02256
OG0000008	Prbc.g_00893	Syab.g_01755
OG0000008	Prbc.g_00894	Syab.g_01168
OG0000009	Prbc.g_01344	Syab.g_00995
OG0000010	Prbc.g_02115	Syab.g_00696
OG0000011	Prbc.g_00136	Syab.g_01491
OG0000011	Prbc.g_00616	Syab.g_01083
OG0000013	Prbc.g_01219	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prbc.g_01198	Syab.g_00249
OG0000014	Prbc.g_00680	Syab.g_00178
OG0000015	Prbc.g_00599	Syab.g_02889
OG0000016	Prbc.g_01083	Syab.g_00014
OG0000016	Prbc.g_00929	Syab.g_01049
OG0000018	Prbc.g_01468	Syab.g_00742
OG0000019	Prbc.g_01836	Syab.g_00344
OG0000020	Prbc.g_00054, Prbc.g_00116	Syab.g_02230
OG0000022	Prbc.g_01288	Syab.g_01825
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbc.g_00598, Prbc.g_01755	Syab.g_01834
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syab.g_01705
OG0000026	Prbc.g_01101	Syab.g_00036
OG0000027	Prbc.g_00072	Syab.g_01782
OG0000028	Prbc.g_00653	Syab.g_00234
OG0000030	Prbc.g_00199	Syab.g_00096, Syab.g_00095
OG0000031	Prbc.g_01228	Syab.g_00160
OG0000032	Prbc.g_00746	Syab.g_00724
OG0000033	Prbc.g_00402	Syab.g_02590
OG0000034	Prbc.g_00575	Syab.g_00900, Syab.g_02560
OG0000035	Prbc.g_00709	Syab.g_00776, Syab.g_00778
OG0000037	Prbc.g_00464	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prbc.g_00995	Syab.g_02759, Syab.g_02761
OG0000039	Prbc.g_01768	Syab.g_02791
OG0000041	Prbc.g_00877	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prbc.g_00203	Syab.g_01019, Syab.g_00099
OG0000043	Prbc.g_00135	Syab.g_02802
OG0000043	Prbc.g_01953	Syab.g_01785
OG0000044	Prbc.g_00533	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000046	Prbc.g_01220	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Prbc.g_01227, Prbc.g_01273	Syab.g_00876
OG0000048	Prbc.g_01165	Syab.g_00308
OG0000051	Prbc.g_00088	Syab.g_01073
OG0000052	Prbc.g_00518, Prbc.g_00517	Syab.g_00214
OG0000053	Prbc.g_00728	Syab.g_00746
OG0000054	Prbc.g_01683	Syab.g_01932
OG0000056	Prbc.g_00011	Syab.g_01452
OG0000057	Prbc.g_00055, Prbc.g_01780	Syab.g_01200
OG0000058	Prbc.g_01928	Syab.g_00227
OG0000059	Prbc.g_00958	Syab.g_00397
OG0000061	Prbc.g_01446	Syab.g_00969
OG0000062	Prbc.g_00790	Syab.g_02234
OG0000063	Prbc.g_00932	Syab.g_00040
OG0000065	Prbc.g_00466	Syab.g_02500, Syab.g_01768
OG0000066	Prbc.g_01618	Syab.g_01516, Syab.g_02031
OG0000067	Prbc.g_01858	Syab.g_01659
OG0000068	Prbc.g_00657	Syab.g_02087
OG0000070	Prbc.g_01511	Syab.g_00614
OG0000071	Prbc.g_00566	Syab.g_00915
OG0000072	Prbc.g_00400	Syab.g_02593
OG0000073	Prbc.g_01579	Syab.g_02119
OG0000075	Prbc.g_00236	Syab.g_00202
OG0000076	Prbc.g_00211	Syab.g_00113
OG0000077	Prbc.g_00495	Syab.g_02446
OG0000078	Prbc.g_00330	Syab.g_02366
OG0000079	Prbc.g_01148	Syab.g_00340
OG0000080	Prbc.g_00679	Syab.g_00140
OG0000081	Prbc.g_01610	Syab.g_01793
OG0000082	Prbc.g_00891	Syab.g_01971
OG0000084	Prbc.g_00705	Syab.g_00781
OG0000085	Prbc.g_00826	Syab.g_02243
OG0000086	Prbc.g_00485	Syab.g_02468
OG0000087	Prbc.g_00432	Syab.g_02551
OG0000088	Prbc.g_00405	Syab.g_02586
OG0000089	Prbc.g_01268	Syab.g_00551
OG0000090	Prbc.g_01612	Syab.g_02041
OG0000091	Prbc.g_01719	Syab.g_01866
OG0000092	Prbc.g_01982	Syab.g_01242, Syab.g_00690
OG0000093	Prbc.g_01843	Syab.g_01582
OG0000094	Prbc.g_01935	Syab.g_01306
OG0000095	Prbc.g_02113	Syab.g_01210
OG0000097	Prbc.g_01400	Syab.g_01051
OG0000098	Prbc.g_00585	Syab.g_01553
OG0000099	Prbc.g_01229	Syab.g_00230
OG0000100	Prbc.g_00785	Syab.g_01694
OG0000101	Prbc.g_00284	Syab.g_00446
OG0000102	Prbc.g_00206	Syab.g_00104
OG0000103	Prbc.g_01053	Syab.g_02895, Syab.g_01296
OG0000104	Prbc.g_01065	Syab.g_02910
OG0000105	Prbc.g_01167	Syab.g_00303
