Orthogroup	Prbc	Syak
OG0000001	Prbc.g_00588	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbc.g_01381	Syak.g_01219, Syak.g_00720
OG0000004	Prbc.g_00339	Syak.g_00003, Syak.g_02297
OG0000005	Prbc.g_00098	Syak.g_02401
OG0000005	Prbc.g_00788	Syak.g_02436
OG0000006	Prbc.g_02202	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbc.g_01556	Syak.g_02595
OG0000007	Prbc.g_00832	Syak.g_02416
OG0000008	Prbc.g_00893	Syak.g_00267
OG0000008	Prbc.g_00894	Syak.g_00692
OG0000010	Prbc.g_02115	Syak.g_01119
OG0000011	Prbc.g_00136, Prbc.g_00616	Syak.g_00960
OG0000013	Prbc.g_01219	Syak.g_01270, Syak.g_01275
OG0000014	Prbc.g_01198	Syak.g_01505
OG0000014	Prbc.g_00680	Syak.g_01582
OG0000015	Prbc.g_00599	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbc.g_01083	Syak.g_01780
OG0000016	Prbc.g_00929	Syak.g_00818
OG0000018	Prbc.g_01468	Syak.g_01072
OG0000019	Prbc.g_01836	Syak.g_01413
OG0000021	Prbc.g_00924, Prbc.g_02189	Syak.g_00566
OG0000022	Prbc.g_01288	Syak.g_00088
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syak.g_00316, Syak.g_00223
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syak.g_00610
OG0000026	Prbc.g_01101	Syak.g_01757
OG0000027	Prbc.g_00072	Syak.g_00127
OG0000028	Prbc.g_00653	Syak.g_01522
OG0000030	Prbc.g_00199	Syak.g_01684, Syak.g_01685
OG0000031	Prbc.g_01228	Syak.g_01630
OG0000032	Prbc.g_00746	Syak.g_01092
OG0000033	Prbc.g_00402	Syak.g_02101
OG0000034	Prbc.g_00575	Syak.g_00950, Syak.g_02133
OG0000035	Prbc.g_00709	Syak.g_01041, Syak.g_01040
OG0000037	Prbc.g_00464	Syak.g_02188
OG0000038	Prbc.g_00995	Syak.g_01938, Syak.g_01936
OG0000039	Prbc.g_01768	Syak.g_00772, Syak.g_01918
OG0000041	Prbc.g_00877	Syak.g_02354, Syak.g_00752
OG0000042	Prbc.g_00203	Syak.g_00843, Syak.g_01681
OG0000043	Prbc.g_00135, Prbc.g_01953	Syak.g_00335
OG0000044	Prbc.g_00533	Syak.g_00767, Syak.g_00153
OG0000046	Prbc.g_01220	Syak.g_01269, Syak.g_01276
OG0000047	Prbc.g_01227, Prbc.g_01273	Syak.g_01147
OG0000048	Prbc.g_01165	Syak.g_01446
OG0000050	Prbc.g_01383	Syak.g_00106
OG0000052	Prbc.g_00518, Prbc.g_00517	Syak.g_01549
OG0000053	Prbc.g_00728	Syak.g_01068
OG0000054	Prbc.g_01683	Syak.g_02744, Syak.g_02321
OG0000055	Prbc.g_01822, Prbc.g_00907	Syak.g_00766
OG0000057	Prbc.g_00055, Prbc.g_01780	Syak.g_00724, Syak.g_01676
OG0000058	Prbc.g_01928	Syak.g_01530
OG0000059	Prbc.g_00958	Syak.g_01355
OG0000061	Prbc.g_01446	Syak.g_00898
OG0000062	Prbc.g_00790	Syak.g_02434
OG0000063	Prbc.g_00932	Syak.g_01752
OG0000065	Prbc.g_00466	Syak.g_02192, Syak.g_00282
OG0000066	Prbc.g_01618	Syak.g_02653
OG0000067	Prbc.g_01858	Syak.g_00434
OG0000068	Prbc.g_00657	Syak.g_02565
OG0000070	Prbc.g_01511	Syak.g_01174
OG0000071	Prbc.g_00566	Syak.g_02322, Syak.g_00936
OG0000072	Prbc.g_00400	Syak.g_02099
OG0000073	Prbc.g_01579	Syak.g_02597
OG0000075	Prbc.g_00236	Syak.g_01564
OG0000076	Prbc.g_00211	Syak.g_01650
OG0000077	Prbc.g_00495	Syak.g_02243
OG0000078	Prbc.g_00330	Syak.g_02310
OG0000079	Prbc.g_01148	Syak.g_01417
OG0000080	Prbc.g_00679	Syak.g_01612
OG0000081	Prbc.g_01610	Syak.g_00115
OG0000082	Prbc.g_00891	Syak.g_02711
OG0000084	Prbc.g_00705	Syak.g_01036
OG0000085	Prbc.g_00826	Syak.g_02427
OG0000086	Prbc.g_00485	Syak.g_02219
OG0000087	Prbc.g_00432	Syak.g_02141
OG0000088	Prbc.g_00405	Syak.g_02106
OG0000089	Prbc.g_01268	Syak.g_01215
OG0000090	Prbc.g_01612	Syak.g_02640
OG0000091	Prbc.g_01719	Syak.g_00043
OG0000092	Prbc.g_01982	Syak.g_01126
OG0000093	Prbc.g_01843	Syak.g_00416
OG0000094	Prbc.g_01935	Syak.g_00656
OG0000095	Prbc.g_02113	Syak.g_00736
OG0000097	Prbc.g_01400	Syak.g_00816
OG0000098	Prbc.g_00585	Syak.g_00345, Syak.g_02651
OG0000099	Prbc.g_01229	Syak.g_01527
OG0000100	Prbc.g_00785	Syak.g_00622
OG0000101	Prbc.g_00284	Syak.g_01305
OG0000102	Prbc.g_00206	Syak.g_01661
OG0000103	Prbc.g_01053	Syak.g_01812
OG0000104	Prbc.g_01065	Syak.g_01799
OG0000105	Prbc.g_01167	Syak.g_01451
OG0000106	Prbc.g_00134, Prbc.g_00641	Syak.g_00096
OG0000107	Prbc.g_00934	Syak.g_01392
OG0000108	Prbc.g_01540	Syak.g_02574
OG0000109	Prbc.g_01553	Syak.g_01061, Syak.g_02590
OG0000110	Prbc.g_01654	Syak.g_02698
OG0000111	Prbc.g_01781	Syak.g_00725
OG0000112	Prbc.g_02028	Syak.g_00512
OG0000113	Prbc.g_01882, Prbc.g_00153	Syak.g_00461
OG0000114	Prbc.g_01977	Syak.g_00373, Syak.g_00065
OG0000115	Prbc.g_00801	Syak.g_01066
OG0000116	Prbc.g_01457	Syak.g_00911
OG0000117	Prbc.g_00102	Syak.g_00846
OG0000118	Prbc.g_00577	Syak.g_00954
OG0000119	Prbc.g_00650	Syak.g_00917
OG0000120	Prbc.g_01753	Syak.g_01526
OG0000121	Prbc.g_00711	Syak.g_01044
OG0000122	Prbc.g_00750	Syak.g_00081
OG0000123	Prbc.g_00277	Syak.g_01299
OG0000124	Prbc.g_00193	Syak.g_01692
OG0000125	Prbc.g_00997	Syak.g_01934
OG0000126	Prbc.g_01063	Syak.g_01801
OG0000127	Prbc.g_01367	Syak.g_02269, Syak.g_02544
OG0000128	Prbc.g_01081	Syak.g_01782
OG0000129	Prbc.g_01122	Syak.g_01947
OG0000130	Prbc.g_00504	Syak.g_02255
OG0000131	Prbc.g_00426	Syak.g_02128
OG0000132	Prbc.g_00407	Syak.g_02108
OG0000133	Prbc.g_01214	Syak.g_00507
OG0000134	Prbc.g_01270	Syak.g_01212
OG0000135	Prbc.g_02198, Prbc.g_02183	Syak.g_01897
OG0000136	Prbc.g_01502	Syak.g_01186
OG0000137	Prbc.g_01534	Syak.g_01118
OG0000138	Prbc.g_01554	Syak.g_01062, Syak.g_02591
