Orthogroup	Prbc	Syat
OG0000001	Prbc.g_00588	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prbc.g_00098	Syat.g_03065
OG0000005	Prbc.g_00788	Syat.g_03105
OG0000006	Prbc.g_02202	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prbc.g_01556	Syat.g_03191
OG0000007	Prbc.g_00832	Syat.g_03124
OG0000008	Prbc.g_00893	Syat.g_02626
OG0000008	Prbc.g_00894	Syat.g_02627
OG0000010	Prbc.g_02115	Syat.g_01372
OG0000012	Prbc.g_02155	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prbc.g_01219	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbc.g_01198	Syat.g_02104
OG0000014	Prbc.g_00680	Syat.g_03196, Syat.g_02250
OG0000015	Prbc.g_00599	Syat.g_00775, Syat.g_01677
OG0000016	Prbc.g_01083	Syat.g_02329
OG0000016	Prbc.g_00929	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Prbc.g_01681	Syat.g_00015
OG0000018	Prbc.g_01468	Syat.g_01334
OG0000019	Prbc.g_01836	Syat.g_01876
OG0000021	Prbc.g_00924, Prbc.g_02189	Syat.g_00964
OG0000022	Prbc.g_01288	Syat.g_00210
OG0000024	Prbc.g_00598, Prbc.g_01755	Syat.g_03394
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syat.g_00719
OG0000026	Prbc.g_01101	Syat.g_02306
OG0000027	Prbc.g_00072	Syat.g_00850
OG0000028	Prbc.g_00653	Syat.g_02126
OG0000030	Prbc.g_00199	Syat.g_00307, Syat.g_00308
OG0000031	Prbc.g_01228	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prbc.g_00746	Syat.g_01354
OG0000033	Prbc.g_00402	Syat.g_02858
OG0000034	Prbc.g_00575	Syat.g_01165, Syat.g_02902
OG0000035	Prbc.g_00709	Syat.g_01227, Syat.g_01226
OG0000037	Prbc.g_00464	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prbc.g_00995	Syat.g_02688, Syat.g_02686
OG0000039	Prbc.g_01768	Syat.g_01278
OG0000041	Prbc.g_00877	Syat.g_00785, Syat.g_03006
OG0000042	Prbc.g_00203	Syat.g_00223, Syat.g_02222
