Orthogroup	Prbc	Syaq
OG0000001	Prbc.g_00588	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prbc.g_01381	Syaq.g_02603
OG0000004	Prbc.g_00339	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbc.g_00098	Syaq.g_01658
OG0000005	Prbc.g_00788	Syaq.g_01692
OG0000006	Prbc.g_02202	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbc.g_01556	Syaq.g_01793
OG0000007	Prbc.g_00832	Syaq.g_01673
OG0000008	Prbc.g_00893	Syaq.g_02162
OG0000008	Prbc.g_00894	Syaq.g_02575
OG0000010	Prbc.g_02115	Syaq.g_00443
OG0000011	Prbc.g_00136, Prbc.g_00616	Syaq.g_01038
OG0000012	Prbc.g_02155	Syaq.g_00077
OG0000013	Prbc.g_01219	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbc.g_01198	Syaq.g_00862
OG0000014	Prbc.g_00680	Syaq.g_00907, Syaq.g_00933
OG0000015	Prbc.g_00599	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prbc.g_01083	Syaq.g_01136
OG0000016	Prbc.g_00929	Syaq.g_00169
OG0000018	Prbc.g_01468	Syaq.g_00401
OG0000019	Prbc.g_01836	Syaq.g_00717
OG0000022	Prbc.g_01288	Syaq.g_02126
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syaq.g_02540
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syaq.g_02381
OG0000026	Prbc.g_01101	Syaq.g_01114
OG0000028	Prbc.g_00653	Syaq.g_00878
OG0000030	Prbc.g_00199	Syaq.g_01047, Syaq.g_01048
OG0000031	Prbc.g_01228	Syaq.g_01009
OG0000032	Prbc.g_00746	Syaq.g_00421
OG0000033	Prbc.g_00402	Syaq.g_01399
OG0000034	Prbc.g_00575	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbc.g_00709	Syaq.g_00372, Syaq.g_00371
OG0000037	Prbc.g_00464	Syaq.g_01483
OG0000038	Prbc.g_00995	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbc.g_01768	Syaq.g_01601, Syaq.g_01241
OG0000041	Prbc.g_00877	Syaq.g_02688, Syaq.g_01612
OG0000042	Prbc.g_00203	Syaq.g_00200, Syaq.g_01044
OG0000043	Prbc.g_01953	Syaq.g_01920
OG0000044	Prbc.g_00533	Syaq.g_00107, Syaq.g_02701
OG0000045	Prbc.g_02137	Syaq.g_02047
OG0000046	Prbc.g_01220	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbc.g_01165	Syaq.g_00749
OG0000052	Prbc.g_00518, Prbc.g_00517	Syaq.g_00969
OG0000053	Prbc.g_00728	Syaq.g_00397
OG0000054	Prbc.g_01683	Syaq.g_02005
OG0000057	Prbc.g_00055, Prbc.g_01780	Syaq.g_02541, Syaq.g_02605
OG0000058	Prbc.g_01928	Syaq.g_00944
OG0000059	Prbc.g_00958	Syaq.g_00657
OG0000061	Prbc.g_01446	Syaq.g_00249
OG0000062	Prbc.g_00790	Syaq.g_01690
OG0000063	Prbc.g_00932	Syaq.g_01110
OG0000065	Prbc.g_00466	Syaq.g_01487, Syaq.g_01908
OG0000066	Prbc.g_01618	Syaq.g_01851
OG0000067	Prbc.g_01858	Syaq.g_02340, Syaq.g_02560
OG0000068	Prbc.g_00657	Syaq.g_01763
OG0000070	Prbc.g_01511	Syaq.g_00484
OG0000071	Prbc.g_00566	Syaq.g_00297
OG0000072	Prbc.g_00400	Syaq.g_01397
OG0000073	Prbc.g_01579	Syaq.g_01795
OG0000075	Prbc.g_00236	Syaq.g_00986
OG0000076	Prbc.g_00211	Syaq.g_01028
OG0000077	Prbc.g_00495	Syaq.g_01547
OG0000078	Prbc.g_00330	Syaq.g_01585
OG0000079	Prbc.g_01148	Syaq.g_00721
OG0000081	Prbc.g_01610	Syaq.g_01893
OG0000082	Prbc.g_00891	Syaq.g_01975
OG0000084	Prbc.g_00705	Syaq.g_00367
OG0000085	Prbc.g_00826	Syaq.g_01683
OG0000086	Prbc.g_00485	Syaq.g_01525
OG0000087	Prbc.g_00432	Syaq.g_01438
OG0000088	Prbc.g_00405	Syaq.g_01402
OG0000089	Prbc.g_01268	Syaq.g_00529
OG0000090	Prbc.g_01612	Syaq.g_01838
OG0000091	Prbc.g_01719	Syaq.g_02090
