Orthogroup	Prbc	Syai
OG0000001	Prbc.g_00588	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759	Syai.g_01728
OG0000004	Prbc.g_01381	Syai.g_01994
OG0000004	Prbc.g_00339	Syai.g_01062, Syai.g_00530
OG0000005	Prbc.g_00098	Syai.g_02393
OG0000005	Prbc.g_00788	Syai.g_02356
OG0000006	Prbc.g_02202	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbc.g_01556	Syai.g_00657
OG0000007	Prbc.g_00832	Syai.g_02378
OG0000008	Prbc.g_00893	Syai.g_01956
OG0000008	Prbc.g_00894	Syai.g_01955
OG0000009	Prbc.g_01344	Syai.g_01626
OG0000010	Prbc.g_02115	Syai.g_00864
OG0000011	Prbc.g_00164	Syai.g_01894, Syai.g_00582
OG0000011	Prbc.g_00136, Prbc.g_00616	Syai.g_01952
OG0000013	Prbc.g_01219	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbc.g_01198	Syai.g_00220
OG0000015	Prbc.g_00599	Syai.g_01246, Syai.g_01245
OG0000016	Prbc.g_01083	Syai.g_00014
OG0000016	Prbc.g_00929	Syai.g_01785, Syai.g_01632
OG0000018	Prbc.g_01468	Syai.g_00915
OG0000019	Prbc.g_01836	Syai.g_00304
OG0000020	Prbc.g_00054, Prbc.g_00116	Syai.g_00476
OG0000021	Prbc.g_00924, Prbc.g_02189	Syai.g_00556
OG0000022	Prbc.g_01288	Syai.g_01159
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbc.g_00598, Prbc.g_01755	Syai.g_01951
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Syai.g_02044
OG0000026	Prbc.g_01101	Syai.g_00038
OG0000027	Prbc.g_00072	Syai.g_01128, Syai.g_01654
OG0000028	Prbc.g_00653	Syai.g_00205
OG0000030	Prbc.g_00199	Syai.g_00096, Syai.g_00095
OG0000031	Prbc.g_01228	Syai.g_00197
OG0000032	Prbc.g_00746	Syai.g_00895
OG0000033	Prbc.g_00402	Syai.g_02634
OG0000034	Prbc.g_00575	Syai.g_02192, Syai.g_02604
OG0000035	Prbc.g_00709	Syai.g_00955
OG0000037	Prbc.g_00464	Syai.g_02544, Syai.g_02815
OG0000038	Prbc.g_00995	Syai.g_02780
