Orthogroup	Prbc	Prak
OG0000000	Prbc.g_00609, Prbc.g_00812	Prak.g_01210
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Prak.g_01562
OG0000000	Prbc.g_00618	Prak.g_01209
OG0000000	Prbc.g_02167	Prak.g_01209
OG0000000	Prbc.g_00618	Prak.g_01563
OG0000000	Prbc.g_02167	Prak.g_01563
OG0000000	Prbc.g_00608	Prak.g_01578
OG0000001	Prbc.g_00588	Prak.g_01302
OG0000001	Prbc.g_01530, Prbc.g_00925	Prak.g_00755
OG0000002	Prbc.g_01920	Prak.g_00908
OG0000002	Prbc.g_01475	Prak.g_01202
OG0000002	Prbc.g_01474	Prak.g_01323, Prak.g_01200
OG0000002	Prbc.g_01479, Prbc.g_01473	Prak.g_01207
OG0000002	Prbc.g_01478	Prak.g_01494
OG0000002	Prbc.g_01759	Prak.g_00805
OG0000004	Prbc.g_01381	Prak.g_00826
OG0000004	Prbc.g_00339	Prak.g_00248
OG0000005	Prbc.g_00788	Prak.g_01474
OG0000006	Prbc.g_02202	Prak.g_00258
OG0000007	Prbc.g_01556	Prak.g_00458
OG0000007	Prbc.g_00832	Prak.g_01645
OG0000008	Prbc.g_00893	Prak.g_01544
OG0000008	Prbc.g_00894	Prak.g_01545, Prak.g_01546
OG0000009	Prbc.g_01344	Prak.g_01486
OG0000010	Prbc.g_01533	Prak.g_00435
OG0000010	Prbc.g_02115	Prak.g_00739, Prak.g_01034
OG0000011	Prbc.g_00066	Prak.g_00660
OG0000012	Prbc.g_02155	Prak.g_01506
OG0000013	Prbc.g_01219	Prak.g_00343
OG0000014	Prbc.g_01198	Prak.g_00325
OG0000015	Prbc.g_00599	Prak.g_01584, Prak.g_01630
OG0000016	Prbc.g_01083	Prak.g_00013
OG0000016	Prbc.g_00929	Prak.g_01230
OG0000018	Prbc.g_01887	Prak.g_00873
OG0000018	Prbc.g_01468	Prak.g_01194
OG0000019	Prbc.g_01836	Prak.g_01196
OG0000020	Prbc.g_00116	Prak.g_01527
OG0000021	Prbc.g_00924	Prak.g_01499
OG0000021	Prbc.g_02189	Prak.g_00831
OG0000022	Prbc.g_00166	Prak.g_01482
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prak.g_00721
OG0000024	Prbc.g_00598	Prak.g_01038
OG0000024	Prbc.g_01755	Prak.g_00802
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prak.g_00881
OG0000026	Prbc.g_01101	Prak.g_00032
OG0000027	Prbc.g_00072	Prak.g_01521, Prak.g_01564
OG0000028	Prbc.g_00653	Prak.g_01543
OG0000030	Prbc.g_00199	Prak.g_01853
OG0000031	Prbc.g_01228	Prak.g_01350
OG0000032	Prbc.g_00746	Prak.g_01430
OG0000033	Prbc.g_00402	Prak.g_00181, Prak.g_01357
OG0000034	Prbc.g_00575	Prak.g_01288
OG0000035	Prbc.g_00709	Prak.g_01391
OG0000037	Prbc.g_00464	Prak.g_00115
OG0000038	Prbc.g_00995	Prak.g_01893
OG0000039	Prbc.g_01768	Prak.g_00814
OG0000041	Prbc.g_00877	Prak.g_01692
OG0000042	Prbc.g_00203	Prak.g_01850
OG0000043	Prbc.g_00135, Prbc.g_01953	Prak.g_01193
OG0000045	Prbc.g_02137	Prak.g_01216
OG0000046	Prbc.g_01220	Prak.g_00344
OG0000047	Prbc.g_01273	Prak.g_00385
OG0000048	Prbc.g_01165	Prak.g_01264
OG0000051	Prbc.g_00088	Prak.g_00667
OG0000052	Prbc.g_00518, Prbc.g_00517	Prak.g_00058
OG0000053	Prbc.g_00728	Prak.g_01412, Prak.g_01590
OG0000054	Prbc.g_01683	Prak.g_00568
OG0000055	Prbc.g_00907	Prak.g_01619
OG0000057	Prbc.g_00055, Prbc.g_01780	Prak.g_00829
OG0000058	Prbc.g_01928	Prak.g_01351
OG0000059	Prbc.g_00958	Prak.g_01732
OG0000061	Prbc.g_01446	Prak.g_01172
OG0000062	Prbc.g_00790	Prak.g_01476
OG0000063	Prbc.g_00932	Prak.g_01530
OG0000065	Prbc.g_00466	Prak.g_00113
OG0000066	Prbc.g_01618	Prak.g_00498, Prak.g_01557
OG0000067	Prbc.g_01858	Prak.g_00845
OG0000068	Prbc.g_00657	Prak.g_01329
OG0000069	Prbc.g_00752	Prak.g_00416
OG0000070	Prbc.g_01511	Prak.g_00412
OG0000071	Prbc.g_00566	Prak.g_01277
OG0000072	Prbc.g_00400	Prak.g_00183
OG0000073	Prbc.g_01579	Prak.g_00461
OG0000074	Prbc.g_01960	Prak.g_00750
OG0000074	Prbc.g_02148	Prak.g_00713
OG0000075	Prbc.g_00236	Prak.g_01816
OG0000076	Prbc.g_00211	Prak.g_01842
OG0000077	Prbc.g_00495	Prak.g_00083
OG0000078	Prbc.g_00330	Prak.g_00256
OG0000079	Prbc.g_01148	Prak.g_00269
OG0000080	Prbc.g_00679	Prak.g_01363, Prak.g_01365
OG0000081	Prbc.g_01610	Prak.g_00490
OG0000082	Prbc.g_00891	Prak.g_01634
OG0000084	Prbc.g_00705	Prak.g_01388
OG0000085	Prbc.g_00826	Prak.g_01516, Prak.g_01637
OG0000086	Prbc.g_00485	Prak.g_00092
OG0000087	Prbc.g_00432	Prak.g_00147
OG0000088	Prbc.g_00405	Prak.g_00178
OG0000089	Prbc.g_01268	Prak.g_00379
OG0000090	Prbc.g_01612	Prak.g_00492
OG0000091	Prbc.g_01719	Prak.g_01100
OG0000093	Prbc.g_01843	Prak.g_01071
OG0000094	Prbc.g_01935	Prak.g_01022
OG0000095	Prbc.g_02113	Prak.g_00920
OG0000096	Prbc.g_01323	Prak.g_00702
OG0000097	Prbc.g_01400	Prak.g_01126
OG0000098	Prbc.g_00585	Prak.g_01305
OG0000099	Prbc.g_01229	Prak.g_01352
OG0000100	Prbc.g_00785	Prak.g_01470
OG0000101	Prbc.g_00284	Prak.g_01780
OG0000102	Prbc.g_00206	Prak.g_01847
OG0000103	Prbc.g_01053	Prak.g_01932
OG0000104	Prbc.g_01065	Prak.g_01941
OG0000105	Prbc.g_01167	Prak.g_00292
OG0000106	Prbc.g_00134, Prbc.g_00641	Prak.g_00687
OG0000107	Prbc.g_00934	Prak.g_01709
OG0000108	Prbc.g_01540	Prak.g_00441
OG0000109	Prbc.g_01553	Prak.g_00455
OG0000110	Prbc.g_01654	Prak.g_00535
OG0000111	Prbc.g_01781	Prak.g_00830
OG0000112	Prbc.g_02028	Prak.g_00608
OG0000113	Prbc.g_00153	Prak.g_00868
OG0000114	Prbc.g_01977	Prak.g_00770
