Orthogroup	Prah	Prax
OG0000000	Prah.g_01348	Prax.g_01608, Prax.g_00496
OG0000000	Prah.g_01152, Prah.g_01154, Prah.g_01346	Prax.g_00259, Prax.g_01609, Prax.g_01920
OG0000001	Prah.g_00562	Prax.g_01870
OG0000001	Prah.g_01226	Prax.g_00964
OG0000002	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896	Prax.g_01878
OG0000004	Prah.g_01347	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Prah.g_01175, Prah.g_00215	Prax.g_00437
OG0000008	Prah.g_01546	Prax.g_00704
OG0000008	Prah.g_01676	Prax.g_01559
OG0000010	Prah.g_02086	Prax.g_00393, Prax.g_00926
OG0000011	Prah.g_01972	Prax.g_00798, Prax.g_00425
OG0000012	Prah.g_02122	Prax.g_00173
OG0000013	Prah.g_00432, Prah.g_01895	Prax.g_01617
OG0000015	Prah.g_00353	Prax.g_00843
OG0000016	Prah.g_01155, Prah.g_00576	Prax.g_00523
OG0000018	Prah.g_01405, Prah.g_01397	Prax.g_00057
OG0000020	Prah.g_01007, Prah.g_01048	Prax.g_01867
OG0000022	Prah.g_01767, Prah.g_00475	Prax.g_01972
OG0000023	Prah.g_01410	Prax.g_01587, Prax.g_00808
OG0000024	Prah.g_00998	Prax.g_01931
OG0000025	Prah.g_01043	Prax.g_00432
OG0000027	Prah.g_00969	Prax.g_00970
OG0000029	Prah.g_00942	Prax.g_00392
OG0000031	Prah.g_01256, Prah.g_00135, Prah.g_02545	Prax.g_01401
OG0000032	Prah.g_00042	Prax.g_00280
OG0000034	Prah.g_00408	Prax.g_01733, Prax.g_01728
OG0000037	Prah.g_01166	Prax.g_01927
OG0000038	Prah.g_02248	Prax.g_01831
OG0000040	Prah.g_01084	Prax.g_01930, Prax.g_00460, Prax.g_00776
OG0000041	Prah.g_00524	Prax.g_00082
OG0000045	Prah.g_01427	Prax.g_00045
OG0000046	Prah.g_01209, Prah.g_00170	Prax.g_00415
OG0000047	Prah.g_01322	Prax.g_00200
OG0000049	Prah.g_02195	Prax.g_01823
OG0000050	Prah.g_00957, Prah.g_02304	Prax.g_01052
OG0000051	Prah.g_00688	Prax.g_00813
OG0000053	Prah.g_00958, Prah.g_00887	Prax.g_00485
OG0000054	Prah.g_01666	Prax.g_01566
OG0000055	Prah.g_00150	Prax.g_01394
OG0000056	Prah.g_00038	Prax.g_00282, Prax.g_00458
OG0000057	Prah.g_02295	Prax.g_01061
OG0000058	Prah.g_01660	Prax.g_00803
