Orthogroup	Prah	Pral
OG0000000	Prah.g_01348	Pral.g_00037
OG0000000	Prah.g_01152, Prah.g_01154, Prah.g_01346	Pral.g_01333, Pral.g_00038
OG0000001	Prah.g_00562	Pral.g_01549, Pral.g_01554
OG0000001	Prah.g_01226	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896	Pral.g_01236
OG0000004	Prah.g_01347	Pral.g_00040, Pral.g_01332
OG0000005	Prah.g_01175, Prah.g_00215	Pral.g_01898
OG0000008	Prah.g_01546	Pral.g_00593
OG0000008	Prah.g_01676	Pral.g_00107
OG0000009	Prah.g_01082, Prah.g_00543, Prah.g_00346, Prah.g_00341, Prah.g_00342	Pral.g_01041
OG0000010	Prah.g_02086	Pral.g_01344, Pral.g_00790
OG0000011	Prah.g_01972	Pral.g_01890
OG0000012	Prah.g_02122	Pral.g_00768
OG0000013	Prah.g_00432, Prah.g_01895	Pral.g_01065, Pral.g_01163
OG0000014	Prah.g_02171	Pral.g_00732
OG0000015	Prah.g_00321	Pral.g_00672
OG0000018	Prah.g_01405	Pral.g_00491
OG0000018	Prah.g_01397	Pral.g_00484
OG0000020	Prah.g_01007	Pral.g_01861
OG0000020	Prah.g_01048	Pral.g_01063
OG0000021	Prah.g_00381	Pral.g_00066, Pral.g_01139
OG0000022	Prah.g_01767, Prah.g_00475	Pral.g_00797
OG0000023	Prah.g_01410	Pral.g_01738
OG0000024	Prah.g_00998	Pral.g_00046
OG0000025	Prah.g_01043	Pral.g_01895
OG0000027	Prah.g_00969	Pral.g_00021
OG0000028	Prah.g_00970	Pral.g_00020
OG0000029	Prah.g_00942	Pral.g_00082
OG0000031	Prah.g_01256, Prah.g_00135, Prah.g_02545	Pral.g_00313
OG0000032	Prah.g_00042	Pral.g_00435
OG0000034	Prah.g_00408	Pral.g_01165, Pral.g_01161
OG0000037	Prah.g_01166	Pral.g_00095
OG0000038	Prah.g_00091	Pral.g_01193
OG0000041	Prah.g_00524	Pral.g_00015
OG0000042	Prah.g_02498	Pral.g_00358
OG0000045	Prah.g_01427	Pral.g_00057
OG0000046	Prah.g_01209, Prah.g_00170	Pral.g_00044
OG0000047	Prah.g_01322	Pral.g_01367
OG0000048	Prah.g_02219	Pral.g_00987
OG0000049	Prah.g_02195	Pral.g_01202
OG0000050	Prah.g_00957, Prah.g_02304	Pral.g_00878
OG0000051	Prah.g_00688	Pral.g_01687
OG0000053	Prah.g_00958, Prah.g_00887	Pral.g_01729
OG0000054	Prah.g_01666	Pral.g_00099
OG0000055	Prah.g_00150	Pral.g_00305
OG0000056	Prah.g_00038	Pral.g_01012
OG0000057	Prah.g_02295	Pral.g_00887
OG0000058	Prah.g_01660	Pral.g_01859
OG0000059	Prah.g_01485	Pral.g_00551
OG0000060	Prah.g_00873	Pral.g_01716
OG0000061	Prah.g_01812	Pral.g_00043
OG0000062	Prah.g_00641	Pral.g_01511
