Orthogroup	Prah	Prab
OG0000000	Prah.g_01348	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000000	Prah.g_01152, Prah.g_01154, Prah.g_01346	Prab.g_00918, Prab.g_01620, Prab.g_01597, Prab.g_01278, Prab.g_01606
OG0000001	Prah.g_01226	Prab.g_00683
OG0000004	Prah.g_01347	Prab.g_01308, Prab.g_00917, Prab.g_01619
OG0000005	Prah.g_01175, Prah.g_00215	Prab.g_00747
OG0000008	Prah.g_01546	Prab.g_00501
OG0000008	Prah.g_01676	Prab.g_01669
OG0000010	Prah.g_02086	Prab.g_00820, Prab.g_00239
OG0000011	Prah.g_01972	Prab.g_00773
OG0000012	Prah.g_02122	Prab.g_00411
OG0000013	Prah.g_00432, Prah.g_01895	Prab.g_01584, Prab.g_00096
OG0000014	Prah.g_02171	Prab.g_01445, Prab.g_01444
OG0000015	Prah.g_00353	Prab.g_00318
OG0000016	Prah.g_01155, Prah.g_00576	Prab.g_00789
OG0000018	Prah.g_01405, Prah.g_01397	Prab.g_00602
OG0000020	Prah.g_01007, Prah.g_01048	Prab.g_01356
OG0000021	Prah.g_00381	Prab.g_01486
OG0000022	Prah.g_01767, Prah.g_00475	Prab.g_00231
OG0000023	Prah.g_01410	Prab.g_00354
OG0000025	Prah.g_01043	Prab.g_00763
OG0000027	Prah.g_00969	Prab.g_00677
OG0000028	Prah.g_00970	Prab.g_01557
OG0000029	Prah.g_00942	Prab.g_00821
OG0000031	Prah.g_01256, Prah.g_00135, Prah.g_02545	Prab.g_01864
OG0000032	Prah.g_00042	Prab.g_00033
OG0000034	Prah.g_00408	Prab.g_01466
OG0000037	Prah.g_01166	Prab.g_01304, Prab.g_01643
OG0000038	Prah.g_00091	Prab.g_01446
OG0000039	Prah.g_01270	Prab.g_01579
OG0000039	Prah.g_00015	Prab.g_00013
OG0000040	Prah.g_01084	Prab.g_01624
OG0000041	Prah.g_00524	Prab.g_00627
OG0000045	Prah.g_01427	Prab.g_00589
OG0000046	Prah.g_01209, Prah.g_00170	Prab.g_00782
OG0000047	Prah.g_01322, Prah.g_00104	Prab.g_01219
OG0000048	Prah.g_02219	Prab.g_01423
OG0000049	Prah.g_02195	Prab.g_01393
OG0000050	Prah.g_00957, Prah.g_02304	Prab.g_00157
OG0000051	Prah.g_00688	Prab.g_00348
OG0000053	Prah.g_00958, Prah.g_00887	Prab.g_00723
OG0000054	Prah.g_01666	Prab.g_01662
OG0000055	Prah.g_00150	Prab.g_01857
OG0000056	Prah.g_00038	Prab.g_00031, Prab.g_01629
OG0000057	Prah.g_02295	Prab.g_00148
OG0000058	Prah.g_01660	Prab.g_00359
OG0000059	Prah.g_01485	Prab.g_00543
OG0000060	Prah.g_00873	Prab.g_00736
OG0000061	Prah.g_01812	Prab.g_00775, Prab.g_00803
OG0000062	Prah.g_00641	Prab.g_00862
OG0000063	Prah.g_02425	Prab.g_01171, Prab.g_01634
OG0000065	Prah.g_01778	Prab.g_00228
OG0000066	Prah.g_00312	Prab.g_00479
OG0000067	Prah.g_01027	Prab.g_00703
OG0000070	Prah.g_00915	Prab.g_01299, Prab.g_00929
OG0000071	Prah.g_01257	Prab.g_00717
OG0000072	Prah.g_01364	Prab.g_01637, Prab.g_01326
OG0000074	Prah.g_02192	Prab.g_01447
OG0000075	Prah.g_01995	Prab.g_01802
OG0000077	Prah.g_00013	Prab.g_00011
