Orthogroup	Prah	Prbf
OG0000000	Prah.g_01348	Prbf.g_00776
OG0000000	Prah.g_01152, Prah.g_01154, Prah.g_01346	Prbf.g_00760, Prbf.g_00775, Prbf.g_00881
OG0000001	Prah.g_00562	Prbf.g_01182, Prbf.g_01177
OG0000001	Prah.g_01226	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000002	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896	Prbf.g_00068
OG0000004	Prah.g_01347	Prbf.g_00880
OG0000005	Prah.g_01175, Prah.g_00215	Prbf.g_00052
OG0000008	Prah.g_01546	Prbf.g_01780
OG0000008	Prah.g_01676	Prbf.g_00693
OG0000010	Prah.g_02086	Prbf.g_00894, Prbf.g_01588
OG0000011	Prah.g_01972	Prbf.g_00603, Prbf.g_00762, Prbf.g_00804
OG0000012	Prah.g_02122	Prbf.g_00039
OG0000013	Prah.g_00432, Prah.g_01895	Prbf.g_00252
OG0000014	Prah.g_02171	Prbf.g_01647
OG0000015	Prah.g_00321	Prbf.g_01707
OG0000016	Prah.g_01155, Prah.g_00576	Prbf.g_00708
OG0000018	Prah.g_01405	Prbf.g_01880
OG0000018	Prah.g_01397	Prbf.g_01887
OG0000020	Prah.g_01007	Prbf.g_00864
OG0000020	Prah.g_01048	Prbf.g_00254
OG0000021	Prah.g_00381	Prbf.g_00178, Prbf.g_00748
OG0000022	Prah.g_01767, Prah.g_00475	Prbf.g_01580
OG0000023	Prah.g_01410	Prbf.g_01259
OG0000024	Prah.g_00998	Prbf.g_00816
OG0000025	Prah.g_01043	Prbf.g_01052, Prbf.g_01288
OG0000027	Prah.g_00969	Prbf.g_00792
OG0000028	Prah.g_00970	Prbf.g_00793
OG0000029	Prah.g_00942	Prbf.g_00719
OG0000031	Prah.g_01256, Prah.g_00135, Prah.g_02545	Prbf.g_00487
OG0000032	Prah.g_00042	Prbf.g_00808
OG0000034	Prah.g_00408	Prbf.g_00157
OG0000037	Prah.g_01166	Prbf.g_00340
OG0000038	Prah.g_00091	Prbf.g_00116
OG0000039	Prah.g_01270	Prbf.g_00860
OG0000041	Prah.g_00524	Prbf.g_01905, Prbf.g_00272
OG0000042	Prah.g_02498	Prbf.g_00443
OG0000045	Prah.g_01427	Prbf.g_00704, Prbf.g_01867
OG0000046	Prah.g_01209	Prbf.g_00248
OG0000047	Prah.g_01322	Prbf.g_00918
OG0000048	Prah.g_02219	Prbf.g_01380
OG0000049	Prah.g_02195	Prbf.g_00117
OG0000050	Prah.g_00957, Prah.g_02304	Prbf.g_01500
OG0000051	Prah.g_00688	Prbf.g_00287
OG0000053	Prah.g_00958, Prah.g_00887	Prbf.g_01253
OG0000054	Prah.g_01666	Prbf.g_00822, Prbf.g_00701
OG0000055	Prah.g_00150	Prbf.g_00496
OG0000056	Prah.g_00038	Prbf.g_01354
OG0000057	Prah.g_02295	Prbf.g_01491
OG0000058	Prah.g_01660	Prbf.g_00320
OG0000059	Prah.g_01485	Prbf.g_01820
OG0000060	Prah.g_00873	Prbf.g_01040
OG0000061	Prah.g_01812	Prbf.g_01922
OG0000062	Prah.g_00641	Prbf.g_01222
OG0000063	Prah.g_02425	Prbf.g_00862
OG0000065	Prah.g_01778	Prbf.g_01575
OG0000066	Prah.g_00312	Prbf.g_01758
OG0000067	Prah.g_01027	Prbf.g_01261
OG0000070	Prah.g_00915	Prbf.g_01170
OG0000071	Prah.g_01257	Prbf.g_00945
OG0000072	Prah.g_01364	Prbf.g_00026
OG0000074	Prah.g_02192	Prbf.g_00115
OG0000075	Prah.g_01995	Prbf.g_00558
OG0000076	Prah.g_00358	Prbf.g_00196
OG0000077	Prah.g_00013	Prbf.g_00382
OG0000078	Prah.g_02187	Prbf.g_01661
OG0000079	Prah.g_02538	Prbf.g_00044
OG0000080	Prah.g_00445	Prbf.g_01018
OG0000081	Prah.g_00974	Prbf.g_01271
OG0000082	Prah.g_00660	Prbf.g_01238
OG0000083	Prah.g_01190	Prbf.g_00897
OG0000084	Prah.g_00796	Prbf.g_01117
OG0000085	Prah.g_02597	Prbf.g_00873
OG0000086	Prah.g_02524	Prbf.g_00788
OG0000090	Prah.g_02191	Prbf.g_00118
OG0000091	Prah.g_00398	Prbf.g_00165
OG0000092	Prah.g_01609	Prbf.g_00346
OG0000093	Prah.g_02043	Prbf.g_00606
OG0000094	Prah.g_01999	Prbf.g_00562
OG0000095	Prah.g_02230	Prbf.g_00524
OG0000096	Prah.g_00052	Prbf.g_00451
OG0000097	Prah.g_02533	Prbf.g_00351
OG0000098	Prah.g_00004	Prbf.g_00390
OG0000099	Prah.g_00029	Prbf.g_01345
OG0000101	Prah.g_02458	Prbf.g_01374
OG0000102	Prah.g_00194	Prbf.g_01443
OG0000103	Prah.g_00176, Prah.g_00180	Prbf.g_01452
OG0000104	Prah.g_02268	Prbf.g_01469
OG0000105	Prah.g_02308	Prbf.g_01504
OG0000106	Prah.g_02324	Prbf.g_01518
OG0000107	Prah.g_02352	Prbf.g_01527
OG0000108	Prah.g_02362	Prbf.g_01537
OG0000109	Prah.g_01773	Prbf.g_01578
OG0000110	Prah.g_02089	Prbf.g_01590
OG0000111	Prah.g_02126	Prbf.g_01614
OG0000112	Prah.g_02139	Prbf.g_01625
OG0000113	Prah.g_02155	Prbf.g_01638
OG0000114	Prah.g_02207	Prbf.g_01664
OG0000115	Prah.g_00311	Prbf.g_01757
OG0000116	Prah.g_00313, Prah.g_00314	Prbf.g_01759
OG0000117	Prah.g_01566	Prbf.g_01763
OG0000118	Prah.g_01544	Prbf.g_01783
OG0000119	Prah.g_00108, Prah.g_01503	Prbf.g_01813
OG0000120	Prah.g_01501	Prbf.g_01814
OG0000121	Prah.g_01476	Prbf.g_01824
OG0000122	Prah.g_01465	Prbf.g_01833
OG0000123	Prah.g_01428	Prbf.g_01865
OG0000124	Prah.g_00474	Prbf.g_00999
OG0000125	Prah.g_00473	Prbf.g_01000
OG0000126	Prah.g_00472	Prbf.g_01001
OG0000127	Prah.g_01758	Prbf.g_01276
OG0000128	Prah.g_00885	Prbf.g_01251
OG0000129	Prah.g_00752	Prbf.g_01050
OG0000130	Prah.g_01231, Prah.g_01233	Prbf.g_01153
OG0000131	Prah.g_01823, Prah.g_00669	Prbf.g_01247
OG0000132	Prah.g_00605	Prbf.g_01210
OG0000133	Prah.g_00699	Prbf.g_01303
OG0000134	Prah.g_00692	Prbf.g_01019
OG0000135	Prah.g_00805	Prbf.g_01113
OG0000136	Prah.g_00912	Prbf.g_01167
OG0000137	Prah.g_02526	Prbf.g_00785
OG0000138	Prah.g_01328	Prbf.g_00912
OG0000139	Prah.g_01315	Prbf.g_00924
OG0000140	Prah.g_01237, Prah.g_01238	Prbf.g_01915
OG0000141	Prah.g_00905	Prbf.g_00253
OG0000142	Prah.g_01378	Prbf.g_00013
OG0000143	Prah.g_01576	Prbf.g_00095
OG0000144	Prah.g_00424	Prbf.g_00145
OG0000145	Prah.g_00407	Prbf.g_00158
OG0000146	Prah.g_00361	Prbf.g_00194
OG0000147	Prah.g_01653	Prbf.g_00241
OG0000148	Prah.g_01654	Prbf.g_00242
OG0000149	Prah.g_01672	Prbf.g_00696
OG0000151	Prah.g_01728	Prbf.g_00654
OG0000152	Prah.g_01762	Prbf.g_00634
OG0000153	Prah.g_02038	Prbf.g_00600
OG0000154	Prah.g_02001	Prbf.g_00564
OG0000155	Prah.g_01981	Prbf.g_00545
OG0000156	Prah.g_02244	Prbf.g_00512
OG0000157	Prah.g_00089	Prbf.g_00477
OG0000158	Prah.g_02578	Prbf.g_00412
OG0000160	Prah.g_00002	Prbf.g_00392
OG0000161	Prah.g_00003	Prbf.g_00391
OG0000162	Prah.g_00005	Prbf.g_00389
OG0000163	Prah.g_00006	Prbf.g_00388
OG0000164	Prah.g_00007	Prbf.g_00387
OG0000165	Prah.g_00008	Prbf.g_00386
OG0000166	Prah.g_00010	Prbf.g_00385
OG0000167	Prah.g_00011	Prbf.g_00384
OG0000168	Prah.g_00012	Prbf.g_00383
OG0000169	Prah.g_00014	Prbf.g_00381
OG0000170	Prah.g_00016	Prbf.g_01336
OG0000171	Prah.g_00017	Prbf.g_01337
OG0000172	Prah.g_00022	Prbf.g_01338
OG0000173	Prah.g_00023	Prbf.g_01339
OG0000174	Prah.g_00024	Prbf.g_01340
OG0000175	Prah.g_00025	Prbf.g_01341
OG0000176	Prah.g_00026	Prbf.g_01342
OG0000177	Prah.g_00027	Prbf.g_01343
OG0000178	Prah.g_00028	Prbf.g_01344
OG0000179	Prah.g_00030	Prbf.g_01346
OG0000180	Prah.g_00031	Prbf.g_01347
OG0000181	Prah.g_00032	Prbf.g_01348
OG0000182	Prah.g_00033	Prbf.g_01349
OG0000183	Prah.g_00034	Prbf.g_01350
OG0000184	Prah.g_00036	Prbf.g_01352
OG0000185	Prah.g_00041	Prbf.g_01355
OG0000186	Prah.g_00046	Prbf.g_01358
OG0000187	Prah.g_00047	Prbf.g_01359
OG0000188	Prah.g_00048	Prbf.g_01360
OG0000189	Prah.g_00049	Prbf.g_01362
OG0000190	Prah.g_00051	Prbf.g_01364
OG0000191	Prah.g_02488	Prbf.g_01366
OG0000192	Prah.g_02486	Prbf.g_01367
OG0000193	Prah.g_02485	Prbf.g_01368
OG0000194	Prah.g_02478	Prbf.g_01371
OG0000195	Prah.g_02471	Prbf.g_01372
OG0000196	Prah.g_02466	Prbf.g_01373
OG0000197	Prah.g_02457	Prbf.g_01375
OG0000198	Prah.g_02454	Prbf.g_01376
OG0000199	Prah.g_02453	Prbf.g_01378
OG0000200	Prah.g_01830	Prbf.g_01390
OG0000201	Prah.g_01833	Prbf.g_01391
OG0000202	Prah.g_01834	Prbf.g_01392
OG0000203	Prah.g_01838	Prbf.g_01396
OG0000204	Prah.g_01839	Prbf.g_01397
OG0000205	Prah.g_01843	Prbf.g_01400
OG0000206	Prah.g_01845	Prbf.g_01402
OG0000207	Prah.g_01849	Prbf.g_01404
OG0000208	Prah.g_01850	Prbf.g_01405
OG0000209	Prah.g_01211	Prbf.g_00291
OG0000210	Prah.g_01851	Prbf.g_01406
OG0000211	Prah.g_01859	Prbf.g_01407
OG0000212	Prah.g_01860	Prbf.g_01408
OG0000213	Prah.g_01861	Prbf.g_01409
OG0000214	Prah.g_01862	Prbf.g_01410
OG0000215	Prah.g_01863	Prbf.g_01411
OG0000216	Prah.g_01864	Prbf.g_01412
OG0000217	Prah.g_01866	Prbf.g_01414
OG0000218	Prah.g_01867	Prbf.g_01415
OG0000219	Prah.g_01873	Prbf.g_01416
OG0000220	Prah.g_01877	Prbf.g_01417
OG0000221	Prah.g_01882	Prbf.g_01420
OG0000222	Prah.g_01883	Prbf.g_01421
OG0000223	Prah.g_01884	Prbf.g_01422
OG0000224	Prah.g_01886	Prbf.g_01424
OG0000225	Prah.g_01887	Prbf.g_01425
OG0000226	Prah.g_01888	Prbf.g_01426
OG0000227	Prah.g_01890	Prbf.g_01428
OG0000228	Prah.g_01891	Prbf.g_01429
OG0000229	Prah.g_01892	Prbf.g_01430
OG0000230	Prah.g_01893	Prbf.g_01431
OG0000231	Prah.g_01894	Prbf.g_01432
OG0000232	Prah.g_01896	Prbf.g_01433
OG0000233	Prah.g_01897	Prbf.g_01435
OG0000234	Prah.g_01898	Prbf.g_01436
OG0000235	Prah.g_01901	Prbf.g_01437
OG0000236	Prah.g_01906	Prbf.g_01440
OG0000237	Prah.g_01908	Prbf.g_01441
OG0000238	Prah.g_00195	Prbf.g_01442
OG0000239	Prah.g_00193	Prbf.g_01444
OG0000240	Prah.g_00191	Prbf.g_01445
OG0000241	Prah.g_00189	Prbf.g_01446
OG0000242	Prah.g_00188	Prbf.g_01447
OG0000243	Prah.g_00183	Prbf.g_01450
OG0000244	Prah.g_00175	Prbf.g_01453
OG0000245	Prah.g_00174	Prbf.g_01454
OG0000246	Prah.g_00173	Prbf.g_01455
OG0000247	Prah.g_02252	Prbf.g_01457
OG0000248	Prah.g_02254	Prbf.g_01459
OG0000249	Prah.g_02257	Prbf.g_01461
OG0000250	Prah.g_02259	Prbf.g_01462
OG0000251	Prah.g_02260	Prbf.g_01463
OG0000252	Prah.g_02261	Prbf.g_01464
OG0000253	Prah.g_02262	Prbf.g_01465
OG0000254	Prah.g_02264	Prbf.g_01055
OG0000255	Prah.g_02265	Prbf.g_01467
OG0000256	Prah.g_02269	Prbf.g_01470
OG0000257	Prah.g_02280	Prbf.g_01472
OG0000258	Prah.g_02282	Prbf.g_01478
OG0000259	Prah.g_02283	Prbf.g_01479
OG0000260	Prah.g_02284	Prbf.g_01480
OG0000261	Prah.g_02285	Prbf.g_01481
OG0000262	Prah.g_02286	Prbf.g_01482
OG0000263	Prah.g_02288	Prbf.g_01484
OG0000264	Prah.g_02289	Prbf.g_01485
OG0000265	Prah.g_02290	Prbf.g_01486
OG0000266	Prah.g_02291	Prbf.g_01487
OG0000267	Prah.g_02292	Prbf.g_01488
OG0000268	Prah.g_02294	Prbf.g_01490
OG0000269	Prah.g_02296	Prbf.g_01492
OG0000270	Prah.g_02297	Prbf.g_01493
OG0000271	Prah.g_02298	Prbf.g_01494
OG0000272	Prah.g_02299	Prbf.g_01495
OG0000273	Prah.g_02300	Prbf.g_01496
OG0000274	Prah.g_02301	Prbf.g_01497
OG0000275	Prah.g_02302	Prbf.g_01498
OG0000276	Prah.g_02303	Prbf.g_01499
OG0000277	Prah.g_02305	Prbf.g_01501
OG0000278	Prah.g_02306	Prbf.g_01502
OG0000279	Prah.g_02307	Prbf.g_01503
OG0000280	Prah.g_02309	Prbf.g_01505
OG0000281	Prah.g_02310	Prbf.g_01507
OG0000282	Prah.g_02311	Prbf.g_01508
OG0000283	Prah.g_02312	Prbf.g_01509
OG0000284	Prah.g_02313	Prbf.g_01510
OG0000285	Prah.g_02314	Prbf.g_01511
OG0000286	Prah.g_02315	Prbf.g_01512
OG0000287	Prah.g_02316	Prbf.g_01513
OG0000288	Prah.g_00709	Prbf.g_01515
OG0000289	Prah.g_02321	Prbf.g_01516
OG0000290	Prah.g_02323	Prbf.g_01517
OG0000291	Prah.g_02334	Prbf.g_01519
OG0000292	Prah.g_02336	Prbf.g_01521
OG0000293	Prah.g_02339	Prbf.g_01522
OG0000294	Prah.g_02341	Prbf.g_01523
