Orthogroup	Pran	Prbi
OG0000000	Pran.g_01500	Prbi.g_00681
OG0000001	Pran.g_00602	Prbi.g_01268
OG0000001	Pran.g_00593	Prbi.g_01370
OG0000003	Pran.g_00894	Prbi.g_01371
OG0000004	Pran.g_00576	Prbi.g_00775
OG0000004	Pran.g_01436	Prbi.g_00782
OG0000005	Pran.g_00601	Prbi.g_01709
OG0000006	Pran.g_01681	Prbi.g_00500
OG0000006	Pran.g_00970	Prbi.g_01787
OG0000007	Pran.g_01506	Prbi.g_00675
OG0000008	Pran.g_01811	Prbi.g_00408
OG0000008	Pran.g_00526	Prbi.g_01331
OG0000009	Pran.g_01363	Prbi.g_00827
OG0000009	Pran.g_01943	Prbi.g_00273
OG0000010	Pran.g_00114	Prbi.g_01156
OG0000011	Pran.g_01864	Prbi.g_00354
OG0000012	Pran.g_01580	Prbi.g_00600
OG0000013	Pran.g_01394	Prbi.g_01304
OG0000014	Pran.g_00583	Prbi.g_01374
OG0000015	Pran.g_01813	Prbi.g_00406
OG0000016	Pran.g_00845	Prbi.g_01435
OG0000017	Pran.g_00713	Prbi.g_01611
OG0000018	Pran.g_01951	Prbi.g_00265
OG0000019	Pran.g_01829	Prbi.g_01742, Prbi.g_00389
OG0000020	Pran.g_01820	Prbi.g_00398
OG0000021	Pran.g_01361	Prbi.g_00829
OG0000022	Pran.g_00582	Prbi.g_01373
OG0000023	Pran.g_00615	Prbi.g_01701
OG0000024	Pran.g_01888	Prbi.g_00330
OG0000025	Pran.g_00149	Prbi.g_01122
OG0000026	Pran.g_00391	Prbi.g_00033
OG0000027	Pran.g_01464	Prbi.g_01677, Prbi.g_00778
OG0000028	Pran.g_00733	Prbi.g_01589, Prbi.g_01591
OG0000029	Pran.g_00614	Prbi.g_01702
OG0000031	Pran.g_00944	Prbi.g_01281
OG0000031	Pran.g_00898	Prbi.g_01364
OG0000034	Pran.g_00777	Prbi.g_01478
OG0000035	Pran.g_00415	Prbi.g_00936
OG0000036	Pran.g_01593	Prbi.g_00587
OG0000037	Pran.g_01555	Prbi.g_00625
OG0000038	Pran.g_01401	Prbi.g_00805
OG0000039	Pran.g_00266	Prbi.g_00190
OG0000040	Pran.g_01834	Prbi.g_00384
OG0000042	Pran.g_01460	Prbi.g_00745
OG0000043	Pran.g_01358	Prbi.g_00832
OG0000044	Pran.g_00060	Prbi.g_01207
OG0000045	Pran.g_00807	Prbi.g_01461
OG0000046	Pran.g_00963	Prbi.g_01780
OG0000047	Pran.g_01160	Prbi.g_01994
OG0000048	Pran.g_01167	Prbi.g_02001
OG0000050	Pran.g_00393	Prbi.g_00031
OG0000051	Pran.g_00275	Prbi.g_00181
OG0000052	Pran.g_01824	Prbi.g_00394
OG0000053	Pran.g_01639	Prbi.g_00542
OG0000054	Pran.g_01408	Prbi.g_00799
OG0000055	Pran.g_01321	Prbi.g_00869
OG0000056	Pran.g_00108	Prbi.g_01163
OG0000057	Pran.g_00195	Prbi.g_00261, Prbi.g_01748
OG0000058	Pran.g_01703	Prbi.g_00478
OG0000059	Pran.g_01480	Prbi.g_00702
OG0000060	Pran.g_00905	Prbi.g_00780
OG0000061	Pran.g_00095	Prbi.g_01172
OG0000061	Pran.g_00507	Prbi.g_01029
OG0000062	Pran.g_00093	Prbi.g_01174
OG0000063	Pran.g_01466	Prbi.g_01330
OG0000064	Pran.g_01783	Prbi.g_01749
OG0000064	Pran.g_01463	Prbi.g_01740
OG0000065	Pran.g_00938, Pran.g_00876	Prbi.g_01391
OG0000066	Pran.g_00752	Prbi.g_01460
OG0000068	Pran.g_01105	Prbi.g_01938
OG0000071	Pran.g_01268	Prbi.g_00011
OG0000072	Pran.g_01872	Prbi.g_00346
OG0000073	Pran.g_01509	Prbi.g_00672
OG0000074	Pran.g_01487	Prbi.g_00694
OG0000075	Pran.g_01336	Prbi.g_00854
OG0000076	Pran.g_00568, Pran.g_00903	Prbi.g_01086
OG0000078	Pran.g_00806	Prbi.g_01462
OG0000079	Pran.g_00655	Prbi.g_01482, Prbi.g_01668
OG0000080	Pran.g_00912, Pran.g_00575	Prbi.g_01725
OG0000081	Pran.g_01135	Prbi.g_01968
OG0000082	Pran.g_01222	Prbi.g_02069
OG0000083	Pran.g_01260	Prbi.g_00003
OG0000084	Pran.g_01263	Prbi.g_00006
OG0000085	Pran.g_00401	Prbi.g_00023
OG0000086	Pran.g_00386	Prbi.g_00048
OG0000087	Pran.g_00376	Prbi.g_00060
OG0000088	Pran.g_00320	Prbi.g_00120
OG0000089	Pran.g_00312	Prbi.g_00129
OG0000090	Pran.g_00295	Prbi.g_00147
OG0000091	Pran.g_00263	Prbi.g_00193
OG0000092	Pran.g_00262	Prbi.g_00194
OG0000093	Pran.g_00248	Prbi.g_00208
OG0000094	Pran.g_00230	Prbi.g_00226
OG0000095	Pran.g_00225	Prbi.g_00231
OG0000096	Pran.g_01941	Prbi.g_00275
OG0000097	Pran.g_01920	Prbi.g_00298
OG0000098	Pran.g_01910	Prbi.g_00308
OG0000099	Pran.g_01900	Prbi.g_00318
OG0000100	Pran.g_01897	Prbi.g_00321
OG0000101	Pran.g_01838	Prbi.g_00381
OG0000102	Pran.g_01812	Prbi.g_00407
OG0000103	Pran.g_01702	Prbi.g_00479
OG0000104	Pran.g_01698	Prbi.g_00483
OG0000105	Pran.g_01679	Prbi.g_00502
OG0000106	Pran.g_01646	Prbi.g_00535
OG0000107	Pran.g_01645	Prbi.g_00536
