Orthogroup	Pran	Prbl
OG0000000	Pran.g_01500	Prbl.g_01092
OG0000001	Pran.g_00593	Prbl.g_00118
OG0000001	Pran.g_00579	Prbl.g_00116
OG0000002	Pran.g_01395	Prbl.g_02599
OG0000003	Pran.g_00894, Pran.g_00580	Prbl.g_00117
OG0000004	Pran.g_01436	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Pran.g_01681	Prbl.g_00531
OG0000006	Pran.g_00970	Prbl.g_00394
OG0000007	Pran.g_01506	Prbl.g_01854, Prbl.g_01855
OG0000009	Pran.g_01363, Pran.g_01943	Prbl.g_01509
OG0000011	Pran.g_01864	Prbl.g_00719
OG0000012	Pran.g_01580	Prbl.g_01755, Prbl.g_01763
OG0000013	Pran.g_01394	Prbl.g_01566
OG0000016	Pran.g_00845	Prbl.g_00007, Prbl.g_00046
OG0000017	Pran.g_00713	Prbl.g_00691
OG0000018	Pran.g_01951	Prbl.g_02601
OG0000019	Pran.g_01829	Prbl.g_01768
OG0000020	Pran.g_01772	Prbl.g_01465
OG0000024	Pran.g_01888	Prbl.g_01416
OG0000026	Pran.g_00391	Prbl.g_01981
OG0000028	Pran.g_00733	Prbl.g_00242
OG0000031	Pran.g_00944	Prbl.g_01677
OG0000032	Pran.g_00753	Prbl.g_00835, Prbl.g_00830
OG0000034	Pran.g_00777	Prbl.g_00870
OG0000036	Pran.g_01593	Prbl.g_01783
OG0000037	Pran.g_01555	Prbl.g_01618
OG0000038	Pran.g_01401	Prbl.g_01072, Prbl.g_01310
OG0000039	Pran.g_00266	Prbl.g_00281
OG0000040	Pran.g_01834	Prbl.g_02355
OG0000042	Pran.g_01460	Prbl.g_02567, Prbl.g_01839
OG0000043	Pran.g_01358	Prbl.g_01099, Prbl.g_01097
OG0000044	Pran.g_00060	Prbl.g_02084
OG0000045	Pran.g_00807	Prbl.g_00890
OG0000046	Pran.g_00963	Prbl.g_00405
OG0000047	Pran.g_01160	Prbl.g_01285
OG0000048	Pran.g_01167	Prbl.g_01236, Prbl.g_01121
OG0000050	Pran.g_00393, Pran.g_00930	Prbl.g_01977
OG0000051	Pran.g_00275	Prbl.g_00290
OG0000052	Pran.g_01824	Prbl.g_00411
OG0000053	Pran.g_01639	Prbl.g_00752
OG0000054	Pran.g_01408, Pran.g_01379	Prbl.g_01943
OG0000055	Pran.g_01321	Prbl.g_02310
OG0000056	Pran.g_00108, Pran.g_00935	Prbl.g_00138
OG0000058	Pran.g_01703	Prbl.g_01340
OG0000059	Pran.g_01480	Prbl.g_00025
OG0000062	Pran.g_00093	Prbl.g_02204
OG0000063	Pran.g_01466	Prbl.g_01384
OG0000065	Pran.g_00938, Pran.g_00876	Prbl.g_01722
OG0000066	Pran.g_00752	Prbl.g_00892
OG0000068	Pran.g_01105	Prbl.g_01126, Prbl.g_01000
OG0000071	Pran.g_01268	Prbl.g_02109
OG0000072	Pran.g_01872	Prbl.g_00897
OG0000073	Pran.g_01509	Prbl.g_01395
OG0000074	Pran.g_01487	Prbl.g_01859
OG0000075	Pran.g_01336	Prbl.g_02328
OG0000076	Pran.g_00568, Pran.g_00903	Prbl.g_00927
OG0000078	Pran.g_00806	Prbl.g_00893
OG0000079	Pran.g_00655	Prbl.g_00417
OG0000080	Pran.g_00912, Pran.g_00575	Prbl.g_00462
OG0000081	Pran.g_01135	Prbl.g_00857
OG0000082	Pran.g_01222	Prbl.g_02195
OG0000083	Pran.g_01260	Prbl.g_02118
OG0000084	Pran.g_01263	Prbl.g_02115
OG0000085	Pran.g_00401	Prbl.g_01968
OG0000087	Pran.g_00376	Prbl.g_02273
OG0000088	Pran.g_00320	Prbl.g_01331
OG0000089	Pran.g_00312	Prbl.g_01316
OG0000090	Pran.g_00295	Prbl.g_00810
OG0000091	Pran.g_00263	Prbl.g_00278
OG0000092	Pran.g_00262	Prbl.g_00277
OG0000093	Pran.g_00248	Prbl.g_00069
OG0000094	Pran.g_00230	Prbl.g_00098
OG0000095	Pran.g_00225	Prbl.g_01282
OG0000096	Pran.g_01941	Prbl.g_01506
OG0000097	Pran.g_01920	Prbl.g_01461
OG0000099	Pran.g_01900	Prbl.g_01436
OG0000100	Pran.g_01897	Prbl.g_01432
OG0000101	Pran.g_01838	Prbl.g_02677
OG0000102	Pran.g_01812	Prbl.g_02190
OG0000103	Pran.g_01702	Prbl.g_01339
OG0000104	Pran.g_01698	Prbl.g_00511
OG0000105	Pran.g_01679	Prbl.g_00533
OG0000106	Pran.g_01646	Prbl.g_00768
OG0000107	Pran.g_01645	Prbl.g_00766
OG0000108	Pran.g_01635	Prbl.g_02647
OG0000109	Pran.g_01626	Prbl.g_01886
OG0000110	Pran.g_01609	Prbl.g_01905
OG0000111	Pran.g_01527	Prbl.g_01043
OG0000112	Pran.g_01526	Prbl.g_01042
OG0000113	Pran.g_01438	Prbl.g_02432
OG0000114	Pran.g_01345	Prbl.g_02337
OG0000115	Pran.g_00487	Prbl.g_02478
OG0000116	Pran.g_00491	Prbl.g_02486
OG0000117	Pran.g_00565	Prbl.g_00930
OG0000118	Pran.g_00135	Prbl.g_02128
OG0000119	Pran.g_00090	Prbl.g_02202
OG0000120	Pran.g_00054	Prbl.g_02091
OG0000121	Pran.g_00035	Prbl.g_01119
OG0000122	Pran.g_00016	Prbl.g_02583
OG0000123	Pran.g_00003	Prbl.g_01102
OG0000124	Pran.g_00918	Prbl.g_00937
OG0000125	Pran.g_00864	Prbl.g_01736
OG0000126	Pran.g_00841	Prbl.g_00502
OG0000127	Pran.g_00746	Prbl.g_00258
OG0000128	Pran.g_00732	Prbl.g_00241
OG0000129	Pran.g_00696	Prbl.g_00709
OG0000130	Pran.g_00968	Prbl.g_00399
OG0000131	Pran.g_01006	Prbl.g_00350
OG0000132	Pran.g_01009	Prbl.g_00347
OG0000133	Pran.g_01063	Prbl.g_00957
OG0000134	Pran.g_01100	Prbl.g_00994
OG0000135	Pran.g_01102	Prbl.g_00996
OG0000136	Pran.g_01145	Prbl.g_00841
OG0000137	Pran.g_01177	Prbl.g_02053
OG0000138	Pran.g_01212	Prbl.g_02231
OG0000139	Pran.g_01239	Prbl.g_02147
OG0000140	Pran.g_01258	Prbl.g_02120
OG0000141	Pran.g_01259	Prbl.g_02119
OG0000142	Pran.g_01261	Prbl.g_02117
OG0000143	Pran.g_01262	Prbl.g_02116
OG0000144	Pran.g_01264	Prbl.g_02114
OG0000145	Pran.g_01265	Prbl.g_02112
