Orthogroup	Pran	Prah
OG0000000	Pran.g_01500	Prah.g_01226
OG0000001	Pran.g_00593	Prah.g_01154, Prah.g_01152, Prah.g_01346
OG0000001	Pran.g_00579	Prah.g_01348
OG0000003	Pran.g_00894, Pran.g_00580	Prah.g_01347
OG0000004	Pran.g_01436	Prah.g_01175, Prah.g_00215
OG0000006	Pran.g_01681	Prah.g_01546
OG0000006	Pran.g_00970	Prah.g_01676
OG0000007	Pran.g_01506	Prah.g_00969, Prah.g_00970
OG0000009	Pran.g_01363, Pran.g_01943	Prah.g_02086
OG0000011	Pran.g_01864	Prah.g_00353
OG0000012	Pran.g_01580	Prah.g_01397, Prah.g_01405
OG0000013	Pran.g_01394	Prah.g_01155, Prah.g_00576
OG0000016	Pran.g_00845	Prah.g_01007, Prah.g_01048
OG0000017	Pran.g_00713	Prah.g_00381
OG0000018	Pran.g_01951	Prah.g_00475, Prah.g_01767
OG0000019	Pran.g_01829	Prah.g_01410
OG0000020	Pran.g_01772	Prah.g_02122
OG0000024	Pran.g_01888	Prah.g_02171
OG0000025	Pran.g_00149, Pran.g_00936, Pran.g_01789	Prah.g_01120
OG0000026	Pran.g_00391	Prah.g_00042
OG0000028	Pran.g_00733	Prah.g_00408
OG0000031	Pran.g_00944	Prah.g_01166
OG0000032	Pran.g_00753	Prah.g_02248
OG0000033	Pran.g_00620	Prah.g_01270
OG0000034	Pran.g_00777	Prah.g_02219
OG0000036	Pran.g_01593	Prah.g_01427
OG0000037	Pran.g_01555	Prah.g_00524
OG0000038	Pran.g_01401	Prah.g_01209, Prah.g_00170
OG0000039	Pran.g_00266	Prah.g_02304
OG0000040	Pran.g_01834	Prah.g_00688
OG0000042	Pran.g_01460	Prah.g_00887, Prah.g_00958
OG0000043	Pran.g_01358	Prah.g_01233, Prah.g_01231
OG0000044	Pran.g_00060	Prah.g_01322, Prah.g_00104
OG0000045	Pran.g_00807	Prah.g_02195
OG0000046	Pran.g_00963	Prah.g_01666
OG0000047	Pran.g_01160	Prah.g_00150
OG0000048	Pran.g_01167	Prah.g_01256, Prah.g_00135
OG0000050	Pran.g_00393, Pran.g_00930	Prah.g_00038
OG0000051	Pran.g_00275	Prah.g_02295
OG0000052	Pran.g_01824	Prah.g_01660
OG0000053	Pran.g_01639	Prah.g_01485
OG0000054	Pran.g_01408, Pran.g_01379	Prah.g_01812
OG0000055	Pran.g_01321	Prah.g_00641
