Orthogroup	Pran	Prad
OG0000000	Pran.g_01500	Prad.g_01252
OG0000001	Pran.g_00602	Prad.g_01435
OG0000001	Pran.g_00593	Prad.g_00372, Prad.g_00349
OG0000002	Pran.g_01395	Prad.g_01434, Prad.g_01994
OG0000003	Pran.g_00894	Prad.g_00350
OG0000004	Pran.g_00576	Prad.g_01075
OG0000004	Pran.g_01436	Prad.g_01082
OG0000004	Pran.g_00895	Prad.g_00345
OG0000005	Pran.g_00601	Prad.g_00392
OG0000006	Pran.g_01681	Prad.g_00132
OG0000006	Pran.g_00970	Prad.g_00941
OG0000007	Pran.g_01506	Prad.g_01246
OG0000008	Pran.g_01811	Prad.g_00726
OG0000008	Pran.g_00526	Prad.g_01215
OG0000009	Pran.g_01363	Prad.g_01125
OG0000009	Pran.g_01943	Prad.g_01742
OG0000010	Pran.g_00114	Prad.g_00650
OG0000011	Pran.g_01864	Prad.g_01661
OG0000012	Pran.g_01580	Prad.g_01387
OG0000013	Pran.g_01394	Prad.g_01108
OG0000014	Pran.g_00583	Prad.g_00353, Prad.g_01298
OG0000015	Pran.g_01813	Prad.g_00951, Prad.g_00728
OG0000016	Pran.g_00845	Prad.g_00598
OG0000017	Pran.g_00713	Prad.g_00494
OG0000018	Pran.g_01951	Prad.g_01750
OG0000019	Pran.g_01829	Prad.g_01981, Prad.g_00745
OG0000020	Pran.g_01820	Prad.g_00735
OG0000021	Pran.g_01361	Prad.g_01127
OG0000022	Pran.g_00582	Prad.g_00352
OG0000023	Pran.g_00615	Prad.g_00401
OG0000024	Pran.g_01888	Prad.g_01685
OG0000025	Pran.g_00149	Prad.g_00985
OG0000026	Pran.g_00391	Prad.g_01953
OG0000027	Pran.g_01464	Prad.g_00427, Prad.g_01078
OG0000028	Pran.g_00733	Prad.g_00515
OG0000029	Pran.g_00614	Prad.g_00400
OG0000030	Pran.g_01952	Prad.g_01995
OG0000031	Pran.g_00898	Prad.g_00342
OG0000034	Pran.g_00777	Prad.g_00571
OG0000035	Pran.g_00415	Prad.g_00258
OG0000036	Pran.g_01593	Prad.g_01374
OG0000037	Pran.g_01555	Prad.g_01412
OG0000038	Pran.g_01401	Prad.g_01105
OG0000039	Pran.g_00266	Prad.g_01825
OG0000040	Pran.g_01834	Prad.g_00751
OG0000041	Pran.g_01778	Prad.g_00697
OG0000042	Pran.g_01460	Prad.g_01049
OG0000043	Pran.g_01358	Prad.g_01130
OG0000044	Pran.g_00060	Prad.g_01496
OG0000045	Pran.g_00807	Prad.g_00565
OG0000046	Pran.g_00963	Prad.g_00948
OG0000047	Pran.g_01160	Prad.g_01631
OG0000048	Pran.g_01167	Prad.g_01624
OG0000050	Pran.g_00393	Prad.g_01955
OG0000051	Pran.g_00275	Prad.g_01834
OG0000052	Pran.g_01824	Prad.g_00739
OG0000053	Pran.g_01639	Prad.g_00090
OG0000054	Pran.g_01408	Prad.g_01099
OG0000055	Pran.g_01321	Prad.g_01168
OG0000056	Pran.g_00108	Prad.g_00657
OG0000057	Pran.g_00195	Prad.g_01754, Prad.g_00965
OG0000058	Pran.g_01703	Prad.g_00032
OG0000059	Pran.g_01480	Prad.g_01272
OG0000060	Pran.g_00905	Prad.g_01080
OG0000061	Pran.g_00095	Prad.g_01991
OG0000061	Pran.g_00507	Prad.g_00166
OG0000062	Pran.g_00093	Prad.g_01989
OG0000063	Pran.g_01466	Prad.g_01214
OG0000064	Pran.g_01783	Prad.g_00964
OG0000065	Pran.g_00938, Pran.g_00876	Prad.g_00628
OG0000066	Pran.g_00752	Prad.g_00564
OG0000067	Pran.g_01384	Prad.g_01212
OG0000068	Pran.g_01105	Prad.g_00807
OG0000071	Pran.g_01268	Prad.g_01975
OG0000072	Pran.g_01872	Prad.g_01669
OG0000073	Pran.g_01509	Prad.g_01243
OG0000074	Pran.g_01487	Prad.g_01265
OG0000075	Pran.g_01336	Prad.g_01153
OG0000076	Pran.g_00568, Pran.g_00903	Prad.g_01018
OG0000078	Pran.g_00806	Prad.g_00566
OG0000079	Pran.g_00655	Prad.g_00436
OG0000080	Pran.g_00912, Pran.g_00575	Prad.g_00383
OG0000081	Pran.g_01135	Prad.g_00777
OG0000082	Pran.g_01222	Prad.g_01570
OG0000083	Pran.g_01260	Prad.g_01533
OG0000084	Pran.g_01263	Prad.g_01530
OG0000085	Pran.g_00401	Prad.g_01963
OG0000086	Pran.g_00386	Prad.g_01948
OG0000087	Pran.g_00376	Prad.g_01937
OG0000088	Pran.g_00320	Prad.g_00011, Prad.g_01880
OG0000089	Pran.g_00312	Prad.g_01872
OG0000090	Pran.g_00295	Prad.g_01854
OG0000091	Pran.g_00263	Prad.g_01822
OG0000092	Pran.g_00262	Prad.g_01821
OG0000093	Pran.g_00248	Prad.g_01807
OG0000094	Pran.g_00230	Prad.g_01789
OG0000095	Pran.g_00225	Prad.g_01784
OG0000096	Pran.g_01941	Prad.g_01740
OG0000097	Pran.g_01920	Prad.g_01717
OG0000098	Pran.g_01910	Prad.g_01707
OG0000099	Pran.g_01900	Prad.g_01697
OG0000100	Pran.g_01897	Prad.g_01694
OG0000101	Pran.g_01838	Prad.g_00754
OG0000102	Pran.g_01812	Prad.g_00727
OG0000103	Pran.g_01702	Prad.g_00031
OG0000104	Pran.g_01698	Prad.g_00027
OG0000105	Pran.g_01679	Prad.g_00130
OG0000106	Pran.g_01646	Prad.g_00097
OG0000107	Pran.g_01645	Prad.g_00096
OG0000108	Pran.g_01635	Prad.g_01333
OG0000109	Pran.g_01626	Prad.g_01342
OG0000110	Pran.g_01609	Prad.g_01358
OG0000111	Pran.g_01527	Prad.g_01225
OG0000112	Pran.g_01526	Prad.g_01226
OG0000113	Pran.g_01438	Prad.g_01071
OG0000114	Pran.g_01345	Prad.g_01144
OG0000115	Pran.g_00487	Prad.g_00186
OG0000116	Pran.g_00491	Prad.g_00182
OG0000117	Pran.g_00565	Prad.g_01021
OG0000118	Pran.g_00135	Prad.g_00972
OG0000119	Pran.g_00090	Prad.g_01526
OG0000120	Pran.g_00054	Prad.g_01490
OG0000121	Pran.g_00035	Prad.g_01471, Prad.g_01470
OG0000122	Pran.g_00016	Prad.g_01451
OG0000123	Pran.g_00003	Prad.g_01438
OG0000124	Pran.g_00918	Prad.g_00076
OG0000125	Pran.g_00864	Prad.g_00616
OG0000126	Pran.g_00841	Prad.g_00594
OG0000127	Pran.g_00746	Prad.g_00528
OG0000128	Pran.g_00732	Prad.g_00514
OG0000129	Pran.g_00696	Prad.g_00477
OG0000130	Pran.g_00968	Prad.g_00943
OG0000131	Pran.g_01006	Prad.g_00905
OG0000132	Pran.g_01009	Prad.g_00902
OG0000133	Pran.g_01063	Prad.g_00848
OG0000134	Pran.g_01100	Prad.g_00812
OG0000135	Pran.g_01102	Prad.g_00810
OG0000136	Pran.g_01145	Prad.g_00766, Prad.g_01294
OG0000137	Pran.g_01177	Prad.g_01615
OG0000138	Pran.g_01212	Prad.g_01580
OG0000139	Pran.g_01239	Prad.g_01553
OG0000140	Pran.g_01258	Prad.g_01535
OG0000141	Pran.g_01259	Prad.g_01534
OG0000142	Pran.g_01261	Prad.g_01532
OG0000143	Pran.g_01262	Prad.g_01531
OG0000144	Pran.g_01264	Prad.g_01529
OG0000145	Pran.g_01265	Prad.g_01528
OG0000146	Pran.g_01266	Prad.g_01527
OG0000147	Pran.g_01267	Prad.g_01976
OG0000148	Pran.g_01269	Prad.g_01974
OG0000149	Pran.g_00410	Prad.g_01972
OG0000150	Pran.g_00409	Prad.g_01971
OG0000151	Pran.g_00408	Prad.g_01970
OG0000152	Pran.g_00407	Prad.g_01969
OG0000153	Pran.g_00406	Prad.g_01968
OG0000154	Pran.g_00405	Prad.g_01967
OG0000155	Pran.g_00404	Prad.g_01966
OG0000156	Pran.g_00403	Prad.g_01965
OG0000157	Pran.g_00402	Prad.g_01964
OG0000158	Pran.g_00400	Prad.g_01962
OG0000159	Pran.g_00399	Prad.g_01961
OG0000160	Pran.g_00398	Prad.g_01960
OG0000161	Pran.g_00397	Prad.g_01959
OG0000162	Pran.g_00396	Prad.g_01958
OG0000163	Pran.g_00395	Prad.g_01957
OG0000164	Pran.g_00392	Prad.g_01954
OG0000165	Pran.g_00389	Prad.g_01951
OG0000166	Pran.g_00388	Prad.g_01950
OG0000167	Pran.g_00387	Prad.g_01949
OG0000168	Pran.g_00385	Prad.g_01947
OG0000169	Pran.g_00383	Prad.g_01945
OG0000170	Pran.g_00382	Prad.g_01944
OG0000171	Pran.g_00381	Prad.g_01943
OG0000172	Pran.g_00380	Prad.g_01941
OG0000173	Pran.g_00379	Prad.g_01940
OG0000174	Pran.g_00378	Prad.g_01939
OG0000175	Pran.g_00377	Prad.g_01938
OG0000176	Pran.g_00375	Prad.g_01936
OG0000177	Pran.g_00374	Prad.g_01935
OG0000178	Pran.g_00373	Prad.g_01934
OG0000179	Pran.g_00368	Prad.g_01929
OG0000180	Pran.g_00367	Prad.g_01928
OG0000181	Pran.g_00366	Prad.g_01927
OG0000182	Pran.g_00363	Prad.g_01924
OG0000183	Pran.g_00362	Prad.g_01923
OG0000184	Pran.g_00359	Prad.g_01920
OG0000185	Pran.g_00355	Prad.g_01916
OG0000186	Pran.g_00354	Prad.g_01915
OG0000187	Pran.g_00353	Prad.g_01914
OG0000188	Pran.g_00352	Prad.g_01913
OG0000189	Pran.g_00351	Prad.g_01912
OG0000190	Pran.g_00350	Prad.g_01911
OG0000191	Pran.g_00349	Prad.g_01910
OG0000192	Pran.g_00348	Prad.g_01909
OG0000193	Pran.g_00347	Prad.g_01908
OG0000194	Pran.g_00346	Prad.g_01907
OG0000195	Pran.g_00344	Prad.g_01905
OG0000196	Pran.g_00343	Prad.g_01904
OG0000197	Pran.g_00342	Prad.g_01903
OG0000198	Pran.g_00341	Prad.g_01902
OG0000199	Pran.g_00339	Prad.g_01899
