Orthogroup	Syaj	Prau
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prau.g_01394
OG0000002	Syaj.g_02667	Prau.g_01402, Prau.g_00718
OG0000004	Syaj.g_00441	Prau.g_00735
OG0000004	Syaj.g_01314, Syaj.g_02853	Prau.g_00233
OG0000005	Syaj.g_01736	Prau.g_01745
OG0000005	Syaj.g_01698	Prau.g_01607
OG0000006	Syaj.g_02635	Prau.g_01316
OG0000007	Syaj.g_00091	Prau.g_00538
OG0000007	Syaj.g_01721	Prau.g_01732
OG0000008	Syaj.g_00496	Prau.g_00781
OG0000009	Syaj.g_01069	Prau.g_01324, Prau.g_01641
OG0000009	Syaj.g_01885	Prau.g_00106
OG0000010	Syaj.g_01445	Prau.g_01698, Prau.g_01096
OG0000011	Syaj.g_01133	Prau.g_00441
OG0000012	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172	Prau.g_00663
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prau.g_00329
OG0000014	Syaj.g_02522	Prau.g_00308
OG0000014	Syaj.g_02344	Prau.g_01470
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prau.g_00817
OG0000016	Syaj.g_02276	Prau.g_00013
OG0000017	Syaj.g_00248, Syaj.g_00255	Prau.g_00636
OG0000018	Syaj.g_01413	Prau.g_01188
OG0000019	Syaj.g_02613	Prau.g_00251, Prau.g_00834
OG0000021	Syaj.g_00982, Syaj.g_00042	Prau.g_01680, Prau.g_00367
OG0000022	Syaj.g_01220	Prau.g_01170
OG0000023	Syaj.g_00829, Syaj.g_01791	Prau.g_00362
OG0000024	Syaj.g_00500	Prau.g_00796, Prau.g_00715
OG0000025	Syaj.g_00383	Prau.g_00333, Prau.g_00888
OG0000026	Syaj.g_02298	Prau.g_00030, Prau.g_01103
OG0000027	Syaj.g_00396	Prau.g_01353
OG0000028	Syaj.g_02506	Prau.g_01338, Prau.g_00322
OG0000029	Syaj.g_01229	Prau.g_00804, Prau.g_00378
OG0000030	Syaj.g_02396, Syaj.g_02395	Prau.g_01935
OG0000033	Syaj.g_01990	Prau.g_01465
OG0000034	Syaj.g_01959	Prau.g_01381
OG0000035	Syaj.g_01378	Prau.g_01531, Prau.g_01528
OG0000037	Syaj.g_01891, Syaj.g_02902	Prau.g_00110
OG0000038	Syaj.g_02115	Prau.g_01976
