Orthogroup	Syaj	Prbe
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbe.g_00400
OG0000002	Syaj.g_02667	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Syaj.g_00441	Prbe.g_01203
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbe.g_01784
OG0000005	Syaj.g_01698	Prbe.g_00228
OG0000006	Syaj.g_02635	Prbe.g_01794
OG0000007	Syaj.g_00091	Prbe.g_00636
OG0000007	Syaj.g_01721	Prbe.g_00985
OG0000008	Syaj.g_00496	Prbe.g_00036
OG0000008	Syaj.g_00497	Prbe.g_00037
OG0000009	Syaj.g_01069	Prbe.g_00216
OG0000010	Syaj.g_01445	Prbe.g_00096, Prbe.g_01411
OG0000012	Syaj.g_01306	Prbe.g_00511
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prbe.g_00196
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prbe.g_01879
OG0000014	Syaj.g_02522	Prbe.g_01861
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prbe.g_01046, Prbe.g_01000
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbe.g_01607
OG0000017	Syaj.g_00248	Prbe.g_00536
OG0000017	Syaj.g_00255	Prbe.g_00529
OG0000018	Syaj.g_01413	Prbe.g_01571
OG0000019	Syaj.g_02613	Prbe.g_01802, Prbe.g_01573
OG0000021	Syaj.g_00042	Prbe.g_00203, Prbe.g_01208
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbe.g_00062
OG0000024	Syaj.g_00500	Prbe.g_01415, Prbe.g_00449
OG0000025	Syaj.g_00383	Prbe.g_01258
OG0000026	Syaj.g_02298	Prbe.g_00132
OG0000027	Syaj.g_00396	Prbe.g_00012, Prbe.g_01121
OG0000028	Syaj.g_02506	Prbe.g_00034
OG0000029	Syaj.g_01229	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbe.g_00763
OG0000031	Syaj.g_02501	Prbe.g_00352
OG0000032	Syaj.g_01432	Prbe.g_00272
OG0000033	Syaj.g_01990	Prbe.g_00345
