Orthogroup	Syaj	Syal
OG0000001	Syaj.g_01949, Syaj.g_01952	Syal.g_02215
OG0000001	Syaj.g_01950	Syal.g_00874, Syal.g_01184
OG0000004	Syaj.g_00441	Syal.g_01809
OG0000004	Syaj.g_01314	Syal.g_02718
OG0000004	Syaj.g_02853	Syal.g_00691
OG0000005	Syaj.g_01736	Syal.g_00606
OG0000005	Syaj.g_01698	Syal.g_00565
OG0000005	Syaj.g_01155	Syal.g_01664
OG0000006	Syaj.g_02635	Syal.g_00674
OG0000007	Syaj.g_00091	Syal.g_02918
OG0000007	Syaj.g_01721	Syal.g_00587
OG0000008	Syaj.g_00496	Syal.g_02512
OG0000008	Syaj.g_00497	Syal.g_01783
OG0000009	Syaj.g_01069	Syal.g_02089
OG0000009	Syaj.g_01885	Syal.g_00818
OG0000010	Syaj.g_01445	Syal.g_00464
OG0000011	Syaj.g_01780	Syal.g_00702
OG0000012	Syaj.g_00172	Syal.g_02535, Syal.g_01639
OG0000013	Syaj.g_02774	Syal.g_00315
OG0000013	Syaj.g_02782	Syal.g_00322
OG0000013	Syaj.g_02769	Syal.g_00310
OG0000014	Syaj.g_02522	Syal.g_01305
OG0000015	Syaj.g_02242	Syal.g_02210, Syal.g_01183
OG0000016	Syaj.g_02276	Syal.g_00111
OG0000016	Syaj.g_00590	Syal.g_01734
OG0000017	Syaj.g_00248	Syal.g_02752
OG0000017	Syaj.g_00255	Syal.g_02745
OG0000018	Syaj.g_01413	Syal.g_00410
OG0000019	Syaj.g_02613	Syal.g_01209
OG0000022	Syaj.g_01220	Syal.g_02587
OG0000023	Syaj.g_01791	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Syaj.g_00500	Syal.g_02597
OG0000025	Syaj.g_00383	Syal.g_02459
OG0000026	Syaj.g_02298	Syal.g_00132
OG0000027	Syaj.g_00396	Syal.g_02543
OG0000028	Syaj.g_02506	Syal.g_01319
OG0000029	Syaj.g_01229	Syal.g_03014
OG0000030	Syaj.g_02396	Syal.g_01511
OG0000030	Syaj.g_02395	Syal.g_01512
OG0000031	Syaj.g_02501	Syal.g_01404, Syal.g_01432
OG0000032	Syaj.g_01432	Syal.g_00428
OG0000033	Syaj.g_01990	Syal.g_00912
OG0000034	Syaj.g_01959	Syal.g_00881, Syal.g_01586
OG0000035	Syaj.g_01378	Syal.g_00370, Syal.g_00020
OG0000037	Syaj.g_02902	Syal.g_00601
OG0000038	Syaj.g_02115	Syal.g_01071
