Orthogroup	Syaj	Prar
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prar.g_00926
OG0000002	Syaj.g_02667	Prar.g_00918, Prar.g_01508
OG0000004	Syaj.g_00441	Prar.g_01525
OG0000004	Syaj.g_01314, Syaj.g_02853	Prar.g_00095
OG0000005	Syaj.g_01736	Prar.g_01130
OG0000005	Syaj.g_01698	Prar.g_00771
OG0000006	Syaj.g_02635	Prar.g_00086
OG0000007	Syaj.g_00091	Prar.g_01328
OG0000007	Syaj.g_01721	Prar.g_01143
OG0000008	Syaj.g_00496	Prar.g_01185
OG0000009	Syaj.g_01069	Prar.g_00737
OG0000009	Syaj.g_01885	Prar.g_00223
OG0000010	Syaj.g_01445	Prar.g_01567, Prar.g_01912
OG0000011	Syaj.g_01133	Prar.g_00978
OG0000012	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172	Prar.g_01453
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prar.g_00260
OG0000014	Syaj.g_02522	Prar.g_00281
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prar.g_01179
OG0000016	Syaj.g_02276	Prar.g_00025
OG0000017	Syaj.g_00248, Syaj.g_00255	Prar.g_01428
OG0000018	Syaj.g_01413	Prar.g_01282
OG0000019	Syaj.g_02613	Prar.g_00078, Prar.g_01663
OG0000021	Syaj.g_00982, Syaj.g_00042	Prar.g_00425
OG0000022	Syaj.g_01220	Prar.g_01300
OG0000023	Syaj.g_00829, Syaj.g_01791	Prar.g_00420
OG0000024	Syaj.g_00500	Prar.g_01634, Prar.g_01505
OG0000025	Syaj.g_00383	Prar.g_00256, Prar.g_01718
OG0000026	Syaj.g_02298	Prar.g_00007, Prar.g_01919
OG0000027	Syaj.g_00396	Prar.g_00520
OG0000028	Syaj.g_02506	Prar.g_00985, Prar.g_00267
OG0000029	Syaj.g_01229	Prar.g_00436
OG0000030	Syaj.g_02396, Syaj.g_02395	Prar.g_00662
OG0000031	Syaj.g_02501	Prar.g_00879
OG0000034	Syaj.g_01959	Prar.g_00945
OG0000035	Syaj.g_01378	Prar.g_00339
OG0000037	Syaj.g_01891, Syaj.g_02902	Prar.g_00219
OG0000038	Syaj.g_02115	Prar.g_00702
OG0000039	Syaj.g_00392, Syaj.g_00275	Prar.g_01516
OG0000040	Syaj.g_02208	Prar.g_01283
OG0000041	Syaj.g_01602, Syaj.g_00418	Prar.g_00602
OG0000042	Syaj.g_02399	Prar.g_00660
OG0000044	Syaj.g_01344	Prar.g_01172
OG0000045	Syaj.g_00132	Prar.g_01583
OG0000047	Syaj.g_02799	Prar.g_00257, Prar.g_00468
OG0000048	Syaj.g_02578	Prar.g_00435
OG0000050	Syaj.g_01584	Prar.g_01940
OG0000053	Syaj.g_01409	Prar.g_00589, Prar.g_00827
OG0000054	Syaj.g_01341	Prar.g_01436
OG0000055	Syaj.g_00394	Prar.g_01664
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962, Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Prar.g_00932
OG0000057	Syaj.g_00438	Prar.g_01528
OG0000059	Syaj.g_02686	Prar.g_01090
OG0000061	Syaj.g_00302	Prar.g_01263
OG0000062	Syaj.g_01700	Prar.g_00769
