Orthogroup	Syaj	Prap
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prap.g_01925
OG0000002	Syaj.g_02667	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Syaj.g_00441	Prap.g_00802
OG0000004	Syaj.g_01314, Syaj.g_02853	Prap.g_01480
OG0000005	Syaj.g_01698	Prap.g_00204
OG0000006	Syaj.g_02635	Prap.g_01470
OG0000007	Syaj.g_00091	Prap.g_01270
OG0000007	Syaj.g_01721	Prap.g_01779
OG0000008	Syaj.g_00496	Prap.g_01888
OG0000008	Syaj.g_00497	Prap.g_01887
OG0000009	Syaj.g_01069	Prap.g_00216
OG0000010	Syaj.g_01445	Prap.g_00669, Prap.g_00318
OG0000012	Syaj.g_01306	Prap.g_01145
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prap.g_00236
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prap.g_01385
OG0000014	Syaj.g_02522	Prap.g_01403
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prap.g_01840, Prap.g_01794
OG0000016	Syaj.g_00590, Syaj.g_01191	Prap.g_00514
OG0000017	Syaj.g_00248	Prap.g_01170
OG0000017	Syaj.g_00255	Prap.g_01163
OG0000018	Syaj.g_01413	Prap.g_00478
OG0000019	Syaj.g_02613	Prap.g_01462, Prap.g_00480
OG0000021	Syaj.g_00042	Prap.g_00229, Prap.g_00797
OG0000023	Syaj.g_00829, Syaj.g_01791	Prap.g_00029
OG0000024	Syaj.g_00500	Prap.g_00322, Prap.g_00826
OG0000025	Syaj.g_00383	Prap.g_00747
OG0000026	Syaj.g_02298	Prap.g_00923
OG0000027	Syaj.g_00396	Prap.g_01912, Prap.g_01860
OG0000028	Syaj.g_02506	Prap.g_01889
OG0000029	Syaj.g_01229	Prap.g_01899, Prap.g_01848, Prap.g_01688
OG0000030	Syaj.g_02396, Syaj.g_02395	Prap.g_01569
OG0000031	Syaj.g_02501	Prap.g_00080
OG0000032	Syaj.g_01432	Prap.g_00160
OG0000033	Syaj.g_01990	Prap.g_00087
OG0000034	Syaj.g_01959	Prap.g_00572
OG0000035	Syaj.g_01378	Prap.g_00121
OG0000037	Syaj.g_01891, Syaj.g_02902	Prap.g_01067
OG0000038	Syaj.g_02115	Prap.g_01530
OG0000039	Syaj.g_00392, Syaj.g_00275	Prap.g_00814
OG0000041	Syaj.g_01602, Syaj.g_00418	Prap.g_01731
OG0000042	Syaj.g_02399	Prap.g_01572
OG0000043	Syaj.g_01085, Syaj.g_01247	Prap.g_00477
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Prap.g_01384
OG0000047	Syaj.g_02799	Prap.g_01343
OG0000048	Syaj.g_02578	Prap.g_00548
OG0000050	Syaj.g_01242	Prap.g_00667
OG0000052	Syaj.g_02476	Prap.g_00897
OG0000053	Syaj.g_01409	Prap.g_00142, Prap.g_01834
OG0000054	Syaj.g_01341	Prap.g_01161
OG0000057	Syaj.g_00438	Prap.g_00799
OG0000058	Syaj.g_02495	Prap.g_00081
OG0000059	Syaj.g_02686	Prap.g_01691
OG0000061	Syaj.g_00302	Prap.g_00456
OG0000062	Syaj.g_01700	Prap.g_00206
OG0000063	Syaj.g_02302	Prap.g_01903
OG0000064	Syaj.g_00041, Syaj.g_01253	Prap.g_00883
OG0000065	Syaj.g_01887, Syaj.g_00007	Prap.g_01069
OG0000066	Syaj.g_00157	Prap.g_01230, Prap.g_01867
OG0000067	Syaj.g_01023	Prap.g_00783
OG0000068	Syaj.g_00059	Prap.g_00059
OG0000070	Syaj.g_01529	Prap.g_01316
OG0000071	Syaj.g_01511	Prap.g_00561
OG0000072	Syaj.g_01992	Prap.g_00999
OG0000073	Syaj.g_00093	Prap.g_01267
OG0000075	Syaj.g_02457	Prap.g_01606
OG0000076	Syaj.g_02417	Prap.g_01580
OG0000077	Syaj.g_01831	Prap.g_01099
OG0000078	Syaj.g_02880	Prap.g_01472
OG0000079	Syaj.g_02609	Prap.g_01459
OG0000081	Syaj.g_02888	Prap.g_01238
OG0000082	Syaj.g_00229	Prap.g_01183, Prap.g_01790
OG0000084	Syaj.g_01375	Prap.g_00118
OG0000085	Syaj.g_01707	Prap.g_01917, Prap.g_01787
OG0000086	Syaj.g_01848	Prap.g_01090
OG0000087	Syaj.g_01945	Prap.g_01035
OG0000088	Syaj.g_01986	Prap.g_01004
OG0000089	Syaj.g_02829, Syaj.g_01915	Prap.g_01349
OG0000090	Syaj.g_00144	Prap.g_01236
OG0000091	Syaj.g_01275	Prap.g_00384
OG0000093	Syaj.g_01042	Prap.g_00355
OG0000094	Syaj.g_00804	Prap.g_00306
OG0000095	Syaj.g_00427	Prap.g_00708
OG0000097	Syaj.g_00589	Prap.g_00410
OG0000098	Syaj.g_02671	Prap.g_01928
OG0000099	Syaj.g_02503	Prap.g_00082
OG0000100	Syaj.g_00987	Prap.g_00200
OG0000101	Syaj.g_02738	Prap.g_01642
OG0000102	Syaj.g_02411	Prap.g_01575
OG0000103	Syaj.g_02243	Prap.g_01491
OG0000104	Syaj.g_02258	Prap.g_01869
OG0000105	Syaj.g_02573	Prap.g_01436
OG0000106	Syaj.g_01130	Prap.g_00591
OG0000107	Syaj.g_02637	Prap.g_01714
OG0000108	Syaj.g_00072	Prap.g_01287
OG0000109	Syaj.g_00087	Prap.g_01273
OG0000110	Syaj.g_00215	Prap.g_01194
OG0000111	Syaj.g_00437	Prap.g_00798
OG0000112	Syaj.g_00907	Prap.g_01121
OG0000113	Syaj.g_00992	Prap.g_00760
OG0000114	Syaj.g_00741	Prap.g_00858
OG0000115	Syaj.g_01402	Prap.g_00525
OG0000116	Syaj.g_00289	Prap.g_00467
OG0000117	Syaj.g_00637	Prap.g_00429
OG0000118	Syaj.g_00267	Prap.g_00574
OG0000119	Syaj.g_00317	Prap.g_00510, Prap.g_00218
OG0000120	Syaj.g_02502	Prap.g_00079
OG0000121	Syaj.g_01383	Prap.g_00123
OG0000122	Syaj.g_01250	Prap.g_00532, Prap.g_00164
OG0000123	Syaj.g_02745	Prap.g_01635
OG0000124	Syaj.g_02388	Prap.g_01563
OG0000125	Syaj.g_02117	Prap.g_01528
OG0000126	Syaj.g_02256	Prap.g_01870
OG0000128	Syaj.g_02274	Prap.g_00043
OG0000129	Syaj.g_02106	Prap.g_00910
OG0000130	Syaj.g_01818	Prap.g_00881
OG0000131	Syaj.g_01964	Prap.g_01026
OG0000132	Syaj.g_00688, Syaj.g_01984	Prap.g_01006
OG0000133	Syaj.g_00902	Prap.g_01389
OG0000134	Syaj.g_02832	Prap.g_01347
OG0000135	Syaj.g_02167	Prap.g_00543
OG0000136	Syaj.g_01550	Prap.g_01325
OG0000137	Syaj.g_01444	Prap.g_01292
OG0000138	Syaj.g_00088	Prap.g_01272
OG0000139	Syaj.g_00150	Prap.g_01232
OG0000140	Syaj.g_00153	Prap.g_01231
OG0000141	Syaj.g_01340	Prap.g_01160
OG0000142	Syaj.g_01283	Prap.g_00392
OG0000143	Syaj.g_01279	Prap.g_00388
OG0000144	Syaj.g_01151	Prap.g_00374
OG0000145	Syaj.g_00094	Prap.g_00545
OG0000146	Syaj.g_00908	Prap.g_01122
OG0000147	Syaj.g_00909	Prap.g_01123
OG0000148	Syaj.g_01003	Prap.g_00766
OG0000149	Syaj.g_00369	Prap.g_00734
OG0000150	Syaj.g_01339, Syaj.g_00154	Prap.g_00724
OG0000151	Syaj.g_01074	Prap.g_00848
OG0000152	Syaj.g_00898	Prap.g_00257
OG0000153	Syaj.g_00842	Prap.g_00276
OG0000154	Syaj.g_00814	Prap.g_00296
OG0000155	Syaj.g_00338	Prap.g_00435
OG0000156	Syaj.g_00282	Prap.g_00550
OG0000157	Syaj.g_00281	Prap.g_00551
OG0000158	Syaj.g_02445	Prap.g_01598
OG0000160	Syaj.g_01382	Prap.g_00122
OG0000161	Syaj.g_01389	Prap.g_00128
OG0000162	Syaj.g_01395	Prap.g_00134
OG0000163	Syaj.g_01639	Prap.g_00173
OG0000164	Syaj.g_01758	Prap.g_01754
OG0000165	Syaj.g_01582	Prap.g_01747
OG0000166	Syaj.g_02698	Prap.g_01680
OG0000167	Syaj.g_02460	Prap.g_01608
OG0000168	Syaj.g_02444	Prap.g_01597
OG0000169	Syaj.g_02431, Syaj.g_02429	Prap.g_01587
OG0000170	Syaj.g_02422	Prap.g_01584
OG0000171	Syaj.g_02389	Prap.g_01564
OG0000172	Syaj.g_02365	Prap.g_01557
OG0000173	Syaj.g_02321	Prap.g_01542
OG0000174	Syaj.g_02169	Prap.g_01513
OG0000175	Syaj.g_02229	Prap.g_01500
OG0000176	Syaj.g_02266	Prap.g_00050
OG0000177	Syaj.g_02267	Prap.g_00049
OG0000178	Syaj.g_02268	Prap.g_00048
OG0000179	Syaj.g_02283	Prap.g_00939
OG0000180	Syaj.g_02284	Prap.g_00938
OG0000181	Syaj.g_02285	Prap.g_00937
OG0000182	Syaj.g_02286	Prap.g_00936
OG0000183	Syaj.g_02290	Prap.g_00932
OG0000184	Syaj.g_02098	Prap.g_00906
OG0000185	Syaj.g_02087	Prap.g_00903
OG0000186	Syaj.g_01812	Prap.g_00887
OG0000187	Syaj.g_01814	Prap.g_00886
OG0000188	Syaj.g_01837	Prap.g_01096
OG0000189	Syaj.g_01874	Prap.g_01082
OG0000190	Syaj.g_01876	Prap.g_01080
OG0000191	Syaj.g_01910	Prap.g_01057
OG0000192	Syaj.g_01919	Prap.g_01052
OG0000193	Syaj.g_01965	Prap.g_01025
OG0000194	Syaj.g_01968	Prap.g_01022
OG0000195	Syaj.g_01971	Prap.g_01020
OG0000196	Syaj.g_01981	Prap.g_01009
OG0000197	Syaj.g_01982	Prap.g_01008
OG0000198	Syaj.g_01983	Prap.g_01007
OG0000199	Syaj.g_01991	Prap.g_01000
OG0000200	Syaj.g_02008	Prap.g_00986
OG0000201	Syaj.g_02024	Prap.g_00977
OG0000202	Syaj.g_02025	Prap.g_00976
OG0000203	Syaj.g_02026	Prap.g_00975
OG0000204	Syaj.g_02027	Prap.g_00974
OG0000205	Syaj.g_02035	Prap.g_00967
OG0000206	Syaj.g_02043	Prap.g_00962
OG0000207	Syaj.g_02045	Prap.g_00959
OG0000208	Syaj.g_02046	Prap.g_00958
OG0000209	Syaj.g_02070	Prap.g_00949
OG0000210	Syaj.g_02071	Prap.g_00948
OG0000211	Syaj.g_02856	Prap.g_01479
OG0000212	Syaj.g_02881	Prap.g_01471
OG0000213	Syaj.g_02601	Prap.g_01453
OG0000214	Syaj.g_02582	Prap.g_01443
OG0000215	Syaj.g_02551	Prap.g_01416
OG0000216	Syaj.g_02547	Prap.g_01415
OG0000217	Syaj.g_02543	Prap.g_01412
OG0000218	Syaj.g_02541	Prap.g_01410
OG0000219	Syaj.g_02540	Prap.g_01409
OG0000220	Syaj.g_02539	Prap.g_01408
OG0000221	Syaj.g_02530	Prap.g_01407
OG0000222	Syaj.g_02516	Prap.g_01400
OG0000223	Syaj.g_02494	Prap.g_01388
OG0000224	Syaj.g_02487	Prap.g_01386
OG0000225	Syaj.g_02821	Prap.g_01360
OG0000226	Syaj.g_02825	Prap.g_01356
OG0000227	Syaj.g_02827	Prap.g_01354
OG0000228	Syaj.g_02828	Prap.g_01350
OG0000229	Syaj.g_01555	Prap.g_01330
OG0000230	Syaj.g_01553	Prap.g_01328
OG0000231	Syaj.g_01541	Prap.g_01317
OG0000232	Syaj.g_01497	Prap.g_01306
