Orthogroup	Syaj	Prbb
OG0000001	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbb.g_01611
OG0000002	Syaj.g_02667	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Syaj.g_00441	Prbb.g_01450
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbb.g_00288
OG0000005	Syaj.g_01736	Prbb.g_01393
OG0000005	Syaj.g_01698	Prbb.g_01766
OG0000006	Syaj.g_02635	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syaj.g_00091	Prbb.g_00501
OG0000007	Syaj.g_01721	Prbb.g_01823
OG0000008	Syaj.g_00496	Prbb.g_01884
OG0000008	Syaj.g_00497	Prbb.g_01885
OG0000010	Syaj.g_01445	Prbb.g_01072
OG0000011	Syaj.g_01133	Prbb.g_01229
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Prbb.g_01111
OG0000013	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769	Prbb.g_00378
OG0000014	Syaj.g_02522	Prbb.g_00357
OG0000015	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659	Prbb.g_01158
OG0000016	Syaj.g_02276	Prbb.g_00014
OG0000016	Syaj.g_00590, Syaj.g_01191	Prbb.g_01919
OG0000018	Syaj.g_01413	Prbb.g_01539
OG0000019	Syaj.g_02613	Prbb.g_00761
OG0000021	Syaj.g_00042	Prbb.g_01914, Prbb.g_00099
OG0000022	Syaj.g_01220	Prbb.g_01258
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbb.g_01411, Prbb.g_01373
OG0000024	Syaj.g_00500	Prbb.g_01175, Prbb.g_00680
OG0000025	Syaj.g_00383	Prbb.g_00052, Prbb.g_00818
OG0000026	Syaj.g_02298	Prbb.g_00032
OG0000027	Syaj.g_00396	Prbb.g_01375
OG0000028	Syaj.g_02506	Prbb.g_01635
OG0000029	Syaj.g_01229	Prbb.g_01800
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbb.g_02073
OG0000031	Syaj.g_02501	Prbb.g_00387
OG0000032	Syaj.g_01432	Prbb.g_01723
OG0000033	Syaj.g_01990	Prbb.g_00226
OG0000034	Syaj.g_01959	Prbb.g_01596
OG0000035	Syaj.g_01378	Prbb.g_01686
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbb.g_00164
OG0000038	Syaj.g_02115	Prbb.g_02129
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbb.g_00692
OG0000041	Syaj.g_01602, Syaj.g_00418	Prbb.g_01868
OG0000042	Syaj.g_02399	Prbb.g_02069
OG0000043	Syaj.g_01085	Prbb.g_01198
OG0000043	Syaj.g_01247	Prbb.g_00909
OG0000044	Syaj.g_01344	Prbb.g_00079
OG0000045	Syaj.g_00132	Prbb.g_01347
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Prbb.g_00379
OG0000047	Syaj.g_02799	Prbb.g_00386, Prbb.g_00421
OG0000048	Syaj.g_02578	Prbb.g_00325
OG0000050	Syaj.g_01584	Prbb.g_00116
OG0000052	Syaj.g_02476	Prbb.g_00112
OG0000053	Syaj.g_01409	Prbb.g_01705
OG0000054	Syaj.g_01341	Prbb.g_00607
OG0000057	Syaj.g_00438	Prbb.g_01359, Prbb.g_00706
OG0000058	Syaj.g_02495	Prbb.g_00851
OG0000059	Syaj.g_02686	Prbb.g_01946
OG0000060	Syaj.g_01469, Syaj.g_00067, Syaj.g_00635	Prbb.g_01153
OG0000061	Syaj.g_02351	Prbb.g_00874
OG0000061	Syaj.g_00302	Prbb.g_01517
OG0000062	Syaj.g_01700	Prbb.g_01768
OG0000063	Syaj.g_02302	Prbb.g_01921
OG0000065	Syaj.g_01887, Syaj.g_00007	Prbb.g_00162
OG0000066	Syaj.g_00157	Prbb.g_00542
OG0000067	Syaj.g_01023	Prbb.g_00783
OG0000068	Syaj.g_00059	Prbb.g_01639
OG0000070	Syaj.g_01529	Prbb.g_00455
OG0000071	Syaj.g_01511	Prbb.g_01586
OG0000072	Syaj.g_01992	Prbb.g_00228
OG0000073	Syaj.g_00093	Prbb.g_00503
OG0000075	Syaj.g_02457	Prbb.g_02036
OG0000076	Syaj.g_02417	Prbb.g_02061
OG0000077	Syaj.g_01831	Prbb.g_00133
OG0000078	Syaj.g_02880	Prbb.g_00297
OG0000079	Syaj.g_02609	Prbb.g_00308
OG0000081	Syaj.g_02888	Prbb.g_00534
OG0000082	Syaj.g_00229	Prbb.g_01882
OG0000084	Syaj.g_01375	Prbb.g_01683
OG0000085	Syaj.g_01707	Prbb.g_01816
OG0000086	Syaj.g_01848	Prbb.g_00143
OG0000087	Syaj.g_01945	Prbb.g_00196
OG0000088	Syaj.g_01986	Prbb.g_00223
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbb.g_00416
OG0000090	Syaj.g_00144	Prbb.g_00536
OG0000091	Syaj.g_01275	Prbb.g_00643
OG0000092	Syaj.g_00339	Prbb.g_00937
OG0000093	Syaj.g_01042	Prbb.g_00768
OG0000094	Syaj.g_00804	Prbb.g_00892
OG0000095	Syaj.g_00427	Prbb.g_01070
OG0000097	Syaj.g_00589	Prbb.g_01470
OG0000098	Syaj.g_02671	Prbb.g_01608
OG0000099	Syaj.g_02503	Prbb.g_00388
OG0000100	Syaj.g_00987	Prbb.g_01763
OG0000101	Syaj.g_02738	Prbb.g_02001
OG0000102	Syaj.g_02411	Prbb.g_02066
OG0000103	Syaj.g_02243	Prbb.g_02174
OG0000104	Syaj.g_02258	Prbb.g_02185
OG0000105	Syaj.g_02573	Prbb.g_00327
OG0000106	Syaj.g_01130	Prbb.g_01197, Prbb.g_01329
OG0000107	Syaj.g_02637	Prbb.g_01923
OG0000108	Syaj.g_00072	Prbb.g_00484, Prbb.g_00485
OG0000109	Syaj.g_00087	Prbb.g_00498
OG0000110	Syaj.g_00215	Prbb.g_00578
OG0000111	Syaj.g_00437	Prbb.g_00707
OG0000112	Syaj.g_00907	Prbb.g_00983
OG0000113	Syaj.g_00992	Prbb.g_00807, Prbb.g_01218
OG0000114	Syaj.g_00741	Prbb.g_00932
OG0000115	Syaj.g_01402	Prbb.g_01780
OG0000116	Syaj.g_00289	Prbb.g_01528
OG0000117	Syaj.g_00637	Prbb.g_01399
OG0000118	Syaj.g_00267	Prbb.g_01598
OG0000119	Syaj.g_00317	Prbb.g_01632
OG0000120	Syaj.g_02502	Prbb.g_00678
OG0000121	Syaj.g_01383	Prbb.g_01688
OG0000122	Syaj.g_01250	Prbb.g_01727
OG0000123	Syaj.g_02745	Prbb.g_02008
OG0000125	Syaj.g_02117	Prbb.g_02131
OG0000126	Syaj.g_02256	Prbb.g_02183
OG0000127	Syaj.g_00538	Prbb.g_01346
OG0000128	Syaj.g_02274	Prbb.g_00012
OG0000129	Syaj.g_02106	Prbb.g_00059
OG0000130	Syaj.g_01818	Prbb.g_00124
OG0000131	Syaj.g_01964	Prbb.g_00202
OG0000132	Syaj.g_00688, Syaj.g_01984	Prbb.g_00221
OG0000133	Syaj.g_00902	Prbb.g_00373
OG0000134	Syaj.g_02832	Prbb.g_00418
OG0000135	Syaj.g_02167	Prbb.g_01326
OG0000136	Syaj.g_01550	Prbb.g_00446
OG0000137	Syaj.g_01444	Prbb.g_00478
