Orthogroup	Prax	Prat
OG0000000	Prax.g_01870	Prat.g_00977
OG0000000	Prax.g_00964	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462
OG0000002	Prax.g_01878	Prat.g_01285, Prat.g_01286
OG0000002	Prax.g_00522	Prat.g_00851
OG0000003	Prax.g_00494, Prax.g_01919	Prat.g_01190
OG0000004	Prax.g_00444, Prax.g_00437, Prax.g_01924	Prat.g_00824
OG0000006	Prax.g_00704	Prat.g_00458
OG0000006	Prax.g_01559	Prat.g_01592
OG0000009	Prax.g_00393	Prat.g_01180
OG0000009	Prax.g_00926	Prat.g_00255
OG0000010	Prax.g_00500, Prax.g_00141, Prax.g_01936	Prat.g_00634
OG0000012	Prax.g_00057	Prat.g_00560, Prat.g_00567
OG0000013	Prax.g_00523	Prat.g_00701
OG0000014	Prax.g_01916	Prat.g_01474, Prat.g_01548
OG0000015	Prax.g_00793	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Prax.g_01867	Prat.g_00647, Prat.g_01452
OG0000018	Prax.g_01972	Prat.g_00248
OG0000019	Prax.g_01587	Prat.g_00461
OG0000020	Prax.g_00799, Prax.g_00173, Prax.g_00512	Prat.g_00278
OG0000022	Prax.g_01917	Prat.g_01191
OG0000023	Prax.g_01950	Prat.g_01451
OG0000024	Prax.g_00869	Prat.g_00314, Prat.g_01267
OG0000025	Prax.g_00448	Prat.g_00685
OG0000028	Prax.g_01733	Prat.g_01353, Prat.g_01352
OG0000029	Prax.g_01616	Prat.g_01400
OG0000030	Prax.g_01976	Prat.g_01473
OG0000032	Prax.g_01831	Prat.g_01266
OG0000036	Prax.g_00045	Prat.g_01507
OG0000037	Prax.g_00082	Prat.g_00586
OG0000038	Prax.g_00415	Prat.g_01192, Prat.g_01448
OG0000039	Prax.g_01052	Prat.g_00166
OG0000040	Prax.g_00813	Prat.g_00834
OG0000042	Prax.g_00485	Prat.g_00788
OG0000043	Prax.g_00388	Prat.g_00856
OG0000045	Prax.g_01823	Prat.g_01311
OG0000046	Prax.g_01566	Prat.g_01584
OG0000047	Prax.g_01394	Prat.g_01788
OG0000048	Prax.g_01401	Prat.g_01796
OG0000050	Prax.g_00458	Prat.g_00033
OG0000051	Prax.g_01061	Prat.g_00157
OG0000052	Prax.g_00803	Prat.g_00637
OG0000053	Prax.g_00662	Prat.g_01499
OG0000054	Prax.g_00421	Prat.g_01503
OG0000055	Prax.g_00351	Prat.g_01014
OG0000056	Prax.g_00148	Prat.g_01463, Prat.g_00666
OG0000057	Prax.g_00981, Prax.g_01581	Prat.g_00242
OG0000058	Prax.g_00727	Prat.g_00434
OG0000059	Prax.g_00944	Prat.g_00775
OG0000062	Prax.g_00161	Prat.g_01561, Prat.g_01495
OG0000063	Prax.g_01959	Prat.g_01129
OG0000065	Prax.g_01899	Prat.g_01249
OG0000066	Prax.g_01832	Prat.g_00344
OG0000067	Prax.g_00454	Prat.g_01532
OG0000068	Prax.g_01338	Prat.g_01726
OG0000069	Prax.g_01838	Prat.g_01394
OG0000071	Prax.g_01974	Prat.g_00012, Prat.g_00011
OG0000072	Prax.g_01783	Prat.g_00329
OG0000073	Prax.g_00973	Prat.g_01054
OG0000074	Prax.g_00951	Prat.g_00765
OG0000075	Prax.g_00366	Prat.g_01030
OG0000076	Prax.g_01204	Prat.g_00965
OG0000078	Prax.g_01825	Prat.g_01312
OG0000079	Prax.g_01650	Prat.g_01442
OG0000080	Prax.g_01600	Prat.g_01539
OG0000081	Prax.g_01368	Prat.g_01759
OG0000082	Prax.g_01456	Prat.g_01853
OG0000083	Prax.g_01493	Prat.g_00003
OG0000084	Prax.g_01496	Prat.g_00006
OG0000085	Prax.g_00290	Prat.g_01314, Prat.g_00024
OG0000086	Prax.g_00274	Prat.g_00614
OG0000087	Prax.g_00624	Prat.g_00054
OG0000088	Prax.g_01106	Prat.g_00112
OG0000089	Prax.g_01097	Prat.g_00121
OG0000090	Prax.g_01079	Prat.g_00138
OG0000091	Prax.g_01049	Prat.g_00170
OG0000092	Prax.g_01048	Prat.g_00171
OG0000093	Prax.g_01034	Prat.g_00185
OG0000094	Prax.g_01016	Prat.g_00204
OG0000095	Prax.g_01011	Prat.g_00209
OG0000096	Prax.g_00924	Prat.g_00257
OG0000097	Prax.g_00901	Prat.g_00281
OG0000098	Prax.g_00891	Prat.g_00292
OG0000099	Prax.g_00881	Prat.g_00302
OG0000100	Prax.g_00878	Prat.g_00305
OG0000101	Prax.g_00816	Prat.g_00372
OG0000102	Prax.g_00792	Prat.g_01477
OG0000103	Prax.g_00726	Prat.g_00435
OG0000104	Prax.g_00722	Prat.g_00440
OG0000105	Prax.g_00702	Prat.g_00462
OG0000106	Prax.g_00669	Prat.g_00494
OG0000107	Prax.g_00668	Prat.g_00495
OG0000108	Prax.g_00004	Prat.g_00504
OG0000109	Prax.g_00013	Prat.g_00514, Prat.g_00513
OG0000110	Prax.g_00029	Prat.g_00532
OG0000111	Prax.g_00110	Prat.g_01073
OG0000112	Prax.g_00111	Prat.g_01072
OG0000113	Prax.g_00463	Prat.g_00815
OG0000114	Prax.g_00375	Prat.g_01039
OG0000115	Prax.g_01129	Prat.g_00896
OG0000116	Prax.g_01133	Prat.g_00900
OG0000117	Prax.g_01201	Prat.g_00962
OG0000118	Prax.g_01254	Prat.g_01208
OG0000119	Prax.g_00164	Prat.g_01557
OG0000120	Prax.g_00206	Prat.g_01150
OG0000121	Prax.g_00225	Prat.g_01127
OG0000122	Prax.g_00244	Prat.g_01107
OG0000123	Prax.g_00257	Prat.g_00595
OG0000124	Prax.g_01789	Prat.g_01509
OG0000125	Prax.g_01887	Prat.g_01261
OG0000126	Prax.g_01863	Prat.g_01291
OG0000127	Prax.g_01746	Prat.g_01338
OG0000128	Prax.g_01727	Prat.g_01354
OG0000129	Prax.g_01691	Prat.g_01392
OG0000130	Prax.g_01561	Prat.g_01589
OG0000131	Prax.g_01523	Prat.g_01377, Prat.g_01628
OG0000132	Prax.g_01520	Prat.g_01631
OG0000133	Prax.g_01297	Prat.g_01685
OG0000134	Prax.g_01333	Prat.g_01720
OG0000135	Prax.g_01335	Prat.g_01722
OG0000136	Prax.g_01379	Prat.g_01771
OG0000137	Prax.g_01411	Prat.g_01806
OG0000138	Prax.g_01447	Prat.g_01841
OG0000139	Prax.g_01473	Prat.g_01873
OG0000140	Prax.g_01491	Prat.g_00001
OG0000141	Prax.g_01492	Prat.g_00002
OG0000142	Prax.g_01494	Prat.g_00004
OG0000143	Prax.g_01495	Prat.g_00005
OG0000144	Prax.g_01497	Prat.g_00007
OG0000145	Prax.g_01498	Prat.g_00008
OG0000146	Prax.g_01499	Prat.g_00009
OG0000147	Prax.g_01975	Prat.g_00010
OG0000148	Prax.g_01973	Prat.g_00013
OG0000149	Prax.g_00299	Prat.g_00015
OG0000150	Prax.g_00298	Prat.g_00016
OG0000151	Prax.g_00297	Prat.g_00017
OG0000152	Prax.g_00296	Prat.g_00018
OG0000153	Prax.g_00295	Prat.g_00019
OG0000154	Prax.g_00294	Prat.g_00020
OG0000155	Prax.g_00293	Prat.g_00021
OG0000156	Prax.g_00292	Prat.g_00022
OG0000157	Prax.g_00291	Prat.g_00023
OG0000158	Prax.g_00289	Prat.g_00025
OG0000159	Prax.g_00288	Prat.g_00026
OG0000160	Prax.g_00287	Prat.g_00027
OG0000161	Prax.g_00286	Prat.g_00028
OG0000162	Prax.g_00285	Prat.g_00029
OG0000163	Prax.g_00284	Prat.g_00031
OG0000164	Prax.g_00281	Prat.g_00034
OG0000165	Prax.g_00278	Prat.g_00036
OG0000166	Prax.g_00277	Prat.g_00037
OG0000167	Prax.g_00276	Prat.g_00038
OG0000168	Prax.g_00273	Prat.g_00042
OG0000169	Prax.g_00271	Prat.g_00044
OG0000170	Prax.g_00270	Prat.g_00046
OG0000171	Prax.g_00269	Prat.g_00047
OG0000172	Prax.g_00261	Prat.g_00048
OG0000173	Prax.g_00621	Prat.g_00051
OG0000174	Prax.g_00622	Prat.g_00052
OG0000175	Prax.g_00623	Prat.g_00053
OG0000176	Prax.g_00625	Prat.g_00055
OG0000177	Prax.g_00626	Prat.g_00056
OG0000178	Prax.g_00627	Prat.g_00057
OG0000179	Prax.g_00635	Prat.g_00060
OG0000180	Prax.g_00636	Prat.g_00061
OG0000181	Prax.g_00637	Prat.g_00062
OG0000182	Prax.g_00640	Prat.g_00066
OG0000183	Prax.g_00641	Prat.g_00067
OG0000184	Prax.g_00644	Prat.g_00070
OG0000185	Prax.g_00648	Prat.g_00074
OG0000186	Prax.g_00649	Prat.g_00075
OG0000187	Prax.g_00650	Prat.g_01504
OG0000188	Prax.g_00651	Prat.g_00076
OG0000189	Prax.g_00652	Prat.g_00079
OG0000190	Prax.g_00653	Prat.g_00080
OG0000191	Prax.g_00654	Prat.g_00081
OG0000192	Prax.g_00655	Prat.g_00082
OG0000193	Prax.g_00656	Prat.g_00083
OG0000194	Prax.g_00657	Prat.g_00084
OG0000195	Prax.g_00659	Prat.g_00086
OG0000196	Prax.g_00660	Prat.g_00087
OG0000197	Prax.g_01128	Prat.g_00088
OG0000198	Prax.g_01127	Prat.g_00089
OG0000199	Prax.g_01124	Prat.g_00091
OG0000200	Prax.g_01123	Prat.g_00092
OG0000201	Prax.g_01122	Prat.g_00093
OG0000202	Prax.g_01121	Prat.g_00094
OG0000203	Prax.g_01120	Prat.g_00095
OG0000204	Prax.g_01119	Prat.g_00096
OG0000205	Prax.g_01118	Prat.g_00098
OG0000206	Prax.g_01117	Prat.g_00099
OG0000207	Prax.g_01116	Prat.g_00100
OG0000208	Prax.g_01115	Prat.g_00101
OG0000209	Prax.g_01114	Prat.g_00102
OG0000210	Prax.g_01113	Prat.g_00103
OG0000211	Prax.g_01112	Prat.g_00104
OG0000212	Prax.g_01111	Prat.g_00105
OG0000213	Prax.g_01110	Prat.g_00106
OG0000214	Prax.g_01108	Prat.g_00110
OG0000215	Prax.g_01107	Prat.g_00111
