Orthogroup	Prax	Prar
OG0000000	Prax.g_01870	Prar.g_00918
OG0000000	Prax.g_00964	Prar.g_01508
OG0000001	Prax.g_00259	Prar.g_01204
OG0000001	Prax.g_01609	Prar.g_01204
OG0000001	Prax.g_01920	Prar.g_00730
OG0000002	Prax.g_01878	Prar.g_00926
OG0000003	Prax.g_00494, Prax.g_01919	Prar.g_00973
OG0000004	Prax.g_00444	Prar.g_01623
OG0000004	Prax.g_00437	Prar.g_01630
OG0000005	Prax.g_00496	Prar.g_00713
OG0000005	Prax.g_01608	Prar.g_00729
OG0000006	Prax.g_00704	Prar.g_01328
OG0000006	Prax.g_01559	Prar.g_01143
OG0000007	Prax.g_00970	Prar.g_01502
OG0000008	Prax.g_00791	Prar.g_00445
OG0000008	Prax.g_01958	Prar.g_01002
OG0000008	Prax.g_01960	Prar.g_01160
OG0000009	Prax.g_00393	Prar.g_01663
OG0000009	Prax.g_00926	Prar.g_00078
OG0000010	Prax.g_00500	Prar.g_01006
OG0000010	Prax.g_00141	Prar.g_01313
OG0000010	Prax.g_01936	Prar.g_00991
OG0000011	Prax.g_00843	Prar.g_00257
OG0000012	Prax.g_00057	Prar.g_01428
OG0000013	Prax.g_00523, Prax.g_00410	Prar.g_01179
OG0000014	Prax.g_01916	Prar.g_00520
OG0000015	Prax.g_00793	Prar.g_00443
OG0000016	Prax.g_01867	Prar.g_00915
OG0000017	Prax.g_01708	Prar.g_00827
OG0000018	Prax.g_01972	Prar.g_00086
OG0000019	Prax.g_00808, Prax.g_01587	Prar.g_00425
OG0000020	Prax.g_00799, Prax.g_00173, Prax.g_00512	Prar.g_00435
OG0000021	Prax.g_00391	Prar.g_01665
OG0000022	Prax.g_01917	Prar.g_00971
OG0000023	Prax.g_01617, Prax.g_01950	Prar.g_00737
OG0000024	Prax.g_00869	Prar.g_00281
OG0000025	Prax.g_01240, Prax.g_00448	Prar.g_01940
OG0000026	Prax.g_00280	Prar.g_00004
OG0000027	Prax.g_00441	Prar.g_01626
OG0000027	Prax.g_01641	Prar.g_00761
OG0000028	Prax.g_01733, Prax.g_01728	Prar.g_00339
OG0000029	Prax.g_01616	Prar.g_00736
OG0000030	Prax.g_01976	Prar.g_00593
OG0000032	Prax.g_01831	Prar.g_00879
OG0000035	Prax.g_01244	Prar.g_01943
OG0000036	Prax.g_00045	Prar.g_01414
OG0000037	Prax.g_00082	Prar.g_01453
OG0000038	Prax.g_00415	Prar.g_01649
OG0000039	Prax.g_01052	Prar.g_00161
OG0000040	Prax.g_00813	Prar.g_00420
OG0000041	Prax.g_00772	Prar.g_00476
OG0000042	Prax.g_00485	Prar.g_01599
OG0000043	Prax.g_00388	Prar.g_01668
OG0000044	Prax.g_00200	Prar.g_01263
OG0000045	Prax.g_01823	Prar.g_00870
OG0000046	Prax.g_01566	Prar.g_01150
OG0000047	Prax.g_01394	Prar.g_00653
OG0000048	Prax.g_01401	Prar.g_00660
OG0000050	Prax.g_00458, Prax.g_00282	Prar.g_00007
OG0000051	Prax.g_01061	Prar.g_00170
OG0000052	Prax.g_00803	Prar.g_00431
OG0000053	Prax.g_00662	Prar.g_01369
OG0000054	Prax.g_00421, Prax.g_00457	Prar.g_01644
OG0000055	Prax.g_00351	Prar.g_01706
OG0000056	Prax.g_00148	Prar.g_01307
OG0000057	Prax.g_00981, Prax.g_01581	Prar.g_00090
OG0000058	Prax.g_00727	Prar.g_00525
OG0000059	Prax.g_00944	Prar.g_01528
OG0000060	Prax.g_00439	Prar.g_01628
OG0000061	Prax.g_00159	Prar.g_01298
OG0000061	Prax.g_01149	Prar.g_01298
OG0000062	Prax.g_00161	Prar.g_01296
OG0000063	Prax.g_01959	Prar.g_01003
OG0000064	Prax.g_01948, Prax.g_00456, Prax.g_01589, Prax.g_01580	Prar.g_00997
OG0000065	Prax.g_01899	Prar.g_00955
OG0000066	Prax.g_01832	Prar.g_00880
OG0000067	Prax.g_00454	Prar.g_00988
OG0000068	Prax.g_01338	Prar.g_01027
OG0000069	Prax.g_01838	Prar.g_00886
OG0000071	Prax.g_01974	Prar.g_00027
OG0000072	Prax.g_00852, Prax.g_01783, Prax.g_00853	Prar.g_00265
OG0000073	Prax.g_00973	Prar.g_01499
OG0000074	Prax.g_00951	Prar.g_01521
OG0000075	Prax.g_00366	Prar.g_01691
OG0000076	Prax.g_01204	Prar.g_01904
OG0000078	Prax.g_01825	Prar.g_00872
OG0000079	Prax.g_01650	Prar.g_00769
OG0000080	Prax.g_01600	Prar.g_01166
OG0000081	Prax.g_01368	Prar.g_00627
OG0000082	Prax.g_01456	Prar.g_00072
OG0000083	Prax.g_01493	Prar.g_00035
OG0000084	Prax.g_01496	Prar.g_00032
OG0000085	Prax.g_00290	Prar.g_00015
OG0000086	Prax.g_00274	Prar.g_00581
OG0000087	Prax.g_00624	Prar.g_00570
OG0000088	Prax.g_01106	Prar.g_00215
OG0000089	Prax.g_01097	Prar.g_00207
OG0000090	Prax.g_01079	Prar.g_00189
OG0000091	Prax.g_01049	Prar.g_00158
OG0000092	Prax.g_01048	Prar.g_00157
OG0000093	Prax.g_01034	Prar.g_00143
OG0000094	Prax.g_01016	Prar.g_00125
