Orthogroup	Prax	Prba
OG0000000	Prax.g_01870	Prba.g_00203
OG0000000	Prax.g_00964	Prba.g_01639
OG0000001	Prax.g_00259	Prba.g_00003
OG0000001	Prax.g_00259	Prba.g_00270
OG0000001	Prax.g_01609	Prba.g_00003
OG0000001	Prax.g_01609	Prba.g_00270
OG0000002	Prax.g_01878	Prba.g_00211
OG0000003	Prax.g_01606	Prba.g_00268
OG0000003	Prax.g_01919	Prba.g_01172
OG0000004	Prax.g_00444	Prba.g_01570
OG0000004	Prax.g_00437	Prba.g_01563
OG0000004	Prax.g_01924	Prba.g_01171
OG0000005	Prax.g_00496	Prba.g_00243
OG0000005	Prax.g_01608	Prba.g_00269
OG0000006	Prax.g_00704	Prba.g_00964
OG0000006	Prax.g_01559	Prba.g_00226
OG0000007	Prax.g_00970	Prba.g_01645
OG0000008	Prax.g_00791	Prba.g_00878
OG0000008	Prax.g_01162	Prba.g_01304
OG0000008	Prax.g_01958	Prba.g_00901
OG0000008	Prax.g_01960	Prba.g_01115
OG0000009	Prax.g_00393	Prba.g_01519
OG0000009	Prax.g_00926	Prba.g_00468
OG0000010	Prax.g_00141	Prba.g_00734
OG0000010	Prax.g_01936	Prba.g_01157
OG0000011	Prax.g_00843	Prba.g_00546
OG0000012	Prax.g_00057	Prba.g_01719
OG0000013	Prax.g_00523, Prax.g_00410	Prba.g_01538
OG0000014	Prax.g_01916	Prba.g_01175
OG0000015	Prax.g_00793	Prba.g_00876
OG0000016	Prax.g_01867	Prba.g_00200
OG0000017	Prax.g_01708	Prba.g_00693
OG0000018	Prax.g_01972	Prba.g_00460
OG0000019	Prax.g_00808	Prba.g_00858
OG0000019	Prax.g_01587	Prba.g_00245
OG0000020	Prax.g_00799	Prba.g_00868
OG0000021	Prax.g_00391	Prba.g_01517
OG0000022	Prax.g_01917	Prba.g_01174
OG0000023	Prax.g_01617	Prba.g_00276
OG0000023	Prax.g_01950	Prba.g_01142
OG0000024	Prax.g_00869	Prba.g_00522
OG0000025	Prax.g_01240	Prba.g_01229
OG0000025	Prax.g_00448	Prba.g_00899
OG0000026	Prax.g_00280	Prba.g_01826
OG0000027	Prax.g_00441	Prba.g_01567
OG0000027	Prax.g_01641	Prba.g_00301
