Orthogroup	Prax	Praa
OG0000000	Prax.g_01870	Praa.g_01359
OG0000000	Prax.g_00964	Praa.g_00678
OG0000001	Prax.g_01920	Praa.g_01297
OG0000002	Prax.g_01878	Praa.g_01351
OG0000003	Prax.g_01606	Praa.g_01599
OG0000003	Prax.g_00494	Praa.g_00413
OG0000003	Prax.g_01919	Praa.g_01298
OG0000004	Prax.g_00444	Praa.g_00735
OG0000004	Prax.g_00437	Praa.g_00742
OG0000004	Prax.g_01924	Praa.g_01294
OG0000005	Prax.g_00496	Praa.g_01244, Praa.g_01235
OG0000005	Prax.g_01608	Praa.g_01598
OG0000006	Prax.g_00704	Praa.g_00497
OG0000006	Prax.g_01559	Praa.g_01635
OG0000007	Prax.g_00970	Praa.g_00672
OG0000008	Prax.g_00791	Praa.g_00382
OG0000008	Prax.g_01162	Praa.g_00997
OG0000008	Prax.g_01958	Praa.g_01256
OG0000009	Prax.g_00393	Praa.g_00782
OG0000009	Prax.g_00926	Praa.g_00249
OG0000010	Prax.g_00141	Praa.g_01110
OG0000010	Prax.g_01936	Praa.g_01280
OG0000011	Prax.g_00843	Praa.g_00330
OG0000012	Prax.g_00057	Praa.g_00598
OG0000013	Prax.g_00410	Praa.g_00765
OG0000014	Prax.g_01916	Praa.g_01301
OG0000015	Prax.g_00793	Praa.g_00380
OG0000016	Prax.g_01867	Praa.g_01362
OG0000017	Prax.g_01708	Praa.g_01496
OG0000018	Prax.g_01972	Praa.g_00241
OG0000018	Prax.g_01972	Praa.g_01245
OG0000019	Prax.g_00808	Praa.g_00364
OG0000019	Prax.g_01587	Praa.g_01623
OG0000020	Prax.g_00799	Praa.g_00373
OG0000021	Prax.g_00391	Praa.g_00784
OG0000022	Prax.g_01917	Praa.g_01300
OG0000023	Prax.g_01617	Praa.g_01589
OG0000023	Prax.g_01950	Praa.g_01264
OG0000024	Prax.g_00869	Praa.g_00306
OG0000025	Prax.g_01240, Prax.g_00448	Praa.g_01075
OG0000026	Prax.g_00280	Praa.g_00033
OG0000027	Prax.g_00441	Praa.g_00738
OG0000027	Prax.g_01641	Praa.g_01564
OG0000028	Prax.g_01733, Prax.g_01728	Praa.g_01476
OG0000029	Prax.g_01616	Praa.g_01590
OG0000030	Prax.g_01976	Praa.g_01221
OG0000031	Prax.g_01927	Praa.g_01291
OG0000036	Prax.g_00045	Praa.g_00585
OG0000037	Prax.g_00082	Praa.g_00623
OG0000038	Prax.g_00415	Praa.g_00763
OG0000039	Prax.g_01052	Praa.g_00166
OG0000040	Prax.g_00813	Praa.g_00359
OG0000041	Prax.g_00772	Praa.g_00399
OG0000042	Prax.g_00485	Praa.g_00711
OG0000043	Prax.g_00388	Praa.g_00787
OG0000044	Prax.g_00200	Praa.g_01159
OG0000045	Prax.g_01823	Praa.g_01425
OG0000046	Prax.g_01566	Praa.g_01628
OG0000047	Prax.g_01394	Praa.g_01832
OG0000048	Prax.g_01401	Praa.g_01839
OG0000050	Prax.g_00458, Prax.g_00282	Praa.g_00031
OG0000051	Prax.g_01061	Praa.g_00157
OG0000052	Prax.g_00803	Praa.g_00369
OG0000053	Prax.g_00662	Praa.g_00539
OG0000054	Prax.g_00421	Praa.g_00757
OG0000055	Prax.g_00351	Praa.g_00826
OG0000056	Prax.g_00148	Praa.g_01117
OG0000058	Prax.g_00727	Praa.g_00475, Praa.g_01414
OG0000059	Prax.g_00944	Praa.g_00698
OG0000060	Prax.g_00439	Praa.g_00740
OG0000061	Prax.g_00159	Praa.g_01125
OG0000061	Prax.g_01149	Praa.g_00984
OG0000062	Prax.g_00161	Praa.g_01127
OG0000063	Prax.g_01959	Praa.g_01255
OG0000064	Prax.g_01948	Praa.g_01268
OG0000064	Prax.g_01589	Praa.g_01620
OG0000065	Prax.g_01899	Praa.g_01318
OG0000066	Prax.g_01832	Praa.g_01387
OG0000067	Prax.g_00454	Praa.g_01626
OG0000068	Prax.g_01338	Praa.g_01775
OG0000071	Prax.g_01974	Praa.g_00011
OG0000072	Prax.g_00852, Prax.g_01783	Praa.g_00322
OG0000073	Prax.g_00973	Praa.g_00669
OG0000074	Prax.g_00951	Praa.g_00691
OG0000075	Prax.g_00366	Praa.g_00810
OG0000076	Prax.g_01204	Praa.g_01039
OG0000078	Prax.g_01825	Praa.g_01394
OG0000079	Prax.g_01650	Praa.g_01555
OG0000080	Prax.g_01600	Praa.g_01606
OG0000081	Prax.g_01368	Praa.g_01806
OG0000082	Prax.g_01456	Praa.g_01894
OG0000083	Prax.g_01493	Praa.g_00003
OG0000084	Prax.g_01496	Praa.g_00006
OG0000085	Prax.g_00290	Praa.g_00023
OG0000086	Prax.g_00274	Praa.g_00039, Praa.g_00409
OG0000087	Prax.g_00624	Praa.g_00049
OG0000088	Prax.g_01106	Praa.g_00113
OG0000089	Prax.g_01097	Praa.g_00121
OG0000090	Prax.g_01079	Praa.g_00139
OG0000091	Prax.g_01049	Praa.g_00169
OG0000092	Prax.g_01048	Praa.g_00170
OG0000093	Prax.g_01034	Praa.g_00184
OG0000094	Prax.g_01016	Praa.g_00202
OG0000095	Prax.g_01011	Praa.g_00207
OG0000096	Prax.g_00924	Praa.g_00251
OG0000097	Prax.g_00901	Praa.g_00274
OG0000098	Prax.g_00891	Praa.g_00284
OG0000099	Prax.g_00881	Praa.g_00294
OG0000100	Prax.g_00878	Praa.g_00297
OG0000101	Prax.g_00816	Praa.g_00356
OG0000102	Prax.g_00792	Praa.g_00381
OG0000103	Prax.g_00726	Praa.g_00476
OG0000104	Prax.g_00722	Praa.g_00480
OG0000105	Prax.g_00702	Praa.g_00499
OG0000106	Prax.g_00669	Praa.g_00532
OG0000107	Prax.g_00668	Praa.g_00533
OG0000108	Prax.g_00004	Praa.g_00544
OG0000109	Prax.g_00013	Praa.g_00553
OG0000110	Prax.g_00029	Praa.g_00569
OG0000111	Prax.g_00110	Praa.g_00651
OG0000112	Prax.g_00111	Praa.g_00652
OG0000113	Prax.g_00463	Praa.g_00733
OG0000114	Prax.g_00375	Praa.g_00801
OG0000115	Prax.g_01129	Praa.g_00964
OG0000116	Prax.g_01133	Praa.g_00968
OG0000117	Prax.g_01201	Praa.g_01036
OG0000118	Prax.g_01254	Praa.g_01089
OG0000119	Prax.g_00164	Praa.g_01130
OG0000120	Prax.g_00206	Praa.g_01165
OG0000121	Prax.g_00225	Praa.g_01184
OG0000122	Prax.g_00244	Praa.g_01203
OG0000123	Prax.g_00257	Praa.g_01216
OG0000124	Prax.g_01789	Praa.g_01224
OG0000125	Prax.g_01887	Praa.g_01330
OG0000126	Prax.g_01863	Praa.g_01366
OG0000127	Prax.g_01746	Praa.g_01463
