Orthogroup	Prbi	Prar
OG0000000	Prbi.g_01709	Prar.g_00729
OG0000000	Prbi.g_01708	Prar.g_00730
OG0000001	Prbi.g_01432	Prar.g_00918
OG0000001	Prbi.g_00681	Prar.g_01508
OG0000002	Prbi.g_01270	Prar.g_01202
OG0000002	Prbi.g_01424	Prar.g_00926
OG0000003	Prbi.g_00047	Prar.g_00593
OG0000004	Prbi.g_01371	Prar.g_00973
OG0000004	Prbi.g_01710	Prar.g_00727
OG0000005	Prbi.g_00775	Prar.g_01623
OG0000005	Prbi.g_00782	Prar.g_01630
OG0000006	Prbi.g_01352	Prar.g_00991
OG0000006	Prbi.g_00797	Prar.g_01643
OG0000006	Prbi.g_01156	Prar.g_01313
OG0000007	Prbi.g_01331	Prar.g_01002
OG0000007	Prbi.g_00408	Prar.g_00445
OG0000008	Prbi.g_00500	Prar.g_01328
OG0000008	Prbi.g_01787	Prar.g_01143
OG0000009	Prbi.g_01745	Prar.g_00931
OG0000009	Prbi.g_01272, Prbi.g_01771, Prbi.g_01276	Prar.g_01009
OG0000010	Prbi.g_00827	Prar.g_01663
OG0000010	Prbi.g_00273	Prar.g_00078
OG0000011	Prbi.g_00399	Prar.g_00436
OG0000012	Prbi.g_00398	Prar.g_00435
OG0000013	Prbi.g_01701	Prar.g_00737
OG0000013	Prbi.g_00112	Prar.g_00223
OG0000014	Prbi.g_01502, Prbi.g_00330	Prar.g_00281
OG0000015	Prbi.g_00354	Prar.g_00257
OG0000016	Prbi.g_01304	Prar.g_01179
OG0000017	Prbi.g_00472	Prar.g_00520
OG0000018	Prbi.g_00600	Prar.g_01428
OG0000019	Prbi.g_00406	Prar.g_00443
OG0000020	Prbi.g_01435	Prar.g_00915
OG0000021	Prbi.g_01611	Prar.g_00827
OG0000022	Prbi.g_00265	Prar.g_00086
OG0000023	Prbi.g_00389	Prar.g_00425
OG0000024	Prbi.g_01360	Prar.g_00979
OG0000025	Prbi.g_00788	Prar.g_01634
OG0000026	Prbi.g_01373	Prar.g_00971
OG0000027	Prbi.g_00675	Prar.g_01502
OG0000028	Prbi.g_01536	Prar.g_01185
OG0000028	Prbi.g_01344	Prar.g_00996
OG0000029	Prbi.g_00828	Prar.g_01664
OG0000030	Prbi.g_00829	Prar.g_01665
OG0000031	Prbi.g_02001	Prar.g_00660
OG0000032	Prbi.g_00033	Prar.g_00004, Prar.g_00005
OG0000033	Prbi.g_01677	Prar.g_00761
OG0000033	Prbi.g_00778	Prar.g_01626
OG0000034	Prbi.g_01589, Prbi.g_01591	Prar.g_00339
OG0000035	Prbi.g_01702	Prar.g_00736
OG0000036	Prbi.g_01153	Prar.g_01315
OG0000039	Prbi.g_00013	Prar.g_00025
OG0000040	Prbi.g_01361, Prbi.g_00426	Prar.g_00978
OG0000041	Prbi.g_00625	Prar.g_01453
OG0000042	Prbi.g_02059	Prar.g_00704
OG0000043	Prbi.g_00936	Prar.g_01761
OG0000045	Prbi.g_00587	Prar.g_01414
OG0000046	Prbi.g_00805	Prar.g_01649
OG0000047	Prbi.g_01207	Prar.g_01263
OG0000049	Prbi.g_01461	Prar.g_00870, Prar.g_00362
OG0000050	Prbi.g_00190	Prar.g_00161
OG0000051	Prbi.g_00384	Prar.g_00420
OG0000053	Prbi.g_00745	Prar.g_01599
OG0000054	Prbi.g_01780	Prar.g_01150
OG0000055	Prbi.g_01994	Prar.g_00653
OG0000056	Prbi.g_00031	Prar.g_00007
OG0000057	Prbi.g_00181	Prar.g_00170, Prar.g_01569
OG0000058	Prbi.g_00394	Prar.g_00431
OG0000059	Prbi.g_00542	Prar.g_01369
OG0000060	Prbi.g_00758	Prar.g_01612
OG0000061	Prbi.g_00799	Prar.g_01644
OG0000062	Prbi.g_00869	Prar.g_01706
OG0000063	Prbi.g_01163	Prar.g_01307
OG0000065	Prbi.g_00261	Prar.g_00090
OG0000066	Prbi.g_00478	Prar.g_00525
OG0000067	Prbi.g_00702	Prar.g_01528
OG0000068	Prbi.g_00780	Prar.g_01628
OG0000069	Prbi.g_01172	Prar.g_01298
OG0000070	Prbi.g_01086	Prar.g_01904
OG0000071	Prbi.g_01330	Prar.g_01003
OG0000072	Prbi.g_01391	Prar.g_00955
OG0000073	Prbi.g_01407	Prar.g_00934
OG0000074	Prbi.g_01460	Prar.g_00880
OG0000075	Prbi.g_01938	Prar.g_01027
OG0000076	Prbi.g_01497	Prar.g_00886
OG0000077	Prbi.g_00011	Prar.g_00027
OG0000078	Prbi.g_00346	Prar.g_00265
OG0000079	Prbi.g_00407	Prar.g_00444
OG0000080	Prbi.g_00672	Prar.g_01499
OG0000081	Prbi.g_00694	Prar.g_01521
OG0000082	Prbi.g_00854	Prar.g_01691
OG0000083	Prbi.g_00918	Prar.g_01755
OG0000084	Prbi.g_01009	Prar.g_01833
OG0000085	Prbi.g_01136	Prar.g_01953
OG0000086	Prbi.g_01174	Prar.g_01296
OG0000088	Prbi.g_01336	Prar.g_00998
OG0000089	Prbi.g_01749, Prbi.g_01341	Prar.g_00997
OG0000090	Prbi.g_01462	Prar.g_00872
OG0000091	Prbi.g_01599	Prar.g_00839
OG0000092	Prbi.g_01725	Prar.g_01166
OG0000093	Prbi.g_01873	Prar.g_01090
OG0000094	Prbi.g_01935	Prar.g_01030
OG0000095	Prbi.g_01968	Prar.g_00627
OG0000096	Prbi.g_02051	Prar.g_00696
OG0000097	Prbi.g_02069	Prar.g_00072
OG0000098	Prbi.g_00003	Prar.g_00035
OG0000099	Prbi.g_00023	Prar.g_00015
OG0000100	Prbi.g_00048	Prar.g_00581
OG0000101	Prbi.g_00060	Prar.g_00570
OG0000102	Prbi.g_00120	Prar.g_00215
OG0000103	Prbi.g_00129	Prar.g_00207
OG0000104	Prbi.g_00147	Prar.g_00189
OG0000105	Prbi.g_00194	Prar.g_00157
OG0000106	Prbi.g_00208	Prar.g_00143
OG0000107	Prbi.g_00216	Prar.g_00135
OG0000108	Prbi.g_00226	Prar.g_00125
OG0000109	Prbi.g_00263	Prar.g_00088
OG0000110	Prbi.g_00275	Prar.g_00076
OG0000111	Prbi.g_00298	Prar.g_00313
OG0000112	Prbi.g_00308	Prar.g_00303
OG0000113	Prbi.g_00321	Prar.g_00290
OG0000114	Prbi.g_00349	Prar.g_00262
OG0000115	Prbi.g_00477	Prar.g_00524
OG0000116	Prbi.g_00479	Prar.g_00526
OG0000117	Prbi.g_00483	Prar.g_00530
OG0000118	Prbi.g_00502	Prar.g_01330
OG0000119	Prbi.g_00535	Prar.g_01362
OG0000120	Prbi.g_00536	Prar.g_01363
OG0000121	Prbi.g_00546	Prar.g_01373
OG0000122	Prbi.g_00555	Prar.g_01382
OG0000123	Prbi.g_00586	Prar.g_01413
OG0000124	Prbi.g_00654	Prar.g_01481
OG0000125	Prbi.g_00655	Prar.g_01482
OG0000126	Prbi.g_00656	Prar.g_01483
OG0000127	Prbi.g_00689	Prar.g_01516
OG0000128	Prbi.g_00747	Prar.g_01601
OG0000129	Prbi.g_00767	Prar.g_01621
OG0000130	Prbi.g_00832	Prar.g_01668
OG0000131	Prbi.g_00845	Prar.g_01682
OG0000132	Prbi.g_00881	Prar.g_01717
OG0000133	Prbi.g_00968	Prar.g_01792
OG0000134	Prbi.g_00977	Prar.g_01801
OG0000135	Prbi.g_01013	Prar.g_01837
OG0000136	Prbi.g_01083	Prar.g_01901
OG0000137	Prbi.g_01177	Prar.g_01293
OG0000138	Prbi.g_01202	Prar.g_01268
OG0000139	Prbi.g_01213	Prar.g_01257
OG0000140	Prbi.g_01264	Prar.g_01206
OG0000141	Prbi.g_01277	Prar.g_00376
OG0000142	Prbi.g_01403	Prar.g_00943
OG0000143	Prbi.g_01439	Prar.g_00911
OG0000144	Prbi.g_01576	Prar.g_00352
OG0000145	Prbi.g_01592	Prar.g_00338
OG0000146	Prbi.g_01627	Prar.g_00810
OG0000147	Prbi.g_01667	Prar.g_00770
OG0000148	Prbi.g_01668	Prar.g_00769
OG0000149	Prbi.g_01785	Prar.g_01145
OG0000150	Prbi.g_01823	Prar.g_01959
