Orthogroup	Prbi	Prbb
OG0000000	Prbi.g_01709	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbi.g_01268, Prbi.g_01708	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Prbi.g_01432	Prbb.g_00844
OG0000001	Prbi.g_00681	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prbi.g_01270	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prbi.g_01424	Prbb.g_01611
OG0000003	Prbi.g_00047	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Prbi.g_01371, Prbi.g_01710	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prbi.g_00782	Prbb.g_00425, Prbb.g_00748
OG0000006	Prbi.g_01352, Prbi.g_00797, Prbi.g_01156	Prbb.g_01294
OG0000007	Prbi.g_01329	Prbb.g_01264, Prbb.g_01814
OG0000008	Prbi.g_00500	Prbb.g_00501
OG0000008	Prbi.g_01787	Prbb.g_01823
OG0000010	Prbi.g_00827	Prbb.g_00757, Prbb.g_00761
OG0000011	Prbi.g_00796	Prbb.g_01800
OG0000015	Prbi.g_00354	Prbb.g_00386
OG0000016	Prbi.g_00810, Prbi.g_01304	Prbb.g_01158
OG0000017	Prbi.g_01374, Prbi.g_00472	Prbb.g_01375
OG0000018	Prbi.g_00600	Prbb.g_00598
OG0000019	Prbi.g_00406	Prbb.g_01189
OG0000020	Prbi.g_01435	Prbb.g_01632
OG0000021	Prbi.g_01611	Prbb.g_01705
OG0000022	Prbi.g_00265	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prbi.g_01742, Prbi.g_00389	Prbb.g_00099
OG0000024	Prbi.g_01360	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Prbi.g_00788	Prbb.g_01175, Prbb.g_00680
OG0000026	Prbi.g_01373	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000027	Prbi.g_01765	Prbb.g_01885
