Orthogroup	Prbi	Pray
OG0000000	Prbi.g_01709	Pray.g_01603
OG0000000	Prbi.g_01708	Pray.g_01604
OG0000001	Prbi.g_01432	Pray.g_01836
OG0000001	Prbi.g_00681	Pray.g_01085
OG0000002	Prbi.g_01270	Pray.g_00247, Pray.g_00246
OG0000002	Prbi.g_01424	Pray.g_01844
OG0000003	Prbi.g_00047	Pray.g_00245
OG0000004	Prbi.g_01371	Pray.g_01890
OG0000004	Prbi.g_01710	Pray.g_01602
OG0000005	Prbi.g_00775	Pray.g_00277
OG0000005	Prbi.g_00782	Pray.g_00284
OG0000006	Prbi.g_01352	Pray.g_01905
OG0000006	Prbi.g_00797	Pray.g_00297
OG0000006	Prbi.g_01156	Pray.g_00117
OG0000007	Prbi.g_01042	Pray.g_00544
OG0000007	Prbi.g_01331	Pray.g_00885
OG0000007	Prbi.g_00408	Pray.g_00862
OG0000008	Prbi.g_00500	Pray.g_00987
OG0000008	Prbi.g_01787	Pray.g_01559
OG0000009	Prbi.g_01745	Pray.g_01942
OG0000010	Prbi.g_00827	Pray.g_00328
OG0000010	Prbi.g_00273	Pray.g_00730
OG0000011	Prbi.g_00399	Pray.g_00853
OG0000011	Prbi.g_00796	Pray.g_00296
OG0000012	Prbi.g_01139	Pray.g_00135
OG0000012	Prbi.g_00398	Pray.g_00852
OG0000013	Prbi.g_01701	Pray.g_01610
OG0000013	Prbi.g_00112	Pray.g_00184
OG0000014	Prbi.g_01502	Pray.g_01792
OG0000014	Prbi.g_00330	Pray.g_00784
OG0000015	Prbi.g_00354	Pray.g_00808
OG0000016	Prbi.g_01304	Pray.g_00309
OG0000017	Prbi.g_01374	Pray.g_01887
OG0000017	Prbi.g_00472	Pray.g_00960
OG0000018	Prbi.g_00600	Pray.g_01165
OG0000019	Prbi.g_00406	Pray.g_00860
OG0000020	Prbi.g_01435	Pray.g_01833
OG0000021	Prbi.g_01611	Pray.g_01702
OG0000022	Prbi.g_00265	Pray.g_00722
OG0000023	Prbi.g_01742	Pray.g_01578
OG0000023	Prbi.g_00389	Pray.g_00842
OG0000024	Prbi.g_01360	Pray.g_01898
OG0000025	Prbi.g_00788	Pray.g_00289
OG0000026	Prbi.g_01373	Pray.g_01888
OG0000027	Prbi.g_00675	Pray.g_01091
OG0000028	Prbi.g_01536	Pray.g_01931
OG0000028	Prbi.g_01344	Pray.g_01912
OG0000029	Prbi.g_00828	Pray.g_00329
OG0000030	Prbi.g_00829	Pray.g_00330
OG0000031	Prbi.g_02001	Pray.g_01371
OG0000032	Prbi.g_00033	Pray.g_01495
OG0000033	Prbi.g_01677	Pray.g_01635
OG0000033	Prbi.g_00778	Pray.g_00280
OG0000034	Prbi.g_01589, Prbi.g_01591	Pray.g_01722
OG0000035	Prbi.g_01702	Pray.g_01609
OG0000036	Prbi.g_01153	Pray.g_00120
OG0000037	Prbi.g_01364	Pray.g_01894
OG0000038	Prbi.g_01467	Pray.g_01806
OG0000039	Prbi.g_00013	Pray.g_01475
OG0000040	Prbi.g_01361	Pray.g_01897
OG0000040	Prbi.g_00426	Pray.g_00884
OG0000041	Prbi.g_00625	Pray.g_01140
OG0000042	Prbi.g_02059	Pray.g_01417
OG0000043	Prbi.g_00936	Pray.g_00438
OG0000045	Prbi.g_00587	Pray.g_01177
OG0000046	Prbi.g_00805	Pray.g_00304
OG0000047	Prbi.g_01207	Pray.g_00064
OG0000048	Prbi.g_01478	Pray.g_01793
OG0000049	Prbi.g_01461	Pray.g_01786
OG0000050	Prbi.g_00190	Pray.g_00647
OG0000051	Prbi.g_00384	Pray.g_00838
OG0000053	Prbi.g_00745	Pray.g_01040
OG0000054	Prbi.g_01780	Pray.g_01566
OG0000055	Prbi.g_01994	Pray.g_01364
OG0000056	Prbi.g_00031	Pray.g_01493
OG0000057	Prbi.g_00181	Pray.g_00638
OG0000058	Prbi.g_00394	Pray.g_00848
OG0000059	Prbi.g_00542	Pray.g_01222
OG0000060	Prbi.g_00758	Pray.g_01027
OG0000061	Prbi.g_00799	Pray.g_00299
OG0000062	Prbi.g_00869	Pray.g_00370
OG0000063	Prbi.g_01163	Pray.g_00110
OG0000065	Prbi.g_00261	Pray.g_00718
OG0000066	Prbi.g_00478	Pray.g_00965
OG0000067	Prbi.g_00702	Pray.g_01065
OG0000068	Prbi.g_00780	Pray.g_00282
OG0000069	Prbi.g_01172	Pray.g_00099
OG0000069	Prbi.g_01029	Pray.g_00531
OG0000070	Prbi.g_01086	Pray.g_00584
OG0000071	Prbi.g_01330	Pray.g_01927
OG0000072	Prbi.g_01391	Pray.g_01870
OG0000074	Prbi.g_01460	Pray.g_01808
OG0000075	Prbi.g_01938	Pray.g_01306
OG0000076	Prbi.g_01497	Pray.g_01782
OG0000077	Prbi.g_00011	Pray.g_01473
OG0000078	Prbi.g_00346	Pray.g_00800
OG0000079	Prbi.g_00407	Pray.g_00861
OG0000080	Prbi.g_00672	Pray.g_01094
