Query	F_000007925.1	F_000011465.1	F_000011485.1	F_000012465.1	F_000012645.1	F_000015645.1	F_000015665.1	F_000015685.1	F_000015705.1	F_000015965.1	F_000018065.1	F_000018585.1	F_000158595.1	F_000757845.1	F_000757865.1	F_000759855.1	F_000759865.1	F_000759875.1	F_000759885.1	F_000759935.1	F_000759955.1	F_000759975.1	F_000760015.1	F_000760035.1	F_000760055.1	F_000760075.1	F_000760095.1	F_000760115.1	F_000760155.1	F_000760175.1	F_000760195.1	F_000760215.1	F_000760235.1	F_000760255.1	F_000760275.1	F_000760295.1	F_000760315.1	F_000760335.1	F_000760355.1	F_000760375.1	F_001631965.1	F_001631985.1	F_001632005.1	F_001632025.1	F_001632045.1	F_001632065.1	F_001632075.1	F_001632125.1	F_001632145.1	F_001989415.1	F_001989435.1	F_001989455.1	F_002812945.1	F_003208055.1	F_003208065.1	F_012933585.1	F_012933595.1	F_012933605.1	F_017695955.1	F_017695965.1	F_017695975.1	F_017696015.1	F_017696035.1	F_017696055.1	F_017696075.1	F_017696085.1	F_017696175.1	F_017696205.1	F_017696245.1	F_017696275.1	F_017696315.1	F_019324835.1	F_019324845.1	F_019324885.1	F_019324905.1	F_019324925.1	F_019324945.1	F_019324955.1	F_019324985.1	F_019325005.1	F_019325015.1	F_019325045.1	F_019325055.1	F_019325065.1	F_019325105.1	F_019325115.1	F_027359355.1	F_027359375.1	F_027359395.1	F_027359415.1	F_027359475.1	F_027359525.1	F_027359575.1	F_027359595.1	F_034092375.1	F_034092395.1	F_034092415.1	F_034092465.1	F_034093315.1	F_047302725.1	F_047302745.1	F_047302755.1	F_047302765.1	F_047302795.1	F_047302805.1	F_047302855.1	F_047302865.1	F_047302875.1	F_047302905.1	F_047302975.1	F_047302985.1	F_047303155.1	F_047303165.1	F_047303175.1	F_047303345.1	F_047303415.1	F_047303465.1	F_047303495.1	F_047303505.1	F_047303555.1	F_047304495.1	F_047304505.1	F_047304515.1	F_047304525.1	F_047304535.1	F_047304605.1	F_047304615.1	F_047304625.1	F_047304675.1	F_047304685.1	F_047304785.1	F_047304905.1	F_047305015.1	F_047305065.1	F_047305115.1	F_047305125.1	F_047305145.1	F_047305155.1	F_047305225.1	F_047305235.1	F_047497115.1	F_047497125.1	F_047947085.1	F_902521235.1	F_902622435.1	F_965655815.1
F_000007925.1	0	0.261316	0.355355	0.276802	0.265481	0.264625	0.268123	0.266349	0.326503	0.265481	0.260516	0.248953	0.256664	0.266349	0.270882	0.265481	0.265481	0.261316	0.270882	0.265481	0.263781	0.268123	0.265481	0.259726	0.259726	0.258946	0.258946	0.266349	3.12735e-05	0.244508	0.224341	0.224783	0.26723	5.94597e-05	3.75338e-05	0.348416	0.348416	0.348416	0.000106522	4.3796e-05	0.345216	0.345216	0.355355	0.342173	0.3365	0.339272	0.342173	0.351789	0.355355	0.262127	0.262127	0.262127	0.262949	0.268123	0.274765	0.355355	0.355355	0.359138	0.262949	0.282209	0.265481	0.259726	0.253039	0.259726	0.262127	0.262949	0.26723	0.27183	0.262127	0.269949	0.275775	0.282209	0.265481	0.259726	0.253039	0.275775	0.269949	0.262127	0.260516	0.269949	0.269029	0.26723	0.27183	0.27183	0.263781	0.262127	0.276802	0.243898	0.269949	0.216504	0.273771	0.275775	0.273771	0.275775	0.286903	0.272793	0.291983	0.282209	0.260516	0.261316	0.269949	0.348416	4.3796e-05	0.264625	0.348416	0.270882	0.348416	0.270882	4.69278e-05	3.12735e-05	0.348416	0.339272	0.355355	0.224783	0.355355	0.342173	0.348416	0.348416	0.264625	0.260516	0.359138	0.3365	0.345216	0.258946	0.258946	3.44034e-05	0.224783	0.224783	0.268123	0.265481	0.351789	0.342173	0.265481	0.265481	0.261316	0.263781	0.259726	0.272793	0.266349	0.275775	0.261316	0.261316	0.268123	0.265481	0.262949	0.263781
F_000011465.1	0.261316	0	0.3365	0.248298	0.183863	0.183416	0.124345	0.250285	0.348416	0.182531	0.187809	0.278908	0.186857	0.184768	0.252339	0.194132	0.194132	5.6326e-05	0.189021	0.194132	0.185226	0.180588	0.183863	0.1808	0.185687	0.185687	0.185919	0.184997	0.261316	0.259726	0.257415	0.257415	0.242105	0.261316	0.261316	0.377093	0.377093	0.377093	0.261316	0.261316	0.359138	0.359138	0.359138	0.355355	0.355355	0.355355	0.339272	0.359138	0.348416	0.180164	0.180164	0.180164	0.183416	0.24765	0.245745	0.355355	0.363165	0.359138	0.181014	0.179954	0.179954	0.187331	0.182094	0.180588	0.189513	0.180375	0.188533	0.182094	0.184088	0.188049	0.179954	0.179744	0.179954	0.187569	0.181876	0.180164	0.188049	0.180588	0.189266	0.188049	0.188291	0.246374	0.182094	0.245123	0.1808	0.184088	0.252339	0.260516	0.248953	0.245745	0.242697	0.261316	0.242105	0.256664	0.303595	0.282209	0.296087	0.258176	0.185919	2.18865e-05	0.247008	0.377093	0.261316	0.194132	0.377093	0.189021	0.377093	0.189021	0.261316	0.261316	0.377093	0.359138	0.359138	0.257415	0.359138	0.351789	0.377093	0.377093	0.193866	0.1808	0.348416	0.359138	0.359138	0.185919	0.185919	0.261316	0.257415	0.257415	0.242697	0.183863	0.359138	0.355355	0.182531	0.182531	3.44034e-05	0.185226	0.185687	0.258176	0.184997	0.250962	4.06646e-05	4.06646e-05	0.180588	0.182972	0.179535	0.0293134
F_000011485.1	0.355355	0.3365	0	0.315916	0.363165	0.367471	0.3365	0.326503	0.0459618	0.342173	0.363165	0.324237	0.359138	0.363165	0.3365	0.363165	0.359138	0.3365	0.348416	0.363165	0.339272	0.351789	0.363165	0.372096	0.345216	0.345216	0.345216	0.348416	0.355355	0.339272	0.355355	0.355355	0.32205	0.355355	0.355355	0.0630694	0.0629092	0.0628635	0.355355	0.355355	0.0410223	0.0432421	0.0331713	0.0354479	0.0343127	0.0343895	0.0268173	0.0336083	0.0290503	0.359138	0.359138	0.359138	0.359138	0.3365	0.331301	0.0325314	0.0327817	0.0321593	0.355355	0.3365	0.326503	0.359138	0.355355	0.328856	0.342173	0.359138	0.331301	0.342173	0.363165	0.348416	0.359138	0.3365	0.326503	0.359138	0.355355	0.359138	0.345216	0.359138	0.345216	0.345216	0.331301	0.3365	0.342173	0.328856	0.355355	0.363165	0.342173	0.3365	0.331301	0.339272	0.328856	0.326503	0.32205	0.328856	0.317894	0.306873	0.315916	0.326503	0.342173	0.3365	0.3365	0.0635768	0.355355	0.363165	0.0633916	0.348416	0.0637162	0.348416	0.355355	0.355355	0.0637162	0.0344224	0.0334798	0.355355	0.0334692	0.0311268	0.0636697	0.0637861	0.363165	0.372096	0.0291065	0.0343456	0.0433545	0.345216	0.345216	0.355355	0.355355	0.355355	0.32205	0.363165	0.0331925	0.0354932	0.342173	0.342173	0.3365	0.339272	0.345216	0.324237	0.348416	0.333846	0.3365	0.3365	0.351789	0.348416	0.351789	0.348416
F_000012465.1	0.276802	0.248298	0.315916	0	0.258946	0.240938	0.242697	0.0264959	0.319937	0.238669	0.250962	0.268123	0.244508	0.241519	0.0588165	0.250962	0.250962	0.248298	0.239793	0.251646	0.248953	0.250285	0.258946	0.239793	0.252339	0.250962	0.252339	0.242105	0.276802	0.262949	0.276802	0.276802	0.0334798	0.276802	0.276802	0.333846	0.333846	0.333846	0.276802	0.276802	0.348416	0.3365	0.328856	0.326503	0.328856	0.328856	0.324237	0.326503	0.324237	0.24765	0.24765	0.24765	0.250285	0.125063	0.0284475	0.324237	0.328856	0.326503	0.243898	0.253747	0.247008	0.252339	0.245123	0.24765	0.248298	0.245745	0.244508	0.239793	0.250285	0.245745	0.242105	0.253747	0.247008	0.252339	0.245123	0.241519	0.245745	0.245745	0.24765	0.245745	0.244508	0.123479	0.239793	0.0280821	0.243898	0.250285	0.0966512	0.263781	0.104159	0.261316	0.0343127	0.0993452	0.0976447	0.101104	0.288135	0.277846	0.289391	0.251646	0.252339	0.248298	0.105256	0.333846	0.276802	0.250962	0.333846	0.239793	0.333846	0.239793	0.276802	0.276802	0.333846	0.328856	0.328856	0.276802	0.326503	0.317894	0.333846	0.333846	0.251646	0.239793	0.324237	0.328856	0.3365	0.250962	0.252339	0.277846	0.276802	0.276802	0.034051	0.258176	0.326503	0.326503	0.238669	0.238669	0.248298	0.249616	0.252339	0.101722	0.242105	0.106377	0.248298	0.248298	0.250285	0.240938	0.243898	0.248298
F_000012645.1	0.265481	0.183863	0.363165	0.258946	0	0.0903636	0.189513	0.260516	0.351789	0.0904049	0.097454	0.285696	0.096745	0.0944513	0.256664	0.101618	0.10167	0.183863	0.0965109	0.10167	0.098415	0.0790646	2.8144e-05	0.0900342	0.097264	0.097264	0.0973589	0.092689	0.265481	0.270882	0.275775	0.275775	0.262949	0.265481	0.265481	0.345216	0.345216	0.345216	0.265481	0.265481	0.359138	0.351789	0.3365	0.359138	0.348416	0.348416	0.355355	0.3365	0.345216	0.0904876	0.0904876	0.0904876	0.0897887	0.262127	0.262127	0.3365	0.339272	0.345216	0.0932987	0.08453	0.0917882	0.0897071	0.0915338	0.0875542	0.0926457	0.0890995	0.0931238	0.0917882	0.090529	0.0901164	0.0909034	0.0844202	0.0917882	0.0897071	0.0914915	0.0906951	0.0900342	0.0889789	0.0925593	0.0900342	0.0930801	0.264625	0.0917882	0.261316	0.0934743	0.0905705	0.263781	0.269949	0.262127	0.257415	0.268123	0.252339	0.255188	0.255188	0.298982	0.264625	0.286903	0.272793	0.0923869	0.183863	0.26723	0.345216	0.265481	0.101567	0.345216	0.0964642	0.345216	0.0964642	0.265481	0.265481	0.345216	0.348416	0.3365	0.275775	0.3365	0.355355	0.345216	0.345216	0.10167	0.0900342	0.345216	0.348416	0.351789	0.0971219	0.0973589	0.265481	0.275775	0.275775	0.263781	3.44034e-05	0.3365	0.359138	0.0903636	0.0903636	0.183863	0.0988046	0.0973114	0.26723	0.092473	0.260516	0.184088	0.184088	0.079032	0.0916608	0.0911127	0.180375
F_000015645.1	0.264625	0.183416	0.367471	0.240938	0.0903636	0	0.191267	0.241519	0.377093	0.0575693	0.0777121	0.273771	0.0774904	0.0630694	0.246374	0.105478	0.105367	0.183416	0.0749095	0.10559	0.0823451	0.090529	0.0903636	0.0557946	0.0741097	0.0740803	0.074139	0.0545213	0.263781	0.268123	0.259726	0.259726	0.249616	0.263781	0.263781	0.377093	0.377093	0.377093	0.263781	0.263781	0.382525	0.355355	0.363165	0.363165	0.351789	0.355355	0.348416	0.363165	0.351789	0.0518422	0.0518422	0.0518422	0.0486947	0.249616	0.242105	0.363165	0.367471	0.363165	0.0758149	0.0929929	0.0703888	0.0941829	0.0515629	0.0624999	0.0727212	0.0523356	0.0847872	0.0775536	0.0496113	0.0614714	0.0555445	0.0929494	0.0703888	0.0941829	0.0515455	0.0551245	0.0614493	0.0522647	0.0724089	0.0614493	0.0846401	0.250285	0.0775536	0.242697	0.07609	0.0496444	0.248953	0.269029	0.251646	0.246374	0.249616	0.265481	0.256664	0.264625	0.289391	0.281089	0.28335	0.265481	0.0941383	0.183416	0.255188	0.377093	0.263781	0.105478	0.377093	0.0748797	0.377093	0.0748797	0.263781	0.263781	0.377093	0.355355	0.363165	0.259726	0.363165	0.359138	0.377093	0.377093	0.105646	0.0558139	0.351789	0.351789	0.355355	0.0739923	0.0741097	0.263781	0.259726	0.259726	0.249616	0.0903636	0.363165	0.363165	0.0575894	0.0575894	0.183416	0.0826965	0.0740803	0.260516	0.0544092	0.250962	0.183639	0.183639	0.0904876	0.0524066	0.0558526	0.185226
F_000015665.1	0.268123	0.124345	0.3365	0.242697	0.189513	0.191267	0	0.243898	0.333846	0.194132	0.184541	0.284512	0.186152	0.193337	0.255921	0.189021	0.188291	0.124424	0.195209	0.188291	0.193074	0.185687	0.189513	0.191013	0.191013	0.191013	0.191013	0.194132	0.268123	0.26723	0.259726	0.259726	0.238669	0.268123	0.268123	0.339272	0.339272	0.339272	0.268123	0.268123	0.331301	0.326503	0.342173	0.331301	0.333846	0.328856	0.331301	0.339272	0.339272	0.188291	0.188291	0.188291	0.192293	0.243294	0.243898	0.342173	0.342173	0.345216	0.187569	0.188533	0.193601	0.193601	0.187331	0.190509	0.192813	0.191778	0.195755	0.191522	0.192035	0.195209	0.191267	0.188291	0.193601	0.193601	0.187331	0.191522	0.195481	0.191522	0.192035	0.195481	0.195755	0.241519	0.191522	0.242105	0.187569	0.192035	0.247008	0.26723	0.241519	0.260516	0.239228	0.252339	0.244508	0.250962	0.308579	0.278908	0.297518	0.262127	0.192035	0.124504	0.244508	0.3365	0.268123	0.189021	0.3365	0.195209	0.3365	0.195209	0.268123	0.268123	0.3365	0.328856	0.342173	0.259726	0.342173	0.348416	0.3365	0.3365	0.188291	0.191013	0.339272	0.333846	0.326503	0.191013	0.191013	0.268123	0.259726	0.259726	0.239228	0.189266	0.342173	0.331301	0.194132	0.194132	0.124345	0.193601	0.191013	0.252339	0.194132	0.245745	0.124424	0.124424	0.185687	0.195755	0.192813	0.12395
F_000015685.1	0.266349	0.250285	0.326503	0.0264959	0.260516	0.241519	0.243898	0	0.328856	0.244508	0.249616	0.26723	0.246374	0.242105	0.0584652	0.250285	0.250285	0.250285	0.242697	0.250962	0.246374	0.248953	0.260516	0.237565	0.251646	0.251646	0.251646	0.249616	0.266349	0.263781	0.270882	0.270882	0.0333838	0.266349	0.266349	0.331301	0.331301	0.331301	0.266349	0.266349	0.348416	0.342173	0.333846	0.3365	0.3365	0.3365	0.333846	0.331301	0.328856	0.248953	0.248953	0.248953	0.250285	0.125955	0.0295216	0.331301	0.333846	0.333846	0.242697	0.257415	0.246374	0.249616	0.243294	0.247008	0.248298	0.250962	0.248298	0.245745	0.250962	0.24765	0.240363	0.258176	0.246374	0.249616	0.243294	0.240363	0.24765	0.250962	0.248298	0.24765	0.248298	0.124823	0.245745	0.0288078	0.243294	0.250962	0.0965576	0.264625	0.104051	0.259726	0.0333518	0.0995928	0.097597	0.100798	0.289391	0.277846	0.28335	0.253747	0.245745	0.250285	0.104377	0.3365	0.266349	0.250285	0.333846	0.242697	0.333846	0.242697	0.266349	0.266349	0.333846	0.3365	0.333846	0.270882	0.331301	0.324237	0.333846	0.333846	0.250285	0.237565	0.328856	0.3365	0.342173	0.251646	0.251646	0.26723	0.270882	0.270882	0.0338343	0.259726	0.331301	0.3365	0.244508	0.244508	0.250285	0.247008	0.251646	0.102609	0.249616	0.105035	0.250285	0.250285	0.248953	0.247008	0.245123	0.245745
F_000015705.1	0.326503	0.348416	0.0459618	0.319937	0.351789	0.377093	0.333846	0.328856	0	0.345216	0.359138	0.342173	0.367471	0.372096	0.3365	0.372096	0.372096	0.348416	0.388475	0.372096	0.359138	0.348416	0.351789	0.372096	0.367471	0.367471	0.367471	0.388475	0.326503	0.355355	0.339272	0.339272	0.324237	0.326503	0.326503	0.0568503	0.0567909	0.0567514	0.326503	0.326503	0.0346096	0.0289288	0.0466771	0.0461129	0.0463254	0.0463863	0.0463711	0.046831	0.0464474	0.402409	0.402409	0.402409	0.382525	0.331301	0.315916	0.0457814	0.0463406	0.0454824	0.377093	0.363165	0.355355	0.363165	0.395054	0.351789	0.355355	0.372096	0.345216	0.395054	0.382525	0.367471	0.372096	0.363165	0.355355	0.363165	0.395054	0.382525	0.367471	0.372096	0.355355	0.367471	0.345216	0.331301	0.395054	0.315916	0.377093	0.382525	0.348416	0.355355	0.328856	0.348416	0.339272	0.315916	0.328856	0.315916	0.310334	0.306873	0.328856	0.328856	0.351789	0.348416	0.345216	0.0575089	0.326503	0.372096	0.0571683	0.388475	0.0575491	0.388475	0.326503	0.326503	0.0576096	0.0464016	0.0468618	0.339272	0.0467078	0.0493472	0.0575491	0.0576903	0.372096	0.372096	0.0465544	0.0464016	0.0290222	0.367471	0.367471	0.326503	0.339272	0.339272	0.324237	0.351789	0.0466157	0.0461735	0.345216	0.345216	0.348416	0.355355	0.367471	0.326503	0.388475	0.342173	0.348416	0.348416	0.348416	0.382525	0.388475	0.355355
F_000015965.1	0.265481	0.182531	0.342173	0.238669	0.0904049	0.0575693	0.194132	0.244508	0.345216	0	0.0803228	0.269029	0.0795573	0.0647763	0.246374	0.108633	0.108633	0.182312	0.074051	0.108693	0.0825908	0.0917457	0.0904049	0.0580963	0.0759981	0.0758454	0.0759369	0.0582189	0.265481	0.263781	0.27183	0.27183	0.250285	0.265481	0.265481	0.351789	0.351789	0.351789	0.265481	0.265481	0.359138	0.348416	0.331301	0.348416	0.328856	0.331301	0.345216	0.333846	0.339272	0.0555829	0.0556021	0.0555829	0.0541488	0.254463	0.244508	0.328856	0.331301	0.333846	0.0750892	0.0935624	0.0720986	0.0961849	0.0561435	0.0639495	0.0722676	0.0557753	0.0834072	0.0767072	0.0547841	0.0612951	0.0583213	0.0934304	0.0720986	0.0961849	0.056163	0.0581372	0.0612291	0.0556213	0.0720425	0.0612291	0.0833714	0.251646	0.0767072	0.245745	0.0752997	0.0548218	0.255921	0.264625	0.257415	0.256664	0.250285	0.255921	0.258946	0.254463	0.290674	0.281089	0.289391	0.263781	0.0926457	0.182531	0.247008	0.348416	0.265481	0.108633	0.351789	0.074051	0.351789	0.074051	0.265481	0.265481	0.348416	0.331301	0.333846	0.27183	0.333846	0.342173	0.351789	0.348416	0.10887	0.0580963	0.339272	0.328856	0.348416	0.0757844	0.0759369	0.265481	0.27183	0.27183	0.250285	0.0904049	0.331301	0.348416	4.06646e-05	4.06646e-05	0.182531	0.082944	0.0759675	0.26723	0.0581167	0.242105	0.182531	0.182531	0.0917032	0.0573482	0.0592965	0.184541
