Orthogroup	Prbj	Syad
OG0000001	Prbj.g_00672, Prbj.g_00169	Syad.g_00628
OG0000001	Prbj.g_01549, Prbj.g_02662	Syad.g_02865
OG0000002	Prbj.g_02517, Prbj.g_00030	Syad.g_00619
OG0000003	Prbj.g_02017	Syad.g_01931, Syad.g_01926, Syad.g_02599
OG0000003	Prbj.g_00170, Prbj.g_01574, Prbj.g_02693, Prbj.g_02694, Prbj.g_00096, Prbj.g_02605, Prbj.g_00226, Prbj.g_00059, Prbj.g_00058, Prbj.g_00079	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000003	Prbj.g_01916, Prbj.g_01831	Syad.g_01327, Syad.g_01331
OG0000004	Prbj.g_00754	Syad.g_01304
OG0000004	Prbj.g_01777	Syad.g_02184, Syad.g_00810
OG0000005	Prbj.g_00883	Syad.g_02596
OG0000006	Prbj.g_02699	Syad.g_00588, Syad.g_00829
OG0000007	Prbj.g_01610	Syad.g_00923
OG0000007	Prbj.g_00857	Syad.g_02623
OG0000008	Prbj.g_00928	Syad.g_01371
OG0000009	Prbj.g_01300, Prbj.g_00618	Syad.g_02799
OG0000010	Prbj.g_00129	Syad.g_02354
OG0000011	Prbj.g_00897	Syad.g_02006
OG0000012	Prbj.g_02552	Syad.g_02176
OG0000013	Prbj.g_00359	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbj.g_01442	Syad.g_00480
OG0000015	Prbj.g_02502	Syad.g_01600, Syad.g_01601
OG0000017	Prbj.g_01761	Syad.g_01091
OG0000017	Prbj.g_01769	Syad.g_01084
OG0000018	Prbj.g_00641	Syad.g_02306
OG0000019	Prbj.g_00025	Syad.g_00569
OG0000020	Prbj.g_00046, Prbj.g_00214, Prbj.g_02701	Syad.g_00845
OG0000021	Prbj.g_01774	Syad.g_00874
OG0000022	Prbj.g_01572, Prbj.g_00050	Syad.g_02090
OG0000023	Prbj.g_02392	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbj.g_00773	Syad.g_01374
OG0000025	Prbj.g_02475	Syad.g_01241
OG0000026	Prbj.g_01204	Syad.g_00198
OG0000028	Prbj.g_01457	Syad.g_00463
OG0000029	Prbj.g_00378	Syad.g_02099
OG0000030	Prbj.g_01288	Syad.g_00328
OG0000030	Prbj.g_01287	Syad.g_00327
OG0000032	Prbj.g_00659	Syad.g_02326
OG0000033	Prbj.g_00518	Syad.g_02903
OG0000034	Prbj.g_01740	Syad.g_02420, Syad.g_02872
OG0000035	Prbj.g_01056	Syad.g_02275
OG0000037	Prbj.g_00624	Syad.g_02805
OG0000038	Prbj.g_01959	Syad.g_03038
OG0000039	Prbj.g_00278	Syad.g_01111
OG0000041	Prbj.g_00450	Syad.g_02498
OG0000042	Prbj.g_01808, Prbj.g_00001	Syad.g_00333
OG0000045	Prbj.g_00563	Syad.g_00964
OG0000046	Prbj.g_00358	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Prbj.g_02509, Prbj.g_00666	Syad.g_00754
OG0000048	Prbj.g_01393	Syad.g_00534
OG0000051	Prbj.g_00705	Syad.g_00842
OG0000052	Prbj.g_01487	Syad.g_00434
OG0000053	Prbj.g_00638	Syad.g_02302
OG0000054	Prbj.g_01758	Syad.g_02209
OG0000056	Prbj.g_00371, Prbj.g_01125	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
OG0000057	Prbj.g_00758	Syad.g_01301
OG0000059	Prbj.g_01521	Syad.g_00642
OG0000060	Prbj.g_01633	Syad.g_00899
OG0000061	Prbj.g_00971	Syad.g_01152
OG0000062	Prbj.g_00881	Syad.g_02598
OG0000063	Prbj.g_01208	Syad.g_00202
OG0000065	Prbj.g_00620	Syad.g_02574, Syad.g_02801
OG0000066	Prbj.g_02141	Syad.g_00992
OG0000067	Prbj.g_02412	Syad.g_01889
OG0000068	Prbj.g_01639	Syad.g_00891
OG0000070	Prbj.g_00118	Syad.g_02424
OG0000071	Prbj.g_01728	Syad.g_02405
OG0000072	Prbj.g_00516	Syad.g_02905
OG0000073	Prbj.g_01608	Syad.g_00926
OG0000075	Prbj.g_01502	Syad.g_00416
OG0000076	Prbj.g_01598	Syad.g_00348
OG0000077	Prbj.g_00576, Prbj.g_01900	Syad.g_02741
OG0000078	Prbj.g_02614	Syad.g_00824
OG0000079	Prbj.g_01353	Syad.g_00565
OG0000081	Prbj.g_00765	Syad.g_00833
OG0000082	Prbj.g_01789	Syad.g_01063
OG0000084	Prbj.g_01052	Syad.g_02272
OG0000085	Prbj.g_00869	Syad.g_02612
OG0000086	Prbj.g_00589	Syad.g_02770
OG0000087	Prbj.g_01547	Syad.g_02860
OG0000088	Prbj.g_00912, Prbj.g_00521	Syad.g_02899
OG0000089	Prbj.g_00064	Syad.g_00785, Syad.g_02829
OG0000090	Prbj.g_02127	Syad.g_00977
OG0000091	Prbj.g_02581	Syad.g_02144
OG0000093	Prbj.g_02388	Syad.g_01905
OG0000095	Prbj.g_01838	Syad.g_01290
OG0000097	Prbj.g_02152	Syad.g_01458
OG0000098	Prbj.g_00669	Syad.g_00625
OG0000099	Prbj.g_01464	Syad.g_00460
OG0000100	Prbj.g_00185, Prbj.g_02442	Syad.g_01846
OG0000101	Prbj.g_00981	Syad.g_00694
OG0000102	Prbj.g_01819	Syad.g_00343
OG0000103	Prbj.g_02055	Syad.g_00143
OG0000104	Prbj.g_02069	Syad.g_00158
OG0000105	Prbj.g_01397	Syad.g_00530
OG0000106	Prbj.g_00875	Syad.g_01993
OG0000107	Prbj.g_02659	Syad.g_00590
OG0000108	Prbj.g_01630	Syad.g_00904
OG0000109	Prbj.g_01614	Syad.g_00919
OG0000110	Prbj.g_01801	Syad.g_01048
OG0000111	Prbj.g_00759	Syad.g_01300
OG0000112	Prbj.g_02276	Syad.g_01766
OG0000113	Prbj.g_02437	Syad.g_01851
OG0000114	Prbj.g_02340	Syad.g_01617
OG0000115	Prbj.g_00634	Syad.g_02300
OG0000116	Prbj.g_00956	Syad.g_01123
