Orthogroup	Prbj	Prai
OG0000000	Prbj.g_00164	Prai.g_01592
OG0000000	Prbj.g_00166, Prbj.g_00165	Prai.g_00907, Prai.g_01774, Prai.g_01314, Prai.g_01596
OG0000001	Prbj.g_00672, Prbj.g_00169	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Prbj.g_02517	Prai.g_01363
OG0000002	Prbj.g_00030	Prai.g_00707
OG0000004	Prbj.g_00754	Prai.g_00724
OG0000004	Prbj.g_01777	Prai.g_00243
OG0000005	Prbj.g_00883	Prai.g_01538
OG0000006	Prbj.g_02699	Prai.g_00252, Prai.g_00254
OG0000007	Prbj.g_01610	Prai.g_00527
OG0000007	Prbj.g_00857	Prai.g_01638
OG0000008	Prbj.g_00929, Prbj.g_00928	Prai.g_00701
OG0000009	Prbj.g_01300, Prbj.g_00618	Prai.g_00105
OG0000010	Prbj.g_00129	Prai.g_00504
OG0000012	Prbj.g_02552	Prai.g_00652
OG0000013	Prbj.g_00359	Prai.g_00340
OG0000014	Prbj.g_01442	Prai.g_00319
OG0000015	Prbj.g_02502	Prai.g_01243
OG0000017	Prbj.g_01769	Prai.g_00626
OG0000018	Prbj.g_00641	Prai.g_01153, Prai.g_00820
OG0000019	Prbj.g_00025	Prai.g_00262, Prai.g_00867
OG0000020	Prbj.g_00046	Prai.g_01125
OG0000020	Prbj.g_00214, Prbj.g_02701	Prai.g_00400
OG0000021	Prbj.g_01121	Prai.g_00378
OG0000022	Prbj.g_01572	Prai.g_00885
OG0000022	Prbj.g_00050	Prai.g_01139
OG0000023	Prbj.g_02392	Prai.g_00373
OG0000024	Prbj.g_00773	Prai.g_00899, Prai.g_00704
OG0000025	Prbj.g_02475	Prai.g_00812, Prai.g_00344
OG0000026	Prbj.g_01204	Prai.g_00031, Prai.g_01074
OG0000028	Prbj.g_01457	Prai.g_00333
OG0000029	Prbj.g_00378	Prai.g_00890
OG0000030	Prbj.g_01288, Prbj.g_01287	Prai.g_01848
OG0000033	Prbj.g_00518	Prai.g_00180
OG0000034	Prbj.g_01740	Prai.g_01345
OG0000035	Prbj.g_01056	Prai.g_01463
OG0000037	Prbj.g_00624	Prai.g_00109
OG0000038	Prbj.g_01959, Prbj.g_01961	Prai.g_01890
OG0000039	Prbj.g_00429, Prbj.g_00278	Prai.g_00715
OG0000041	Prbj.g_00450	Prai.g_01684
OG0000042	Prbj.g_01808, Prbj.g_00001	Prai.g_01845
OG0000045	Prbj.g_00563	Prai.g_01274, Prai.g_00384
OG0000047	Prbj.g_02509	Prai.g_00424
OG0000047	Prbj.g_00666	Prai.g_00343
OG0000048	Prbj.g_01393	Prai.g_00387
OG0000051	Prbj.g_00705	Prai.g_00434, Prai.g_01263
OG0000052	Prbj.g_01487	Prai.g_00154
OG0000053	Prbj.g_00638	Prai.g_01483
OG0000054	Prbj.g_01758	Prai.g_00634
OG0000057	Prbj.g_00758	Prai.g_00727
OG0000059	Prbj.g_01521	Prai.g_01725, Prai.g_01425
OG0000061	Prbj.g_00971	Prai.g_01171
OG0000062	Prbj.g_00881	Prai.g_01540
OG0000063	Prbj.g_01208	Prai.g_00033, Prai.g_01261
OG0000065	Prbj.g_00620	Prai.g_00107
OG0000066	Prbj.g_02141	Prai.g_00567
OG0000067	Prbj.g_02412	Prai.g_00848
OG0000068	Prbj.g_01639	Prai.g_01370
OG0000070	Prbj.g_00118	Prai.g_00481
OG0000071	Prbj.g_01728	Prai.g_01335
OG0000072	Prbj.g_00516	Prai.g_00182
OG0000073	Prbj.g_01608	Prai.g_00529
OG0000075	Prbj.g_01502	Prai.g_01814
OG0000076	Prbj.g_01598	Prai.g_01838
OG0000077	Prbj.g_00576	Prai.g_00078
OG0000078	Prbj.g_02614	Prai.g_00250
OG0000079	Prbj.g_01353	Prai.g_00265
OG0000081	Prbj.g_00765	Prai.g_00559
OG0000082	Prbj.g_01789	Prai.g_00613
OG0000084	Prbj.g_01052	Prai.g_01459
OG0000085	Prbj.g_00869	Prai.g_01631
OG0000086	Prbj.g_00589	Prai.g_00088
OG0000087	Prbj.g_01547	Prai.g_00139
OG0000088	Prbj.g_00521	Prai.g_00177
OG0000089	Prbj.g_00064	Prai.g_00368
OG0000090	Prbj.g_02127	Prai.g_00561
OG0000091	Prbj.g_02581	Prai.g_00671
OG0000093	Prbj.g_02388	Prai.g_01021
OG0000094	Prbj.g_01985	Prai.g_00937
OG0000097	Prbj.g_02152	Prai.g_01214
OG0000098	Prbj.g_00669	Prai.g_01353
OG0000099	Prbj.g_01464	Prai.g_01393
OG0000100	Prbj.g_00185, Prbj.g_02442	Prai.g_01536
OG0000101	Prbj.g_00415, Prbj.g_00981	Prai.g_01782
OG0000102	Prbj.g_01819	Prai.g_01843
OG0000103	Prbj.g_02055	Prai.g_01923
OG0000104	Prbj.g_02069	Prai.g_01932
OG0000105	Prbj.g_01397	Prai.g_00286, Prai.g_00287
OG0000106	Prbj.g_00875	Prai.g_00383
OG0000108	Prbj.g_01630	Prai.g_00510
OG0000109	Prbj.g_01614	Prai.g_00524
OG0000110	Prbj.g_01801	Prai.g_00603
OG0000111	Prbj.g_00759	Prai.g_00728
OG0000112	Prbj.g_02276	Prai.g_00882
OG0000113	Prbj.g_02437	Prai.g_00825
OG0000114	Prbj.g_02340	Prai.g_01046
OG0000115	Prbj.g_00634	Prai.g_01119
OG0000116	Prbj.g_00956	Prai.g_01162
OG0000117	Prbj.g_01915	Prai.g_01273
OG0000118	Prbj.g_01742	Prai.g_01347
OG0000119	Prbj.g_00740, Prbj.g_00778	Prai.g_01366
OG0000120	Prbj.g_01465	Prai.g_01443
OG0000121	Prbj.g_01064, Prbj.g_01058	Prai.g_01465
OG0000123	Prbj.g_00406	Prai.g_01789
OG0000124	Prbj.g_01281	Prai.g_01854
OG0000125	Prbj.g_01963	Prai.g_01892
OG0000126	Prbj.g_02067	Prai.g_01931
OG0000128	Prbj.g_02085	Prai.g_00011
OG0000129	Prbj.g_01951	Prai.g_00051
OG0000130	Prbj.g_00564	Prai.g_00069
OG0000131	Prbj.g_00543	Prai.g_00156
OG0000132	Prbj.g_00523	Prai.g_00175
OG0000133	Prbj.g_01460	Prai.g_00335
OG0000134	Prbj.g_00067	Prai.g_00369
OG0000135	Prbj.g_02004	Prai.g_00393
OG0000136	Prbj.g_00105	Prai.g_00472
OG0000137	Prbj.g_00128	Prai.g_00505
OG0000138	Prbj.g_01613	Prai.g_00525
OG0000139	Prbj.g_02133	Prai.g_00565
OG0000140	Prbj.g_02139	Prai.g_00566
OG0000141	Prbj.g_01757	Prai.g_00635
OG0000142	Prbj.g_02573	Prai.g_00664
OG0000143	Prbj.g_02577	Prai.g_00668
OG0000144	Prbj.g_00793	Prai.g_00681
OG0000145	Prbj.g_01607	Prai.g_00883
OG0000146	Prbj.g_02277	Prai.g_00881
OG0000147	Prbj.g_02278	Prai.g_00880
OG0000148	Prbj.g_02431	Prai.g_00831
OG0000149	Prbj.g_02488	Prai.g_00800
OG0000150	Prbj.g_02511	Prai.g_00792
OG0000151	Prbj.g_02361	Prai.g_01036
OG0000152	Prbj.g_02268	Prai.g_00989
OG0000153	Prbj.g_02241	Prai.g_00970
OG0000154	Prbj.g_02213	Prai.g_00943
OG0000155	Prbj.g_00312	Prai.g_01191
OG0000156	Prbj.g_00163	Prai.g_01323
OG0000157	Prbj.g_00162	Prai.g_01324
OG0000158	Prbj.g_01514	Prai.g_01392
OG0000160	Prbj.g_01057	Prai.g_01464
OG0000161	Prbj.g_01071	Prai.g_01470
OG0000162	Prbj.g_01077	Prai.g_01476
OG0000163	Prbj.g_01688	Prai.g_01509
OG0000164	Prbj.g_00476	Prai.g_01662
OG0000165	Prbj.g_00467	Prai.g_01669
OG0000166	Prbj.g_01019	Prai.g_01740
OG0000167	Prbj.g_01500	Prai.g_01812
OG0000168	Prbj.g_01515	Prai.g_01822
OG0000169	Prbj.g_01581	Prai.g_01832
OG0000170	Prbj.g_01593	Prai.g_01834
OG0000171	Prbj.g_01282	Prai.g_01853
OG0000172	Prbj.g_01248	Prai.g_01863
OG0000173	Prbj.g_01227	Prai.g_01878
OG0000174	Prbj.g_02006	Prai.g_01905
OG0000175	Prbj.g_02044	Prai.g_01915
OG0000176	Prbj.g_02077	Prai.g_00004
OG0000177	Prbj.g_02078	Prai.g_00005
OG0000178	Prbj.g_02079	Prai.g_00006
OG0000179	Prbj.g_01188	Prai.g_00016
OG0000180	Prbj.g_01189	Prai.g_00017
