Orthogroup	Prbj	Praa
OG0000000	Prbj.g_00164	Praa.g_01598, Praa.g_01244
OG0000000	Prbj.g_00166, Prbj.g_00165	Praa.g_01298, Praa.g_01599
OG0000001	Prbj.g_00672, Prbj.g_00169	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Prbj.g_02517	Praa.g_01359
OG0000002	Prbj.g_00030	Praa.g_00678
OG0000004	Prbj.g_00754	Praa.g_00695
OG0000004	Prbj.g_01777	Praa.g_00232
OG0000005	Prbj.g_00883	Praa.g_01553
OG0000006	Prbj.g_02699	Praa.g_00241, Praa.g_01245
OG0000007	Prbj.g_01610	Praa.g_00497
OG0000007	Prbj.g_00857	Praa.g_01635
OG0000008	Prbj.g_00929	Praa.g_01241
OG0000009	Prbj.g_01300, Prbj.g_00618	Praa.g_00105
OG0000010	Prbj.g_00129	Praa.g_00474
OG0000011	Prbj.g_00897	Praa.g_01288
OG0000012	Prbj.g_02552	Praa.g_00623
OG0000013	Prbj.g_00359	Praa.g_00327
OG0000014	Prbj.g_01442	Praa.g_00306
OG0000015	Prbj.g_02502	Praa.g_00765
OG0000017	Prbj.g_01769	Praa.g_00598
OG0000018	Prbj.g_00641	Praa.g_01141, Praa.g_00831
OG0000019	Prbj.g_00025	Praa.g_00249, Praa.g_00782
OG0000020	Prbj.g_00046	Praa.g_01107
OG0000021	Prbj.g_01121	Praa.g_01623, Praa.g_00364
OG0000022	Prbj.g_01572	Praa.g_00763
OG0000022	Prbj.g_00050	Praa.g_01124
OG0000023	Prbj.g_02392	Praa.g_00359
OG0000024	Prbj.g_00773	Praa.g_00747, Praa.g_00675
OG0000025	Prbj.g_02475	Praa.g_00839, Praa.g_00331
OG0000026	Prbj.g_01204	Praa.g_00031, Praa.g_01054
OG0000028	Prbj.g_01457	Praa.g_00320
OG0000029	Prbj.g_00378	Praa.g_00754
OG0000030	Prbj.g_01288, Prbj.g_01287	Praa.g_01842
OG0000033	Prbj.g_00518	Praa.g_00169
OG0000034	Prbj.g_01740	Praa.g_01328
OG0000035	Prbj.g_01056	Praa.g_01476
OG0000037	Prbj.g_00624	Praa.g_00109
OG0000038	Prbj.g_01959, Prbj.g_01961	Praa.g_01883
OG0000039	Prbj.g_00429, Prbj.g_00278	Praa.g_00686
OG0000041	Prbj.g_00450	Praa.g_01683
OG0000042	Prbj.g_01808, Prbj.g_00001	Praa.g_01839
OG0000045	Prbj.g_00563	Praa.g_00370
OG0000047	Prbj.g_00666	Praa.g_00330
OG0000048	Prbj.g_01393	Praa.g_00373
OG0000051	Prbj.g_00705	Praa.g_01291
OG0000052	Prbj.g_01487	Praa.g_01447, Praa.g_01407
OG0000053	Prbj.g_00638	Praa.g_01496
OG0000054	Prbj.g_01758	Praa.g_00606
OG0000057	Prbj.g_00758	Praa.g_00698
OG0000059	Prbj.g_01521	Praa.g_01723
OG0000062	Prbj.g_00881	Praa.g_01555
OG0000063	Prbj.g_01208	Praa.g_00033
OG0000065	Prbj.g_00620	Praa.g_00107
OG0000066	Prbj.g_02141	Praa.g_00539
OG0000067	Prbj.g_02412	Praa.g_00803
OG0000068	Prbj.g_01639	Praa.g_01366
OG0000070	Prbj.g_00118	Praa.g_00449
OG0000071	Prbj.g_01728	Praa.g_01318
OG0000072	Prbj.g_00516	Praa.g_00171
OG0000073	Prbj.g_01608	Praa.g_00499
OG0000075	Prbj.g_01502	Praa.g_01808
OG0000076	Prbj.g_01598	Praa.g_01832
OG0000077	Prbj.g_00576	Praa.g_00078
OG0000078	Prbj.g_02614	Praa.g_00239
OG0000079	Prbj.g_01353	Praa.g_00252
OG0000081	Prbj.g_00765	Praa.g_00531
OG0000082	Prbj.g_01789	Praa.g_00585
OG0000084	Prbj.g_01052	Praa.g_01472
OG0000085	Prbj.g_00869	Praa.g_01628
OG0000086	Prbj.g_00589	Praa.g_00088
OG0000087	Prbj.g_01547	Praa.g_00139
OG0000088	Prbj.g_00521	Praa.g_00166
OG0000089	Prbj.g_00064	Praa.g_00355
OG0000090	Prbj.g_02127	Praa.g_00533
OG0000091	Prbj.g_02581	Praa.g_00642
OG0000093	Prbj.g_02388	Praa.g_00932
OG0000094	Prbj.g_01985	Praa.g_01020
OG0000097	Prbj.g_02152	Praa.g_01200
OG0000098	Prbj.g_00669	Praa.g_01348
OG0000099	Prbj.g_01464	Praa.g_01394
OG0000100	Prbj.g_00185, Prbj.g_02442	Praa.g_01551
OG0000101	Prbj.g_00415, Prbj.g_00981	Praa.g_01775
OG0000102	Prbj.g_01819	Praa.g_01837
OG0000103	Prbj.g_02055	Praa.g_01916
OG0000104	Prbj.g_02069	Praa.g_01924
OG0000105	Prbj.g_01397	Praa.g_00274
OG0000106	Prbj.g_00875	Praa.g_00369
OG0000108	Prbj.g_01630	Praa.g_00480
OG0000109	Prbj.g_01614	Praa.g_00494
OG0000110	Prbj.g_01801	Praa.g_00575
OG0000111	Prbj.g_00759	Praa.g_00699
OG0000112	Prbj.g_02276	Praa.g_00766
OG0000113	Prbj.g_02437	Praa.g_00826
OG0000114	Prbj.g_02340	Praa.g_00907
OG0000115	Prbj.g_00634	Praa.g_01101
OG0000116	Prbj.g_00956	Praa.g_01150
OG0000117	Prbj.g_01915	Praa.g_01255
OG0000118	Prbj.g_01742	Praa.g_01330
OG0000119	Prbj.g_00740, Prbj.g_00778	Praa.g_01362
OG0000120	Prbj.g_01465	Praa.g_01387
OG0000121	Prbj.g_01064, Prbj.g_01058	Praa.g_01478
OG0000122	Prbj.g_02627	Praa.g_01516
OG0000123	Prbj.g_00406	Praa.g_01782
OG0000124	Prbj.g_01281	Praa.g_01848
OG0000125	Prbj.g_01963	Praa.g_01885
OG0000126	Prbj.g_02067	Praa.g_01923
OG0000128	Prbj.g_02085	Praa.g_00011
OG0000129	Prbj.g_01951	Praa.g_00044
OG0000130	Prbj.g_00564	Praa.g_00069
OG0000131	Prbj.g_00543	Praa.g_00145
OG0000132	Prbj.g_00523	Praa.g_00164
OG0000133	Prbj.g_01460	Praa.g_00322
OG0000134	Prbj.g_00067	Praa.g_00356
OG0000135	Prbj.g_02004	Praa.g_00381
OG0000136	Prbj.g_00105	Praa.g_00440
OG0000137	Prbj.g_00128	Praa.g_01414, Praa.g_00475
OG0000138	Prbj.g_01613	Praa.g_00495
OG0000139	Prbj.g_02133	Praa.g_00537
OG0000140	Prbj.g_02139	Praa.g_00538
OG0000141	Prbj.g_01757	Praa.g_00607
OG0000142	Prbj.g_02573	Praa.g_00635
OG0000143	Prbj.g_02577	Praa.g_00639
OG0000144	Prbj.g_00793	Praa.g_00652
OG0000145	Prbj.g_01607	Praa.g_00764
OG0000146	Prbj.g_02277	Praa.g_00767
OG0000147	Prbj.g_02278	Praa.g_00768
OG0000148	Prbj.g_02431	Praa.g_00820
OG0000149	Prbj.g_02488	Praa.g_00851
OG0000150	Prbj.g_02511	Praa.g_00859
OG0000151	Prbj.g_02361	Praa.g_00917
OG0000152	Prbj.g_02268	Praa.g_00964
OG0000153	Prbj.g_02241	Praa.g_00983
OG0000154	Prbj.g_02213	Praa.g_01013
