Orthogroup	Prbj	Syag
OG0000001	Prbj.g_00672, Prbj.g_00169	Syag.g_00575
OG0000001	Prbj.g_01549, Prbj.g_02662	Syag.g_01943
OG0000003	Prbj.g_00170, Prbj.g_01574, Prbj.g_02693, Prbj.g_02694, Prbj.g_00096, Prbj.g_02605, Prbj.g_00226, Prbj.g_00059, Prbj.g_00058, Prbj.g_00079	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Prbj.g_01354, Prbj.g_01356, Prbj.g_01916, Prbj.g_01831	Syag.g_02658
OG0000004	Prbj.g_00754	Syag.g_00988
OG0000004	Prbj.g_01777	Syag.g_00370, Syag.g_01790
OG0000005	Prbj.g_00883	Syag.g_01667
OG0000006	Prbj.g_02699	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbj.g_01610	Syag.g_01507
OG0000007	Prbj.g_00857	Syag.g_01687
OG0000008	Prbj.g_00929	Syag.g_00496
OG0000008	Prbj.g_00928	Syag.g_01017
OG0000009	Prbj.g_01300, Prbj.g_00618	Syag.g_01883
OG0000010	Prbj.g_00129	Syag.g_01355
OG0000011	Prbj.g_00897	Syag.g_01299
OG0000012	Prbj.g_02552	Syag.g_00377
OG0000013	Prbj.g_00359	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbj.g_01442	Syag.g_02559
OG0000015	Prbj.g_02502	Syag.g_00596
OG0000017	Prbj.g_01761	Syag.g_00344
OG0000017	Prbj.g_01769	Syag.g_00336
OG0000018	Prbj.g_00641	Syag.g_01387
OG0000019	Prbj.g_00025	Syag.g_02663
OG0000020	Prbj.g_00046, Prbj.g_00214, Prbj.g_02701	Syag.g_00085
OG0000021	Prbj.g_01774	Syag.g_00229
OG0000022	Prbj.g_01572, Prbj.g_00050	Syag.g_00458
OG0000023	Prbj.g_02392	Syag.g_00261, Syag.g_00234
OG0000024	Prbj.g_00773	Syag.g_00455
OG0000025	Prbj.g_02475	Syag.g_00718
OG0000026	Prbj.g_01204	Syag.g_02309
OG0000028	Prbj.g_01457	Syag.g_02540
OG0000029	Prbj.g_00378	Syag.g_00195
OG0000030	Prbj.g_01288	Syag.g_02375
OG0000030	Prbj.g_01287	Syag.g_02374
OG0000032	Prbj.g_00659	Syag.g_01366
OG0000032	Prbj.g_01468	Syag.g_02480
OG0000033	Prbj.g_00518	Syag.g_01978
OG0000034	Prbj.g_01740	Syag.g_01225, Syag.g_01947
OG0000035	Prbj.g_01056	Syag.g_01420
OG0000036	Prbj.g_01382, Prbj.g_01105, Prbj.g_01106, Prbj.g_02087, Prbj.g_00412, Prbj.g_02670, Prbj.g_00504, Prbj.g_02686, Prbj.g_01098, Prbj.g_01134, Prbj.g_01675, Prbj.g_01099	Syag.g_01274
OG0000037	Prbj.g_00624	Syag.g_00173
OG0000038	Prbj.g_01959	Syag.g_02130
OG0000038	Prbj.g_01961	Syag.g_02132
OG0000039	Prbj.g_00429	Syag.g_01325
OG0000039	Prbj.g_00278	Syag.g_02155
OG0000041	Prbj.g_00450	Syag.g_01750
OG0000042	Prbj.g_01808, Prbj.g_00001	Syag.g_01094, Syag.g_02378
OG0000045	Prbj.g_00563	Syag.g_00225, Syag.g_00223
OG0000046	Prbj.g_00358	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Prbj.g_02509, Prbj.g_00666	Syag.g_00768
OG0000048	Prbj.g_01393	Syag.g_02611
OG0000051	Prbj.g_00705	Syag.g_01026
OG0000051	Prbj.g_02362	Syag.g_00214
OG0000052	Prbj.g_01487	Syag.g_02451
