Orthogroup	Prbj	Syan
OG0000001	Prbj.g_01549, Prbj.g_02662	Syan.g_02266
OG0000001	Prbj.g_02690	Syan.g_02528
OG0000004	Prbj.g_00754	Syan.g_00183
OG0000004	Prbj.g_01777	Syan.g_00989
OG0000005	Prbj.g_00883	Syan.g_01378
OG0000006	Prbj.g_02699	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbj.g_01610	Syan.g_02743
OG0000007	Prbj.g_00857	Syan.g_01400
OG0000008	Prbj.g_00929	Syan.g_00640, Syan.g_02532
OG0000008	Prbj.g_00928	Syan.g_00641, Syan.g_02531
OG0000009	Prbj.g_01300, Prbj.g_00618	Syan.g_02972
OG0000010	Prbj.g_00129	Syan.g_02847
OG0000012	Prbj.g_02552	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbj.g_00359	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbj.g_01442	Syan.g_01987
OG0000017	Prbj.g_01761	Syan.g_01013
OG0000017	Prbj.g_01769	Syan.g_01006
OG0000018	Prbj.g_00641	Syan.g_02816
OG0000019	Prbj.g_00025, Prbj.g_01349	Syan.g_02088
OG0000021	Prbj.g_01121, Prbj.g_01774	Syan.g_01001
OG0000022	Prbj.g_01572, Prbj.g_00050	Syan.g_00089
OG0000023	Prbj.g_02392	Syan.g_00404
OG0000025	Prbj.g_02475	Syan.g_00374
OG0000026	Prbj.g_01204	Syan.g_01743
OG0000028	Prbj.g_01457	Syan.g_01971
OG0000030	Prbj.g_01288	Syan.g_01884
OG0000030	Prbj.g_01287	Syan.g_01883
OG0000032	Prbj.g_00659	Syan.g_02835
OG0000032	Prbj.g_01468	Syan.g_01819
OG0000033	Prbj.g_00518	Syan.g_03036
OG0000034	Prbj.g_01740	Syan.g_01227, Syan.g_03003
OG0000035	Prbj.g_01056	Syan.g_01276
OG0000037	Prbj.g_00624	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbj.g_01959	Syan.g_01569
OG0000038	Prbj.g_01961	Syan.g_01571
OG0000039	Prbj.g_00278	Syan.g_02771
OG0000041	Prbj.g_00450	Syan.g_01465
OG0000042	Prbj.g_01808, Prbj.g_00001	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syan.g_00431, Syan.g_00435
OG0000045	Prbj.g_00563	Syan.g_00086, Syan.g_00151
OG0000046	Prbj.g_00358	Syan.g_02157, Syan.g_02160
OG0000048	Prbj.g_01393	Syan.g_02036
OG0000053	Prbj.g_00638	Syan.g_02812
OG0000054	Prbj.g_01758	Syan.g_02503
OG0000058	Prbj.g_01467	Syan.g_01964
OG0000059	Prbj.g_01029	Syan.g_02255
OG0000060	Prbj.g_01633	Syan.g_02856
OG0000060	Prbj.g_01132	Syan.g_02250
OG0000061	Prbj.g_00971	Syan.g_02696
OG0000062	Prbj.g_00881	Syan.g_01380, Syan.g_00098
OG0000063	Prbj.g_01208	Syan.g_01739
OG0000065	Prbj.g_00620	Syan.g_02974
OG0000066	Prbj.g_02141	Syan.g_01156
OG0000067	Prbj.g_02412	Syan.g_00690
OG0000068	Prbj.g_01639	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Prbj.g_00118	Syan.g_00289
OG0000071	Prbj.g_01728	Syan.g_01213
OG0000072	Prbj.g_00516	Syan.g_03038, Syan.g_02999
OG0000073	Prbj.g_01608	Syan.g_02741
OG0000075	Prbj.g_01502	Syan.g_00981, Syan.g_01937
OG0000076	Prbj.g_01598	Syan.g_01896
OG0000077	Prbj.g_01900	Syan.g_02919
OG0000079	Prbj.g_01353	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbj.g_01789	Syan.g_00952
OG0000085	Prbj.g_00869	Syan.g_01387
OG0000086	Prbj.g_00589	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbj.g_01547	Syan.g_02268
OG0000088	Prbj.g_00912, Prbj.g_00521	Syan.g_03031
OG0000089	Prbj.g_00064	Syan.g_02316
OG0000090	Prbj.g_02127	Syan.g_01166
OG0000091	Prbj.g_02581	Syan.g_00235, Syan.g_00808
OG0000093	Prbj.g_02388	Syan.g_00708, Syan.g_02934
OG0000094	Prbj.g_01985	Syan.g_00065
OG0000095	Prbj.g_01838	Syan.g_00290
OG0000098	Prbj.g_00669	Syan.g_00043
OG0000099	Prbj.g_01464	Syan.g_01968
OG0000100	Prbj.g_00185, Prbj.g_02442	Syan.g_00658
OG0000101	Prbj.g_00415	Syan.g_02199
OG0000102	Prbj.g_01819	Syan.g_01891
OG0000103	Prbj.g_02055	Syan.g_01692
OG0000104	Prbj.g_02069	Syan.g_01792
OG0000105	Prbj.g_01397	Syan.g_02031
OG0000106	Prbj.g_00875	Syan.g_00076
OG0000107	Prbj.g_02659	Syan.g_02106
OG0000108	Prbj.g_01630	Syan.g_02764
OG0000109	Prbj.g_01614	Syan.g_02748
OG0000110	Prbj.g_01801	Syan.g_00882
OG0000111	Prbj.g_00759	Syan.g_00187
OG0000112	Prbj.g_02276	Syan.g_00556, Syan.g_00252
OG0000113	Prbj.g_02437	Syan.g_00664
OG0000114	Prbj.g_02340	Syan.g_00741
OG0000115	Prbj.g_00634	Syan.g_02810
OG0000116	Prbj.g_00956	Syan.g_02710, Syan.g_00460
OG0000117	Prbj.g_01915	Syan.g_02644
OG0000118	Prbj.g_01742	Syan.g_01241, Syan.g_01237
OG0000119	Prbj.g_00740, Prbj.g_00778	Syan.g_02672
OG0000120	Prbj.g_01465	Syan.g_01966
OG0000121	Prbj.g_01064, Prbj.g_01058	Syan.g_01273
OG0000123	Prbj.g_00406	Syan.g_02190
OG0000124	Prbj.g_01281	Syan.g_01873
OG0000125	Prbj.g_01963	Syan.g_01573
OG0000126	Prbj.g_02067	Syan.g_01705
OG0000127	Prbj.g_00210	Syan.g_01071
