Orthogroup	Prbj	Prbc
OG0000000	Prbj.g_00164	Prbc.g_02165
OG0000001	Prbj.g_00672, Prbj.g_00169	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Prbj.g_02517	Prbc.g_01920
OG0000002	Prbj.g_00030	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Prbj.g_00754	Prbc.g_01381
OG0000004	Prbj.g_01777	Prbc.g_00339
OG0000005	Prbj.g_00883	Prbc.g_00788
OG0000006	Prbj.g_02699	Prbc.g_02202
OG0000007	Prbj.g_01610	Prbc.g_01556
OG0000007	Prbj.g_00857	Prbc.g_00832
OG0000008	Prbj.g_00929	Prbc.g_00893
OG0000008	Prbj.g_00928	Prbc.g_00894
OG0000010	Prbj.g_00129	Prbc.g_02115, Prbc.g_01533
OG0000011	Prbj.g_00897	Prbc.g_00164
OG0000013	Prbj.g_00359	Prbc.g_01219
OG0000014	Prbj.g_01442	Prbc.g_01198
OG0000015	Prbj.g_02502	Prbc.g_00599
OG0000017	Prbj.g_01769	Prbc.g_01681
OG0000018	Prbj.g_00641	Prbc.g_01468, Prbc.g_01887
OG0000019	Prbj.g_00025	Prbc.g_01836
OG0000020	Prbj.g_00046	Prbc.g_02114
OG0000020	Prbj.g_00214, Prbj.g_02701	Prbc.g_00116
OG0000021	Prbj.g_01121	Prbc.g_00924
OG0000021	Prbj.g_01774	Prbc.g_02189
OG0000022	Prbj.g_01572	Prbc.g_00166
OG0000022	Prbj.g_00050	Prbc.g_01288
OG0000023	Prbj.g_02392	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prbj.g_00773	Prbc.g_00598, Prbc.g_01755
OG0000025	Prbj.g_02475	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prbj.g_01204	Prbc.g_01101
OG0000030	Prbj.g_01288, Prbj.g_01287	Prbc.g_00199
OG0000031	Prbj.g_01527, Prbj.g_01522	Prbc.g_01228
OG0000032	Prbj.g_00659	Prbc.g_00746
OG0000033	Prbj.g_00518	Prbc.g_00402
OG0000034	Prbj.g_01740	Prbc.g_00575
OG0000035	Prbj.g_01056	Prbc.g_00709
OG0000037	Prbj.g_00624	Prbc.g_00464
OG0000038	Prbj.g_01959, Prbj.g_01961	Prbc.g_00995
OG0000039	Prbj.g_00429, Prbj.g_00278	Prbc.g_01768
OG0000041	Prbj.g_00450	Prbc.g_00877
OG0000042	Prbj.g_01808, Prbj.g_00001	Prbc.g_00203
OG0000045	Prbj.g_00563	Prbc.g_02137
OG0000046	Prbj.g_00358	Prbc.g_01220
OG0000047	Prbj.g_02509	Prbc.g_01273
OG0000047	Prbj.g_00666	Prbc.g_01227
OG0000048	Prbj.g_01393	Prbc.g_01165
OG0000051	Prbj.g_00705	Prbc.g_00088, Prbc.g_00095
OG0000053	Prbj.g_00638	Prbc.g_00728
OG0000054	Prbj.g_01758	Prbc.g_01683
