Orthogroup	Prbj	Pran
OG0000000	Prbj.g_00164	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prbj.g_00166, Prbj.g_00165	Pran.g_00580, Pran.g_00894
OG0000001	Prbj.g_00672, Prbj.g_00169	Pran.g_01395
OG0000002	Prbj.g_00030	Pran.g_01500
OG0000004	Prbj.g_00754	Pran.g_01483
OG0000004	Prbj.g_01777	Pran.g_00200
OG0000005	Prbj.g_00883	Pran.g_00657
OG0000006	Prbj.g_02699	Pran.g_01951
OG0000007	Prbj.g_01610	Pran.g_01681
OG0000007	Prbj.g_00857	Pran.g_00970
OG0000009	Prbj.g_01300, Prbj.g_00618	Pran.g_00328
OG0000010	Prbj.g_00129	Pran.g_01704
OG0000011	Prbj.g_00897	Pran.g_00925
OG0000012	Prbj.g_02552	Pran.g_01555
OG0000013	Prbj.g_00359	Pran.g_01867
OG0000014	Prbj.g_01442	Pran.g_01888
OG0000015	Prbj.g_02502	Pran.g_01394
OG0000017	Prbj.g_01769	Pran.g_01580
OG0000018	Prbj.g_00641	Pran.g_00078, Pran.g_01316
OG0000019	Prbj.g_00025	Pran.g_01943, Pran.g_01363
OG0000020	Prbj.g_00046	Pran.g_00117
OG0000020	Prbj.g_00214, Prbj.g_02701	Pran.g_01804
OG0000021	Prbj.g_01121	Pran.g_01829
OG0000022	Prbj.g_01572	Pran.g_01401
OG0000022	Prbj.g_00050	Pran.g_00097
OG0000023	Prbj.g_02392	Pran.g_01834
OG0000024	Prbj.g_00773	Pran.g_01420, Pran.g_01503
OG0000025	Prbj.g_02475	Pran.g_01309, Pran.g_01863
OG0000026	Prbj.g_01204	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000028	Prbj.g_01457	Pran.g_01874
OG0000029	Prbj.g_00378	Pran.g_01410
OG0000030	Prbj.g_01288, Prbj.g_01287	Pran.g_01170
OG0000031	Prbj.g_01527, Prbj.g_01522	Pran.g_00753
OG0000033	Prbj.g_00518	Pran.g_00263
OG0000034	Prbj.g_01740	Pran.g_00866
OG0000035	Prbj.g_01056	Pran.g_00733
OG0000037	Prbj.g_00624	Pran.g_00324
OG0000038	Prbj.g_01959, Prbj.g_01961	Pran.g_01210
OG0000039	Prbj.g_00429, Prbj.g_00278	Pran.g_01492
OG0000041	Prbj.g_00450	Pran.g_01016
OG0000042	Prbj.g_01808, Prbj.g_00001	Pran.g_01167
OG0000045	Prbj.g_00563	Pran.g_01823
OG0000047	Prbj.g_00666	Pran.g_01864
OG0000048	Prbj.g_01393	Pran.g_01772, Pran.g_01820
OG0000051	Prbj.g_00705	Pran.g_00898, Pran.g_00944
OG0000052	Prbj.g_01487	Pran.g_00777
OG0000053	Prbj.g_00638	Pran.g_00713
OG0000054	Prbj.g_01758	Pran.g_01572
OG0000057	Prbj.g_00758	Pran.g_01480
OG0000059	Prbj.g_01521	Pran.g_01056
OG0000061	Prbj.g_00971	Pran.g_00060
OG0000062	Prbj.g_00881	Pran.g_00655
OG0000063	Prbj.g_01208	Pran.g_00391
OG0000065	Prbj.g_00620	Pran.g_00326
OG0000066	Prbj.g_02141	Pran.g_01639
OG0000067	Prbj.g_02412	Pran.g_01343
OG0000068	Prbj.g_01639	Pran.g_00841
OG0000070	Prbj.g_00118	Pran.g_01727
OG0000071	Prbj.g_01728	Pran.g_00938, Pran.g_00876
OG0000072	Prbj.g_00516	Pran.g_00261
OG0000073	Prbj.g_01608	Pran.g_01679
OG0000075	Prbj.g_01502	Pran.g_01137
OG0000076	Prbj.g_01598	Pran.g_01160
OG0000077	Prbj.g_00576	Pran.g_00354
OG0000078	Prbj.g_02614	Pran.g_00194
OG0000079	Prbj.g_01353	Pran.g_01940
OG0000081	Prbj.g_00765	Pran.g_01647
OG0000082	Prbj.g_01789	Pran.g_01593
OG0000084	Prbj.g_01052	Pran.g_00737
OG0000085	Prbj.g_00869	Pran.g_00963
OG0000086	Prbj.g_00589	Pran.g_00344
OG0000087	Prbj.g_01547	Pran.g_00295
OG0000088	Prbj.g_00521	Pran.g_00266
OG0000089	Prbj.g_00064	Pran.g_01839
OG0000090	Prbj.g_02127	Pran.g_01645
OG0000091	Prbj.g_02581	Pran.g_01536
OG0000093	Prbj.g_02388	Pran.g_00455
OG0000094	Prbj.g_01985	Pran.g_00549
OG0000097	Prbj.g_02152	Pran.g_00019
OG0000098	Prbj.g_00669	Pran.g_00855
OG0000099	Prbj.g_01464	Pran.g_00806
OG0000100	Prbj.g_00185, Prbj.g_02442	Pran.g_00659
OG0000101	Prbj.g_00415, Prbj.g_00981	Pran.g_01105
OG0000102	Prbj.g_01819	Pran.g_01165
OG0000103	Prbj.g_02055	Pran.g_01244
OG0000104	Prbj.g_02069	Pran.g_01253
OG0000105	Prbj.g_01397	Pran.g_01920
OG0000106	Prbj.g_00875	Pran.g_01824
OG0000108	Prbj.g_01630	Pran.g_01698
OG0000109	Prbj.g_01614	Pran.g_01684
OG0000110	Prbj.g_01801	Pran.g_01603
OG0000111	Prbj.g_00759	Pran.g_01479
OG0000112	Prbj.g_02276	Pran.g_01378
OG0000113	Prbj.g_02437	Pran.g_01321
OG0000114	Prbj.g_02340	Pran.g_00429
OG0000115	Prbj.g_00634	Pran.g_00123
OG0000116	Prbj.g_00956	Pran.g_00070
OG0000117	Prbj.g_01915	Pran.g_01466
OG0000118	Prbj.g_01742	Pran.g_00864
OG0000119	Prbj.g_00740, Prbj.g_00778	Pran.g_00845
OG0000120	Prbj.g_01465	Pran.g_00752
OG0000121	Prbj.g_01064, Prbj.g_01058	Pran.g_00731
OG0000122	Prbj.g_02627	Pran.g_00693
OG0000123	Prbj.g_00406	Pran.g_01112
OG0000124	Prbj.g_01281	Pran.g_01176
OG0000125	Prbj.g_01963	Pran.g_01212
OG0000126	Prbj.g_02067	Pran.g_01252
OG0000128	Prbj.g_02085	Pran.g_01268
OG0000129	Prbj.g_01951	Pran.g_00381
OG0000130	Prbj.g_00564	Pran.g_00363
OG0000131	Prbj.g_00543	Pran.g_00288
OG0000132	Prbj.g_00523	Pran.g_00268
OG0000133	Prbj.g_01460	Pran.g_01872
OG0000134	Prbj.g_00067	Pran.g_01838
OG0000135	Prbj.g_02004	Pran.g_01812
OG0000136	Prbj.g_00105	Pran.g_01739
OG0000137	Prbj.g_00128	Pran.g_01703
OG0000138	Prbj.g_01613	Pran.g_01683
OG0000139	Prbj.g_02133	Pran.g_01641
OG0000140	Prbj.g_02139	Pran.g_01640
OG0000141	Prbj.g_01757	Pran.g_01571
OG0000142	Prbj.g_02573	Pran.g_01543
OG0000143	Prbj.g_02577	Pran.g_01539
OG0000144	Prbj.g_00793	Pran.g_01526
OG0000145	Prbj.g_01607	Pran.g_01400
OG0000146	Prbj.g_02277	Pran.g_01377
OG0000147	Prbj.g_02278	Pran.g_01376
OG0000148	Prbj.g_02431	Pran.g_01327
OG0000149	Prbj.g_02488	Pran.g_01297
OG0000150	Prbj.g_02511	Pran.g_01289
OG0000151	Prbj.g_02361	Pran.g_00439
OG0000152	Prbj.g_02268	Pran.g_00487
OG0000153	Prbj.g_02241	Pran.g_00506
OG0000154	Prbj.g_02213	Pran.g_00542
OG0000155	Prbj.g_00312	Pran.g_00040
OG0000156	Prbj.g_00163	Pran.g_00887
OG0000157	Prbj.g_00162	Pran.g_00886
OG0000158	Prbj.g_01514	Pran.g_00822
OG0000160	Prbj.g_01057	Pran.g_00732
OG0000161	Prbj.g_01071	Pran.g_00726
OG0000162	Prbj.g_01077	Pran.g_00720
OG0000163	Prbj.g_01688	Pran.g_00686
OG0000164	Prbj.g_00476	Pran.g_00994
OG0000165	Prbj.g_00467	Pran.g_01001
OG0000166	Prbj.g_01019	Pran.g_01069, Pran.g_01068
OG0000167	Prbj.g_01500	Pran.g_01135
OG0000168	Prbj.g_01515	Pran.g_01144
OG0000169	Prbj.g_01581	Pran.g_01154
OG0000170	Prbj.g_01593	Pran.g_01156
OG0000171	Prbj.g_01282	Pran.g_01175
OG0000172	Prbj.g_01248	Pran.g_01184
OG0000173	Prbj.g_01227	Pran.g_01199
OG0000174	Prbj.g_02006	Pran.g_01226
OG0000175	Prbj.g_02044	Pran.g_01236
OG0000176	Prbj.g_02077	Pran.g_01261
OG0000177	Prbj.g_02078	Pran.g_01262
OG0000178	Prbj.g_02079	Pran.g_01263
OG0000179	Prbj.g_01188	Pran.g_00408
OG0000180	Prbj.g_01189	Pran.g_00407
OG0000181	Prbj.g_01190	Pran.g_00406
OG0000182	Prbj.g_01191	Pran.g_00405
OG0000183	Prbj.g_01195	Pran.g_00401
OG0000184	Prbj.g_01943	Pran.g_00379
OG0000185	Prbj.g_01921	Pran.g_00376
OG0000186	Prbj.g_00558	Pran.g_00368
OG0000187	Prbj.g_00560	Pran.g_00367
OG0000188	Prbj.g_00581	Pran.g_00350
OG0000189	Prbj.g_00607	Pran.g_00337
OG0000190	Prbj.g_00609	Pran.g_00336
OG0000191	Prbj.g_01557	Pran.g_00316
OG0000192	Prbj.g_01566	Pran.g_00312
OG0000193	Prbj.g_00542	Pran.g_00287
OG0000194	Prbj.g_00539	Pran.g_00283
OG0000195	Prbj.g_00537	Pran.g_00281
OG0000196	Prbj.g_00526	Pran.g_00271
OG0000197	Prbj.g_00525	Pran.g_00270
OG0000198	Prbj.g_00524	Pran.g_00269
OG0000199	Prbj.g_00517	Pran.g_00262
OG0000201	Prbj.g_01157	Pran.g_00240
OG0000202	Prbj.g_01158	Pran.g_00239
OG0000203	Prbj.g_01159	Pran.g_00238
OG0000204	Prbj.g_01160	Pran.g_00237
OG0000205	Prbj.g_01167	Pran.g_00230
OG0000206	Prbj.g_00288	Pran.g_00225
OG0000207	Prbj.g_00234	Pran.g_00223
OG0000208	Prbj.g_00235	Pran.g_00222
OG0000209	Prbj.g_00262	Pran.g_00213
OG0000210	Prbj.g_00263	Pran.g_00212
OG0000211	Prbj.g_00177	Pran.g_00199
OG0000212	Prbj.g_02615	Pran.g_00193
OG0000213	Prbj.g_01362	Pran.g_01935
OG0000214	Prbj.g_01389	Pran.g_01926
OG0000215	Prbj.g_01419	Pran.g_01902
OG0000216	Prbj.g_01422	Pran.g_01900
OG0000217	Prbj.g_01426	Pran.g_01897
OG0000218	Prbj.g_01430	Pran.g_01895
OG0000219	Prbj.g_01431	Pran.g_01894
OG0000220	Prbj.g_01432	Pran.g_01893
OG0000221	Prbj.g_01437	Pran.g_01892
OG0000222	Prbj.g_01446	Pran.g_01884
OG0000223	Prbj.g_01469	Pran.g_01871
OG0000224	Prbj.g_01480	Pran.g_01869
OG0000225	Prbj.g_00323	Pran.g_01849
OG0000226	Prbj.g_00319	Pran.g_01845
OG0000227	Prbj.g_00317	Pran.g_01843
OG0000228	Prbj.g_00063	Pran.g_01840
OG0000229	Prbj.g_00100	Pran.g_01744
OG0000230	Prbj.g_00102	Pran.g_01742
OG0000231	Prbj.g_00117	Pran.g_01728
OG0000232	Prbj.g_01888	Pran.g_01720
OG0000233	Prbj.g_00148	Pran.g_01715
OG0000234	Prbj.g_00127	Pran.g_01702
OG0000235	Prbj.g_01631	Pran.g_01699
OG0000236	Prbj.g_01615	Pran.g_01685
OG0000237	Prbj.g_02094	Pran.g_01672
OG0000238	Prbj.g_02098	Pran.g_01666
OG0000239	Prbj.g_02114	Pran.g_01653
OG0000240	Prbj.g_02115	Pran.g_01652
OG0000241	Prbj.g_01116	Pran.g_01648
OG0000242	Prbj.g_02125	Pran.g_01646
OG0000243	Prbj.g_02668	Pran.g_01635
OG0000244	Prbj.g_01859	Pran.g_01632
OG0000245	Prbj.g_01862	Pran.g_01630
OG0000246	Prbj.g_01866	Pran.g_01626
OG0000247	Prbj.g_01877	Pran.g_01616
OG0000248	Prbj.g_01880	Pran.g_01613
OG0000249	Prbj.g_01882	Pran.g_01611
OG0000250	Prbj.g_01805	Pran.g_01606
OG0000251	Prbj.g_01781	Pran.g_01587
OG0000252	Prbj.g_01778	Pran.g_01584
OG0000253	Prbj.g_01772	Pran.g_01583
OG0000254	Prbj.g_01753	Pran.g_01567
OG0000255	Prbj.g_02546	Pran.g_01561
OG0000256	Prbj.g_02560	Pran.g_01551
OG0000257	Prbj.g_02566	Pran.g_01548
OG0000258	Prbj.g_02589	Pran.g_01535
OG0000259	Prbj.g_00812	Pran.g_01518
OG0000260	Prbj.g_00816	Pran.g_01515
OG0000261	Prbj.g_00819	Pran.g_01513
OG0000262	Prbj.g_00824	Pran.g_01509
OG0000263	Prbj.g_00248	Pran.g_01497
OG0000264	Prbj.g_00933	Pran.g_01487
OG0000265	Prbj.g_02178, Prbj.g_00913	Pran.g_01460
OG0000266	Prbj.g_02189	Pran.g_01450
OG0000267	Prbj.g_02315	Pran.g_01439
OG0000268	Prbj.g_02314	Pran.g_01438
OG0000269	Prbj.g_02407	Pran.g_01348
OG0000270	Prbj.g_02410	Pran.g_01345
OG0000271	Prbj.g_02418	Pran.g_01337
OG0000272	Prbj.g_02419	Pran.g_01336
OG0000273	Prbj.g_02470	Pran.g_01313
OG0000274	Prbj.g_02471	Pran.g_01312
OG0000275	Prbj.g_02474	Pran.g_01310
OG0000276	Prbj.g_02480	Pran.g_01305
OG0000277	Prbj.g_02481	Pran.g_01304
OG0000278	Prbj.g_02484	Pran.g_01301
OG0000279	Prbj.g_02492	Pran.g_01294
OG0000280	Prbj.g_02498	Pran.g_01293
OG0000281	Prbj.g_02512	Pran.g_01287
OG0000282	Prbj.g_02342	Pran.g_00431
OG0000283	Prbj.g_02303	Pran.g_00464
OG0000284	Prbj.g_02297	Pran.g_00469
OG0000285	Prbj.g_00694	Pran.g_00474
OG0000286	Prbj.g_02269	Pran.g_00486
OG0000287	Prbj.g_00722	Pran.g_00503
OG0000288	Prbj.g_02214	Pran.g_00541
OG0000289	Prbj.g_02201	Pran.g_00552
OG0000290	Prbj.g_01841	Pran.g_00565
OG0000291	Prbj.g_01839	Pran.g_00567
OG0000292	Prbj.g_02066	Pran.g_00135
OG0000293	Prbj.g_00958	Pran.g_00069
OG0000294	Prbj.g_00959	Pran.g_00068
OG0000295	Prbj.g_00304	Pran.g_00048
OG0000296	Prbj.g_00306, Prbj.g_00307	Pran.g_00046
OG0000297	Prbj.g_01913	Pran.g_00038
OG0000298	Prbj.g_01914	Pran.g_00037
OG0000299	Prbj.g_01903	Pran.g_00020
OG0000300	Prbj.g_02155	Pran.g_00017
OG0000301	Prbj.g_02156	Pran.g_00016
OG0000302	Prbj.g_02159	Pran.g_00014
OG0000303	Prbj.g_00314	Pran.g_00007
OG0000304	Prbj.g_00020	Pran.g_00003
OG0000305	Prbj.g_01837	Pran.g_00848
OG0000306	Prbj.g_02521	Pran.g_00846
OG0000307	Prbj.g_01647	Pran.g_00832
OG0000308	Prbj.g_01649	Pran.g_00831
OG0000309	Prbj.g_01653	Pran.g_00827
OG0000310	Prbj.g_01294	Pran.g_00748
OG0000311	Prbj.g_01040	Pran.g_00746
OG0000312	Prbj.g_01044	Pran.g_00743
OG0000313	Prbj.g_01068	Pran.g_00729
OG0000314	Prbj.g_00646	Pran.g_00706
OG0000315	Prbj.g_00656	Pran.g_00696
OG0000316	Prbj.g_01699	Pran.g_00676
OG0000317	Prbj.g_00863	Pran.g_00968
OG0000318	Prbj.g_00856	Pran.g_00971
OG0000319	Prbj.g_00487	Pran.g_00984
OG0000320	Prbj.g_00485	Pran.g_00986
OG0000321	Prbj.g_00484	Pran.g_00987
OG0000322	Prbj.g_00483	Pran.g_00988
OG0000323	Prbj.g_00472	Pran.g_00997
OG0000324	Prbj.g_00443	Pran.g_01023
OG0000325	Prbj.g_02657	Pran.g_01033
OG0000326	Prbj.g_02649	Pran.g_01039
OG0000327	Prbj.g_01024	Pran.g_01063
OG0000328	Prbj.g_01023	Pran.g_01064
OG0000329	Prbj.g_01006	Pran.g_01082
OG0000330	Prbj.g_01005	Pran.g_01083
OG0000331	Prbj.g_01004	Pran.g_01084
OG0000332	Prbj.g_00989	Pran.g_01098
OG0000333	Prbj.g_00987	Pran.g_01100
OG0000334	Prbj.g_00410	Pran.g_01108
OG0000335	Prbj.g_00405	Pran.g_01113
OG0000336	Prbj.g_00401	Pran.g_01117
OG0000337	Prbj.g_01494	Pran.g_01133
OG0000338	Prbj.g_01498	Pran.g_01134
OG0000339	Prbj.g_01504	Pran.g_01138
OG0000340	Prbj.g_01516	Pran.g_01145
OG0000341	Prbj.g_01518	Pran.g_01147
OG0000342	Prbj.g_01519	Pran.g_01148
OG0000343	Prbj.g_01576	Pran.g_01149
OG0000344	Prbj.g_01579	Pran.g_01152
OG0000345	Prbj.g_01594	Pran.g_01157
OG0000346	Prbj.g_01599	Pran.g_01161
OG0000347	Prbj.g_01280	Pran.g_01177
OG0000348	Prbj.g_01243	Pran.g_01187
OG0000349	Prbj.g_01219	Pran.g_01203
OG0000350	Prbj.g_01999	Pran.g_01222
OG0000351	Prbj.g_02047	Pran.g_01239
OG0000352	Prbj.g_02048	Pran.g_01240
OG0000353	Prbj.g_02072	Pran.g_01256
OG0000355	Prbj.g_02074	Pran.g_01258
OG0000356	Prbj.g_02075	Pran.g_01259
OG0000357	Prbj.g_02076	Pran.g_01260
OG0000358	Prbj.g_02080	Pran.g_01264
OG0000359	Prbj.g_02082	Pran.g_01265
OG0000360	Prbj.g_02083	Pran.g_01266
OG0000361	Prbj.g_02084	Pran.g_01267
OG0000362	Prbj.g_02086	Pran.g_01269
OG0000363	Prbj.g_01182	Pran.g_00410
OG0000364	Prbj.g_01183	Pran.g_00409
OG0000365	Prbj.g_01192	Pran.g_00404
OG0000366	Prbj.g_01193	Pran.g_00403
OG0000367	Prbj.g_01194	Pran.g_00402
OG0000368	Prbj.g_01196	Pran.g_00400
OG0000369	Prbj.g_01197	Pran.g_00399
OG0000370	Prbj.g_01198	Pran.g_00398
OG0000371	Prbj.g_01207	Pran.g_00392
OG0000372	Prbj.g_01212	Pran.g_00389
OG0000373	Prbj.g_01213	Pran.g_00388
OG0000374	Prbj.g_01214	Pran.g_00387
OG0000375	Prbj.g_01215	Pran.g_00385
OG0000376	Prbj.g_01217	Pran.g_00383
OG0000377	Prbj.g_01950	Pran.g_00380
OG0000378	Prbj.g_01936	Pran.g_00378
OG0000379	Prbj.g_01920	Pran.g_00375
OG0000380	Prbj.g_00561	Pran.g_00366
OG0000381	Prbj.g_00565	Pran.g_00362
OG0000382	Prbj.g_00580	Pran.g_00351
OG0000383	Prbj.g_00582	Pran.g_00349
OG0000384	Prbj.g_00583	Pran.g_00348
OG0000385	Prbj.g_00584	Pran.g_00347
OG0000386	Prbj.g_00585	Pran.g_00346
OG0000387	Prbj.g_00611	Pran.g_00334
OG0000388	Prbj.g_00615	Pran.g_00331
OG0000389	Prbj.g_00619	Pran.g_00327
OG0000390	Prbj.g_01551	Pran.g_00320
OG0000391	Prbj.g_01556	Pran.g_00317
OG0000392	Prbj.g_01562	Pran.g_00313
OG0000393	Prbj.g_01567	Pran.g_00311
OG0000394	Prbj.g_01568	Pran.g_00310
OG0000395	Prbj.g_01569	Pran.g_00309
OG0000396	Prbj.g_01530	Pran.g_00307
OG0000397	Prbj.g_01532	Pran.g_00305
OG0000398	Prbj.g_01537	Pran.g_00303
OG0000399	Prbj.g_01538	Pran.g_00302
OG0000400	Prbj.g_01539	Pran.g_00301
OG0000401	Prbj.g_01540	Pran.g_00300
OG0000402	Prbj.g_01542	Pran.g_00298
OG0000403	Prbj.g_01543	Pran.g_00297
OG0000404	Prbj.g_01545	Pran.g_00296
