Orthogroup	Prbj	Prak
OG0000000	Prbj.g_00164	Prak.g_01562
OG0000001	Prbj.g_00672, Prbj.g_00169	Prak.g_01302, Prak.g_00755
OG0000002	Prbj.g_02517	Prak.g_00908, Prak.g_00913
OG0000002	Prbj.g_00030	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Prbj.g_00754	Prak.g_00826
OG0000004	Prbj.g_01777	Prak.g_00248
OG0000005	Prbj.g_00883	Prak.g_01474
OG0000006	Prbj.g_02699	Prak.g_00258
OG0000007	Prbj.g_01610	Prak.g_00458
OG0000007	Prbj.g_00857	Prak.g_01645
OG0000008	Prbj.g_00929	Prak.g_01544
OG0000008	Prbj.g_00928	Prak.g_01545, Prak.g_01546
OG0000010	Prbj.g_00129	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000012	Prbj.g_02552	Prak.g_00584
OG0000013	Prbj.g_00359	Prak.g_00343
OG0000014	Prbj.g_01442	Prak.g_00325
OG0000015	Prbj.g_02502	Prak.g_01584, Prak.g_01630
OG0000017	Prbj.g_01761	Prak.g_00566
OG0000017	Prbj.g_01769	Prak.g_00559
OG0000018	Prbj.g_00641	Prak.g_01194, Prak.g_00873
OG0000019	Prbj.g_00025	Prak.g_00266, Prak.g_01196
OG0000020	Prbj.g_00046	Prak.g_01498
OG0000020	Prbj.g_00214, Prbj.g_02701	Prak.g_01527
OG0000021	Prbj.g_01121	Prak.g_01499
OG0000021	Prbj.g_01774	Prak.g_00831
OG0000022	Prbj.g_01572	Prak.g_01482
OG0000023	Prbj.g_02392	Prak.g_00721
OG0000024	Prbj.g_00773	Prak.g_01038, Prak.g_00802
OG0000025	Prbj.g_02475	Prak.g_00881
OG0000026	Prbj.g_01204	Prak.g_00032
OG0000029	Prbj.g_00378	Prak.g_01534, Prak.g_01576
OG0000030	Prbj.g_01288, Prbj.g_01287	Prak.g_01853
OG0000031	Prbj.g_01527, Prbj.g_01522	Prak.g_01350
OG0000032	Prbj.g_00659	Prak.g_01430
OG0000033	Prbj.g_00518	Prak.g_00181
OG0000034	Prbj.g_01740	Prak.g_01288
OG0000035	Prbj.g_01056	Prak.g_01391
OG0000037	Prbj.g_00624	Prak.g_00115
OG0000038	Prbj.g_01959, Prbj.g_01961	Prak.g_01893
OG0000039	Prbj.g_00429, Prbj.g_00278	Prak.g_00814
OG0000041	Prbj.g_00450	Prak.g_01692
OG0000042	Prbj.g_01808, Prbj.g_00001	Prak.g_01850
OG0000045	Prbj.g_00563	Prak.g_01216
OG0000046	Prbj.g_00358	Prak.g_00344
OG0000047	Prbj.g_02509	Prak.g_00385
OG0000048	Prbj.g_01393	Prak.g_01264, Prak.g_00289
OG0000051	Prbj.g_00705	Prak.g_00667
OG0000052	Prbj.g_01487	Prak.g_01369
OG0000053	Prbj.g_00638	Prak.g_01590, Prak.g_01412
OG0000054	Prbj.g_01758	Prak.g_00568
OG0000057	Prbj.g_00758	Prak.g_00829
OG0000059	Prbj.g_01521	Prak.g_01732
OG0000062	Prbj.g_00881	Prak.g_01476
OG0000063	Prbj.g_01208	Prak.g_01530
OG0000065	Prbj.g_00620	Prak.g_00113
OG0000066	Prbj.g_02141	Prak.g_00498, Prak.g_01557
OG0000067	Prbj.g_02412	Prak.g_00845
OG0000068	Prbj.g_01639	Prak.g_01329
OG0000070	Prbj.g_00118	Prak.g_00412
OG0000071	Prbj.g_01728	Prak.g_01277
OG0000072	Prbj.g_00516	Prak.g_00183
OG0000073	Prbj.g_01608	Prak.g_00461
OG0000075	Prbj.g_01502	Prak.g_01816
OG0000076	Prbj.g_01598	Prak.g_01842
OG0000077	Prbj.g_00576	Prak.g_00083
OG0000078	Prbj.g_02614	Prak.g_00256
OG0000079	Prbj.g_01353	Prak.g_00269
OG0000081	Prbj.g_00765	Prak.g_00490
