Orthogroup	Prbj	Syaa
OG0000004	Prbj.g_00754	Syaa.g_00892
OG0000004	Prbj.g_01777	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbj.g_00883	Syaa.g_00573
OG0000006	Prbj.g_02699	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbj.g_01610	Syaa.g_02032
OG0000007	Prbj.g_00857	Syaa.g_00551
OG0000008	Prbj.g_00929	Syaa.g_00918
OG0000008	Prbj.g_00928	Syaa.g_00919
OG0000009	Prbj.g_01300, Prbj.g_00618	Syaa.g_02378
OG0000010	Prbj.g_00129	Syaa.g_01843
OG0000012	Prbj.g_02552	Syaa.g_01660
OG0000013	Prbj.g_00359	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbj.g_01442	Syaa.g_00222
OG0000015	Prbj.g_02502	Syaa.g_01079, Syaa.g_01989
OG0000017	Prbj.g_01761	Syaa.g_01883
OG0000017	Prbj.g_01769	Syaa.g_01890
OG0000018	Prbj.g_00641	Syaa.g_01801
OG0000019	Prbj.g_00025	Syaa.g_00307
OG0000021	Prbj.g_01774	Syaa.g_02627
OG0000022	Prbj.g_01572, Prbj.g_00050	Syaa.g_01571
OG0000023	Prbj.g_02392	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbj.g_00773	Syaa.g_00922
OG0000025	Prbj.g_02475	Syaa.g_00839
OG0000026	Prbj.g_01204	Syaa.g_00038
OG0000028	Prbj.g_01457	Syaa.g_00205
OG0000029	Prbj.g_00378	Syaa.g_01578
OG0000030	Prbj.g_01288	Syaa.g_00099
OG0000030	Prbj.g_01287	Syaa.g_00098
OG0000032	Prbj.g_00659	Syaa.g_01818
OG0000033	Prbj.g_00518	Syaa.g_02478
OG0000034	Prbj.g_01740	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbj.g_01056	Syaa.g_01773
OG0000037	Prbj.g_00624	Syaa.g_02384
OG0000038	Prbj.g_01959	Syaa.g_02596
OG0000041	Prbj.g_00450	Syaa.g_00660
OG0000042	Prbj.g_01808, Prbj.g_00001	Syaa.g_00103
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syaa.g_00363
OG0000045	Prbj.g_00563	Syaa.g_01518, Syaa.g_01560
OG0000046	Prbj.g_00358	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbj.g_02509, Prbj.g_00666	Syaa.g_02189
OG0000048	Prbj.g_01393	Syaa.g_00275
OG0000051	Prbj.g_00705	Syaa.g_01531
OG0000052	Prbj.g_01487	Syaa.g_00174
OG0000053	Prbj.g_00638	Syaa.g_01797
OG0000054	Prbj.g_01758	Syaa.g_01691
OG0000057	Prbj.g_00758	Syaa.g_00889
OG0000058	Prbj.g_01467	Syaa.g_00455
OG0000059	Prbj.g_01521	Syaa.g_02315
OG0000060	Prbj.g_01633	Syaa.g_02053
OG0000061	Prbj.g_00971	Syaa.g_00770
OG0000062	Prbj.g_00881	Syaa.g_00571
OG0000063	Prbj.g_01208	Syaa.g_00042
OG0000065	Prbj.g_00620	Syaa.g_02380
OG0000066	Prbj.g_02141	Syaa.g_01968
OG0000067	Prbj.g_02412	Syaa.g_01154
OG0000068	Prbj.g_01639	Syaa.g_02059
OG0000070	Prbj.g_00118	Syaa.g_00718
OG0000071	Prbj.g_01728	Syaa.g_00735
OG0000072	Prbj.g_00516	Syaa.g_02480
OG0000073	Prbj.g_01608	Syaa.g_02030
OG0000075	Prbj.g_01502	Syaa.g_00157
OG0000076	Prbj.g_01598	Syaa.g_00123
OG0000077	Prbj.g_00576	Syaa.g_00341
OG0000078	Prbj.g_02614	Syaa.g_02103
OG0000079	Prbj.g_01353	Syaa.g_00303
OG0000081	Prbj.g_00799	Syaa.g_01694
OG0000081	Prbj.g_00765	Syaa.g_02089
OG0000082	Prbj.g_01789	Syaa.g_01905
OG0000084	Prbj.g_01052	Syaa.g_01770
OG0000085	Prbj.g_00869	Syaa.g_00564
OG0000086	Prbj.g_00589	Syaa.g_00324
OG0000087	Prbj.g_01547	Syaa.g_02433
OG0000088	Prbj.g_00912, Prbj.g_00521	Syaa.g_02474
OG0000089	Prbj.g_00064	Syaa.g_02149
OG0000090	Prbj.g_02127	Syaa.g_01980
OG0000091	Prbj.g_02581	Syaa.g_01625
OG0000093	Prbj.g_02388	Syaa.g_01139
OG0000095	Prbj.g_01838	Syaa.g_00879
OG0000097	Prbj.g_02152	Syaa.g_00979
OG0000099	Prbj.g_01464	Syaa.g_00202
OG0000100	Prbj.g_00185, Prbj.g_02442	Syaa.g_01201
OG0000101	Prbj.g_00981	Syaa.g_02249
OG0000102	Prbj.g_01819	Syaa.g_00118
OG0000103	Prbj.g_02055	Syaa.g_02740
OG0000104	Prbj.g_02069	Syaa.g_02754
OG0000105	Prbj.g_01397	Syaa.g_00270
OG0000106	Prbj.g_00875	Syaa.g_01439
OG0000107	Prbj.g_02659	Syaa.g_02351
OG0000108	Prbj.g_01630	Syaa.g_02051
OG0000109	Prbj.g_01614	Syaa.g_02036
OG0000110	Prbj.g_01801	Syaa.g_01918
OG0000111	Prbj.g_00759	Syaa.g_00888
OG0000112	Prbj.g_02276	Syaa.g_01366
OG0000113	Prbj.g_02437	Syaa.g_01196
OG0000114	Prbj.g_02340	Syaa.g_01094
OG0000115	Prbj.g_00634	Syaa.g_01795
OG0000116	Prbj.g_00956	Syaa.g_00757
OG0000117	Prbj.g_01915	Syaa.g_01009
OG0000118	Prbj.g_01742	Syaa.g_01874
OG0000119	Prbj.g_00740, Prbj.g_00778	Syaa.g_00785
OG0000120	Prbj.g_01465	Syaa.g_00201
OG0000121	Prbj.g_01064, Prbj.g_01058	Syaa.g_01777
OG0000122	Prbj.g_02627	Syaa.g_01598
OG0000123	Prbj.g_00406	Syaa.g_02242
OG0000124	Prbj.g_01281	Syaa.g_00092
OG0000125	Prbj.g_01963	Syaa.g_02598
OG0000126	Prbj.g_02067	Syaa.g_02752
OG0000127	Prbj.g_02148, Prbj.g_00896	Syaa.g_00934
OG0000128	Prbj.g_02085	Syaa.g_00012
OG0000129	Prbj.g_01951	Syaa.g_02586
OG0000130	Prbj.g_00564	Syaa.g_00354
OG0000131	Prbj.g_00543	Syaa.g_02448
OG0000132	Prbj.g_00523	Syaa.g_02472
OG0000133	Prbj.g_01460	Syaa.g_01361
OG0000134	Prbj.g_00067	Syaa.g_02146
OG0000135	Prbj.g_02004	Syaa.g_02649
OG0000136	Prbj.g_00105	Syaa.g_00708
OG0000137	Prbj.g_00128	Syaa.g_01842
OG0000138	Prbj.g_01613	Syaa.g_02035
OG0000139	Prbj.g_02133	Syaa.g_01974
OG0000140	Prbj.g_02139	Syaa.g_01971
OG0000141	Prbj.g_01757	Syaa.g_01689
OG0000142	Prbj.g_02573	Syaa.g_01633
OG0000143	Prbj.g_02577	Syaa.g_01629
OG0000144	Prbj.g_00793	Syaa.g_01446
OG0000145	Prbj.g_01607	Syaa.g_02029
OG0000146	Prbj.g_02277	Syaa.g_01367
OG0000147	Prbj.g_02278	Syaa.g_01368
OG0000148	Prbj.g_02431	Syaa.g_01190
OG0000149	Prbj.g_02488	Syaa.g_00826
OG0000150	Prbj.g_02511	Syaa.g_01688
OG0000151	Prbj.g_02361	Syaa.g_01107
OG0000152	Prbj.g_02268	Syaa.g_01357
OG0000153	Prbj.g_02241	Syaa.g_01324
OG0000154	Prbj.g_02213	Syaa.g_01298
OG0000155	Prbj.g_00312	Syaa.g_00804
OG0000156	Prbj.g_00163	Syaa.g_00751
OG0000157	Prbj.g_00162	Syaa.g_00750
OG0000158	Prbj.g_01514	Syaa.g_00148
OG0000160	Prbj.g_01057	Syaa.g_01776
OG0000161	Prbj.g_01071	Syaa.g_01782
