Orthogroup	Prbj	Syah
OG0000001	Prbj.g_00672, Prbj.g_00169	Syah.g_00726
OG0000001	Prbj.g_01549, Prbj.g_02662	Syah.g_00040, Syah.g_00041
OG0000002	Prbj.g_02517, Prbj.g_00030	Syah.g_01829
OG0000004	Prbj.g_00754	Syah.g_02017
OG0000004	Prbj.g_01777	Syah.g_01967, Syah.g_00901
OG0000005	Prbj.g_00883	Syah.g_02363
OG0000006	Prbj.g_02699	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prbj.g_01610	Syah.g_01016
OG0000007	Prbj.g_00857	Syah.g_02384
OG0000008	Prbj.g_00929	Syah.g_01994
OG0000008	Prbj.g_00928	Syah.g_01993
OG0000009	Prbj.g_01300, Prbj.g_00618	Syah.g_01910, Syah.g_02535
OG0000010	Prbj.g_00129	Syah.g_01220
OG0000012	Prbj.g_02552	Syah.g_01960
OG0000013	Prbj.g_00359	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Prbj.g_01442	Syah.g_00127
OG0000015	Prbj.g_02502	Syah.g_01511, Syah.g_01510
OG0000017	Prbj.g_01761	Syah.g_01159
OG0000017	Prbj.g_01769	Syah.g_01152
OG0000018	Prbj.g_00641	Syah.g_01264
OG0000019	Prbj.g_00025	Syah.g_00669
OG0000022	Prbj.g_01572, Prbj.g_00050	Syah.g_01881
OG0000023	Prbj.g_02392	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prbj.g_00773	Syah.g_01990
OG0000025	Prbj.g_02475	Syah.g_02082
OG0000026	Prbj.g_01204	Syah.g_00340
OG0000028	Prbj.g_01457	Syah.g_00141
OG0000029	Prbj.g_00378	Syah.g_01292
OG0000030	Prbj.g_01288	Syah.g_00264
OG0000030	Prbj.g_01287	Syah.g_00265
OG0000032	Prbj.g_00659	Syah.g_01246
OG0000033	Prbj.g_00518	Syah.g_00078
OG0000034	Prbj.g_01740	Syah.g_00048, Syah.g_02213
OG0000035	Prbj.g_01056	Syah.g_01293
OG0000036	Prbj.g_02686	Syah.g_00964
OG0000036	Prbj.g_01099	Syah.g_00963
OG0000037	Prbj.g_00624	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prbj.g_01959	Syah.g_00508
OG0000038	Prbj.g_01961	Syah.g_00506
OG0000041	Prbj.g_00450	Syah.g_02271
OG0000042	Prbj.g_01808, Prbj.g_00001	Syah.g_00261
OG0000045	Prbj.g_00563	Syah.g_02356, Syah.g_01872
OG0000046	Prbj.g_00358	Syah.g_00816, Syah.g_00823, Syah.g_00830
