Orthogroup	Prbj	Syai
OG0000001	Prbj.g_00672, Prbj.g_00169	Syai.g_01716
OG0000001	Prbj.g_01549, Prbj.g_02662	Syai.g_02595
OG0000002	Prbj.g_02517, Prbj.g_00030	Syai.g_01728
OG0000004	Prbj.g_00754	Syai.g_01994
OG0000004	Prbj.g_01777	Syai.g_01062, Syai.g_00530
OG0000005	Prbj.g_00883	Syai.g_02356
OG0000006	Prbj.g_02699	Syai.g_00317, Syai.g_00547
OG0000007	Prbj.g_01610	Syai.g_00657
OG0000007	Prbj.g_00857	Syai.g_02378
OG0000008	Prbj.g_00929	Syai.g_01956
OG0000008	Prbj.g_00928	Syai.g_01955
OG0000009	Prbj.g_01300, Prbj.g_00618	Syai.g_02541
OG0000010	Prbj.g_00129	Syai.g_00864
OG0000011	Prbj.g_00897	Syai.g_01894, Syai.g_00582
OG0000012	Prbj.g_02552	Syai.g_01068
OG0000013	Prbj.g_00359	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prbj.g_01442	Syai.g_00220
OG0000015	Prbj.g_02502	Syai.g_01246, Syai.g_01245
OG0000017	Prbj.g_01761	Syai.g_00808
OG0000017	Prbj.g_01769	Syai.g_00801
OG0000018	Prbj.g_00641	Syai.g_00915
OG0000019	Prbj.g_00025	Syai.g_00304
OG0000020	Prbj.g_00046, Prbj.g_00214, Prbj.g_02701	Syai.g_00476
OG0000021	Prbj.g_01774	Syai.g_00556
OG0000022	Prbj.g_01572, Prbj.g_00050	Syai.g_01159
OG0000023	Prbj.g_02392	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbj.g_00773	Syai.g_01951
OG0000025	Prbj.g_02475	Syai.g_02044
OG0000026	Prbj.g_01204	Syai.g_00038
OG0000028	Prbj.g_01457	Syai.g_00205
OG0000029	Prbj.g_00378	Syai.g_01035, Syai.g_01584
OG0000030	Prbj.g_01288	Syai.g_00096
OG0000030	Prbj.g_01287	Syai.g_00095
