Orthogroup	Prbj	Prad
OG0000000	Prbj.g_00164	Prad.g_00392
OG0000000	Prbj.g_00166, Prbj.g_00165	Prad.g_00350, Prad.g_00389
OG0000001	Prbj.g_00672, Prbj.g_00169	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000002	Prbj.g_02517	Prad.g_00601
OG0000002	Prbj.g_00030	Prad.g_01252
OG0000004	Prbj.g_00754	Prad.g_01269
OG0000004	Prbj.g_01777	Prad.g_01759
OG0000005	Prbj.g_00883	Prad.g_00438
OG0000006	Prbj.g_02699	Prad.g_01750
OG0000007	Prbj.g_01610	Prad.g_00132
OG0000007	Prbj.g_00857	Prad.g_00941
OG0000009	Prbj.g_01300, Prbj.g_00618	Prad.g_01888
OG0000010	Prbj.g_00129	Prad.g_00033
OG0000011	Prbj.g_00897	Prad.g_01218, Prad.g_00339
OG0000012	Prbj.g_02552	Prad.g_01412
OG0000013	Prbj.g_00359	Prad.g_01664
OG0000014	Prbj.g_01442	Prad.g_01685
OG0000015	Prbj.g_02502	Prad.g_01108
OG0000017	Prbj.g_01769	Prad.g_01387
OG0000018	Prbj.g_00641	Prad.g_01515, Prad.g_01173
OG0000019	Prbj.g_00025	Prad.g_01742, Prad.g_01125
OG0000020	Prbj.g_00046	Prad.g_00647
OG0000020	Prbj.g_00214, Prbj.g_02701	Prad.g_01299
OG0000021	Prbj.g_01121	Prad.g_01981, Prad.g_00745
OG0000022	Prbj.g_01572	Prad.g_01105
OG0000022	Prbj.g_00050	Prad.g_01993
OG0000023	Prbj.g_02392	Prad.g_00751
OG0000024	Prbj.g_00773	Prad.g_01088, Prad.g_01249
OG0000025	Prbj.g_02475	Prad.g_01181, Prad.g_01660
OG0000026	Prbj.g_01204	Prad.g_01955, Prad.g_01004
OG0000028	Prbj.g_01457	Prad.g_01671
OG0000029	Prbj.g_00378	Prad.g_01096
OG0000032	Prbj.g_00659	Prad.g_00572
OG0000032	Prbj.g_01468	Prad.g_00561
OG0000033	Prbj.g_00518	Prad.g_01822
OG0000034	Prbj.g_01740	Prad.g_00618
OG0000035	Prbj.g_01056	Prad.g_00515
OG0000037	Prbj.g_00624	Prad.g_01884
OG0000038	Prbj.g_01959, Prbj.g_01961	Prad.g_01582
OG0000039	Prbj.g_00429, Prbj.g_00278	Prad.g_01260
OG0000041	Prbj.g_00450	Prad.g_00894
OG0000042	Prbj.g_01808, Prbj.g_00001	Prad.g_01624
OG0000045	Prbj.g_00563	Prad.g_00738
OG0000047	Prbj.g_02509	Prad.g_00683
OG0000047	Prbj.g_00666	Prad.g_01661
OG0000048	Prbj.g_01393	Prad.g_00735
OG0000051	Prbj.g_00705	Prad.g_00342
OG0000053	Prbj.g_00638	Prad.g_00494
OG0000054	Prbj.g_01758	Prad.g_01395
OG0000057	Prbj.g_00758	Prad.g_01272
OG0000059	Prbj.g_01521	Prad.g_00855
OG0000061	Prbj.g_00971	Prad.g_01496
OG0000062	Prbj.g_00881	Prad.g_00436
OG0000063	Prbj.g_01208	Prad.g_01953, Prad.g_00081
OG0000065	Prbj.g_00620	Prad.g_01886
OG0000066	Prbj.g_02141	Prad.g_00090
OG0000067	Prbj.g_02412	Prad.g_01146
OG0000068	Prbj.g_01639	Prad.g_00594
OG0000070	Prbj.g_00118	Prad.g_00057
OG0000071	Prbj.g_01728	Prad.g_00628
OG0000072	Prbj.g_00516	Prad.g_01820
OG0000073	Prbj.g_01608	Prad.g_00130
