Orthogroup	Prbj	Praw
OG0000000	Prbj.g_00164	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prbj.g_00166, Prbj.g_00165	Praw.g_00959, Praw.g_00495, Praw.g_00457
OG0000001	Prbj.g_00672, Prbj.g_00169	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000002	Prbj.g_02517	Praw.g_01009
OG0000002	Prbj.g_00030	Praw.g_01844
OG0000004	Prbj.g_00754	Praw.g_01827
OG0000004	Prbj.g_01777	Praw.g_01203
OG0000005	Prbj.g_00883	Praw.g_00413
OG0000006	Prbj.g_02699	Praw.g_01950
OG0000007	Prbj.g_01610	Praw.g_00651
OG0000007	Prbj.g_00857	Praw.g_00515
OG0000008	Prbj.g_00929	Praw.g_00501
OG0000008	Prbj.g_00928	Praw.g_00502
OG0000009	Prbj.g_01300, Prbj.g_00618	Praw.g_01330
OG0000010	Prbj.g_00129	Praw.g_00673
OG0000011	Prbj.g_00897	Praw.g_00952
OG0000012	Prbj.g_02552	Praw.g_00159
OG0000013	Prbj.g_00359	Praw.g_00807
OG0000014	Prbj.g_01442	Praw.g_00828
OG0000015	Prbj.g_02502	Praw.g_01738
OG0000017	Prbj.g_01769	Praw.g_01944
OG0000018	Prbj.g_00641	Praw.g_00215, Praw.g_01670
OG0000019	Prbj.g_00025	Praw.g_00884, Praw.g_01717
OG0000020	Prbj.g_00046	Praw.g_00181
OG0000020	Prbj.g_00214, Prbj.g_02701	Praw.g_00483
OG0000021	Prbj.g_01121	Praw.g_00479, Praw.g_00767
OG0000022	Prbj.g_01572	Praw.g_01746
OG0000022	Prbj.g_00050	Praw.g_00197
OG0000023	Prbj.g_02392	Praw.g_00772
OG0000024	Prbj.g_00773	Praw.g_01763, Praw.g_01847
OG0000025	Prbj.g_02475	Praw.g_01664, Praw.g_00803
OG0000026	Prbj.g_01204	Praw.g_01397, Praw.g_01453
OG0000028	Prbj.g_01457	Praw.g_00814
OG0000029	Prbj.g_00378	Praw.g_01755
OG0000030	Prbj.g_01288, Prbj.g_01287	Praw.g_00029
OG0000032	Prbj.g_01468	Praw.g_01043
OG0000033	Prbj.g_00518	Praw.g_01266
OG0000034	Prbj.g_01740	Praw.g_00991
OG0000035	Prbj.g_01056	Praw.g_01081, Praw.g_01083
OG0000037	Prbj.g_00624	Praw.g_01326
OG0000038	Prbj.g_01959, Prbj.g_01961	Praw.g_01182
OG0000039	Prbj.g_00429, Prbj.g_00278	Praw.g_01836
OG0000041	Prbj.g_00450	Praw.g_00562
OG0000042	Prbj.g_01808, Prbj.g_00001	Praw.g_00032
OG0000045	Prbj.g_00563	Praw.g_00761
OG0000047	Prbj.g_00666	Praw.g_00804
OG0000048	Prbj.g_01393	Praw.g_00504, Praw.g_00758
OG0000051	Prbj.g_00705	Praw.g_00955, Praw.g_00491
OG0000052	Prbj.g_01487	Praw.g_01071
OG0000053	Prbj.g_00638	Praw.g_00357
OG0000054	Prbj.g_01758	Praw.g_00142
OG0000057	Prbj.g_00758	Praw.g_01824
OG0000059	Prbj.g_01521	Praw.g_01894
OG0000062	Prbj.g_00881	Praw.g_00415
OG0000063	Prbj.g_01208	Praw.g_01395
OG0000065	Prbj.g_00620	Praw.g_01328
OG0000066	Prbj.g_02141	Praw.g_00609
OG0000067	Prbj.g_02412	Praw.g_01697
OG0000068	Prbj.g_01639	Praw.g_01016
OG0000070	Prbj.g_00118	Praw.g_00697
OG0000071	Prbj.g_01728	Praw.g_00981
OG0000072	Prbj.g_00516	Praw.g_01264
OG0000073	Prbj.g_01608	Praw.g_00649
OG0000075	Prbj.g_01502	Praw.g_00064
OG0000076	Prbj.g_01598	Praw.g_00039
OG0000077	Prbj.g_00576	Praw.g_01356
OG0000078	Prbj.g_02614	Praw.g_01196
OG0000081	Prbj.g_00765	Praw.g_00617
OG0000082	Prbj.g_01789	Praw.g_01932
OG0000084	Prbj.g_01052	Praw.g_01087
OG0000085	Prbj.g_00869	Praw.g_00508
OG0000086	Prbj.g_00589	Praw.g_01346
OG0000087	Prbj.g_01547	Praw.g_01296
OG0000088	Prbj.g_00521	Praw.g_01269
OG0000089	Prbj.g_00064	Praw.g_00776
OG0000090	Prbj.g_02127	Praw.g_00615
OG0000091	Prbj.g_02581	Praw.g_01880
OG0000093	Prbj.g_02388	Praw.g_01571
OG0000094	Prbj.g_01985	Praw.g_01486
OG0000097	Prbj.g_02152	Praw.g_00275
OG0000098	Prbj.g_00669	Praw.g_00997
OG0000099	Prbj.g_01464	Praw.g_01051
OG0000100	Prbj.g_00185, Prbj.g_02442	Praw.g_00411
OG0000101	Prbj.g_00415, Prbj.g_00981	Praw.g_00096
OG0000102	Prbj.g_01819	Praw.g_00034
OG0000103	Prbj.g_02055	Praw.g_01148
OG0000104	Prbj.g_02069	Praw.g_01140
OG0000105	Prbj.g_01397	Praw.g_00860
OG0000106	Prbj.g_00875	Praw.g_00762
OG0000108	Prbj.g_01630	Praw.g_00667
OG0000109	Prbj.g_01614	Praw.g_00654
OG0000110	Prbj.g_01801	Praw.g_01922
OG0000111	Prbj.g_00759	Praw.g_01823
OG0000112	Prbj.g_02276	Praw.g_01732
OG0000113	Prbj.g_02437	Praw.g_01675
OG0000114	Prbj.g_02340	Praw.g_01597
OG0000115	Prbj.g_00634	Praw.g_00178
OG0000116	Prbj.g_00956	Praw.g_00224
OG0000117	Prbj.g_01915	Praw.g_00926
OG0000118	Prbj.g_01742	Praw.g_00993
OG0000119	Prbj.g_00740, Prbj.g_00778	Praw.g_01012
OG0000120	Prbj.g_01465	Praw.g_01050
OG0000121	Prbj.g_01064, Prbj.g_01058	Praw.g_01078
OG0000122	Prbj.g_02627	Praw.g_00377
OG0000123	Prbj.g_00406	Praw.g_00089
OG0000124	Prbj.g_01281	Praw.g_00023
OG0000125	Prbj.g_01963	Praw.g_01180
OG0000126	Prbj.g_02067	Praw.g_01141
OG0000128	Prbj.g_02085	Praw.g_01125
OG0000129	Prbj.g_01951	Praw.g_01384
OG0000130	Prbj.g_00564	Praw.g_01365
OG0000131	Prbj.g_00543	Praw.g_01290
OG0000132	Prbj.g_00523	Praw.g_01271
OG0000133	Prbj.g_01460	Praw.g_00812
OG0000134	Prbj.g_00067	Praw.g_00775
OG0000135	Prbj.g_02004	Praw.g_00751
OG0000136	Prbj.g_00105	Praw.g_00706
OG0000137	Prbj.g_00128	Praw.g_00672
OG0000138	Prbj.g_01613	Praw.g_00653
OG0000139	Prbj.g_02133	Praw.g_00611
OG0000140	Prbj.g_02139	Praw.g_00610
OG0000141	Prbj.g_01757	Praw.g_00143
OG0000142	Prbj.g_02573	Praw.g_01887
OG0000143	Prbj.g_02577	Praw.g_01883
OG0000144	Prbj.g_00793	Praw.g_01870
OG0000145	Prbj.g_01607	Praw.g_01745
OG0000146	Prbj.g_02277	Praw.g_01731
OG0000147	Prbj.g_02278	Praw.g_01730
OG0000148	Prbj.g_02431	Praw.g_01681
OG0000149	Prbj.g_02488	Praw.g_01652
OG0000150	Prbj.g_02511	Praw.g_01644
OG0000151	Prbj.g_02361	Praw.g_01587
OG0000152	Prbj.g_02268	Praw.g_01539
OG0000153	Prbj.g_02241	Praw.g_01520
OG0000154	Prbj.g_02213	Praw.g_01493
OG0000155	Prbj.g_00312	Praw.g_00254
OG0000156	Prbj.g_00163	Praw.g_00968
OG0000157	Prbj.g_00162	Praw.g_00969
OG0000158	Prbj.g_01514	Praw.g_01052
OG0000160	Prbj.g_01057	Praw.g_01079, Praw.g_01080
OG0000161	Prbj.g_01071	Praw.g_00344
OG0000162	Prbj.g_01077	Praw.g_00350
OG0000163	Prbj.g_01688	Praw.g_00384
OG0000164	Prbj.g_00476	Praw.g_00539
OG0000165	Prbj.g_00467	Praw.g_00546
OG0000166	Prbj.g_01019	Praw.g_00132
OG0000167	Prbj.g_01500	Praw.g_00066
OG0000168	Prbj.g_01515	Praw.g_00056
OG0000169	Prbj.g_01581	Praw.g_00046
OG0000170	Prbj.g_01593	Praw.g_00044
OG0000171	Prbj.g_01282	Praw.g_00024
OG0000172	Prbj.g_01248	Praw.g_00016
OG0000173	Prbj.g_01227	Praw.g_00001
OG0000174	Prbj.g_02006	Praw.g_01166
OG0000175	Prbj.g_02044	Praw.g_01156
OG0000176	Prbj.g_02077	Praw.g_01132
OG0000177	Prbj.g_02078	Praw.g_01131
OG0000178	Prbj.g_02079	Praw.g_01130
OG0000179	Prbj.g_01188	Praw.g_01412
OG0000180	Prbj.g_01189	Praw.g_01411
OG0000181	Prbj.g_01190	Praw.g_01410
OG0000182	Prbj.g_01191	Praw.g_01409
OG0000183	Prbj.g_01195	Praw.g_01405
OG0000184	Prbj.g_01943	Praw.g_01382
OG0000185	Prbj.g_01921	Praw.g_01379
OG0000186	Prbj.g_00558	Praw.g_01370
OG0000187	Prbj.g_00560	Praw.g_01369
OG0000188	Prbj.g_00581	Praw.g_01352
OG0000189	Prbj.g_00607	Praw.g_01339
OG0000190	Prbj.g_00609	Praw.g_01338
OG0000191	Prbj.g_01557	Praw.g_01318
OG0000192	Prbj.g_01566	Praw.g_01314
OG0000193	Prbj.g_00542	Praw.g_01289
OG0000194	Prbj.g_00539	Praw.g_01286
OG0000195	Prbj.g_00537	Praw.g_01284
OG0000196	Prbj.g_00526	Praw.g_01274
OG0000197	Prbj.g_00525	Praw.g_01273
OG0000198	Prbj.g_00524	Praw.g_01272
OG0000199	Prbj.g_00517	Praw.g_01265
OG0000201	Prbj.g_01157	Praw.g_01243
OG0000202	Prbj.g_01158	Praw.g_01242
OG0000203	Prbj.g_01159	Praw.g_01241
OG0000204	Prbj.g_01160	Praw.g_01240
OG0000205	Prbj.g_01167	Praw.g_01233
OG0000206	Prbj.g_00288	Praw.g_01228
OG0000207	Prbj.g_00234	Praw.g_01226
OG0000208	Prbj.g_00235	Praw.g_01225
OG0000209	Prbj.g_00262	Praw.g_01216
OG0000210	Prbj.g_00263	Praw.g_01215
OG0000211	Prbj.g_00177	Praw.g_01202
OG0000212	Prbj.g_02615	Praw.g_01195
OG0000213	Prbj.g_01362	Praw.g_00876
OG0000214	Prbj.g_01389	Praw.g_00867
OG0000215	Prbj.g_01419	Praw.g_00842
OG0000216	Prbj.g_01422	Praw.g_00840
OG0000217	Prbj.g_01426	Praw.g_00837
OG0000218	Prbj.g_01430	Praw.g_00835
OG0000219	Prbj.g_01431	Praw.g_00834
OG0000220	Prbj.g_01432	Praw.g_00833
OG0000221	Prbj.g_01437	Praw.g_00832
OG0000222	Prbj.g_01446	Praw.g_00824
OG0000223	Prbj.g_01469	Praw.g_00811
OG0000224	Prbj.g_01480	Praw.g_00809
OG0000225	Prbj.g_00323	Praw.g_00786
OG0000226	Prbj.g_00319	Praw.g_00782
OG0000227	Prbj.g_00317	Praw.g_00780
OG0000228	Prbj.g_00063	Praw.g_00777
OG0000229	Prbj.g_00100	Praw.g_00711
OG0000230	Prbj.g_00102	Praw.g_00709
OG0000231	Prbj.g_00117	Praw.g_00698
OG0000232	Prbj.g_01888	Praw.g_00689
OG0000233	Prbj.g_00148	Praw.g_00684
OG0000234	Prbj.g_00127	Praw.g_00671
OG0000235	Prbj.g_01631	Praw.g_00668
OG0000236	Prbj.g_01615	Praw.g_00655
OG0000237	Prbj.g_02094	Praw.g_00642
OG0000238	Prbj.g_02098	Praw.g_00636
OG0000239	Prbj.g_02114	Praw.g_00623
OG0000240	Prbj.g_02115	Praw.g_00622
OG0000241	Prbj.g_01116	Praw.g_00618
OG0000242	Prbj.g_02125	Praw.g_00616
OG0000243	Prbj.g_02668	Praw.g_00605
OG0000244	Prbj.g_01859	Praw.g_00602
OG0000245	Prbj.g_01862	Praw.g_00600
OG0000246	Prbj.g_01866	Praw.g_00596
OG0000247	Prbj.g_01877	Praw.g_00586
OG0000248	Prbj.g_01880	Praw.g_00584
OG0000249	Prbj.g_01882	Praw.g_00582
OG0000250	Prbj.g_01805	Praw.g_00577
OG0000251	Prbj.g_01781	Praw.g_01937
OG0000252	Prbj.g_01778	Praw.g_01940
OG0000253	Prbj.g_01772	Praw.g_01941
OG0000254	Prbj.g_01753	Praw.g_00147
OG0000255	Prbj.g_02546	Praw.g_00153
OG0000256	Prbj.g_02560	Praw.g_00163
OG0000257	Prbj.g_02566	Praw.g_00166
OG0000258	Prbj.g_02589	Praw.g_01879
OG0000259	Prbj.g_00812	Praw.g_01862
OG0000260	Prbj.g_00816	Praw.g_01859
OG0000261	Prbj.g_00819	Praw.g_01857
OG0000262	Prbj.g_00824	Praw.g_01853
OG0000263	Prbj.g_00248	Praw.g_01841
OG0000264	Prbj.g_00933	Praw.g_01831
OG0000265	Prbj.g_02178, Prbj.g_00913	Praw.g_01809
OG0000266	Prbj.g_02189	Praw.g_01799
OG0000267	Prbj.g_02315	Praw.g_01788
OG0000268	Prbj.g_02314	Praw.g_01787
OG0000269	Prbj.g_02407	Praw.g_01702
OG0000270	Prbj.g_02410	Praw.g_01699
OG0000271	Prbj.g_02418	Praw.g_01691
OG0000272	Prbj.g_02419	Praw.g_01690
OG0000273	Prbj.g_02470	Praw.g_01668
OG0000274	Prbj.g_02471	Praw.g_01667
OG0000275	Prbj.g_02474	Praw.g_01665
OG0000276	Prbj.g_02480	Praw.g_01660
OG0000277	Prbj.g_02481	Praw.g_01659
OG0000278	Prbj.g_02484	Praw.g_01656
OG0000279	Prbj.g_02492	Praw.g_01649
OG0000280	Prbj.g_02498	Praw.g_01648
OG0000281	Prbj.g_02512	Praw.g_01643
OG0000282	Prbj.g_02342	Praw.g_01595
OG0000283	Prbj.g_02303	Praw.g_01562
OG0000284	Prbj.g_02297	Praw.g_01557
OG0000285	Prbj.g_00694	Praw.g_01552
OG0000286	Prbj.g_02269	Praw.g_01540
OG0000287	Prbj.g_00722	Praw.g_01523
OG0000288	Prbj.g_02214	Praw.g_01494
OG0000289	Prbj.g_02201	Praw.g_01483
OG0000290	Prbj.g_01841	Praw.g_01470
OG0000291	Prbj.g_01839	Praw.g_01468
OG0000292	Prbj.g_02066	Praw.g_01418
OG0000293	Prbj.g_00958	Praw.g_00225
OG0000294	Prbj.g_00959	Praw.g_00226
OG0000295	Prbj.g_00304	Praw.g_00246
OG0000296	Prbj.g_00306, Prbj.g_00307	Praw.g_00248
OG0000297	Prbj.g_01913	Praw.g_00256
OG0000298	Prbj.g_01914	Praw.g_00257
OG0000299	Prbj.g_01903	Praw.g_00274
OG0000300	Prbj.g_02155	Praw.g_00277
OG0000301	Prbj.g_02156	Praw.g_00278
OG0000302	Prbj.g_02159	Praw.g_00280
OG0000303	Prbj.g_00314	Praw.g_00287
OG0000304	Prbj.g_00020	Praw.g_00291
OG0000305	Prbj.g_01837	Praw.g_01008
OG0000306	Prbj.g_02521	Praw.g_01011
OG0000307	Prbj.g_01647	Praw.g_01025
OG0000308	Prbj.g_01649	Praw.g_01026
OG0000309	Prbj.g_01653	Praw.g_01030
OG0000310	Prbj.g_01294	Praw.g_01098
OG0000311	Prbj.g_01040	Praw.g_01096
OG0000312	Prbj.g_01044	Praw.g_01093
OG0000313	Prbj.g_01068	Praw.g_01076
OG0000314	Prbj.g_00646	Praw.g_00363
OG0000315	Prbj.g_00656	Praw.g_00374
OG0000316	Prbj.g_01699	Praw.g_00394
OG0000317	Prbj.g_00863	Praw.g_00513
OG0000318	Prbj.g_00856	Praw.g_00516
OG0000319	Prbj.g_00487	Praw.g_00529
OG0000320	Prbj.g_00485	Praw.g_00531
OG0000321	Prbj.g_00484	Praw.g_00532
OG0000322	Prbj.g_00483	Praw.g_00533
OG0000323	Prbj.g_00472	Praw.g_00542
OG0000324	Prbj.g_00443	Praw.g_00569
OG0000325	Prbj.g_02657	Praw.g_01916
OG0000326	Prbj.g_02649	Praw.g_01910
OG0000327	Prbj.g_01024	Praw.g_00137
OG0000328	Prbj.g_01023	Praw.g_00136
OG0000329	Prbj.g_01006	Praw.g_00119
OG0000330	Prbj.g_01005	Praw.g_00118
OG0000331	Prbj.g_01004	Praw.g_00117
OG0000332	Prbj.g_00989	Praw.g_00103
OG0000333	Prbj.g_00987	Praw.g_00101
OG0000334	Prbj.g_00410	Praw.g_00093
OG0000335	Prbj.g_00405	Praw.g_00088
OG0000336	Prbj.g_00401	Praw.g_00084
OG0000337	Prbj.g_01494	Praw.g_00068
OG0000338	Prbj.g_01498	Praw.g_00067
OG0000339	Prbj.g_01504	Praw.g_00063
OG0000340	Prbj.g_01516	Praw.g_00055
OG0000341	Prbj.g_01518	Praw.g_00053
OG0000342	Prbj.g_01519	Praw.g_00052
OG0000343	Prbj.g_01576	Praw.g_00051
OG0000344	Prbj.g_01579	Praw.g_00048
OG0000345	Prbj.g_01594	Praw.g_00043
OG0000346	Prbj.g_01599	Praw.g_00038
OG0000347	Prbj.g_01280	Praw.g_00022
OG0000348	Prbj.g_01243	Praw.g_00013
OG0000349	Prbj.g_01219	Praw.g_01189
OG0000350	Prbj.g_01999	Praw.g_01170
OG0000351	Prbj.g_02047	Praw.g_01153
OG0000352	Prbj.g_02048	Praw.g_01152
OG0000353	Prbj.g_02072	Praw.g_01137
OG0000354	Prbj.g_01186	Praw.g_00910
OG0000355	Prbj.g_02074	Praw.g_01135
OG0000356	Prbj.g_02075	Praw.g_01134
OG0000357	Prbj.g_02076	Praw.g_01133
OG0000358	Prbj.g_02080	Praw.g_01129
OG0000359	Prbj.g_02082	Praw.g_01128
OG0000360	Prbj.g_02083	Praw.g_01127
OG0000361	Prbj.g_02084	Praw.g_01126
OG0000362	Prbj.g_02086	Praw.g_01124
OG0000363	Prbj.g_01182	Praw.g_01414
OG0000364	Prbj.g_01183	Praw.g_01413
OG0000365	Prbj.g_01192	Praw.g_01408
OG0000366	Prbj.g_01193	Praw.g_01407
OG0000367	Prbj.g_01194	Praw.g_01406
OG0000368	Prbj.g_01196	Praw.g_01404
OG0000369	Prbj.g_01197	Praw.g_01403
OG0000370	Prbj.g_01198	Praw.g_01402
OG0000371	Prbj.g_01207	Praw.g_01396
OG0000372	Prbj.g_01212	Praw.g_01393
OG0000373	Prbj.g_01213	Praw.g_01392
OG0000374	Prbj.g_01214	Praw.g_01391
OG0000375	Prbj.g_01215	Praw.g_01388
OG0000376	Prbj.g_01217	Praw.g_01386
OG0000377	Prbj.g_01950	Praw.g_01383
OG0000378	Prbj.g_01936	Praw.g_01381
OG0000379	Prbj.g_01920	Praw.g_01378
OG0000380	Prbj.g_00561	Praw.g_01368
OG0000381	Prbj.g_00565	Praw.g_01364
OG0000382	Prbj.g_00580	Praw.g_01353
OG0000383	Prbj.g_00582	Praw.g_01351
OG0000384	Prbj.g_00583	Praw.g_01350
OG0000385	Prbj.g_00584	Praw.g_01349
OG0000386	Prbj.g_00585	Praw.g_01348
OG0000387	Prbj.g_00611	Praw.g_01336
OG0000388	Prbj.g_00615	Praw.g_01333
OG0000389	Prbj.g_00619	Praw.g_01329
OG0000390	Prbj.g_01551	Praw.g_01322
OG0000391	Prbj.g_01556	Praw.g_01319
OG0000392	Prbj.g_01562	Praw.g_01315
OG0000393	Prbj.g_01567	Praw.g_01313
OG0000394	Prbj.g_01568	Praw.g_01312
OG0000395	Prbj.g_01569	Praw.g_01311
OG0000396	Prbj.g_01530	Praw.g_01308
OG0000397	Prbj.g_01532	Praw.g_01306
OG0000398	Prbj.g_01537	Praw.g_01304
OG0000399	Prbj.g_01538	Praw.g_01303
OG0000400	Prbj.g_01539	Praw.g_01302
OG0000401	Prbj.g_01540	Praw.g_01301
OG0000402	Prbj.g_01542	Praw.g_01299
OG0000403	Prbj.g_01543	Praw.g_01298
OG0000404	Prbj.g_01545	Praw.g_01297
OG0000405	Prbj.g_00545	Praw.g_01293
OG0000406	Prbj.g_00541	Praw.g_01288
OG0000407	Prbj.g_00540	Praw.g_01287
OG0000408	Prbj.g_00538	Praw.g_01285
OG0000409	Prbj.g_00536	Praw.g_01283
OG0000410	Prbj.g_00535	Praw.g_01282
OG0000411	Prbj.g_00534	Praw.g_01281
OG0000412	Prbj.g_00533	Praw.g_01280
OG0000413	Prbj.g_00531	Praw.g_01279
OG0000414	Prbj.g_00530	Praw.g_01278
OG0000415	Prbj.g_00529	Praw.g_01277
OG0000416	Prbj.g_00528	Praw.g_01276
OG0000417	Prbj.g_00527	Praw.g_01275
OG0000418	Prbj.g_00522	Praw.g_01270
OG0000419	Prbj.g_00520	Praw.g_01268
OG0000420	Prbj.g_00519	Praw.g_01267
OG0000421	Prbj.g_00515	Praw.g_01262
OG0000422	Prbj.g_00514	Praw.g_01261
OG0000423	Prbj.g_00513	Praw.g_01260
OG0000424	Prbj.g_00512	Praw.g_01259
OG0000425	Prbj.g_00511	Praw.g_01258
OG0000426	Prbj.g_00510	Praw.g_01257
OG0000427	Prbj.g_00509	Praw.g_01256
OG0000428	Prbj.g_02369	Praw.g_01254
OG0000429	Prbj.g_01135	Praw.g_01253
OG0000430	Prbj.g_01137	Praw.g_01252
OG0000431	Prbj.g_01141	Praw.g_01250
OG0000432	Prbj.g_01148	Praw.g_01247
OG0000433	Prbj.g_01151	Praw.g_01246
OG0000434	Prbj.g_01152	Praw.g_01245
OG0000435	Prbj.g_01155	Praw.g_01244
OG0000436	Prbj.g_01161	Praw.g_01239
OG0000437	Prbj.g_01162	Praw.g_01238
OG0000438	Prbj.g_01163	Praw.g_01237
OG0000439	Prbj.g_01165	Praw.g_01235
OG0000440	Prbj.g_01166	Praw.g_01234
OG0000441	Prbj.g_01173	Praw.g_01231
OG0000442	Prbj.g_01174	Praw.g_01230
OG0000443	Prbj.g_00289	Praw.g_01229
OG0000444	Prbj.g_00237	Praw.g_01224
OG0000445	Prbj.g_00238	Praw.g_01223
OG0000446	Prbj.g_00240	Praw.g_01222
OG0000447	Prbj.g_00250	Praw.g_01221
OG0000448	Prbj.g_00251	Praw.g_01220
OG0000449	Prbj.g_00252	Praw.g_01219
OG0000450	Prbj.g_00258	Praw.g_01218
OG0000451	Prbj.g_00259	Praw.g_01217
OG0000452	Prbj.g_00264	Praw.g_01214
OG0000453	Prbj.g_00265	Praw.g_01213
OG0000454	Prbj.g_00266	Praw.g_01212
OG0000455	Prbj.g_00267	Praw.g_01211
OG0000456	Prbj.g_00268	Praw.g_01210
OG0000457	Prbj.g_00270	Praw.g_01209
OG0000458	Prbj.g_00271	Praw.g_01208
OG0000459	Prbj.g_00272	Praw.g_01207
OG0000460	Prbj.g_00176	Praw.g_01200
OG0000461	Prbj.g_02661	Praw.g_00891
OG0000462	Prbj.g_01341	Praw.g_00889
OG0000463	Prbj.g_01342	Praw.g_00888
OG0000464	Prbj.g_01343	Praw.g_00887
OG0000465	Prbj.g_01345	Praw.g_00886
OG0000466	Prbj.g_01350	Praw.g_00883
OG0000467	Prbj.g_01352	Praw.g_00882
OG0000468	Prbj.g_01359	Praw.g_00880
OG0000469	Prbj.g_01372	Praw.g_00872
OG0000470	Prbj.g_01385	Praw.g_00870
OG0000471	Prbj.g_01386	Praw.g_00869
OG0000472	Prbj.g_01388	Praw.g_00868
OG0000473	Prbj.g_01390	Praw.g_00866
OG0000474	Prbj.g_01391	Praw.g_00865
OG0000475	Prbj.g_01392	Praw.g_00864
OG0000476	Prbj.g_01394	Praw.g_00863
OG0000477	Prbj.g_01399	Praw.g_00859
OG0000478	Prbj.g_01400	Praw.g_00858
OG0000479	Prbj.g_01401	Praw.g_00857
OG0000480	Prbj.g_01408	Praw.g_00852
OG0000481	Prbj.g_01410	Praw.g_00850
OG0000482	Prbj.g_01411	Praw.g_00849
OG0000483	Prbj.g_01415	Praw.g_00846
OG0000484	Prbj.g_01416	Praw.g_00845
OG0000485	Prbj.g_01417	Praw.g_00844
OG0000486	Prbj.g_01418	Praw.g_00843
OG0000487	Prbj.g_01423	Praw.g_00839
OG0000488	Prbj.g_01427	Praw.g_00836
OG0000489	Prbj.g_01438	Praw.g_00831
OG0000490	Prbj.g_01444	Praw.g_00826
OG0000491	Prbj.g_01445	Praw.g_00825
OG0000492	Prbj.g_01448	Praw.g_00823
OG0000493	Prbj.g_01449	Praw.g_00822
OG0000494	Prbj.g_01450	Praw.g_00821
OG0000495	Prbj.g_01451	Praw.g_00820
