Orthogroup	Prbj	Prau
OG0000000	Prbj.g_00164	Prau.g_01648
OG0000000	Prbj.g_00166, Prbj.g_00165	Prau.g_01350, Prau.g_01650
OG0000001	Prbj.g_00672, Prbj.g_00169	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000002	Prbj.g_02517	Prau.g_01402
OG0000002	Prbj.g_00030	Prau.g_00718
OG0000004	Prbj.g_00754	Prau.g_00735
OG0000004	Prbj.g_01777	Prau.g_00233
OG0000005	Prbj.g_00883	Prau.g_01607
OG0000006	Prbj.g_02699	Prau.g_01316
OG0000007	Prbj.g_01610	Prau.g_00538
OG0000007	Prbj.g_00857	Prau.g_01732
OG0000008	Prbj.g_00929	Prau.g_00781
OG0000009	Prbj.g_01300, Prbj.g_00618	Prau.g_00106
OG0000010	Prbj.g_00129	Prau.g_00515
OG0000011	Prbj.g_00897	Prau.g_00441
OG0000012	Prbj.g_02552	Prau.g_00663
OG0000013	Prbj.g_00359	Prau.g_00329
OG0000014	Prbj.g_01442	Prau.g_00308
OG0000015	Prbj.g_02502	Prau.g_00817
OG0000017	Prbj.g_01769	Prau.g_00636
OG0000018	Prbj.g_00641	Prau.g_01188, Prau.g_00881
OG0000019	Prbj.g_00025	Prau.g_00251, Prau.g_00834
OG0000020	Prbj.g_00046	Prau.g_01153
OG0000020	Prbj.g_00214, Prbj.g_02701	Prau.g_01704
OG0000021	Prbj.g_01121	Prau.g_01680, Prau.g_00367
OG0000022	Prbj.g_01572	Prau.g_00814
OG0000022	Prbj.g_00050	Prau.g_01170
OG0000023	Prbj.g_02392	Prau.g_00362
OG0000024	Prbj.g_00773	Prau.g_00796, Prau.g_00715
OG0000025	Prbj.g_02475	Prau.g_00888, Prau.g_00333
OG0000026	Prbj.g_01204	Prau.g_00030, Prau.g_01103
OG0000028	Prbj.g_01457	Prau.g_00322
OG0000029	Prbj.g_00378	Prau.g_00804
OG0000030	Prbj.g_01288, Prbj.g_01287	Prau.g_01935
OG0000032	Prbj.g_01468	Prau.g_01475, Prau.g_01446
OG0000033	Prbj.g_00518	Prau.g_00170
OG0000034	Prbj.g_01740	Prau.g_01381
OG0000035	Prbj.g_01056	Prau.g_01531, Prau.g_01528
OG0000037	Prbj.g_00624	Prau.g_00110
OG0000038	Prbj.g_01959, Prbj.g_01961	Prau.g_01976
OG0000039	Prbj.g_00429, Prbj.g_00278	Prau.g_00726
OG0000041	Prbj.g_00450	Prau.g_01778
OG0000042	Prbj.g_01808, Prbj.g_00001	Prau.g_01932
OG0000045	Prbj.g_00563	Prau.g_01682, Prau.g_00374
OG0000047	Prbj.g_02509	Prau.g_00414
OG0000047	Prbj.g_00666	Prau.g_00332
OG0000048	Prbj.g_01393	Prau.g_00377
OG0000051	Prbj.g_00705	Prau.g_01347, Prau.g_01275, Prau.g_01681
OG0000052	Prbj.g_01487	Prau.g_01489, Prau.g_01448
OG0000053	Prbj.g_00638	Prau.g_00040, Prau.g_01551
OG0000054	Prbj.g_01758	Prau.g_00644
OG0000057	Prbj.g_00758	Prau.g_00738
OG0000059	Prbj.g_01521	Prau.g_01818
OG0000062	Prbj.g_00881	Prau.g_01609
OG0000063	Prbj.g_01208	Prau.g_00032, Prau.g_01295
OG0000065	Prbj.g_00620	Prau.g_00108
OG0000066	Prbj.g_02141	Prau.g_00579
OG0000067	Prbj.g_02412	Prau.g_00854
OG0000068	Prbj.g_01639	Prau.g_01409
OG0000070	Prbj.g_00118	Prau.g_00491
OG0000071	Prbj.g_01728	Prau.g_01371
OG0000072	Prbj.g_00516	Prau.g_00172
OG0000073	Prbj.g_01608	Prau.g_00540
OG0000075	Prbj.g_01502	Prau.g_01901
OG0000076	Prbj.g_01598	Prau.g_00037, Prau.g_01925
OG0000077	Prbj.g_00576	Prau.g_00079
OG0000078	Prbj.g_02614	Prau.g_00240
OG0000079	Prbj.g_01353	Prau.g_00254
OG0000081	Prbj.g_00765	Prau.g_00571
OG0000082	Prbj.g_01789	Prau.g_00624
OG0000084	Prbj.g_01052	Prau.g_01524
OG0000085	Prbj.g_00869	Prau.g_01725
OG0000086	Prbj.g_00589	Prau.g_00089
OG0000087	Prbj.g_01547	Prau.g_00140
OG0000088	Prbj.g_00521	Prau.g_00167
OG0000089	Prbj.g_00064	Prau.g_00358
OG0000090	Prbj.g_02127	Prau.g_00573
OG0000091	Prbj.g_02581	Prau.g_00682
OG0000093	Prbj.g_02388	Prau.g_00983
OG0000094	Prbj.g_01985	Prau.g_01070
OG0000097	Prbj.g_02152	Prau.g_01247
OG0000098	Prbj.g_00669	Prau.g_01391
OG0000099	Prbj.g_01464	Prau.g_01434, Prau.g_01435
OG0000100	Prbj.g_00185, Prbj.g_02442	Prau.g_01605
OG0000101	Prbj.g_00415, Prbj.g_00981	Prau.g_01869
OG0000102	Prbj.g_01819	Prau.g_01930
OG0000103	Prbj.g_02055	Prau.g_02009
OG0000104	Prbj.g_02069	Prau.g_02018
OG0000105	Prbj.g_01397	Prau.g_00276
OG0000106	Prbj.g_00875	Prau.g_00373
OG0000108	Prbj.g_01630	Prau.g_00521
OG0000109	Prbj.g_01614	Prau.g_00535
OG0000110	Prbj.g_01801	Prau.g_00614
OG0000111	Prbj.g_00759	Prau.g_00739
OG0000112	Prbj.g_02276	Prau.g_00818
OG0000113	Prbj.g_02437	Prau.g_00876
OG0000114	Prbj.g_02340	Prau.g_00956
OG0000115	Prbj.g_00634	Prau.g_01148
OG0000116	Prbj.g_00956	Prau.g_01197
OG0000117	Prbj.g_01915	Prau.g_01318
OG0000118	Prbj.g_01742	Prau.g_01383
OG0000119	Prbj.g_00740, Prbj.g_00778	Prau.g_01405
OG0000120	Prbj.g_01465	Prau.g_01430
OG0000121	Prbj.g_01064, Prbj.g_01058	Prau.g_01533
OG0000122	Prbj.g_02627	Prau.g_01571
OG0000123	Prbj.g_00406	Prau.g_01876
OG0000124	Prbj.g_01281	Prau.g_01941
OG0000125	Prbj.g_01963	Prau.g_01978
OG0000126	Prbj.g_02067	Prau.g_02017
OG0000128	Prbj.g_02085	Prau.g_00011
OG0000129	Prbj.g_01951	Prau.g_00051
OG0000130	Prbj.g_00564	Prau.g_00071
OG0000131	Prbj.g_00543	Prau.g_00146
OG0000132	Prbj.g_00523	Prau.g_00165
OG0000133	Prbj.g_01460	Prau.g_00324
OG0000134	Prbj.g_00067	Prau.g_00359
OG0000135	Prbj.g_02004	Prau.g_00386
OG0000136	Prbj.g_00105	Prau.g_00482
OG0000137	Prbj.g_00128	Prau.g_00516
OG0000138	Prbj.g_01613	Prau.g_00536
OG0000139	Prbj.g_02133	Prau.g_00577
OG0000140	Prbj.g_02139	Prau.g_00578
OG0000141	Prbj.g_01757	Prau.g_00645
OG0000142	Prbj.g_02573	Prau.g_00675
OG0000143	Prbj.g_02577	Prau.g_00679
OG0000144	Prbj.g_00793	Prau.g_00692
OG0000145	Prbj.g_01607	Prau.g_00816
OG0000146	Prbj.g_02277	Prau.g_00819
OG0000147	Prbj.g_02278	Prau.g_00820
OG0000148	Prbj.g_02431	Prau.g_00870
OG0000149	Prbj.g_02488	Prau.g_00900
OG0000150	Prbj.g_02511	Prau.g_00909
OG0000151	Prbj.g_02361	Prau.g_00966
OG0000152	Prbj.g_02268	Prau.g_01015
OG0000153	Prbj.g_02241	Prau.g_01034
OG0000154	Prbj.g_02213	Prau.g_01063
OG0000155	Prbj.g_00312	Prau.g_01226
OG0000156	Prbj.g_00163	Prau.g_01359
OG0000157	Prbj.g_00162	Prau.g_01360
OG0000158	Prbj.g_01514	Prau.g_01436
OG0000160	Prbj.g_01057	Prau.g_01532
OG0000161	Prbj.g_01071	Prau.g_01538
OG0000162	Prbj.g_01077	Prau.g_01544
