Orthogroup	Prbj	Syat
OG0000001	Prbj.g_00672, Prbj.g_00169	Syat.g_02910, Syat.g_02911
OG0000001	Prbj.g_01549, Prbj.g_02662	Syat.g_02908, Syat.g_02909
OG0000001	Prbj.g_02690	Syat.g_00878
OG0000005	Prbj.g_00883	Syat.g_03105
OG0000006	Prbj.g_02699	Syat.g_01439, Syat.g_01865
OG0000007	Prbj.g_01610	Syat.g_03191
OG0000007	Prbj.g_00857	Syat.g_03124
OG0000008	Prbj.g_00929	Syat.g_02626
OG0000008	Prbj.g_00928	Syat.g_02627
OG0000009	Prbj.g_01300, Prbj.g_00618	Syat.g_01567
OG0000010	Prbj.g_00129	Syat.g_01372
OG0000013	Prbj.g_00359	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbj.g_01442	Syat.g_02104
OG0000017	Prbj.g_01769	Syat.g_00015
OG0000018	Prbj.g_00641	Syat.g_01334
OG0000019	Prbj.g_00025, Prbj.g_01349	Syat.g_01876
OG0000021	Prbj.g_01121	Syat.g_00964
OG0000022	Prbj.g_01572, Prbj.g_00050	Syat.g_00210
OG0000024	Prbj.g_00773	Syat.g_03394
OG0000025	Prbj.g_02475	Syat.g_00719
OG0000026	Prbj.g_01204	Syat.g_02306
OG0000028	Prbj.g_01457	Syat.g_02126
OG0000030	Prbj.g_01288	Syat.g_00307
OG0000030	Prbj.g_01287	Syat.g_00308
OG0000032	Prbj.g_00659	Syat.g_01354
OG0000032	Prbj.g_01468	Syat.g_02237
OG0000033	Prbj.g_00518	Syat.g_02858
OG0000034	Prbj.g_01740	Syat.g_01165, Syat.g_02902
OG0000035	Prbj.g_01056	Syat.g_01227, Syat.g_01226
OG0000037	Prbj.g_00624	Syat.g_00849, Syat.g_00187
OG0000038	Prbj.g_01959	Syat.g_02688
OG0000038	Prbj.g_01961	Syat.g_02686
OG0000039	Prbj.g_00429, Prbj.g_00278	Syat.g_01278
OG0000042	Prbj.g_01808, Prbj.g_00001	Syat.g_00223, Syat.g_02222
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbj.g_00563	Syat.g_00935
OG0000046	Prbj.g_00358	Syat.g_01626, Syat.g_01026
OG0000048	Prbj.g_01393	Syat.g_02046
OG0000053	Prbj.g_00638	Syat.g_01330
OG0000057	Prbj.g_00758	Syat.g_00817
OG0000058	Prbj.g_01467	Syat.g_02133, Syat.g_02238
OG0000059	Prbj.g_01029	Syat.g_01832
OG0000060	Prbj.g_01633	Syat.g_01384
OG0000061	Prbj.g_00971	Syat.g_03260
OG0000062	Prbj.g_00881	Syat.g_03107
OG0000063	Prbj.g_01208	Syat.g_02303
OG0000065	Prbj.g_00620	Syat.g_01571
OG0000066	Prbj.g_02141	Syat.g_03283
OG0000067	Prbj.g_02412	Syat.g_00479
OG0000068	Prbj.g_01639	Syat.g_00085, Syat.g_01295
OG0000070	Prbj.g_00118	Syat.g_01032, Syat.g_01040
OG0000072	Prbj.g_00516	Syat.g_02856, Syat.g_01597
OG0000073	Prbj.g_01608	Syat.g_03201
OG0000075	Prbj.g_01502	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbj.g_01598	Syat.g_02206
OG0000077	Prbj.g_01900	Syat.g_01481
OG0000078	Prbj.g_02614	Syat.g_00184
OG0000079	Prbj.g_01353	Syat.g_01879
OG0000081	Prbj.g_00799, Prbj.g_00765	Syat.g_00980
OG0000082	Prbj.g_01789	Syat.g_00035
OG0000085	Prbj.g_00869	Syat.g_03113
OG0000086	Prbj.g_00589	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbj.g_01547	Syat.g_02912
OG0000088	Prbj.g_00912, Prbj.g_00521	Syat.g_02862
OG0000089	Prbj.g_00064	Syat.g_02953
OG0000090	Prbj.g_02127	Syat.g_03270
OG0000091	Prbj.g_02581	Syat.g_00939, Syat.g_00862
OG0000094	Prbj.g_01985	Syat.g_01034
OG0000095	Prbj.g_01838	Syat.g_00808
OG0000098	Prbj.g_00669	Syat.g_03281
OG0000099	Prbj.g_01464	Syat.g_02130
OG0000100	Prbj.g_00185, Prbj.g_02442	Syat.g_00517
OG0000101	Prbj.g_00415	Syat.g_01661
OG0000102	Prbj.g_01819	Syat.g_00974
OG0000103	Prbj.g_02055	Syat.g_02399
OG0000104	Prbj.g_02069	Syat.g_02385
OG0000105	Prbj.g_01397	Syat.g_02052
OG0000106	Prbj.g_00875	Syat.g_00957
OG0000107	Prbj.g_02659	Syat.g_01862
OG0000108	Prbj.g_01630	Syat.g_03170
OG0000109	Prbj.g_01614	Syat.g_03187
OG0000110	Prbj.g_01801	Syat.g_00049
OG0000111	Prbj.g_00759	Syat.g_00816
OG0000112	Prbj.g_02276	Syat.g_00593
OG0000113	Prbj.g_02437	Syat.g_00509
OG0000114	Prbj.g_02340	Syat.g_00426
OG0000115	Prbj.g_00634	Syat.g_01328
OG0000116	Prbj.g_00956	Syat.g_02641
OG0000117	Prbj.g_01915	Syat.g_00224
OG0000118	Prbj.g_01742	Syat.g_01168
OG0000119	Prbj.g_00740, Prbj.g_00778	Syat.g_00309
OG0000120	Prbj.g_01465	Syat.g_02132
OG0000121	Prbj.g_01064, Prbj.g_01058	Syat.g_01223
OG0000123	Prbj.g_00406	Syat.g_01653
OG0000124	Prbj.g_01281	Syat.g_02231
OG0000125	Prbj.g_01963	Syat.g_02684
OG0000126	Prbj.g_02067	Syat.g_00976
OG0000128	Prbj.g_02085	Syat.g_02331
OG0000129	Prbj.g_01951	Syat.g_02693, Syat.g_02694
OG0000130	Prbj.g_00564	Syat.g_01469
OG0000131	Prbj.g_00543	Syat.g_02898
OG0000132	Prbj.g_00523	Syat.g_02864
OG0000133	Prbj.g_01460	Syat.g_00588
OG0000134	Prbj.g_00067	Syat.g_02956
OG0000135	Prbj.g_02004	Syat.g_02501
OG0000136	Prbj.g_00105	Syat.g_01292
OG0000137	Prbj.g_00128	Syat.g_01371
OG0000138	Prbj.g_01613	Syat.g_03188
OG0000140	Prbj.g_02139	Syat.g_03280
OG0000141	Prbj.g_01757	Syat.g_03398
OG0000142	Prbj.g_02573	Syat.g_00117
OG0000143	Prbj.g_02577	Syat.g_00130
OG0000144	Prbj.g_00793	Syat.g_00369
OG0000145	Prbj.g_01607	Syat.g_03202
OG0000146	Prbj.g_02277	Syat.g_00594
OG0000147	Prbj.g_02278	Syat.g_00595
OG0000148	Prbj.g_02431	Syat.g_00503
OG0000149	Prbj.g_02488	Syat.g_00747
OG0000150	Prbj.g_02511	Syat.g_03399
OG0000151	Prbj.g_02361	Syat.g_00801, Syat.g_00440
OG0000152	Prbj.g_02268	Syat.g_00578
OG0000153	Prbj.g_02241	Syat.g_00542
OG0000154	Prbj.g_02213	Syat.g_00708
OG0000155	Prbj.g_00312	Syat.g_00287
OG0000156	Prbj.g_00163	Syat.g_03228
OG0000157	Prbj.g_00162	Syat.g_02012, Syat.g_03227
OG0000158	Prbj.g_01514	Syat.g_02163
OG0000160	Prbj.g_01057	Syat.g_01224
OG0000161	Prbj.g_01071	Syat.g_01180
OG0000162	Prbj.g_01077	Syat.g_01281
OG0000163	Prbj.g_01688	Syat.g_02979
OG0000164	Prbj.g_00476	Syat.g_03040
OG0000165	Prbj.g_00467	Syat.g_03033
OG0000166	Prbj.g_01019	Syat.g_01822
OG0000167	Prbj.g_01500	Syat.g_02148
OG0000168	Prbj.g_01515	Syat.g_02164
OG0000169	Prbj.g_01581	Syat.g_02192
OG0000170	Prbj.g_01593	Syat.g_02201
OG0000171	Prbj.g_01282	Syat.g_02230
OG0000172	Prbj.g_01248	Syat.g_02260
OG0000173	Prbj.g_01227	Syat.g_02284
OG0000174	Prbj.g_02006	Syat.g_02504
OG0000175	Prbj.g_02044	Syat.g_02416
OG0000176	Prbj.g_02077	Syat.g_02372
OG0000177	Prbj.g_02078	Syat.g_02338
OG0000178	Prbj.g_02079	Syat.g_02337
OG0000179	Prbj.g_01188	Syat.g_02322
OG0000180	Prbj.g_01189	Syat.g_02321
OG0000181	Prbj.g_01190	Syat.g_02320
OG0000182	Prbj.g_01191	Syat.g_02319
OG0000183	Prbj.g_01195	Syat.g_02315
OG0000184	Prbj.g_01943	Syat.g_02704
