Orthogroup	Prbj	Syas
OG0000001	Prbj.g_01549, Prbj.g_02662	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Prbj.g_00170, Prbj.g_01574	Syas.g_00054
OG0000004	Prbj.g_00754	Syas.g_00176
OG0000004	Prbj.g_01777	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbj.g_00883	Syas.g_02704
OG0000006	Prbj.g_02699	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbj.g_01610	Syas.g_01232
OG0000007	Prbj.g_00857	Syas.g_02681
OG0000008	Prbj.g_00929	Syas.g_00886
OG0000008	Prbj.g_00928	Syas.g_00887
OG0000009	Prbj.g_01300, Prbj.g_00618	Syas.g_01450
OG0000010	Prbj.g_00129	Syas.g_01334
OG0000013	Prbj.g_00359	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbj.g_01442	Syas.g_01816
OG0000017	Prbj.g_01761	Syas.g_00856
OG0000017	Prbj.g_01769	Syas.g_00849
OG0000018	Prbj.g_00641	Syas.g_01290
OG0000019	Prbj.g_00025, Prbj.g_01349	Syas.g_01696
OG0000022	Prbj.g_01572, Prbj.g_00050	Syas.g_02758
OG0000025	Prbj.g_02475	Syas.g_00231
OG0000026	Prbj.g_01204	Syas.g_02070
OG0000028	Prbj.g_01457	Syas.g_01793
OG0000030	Prbj.g_01288	Syas.g_01644
OG0000030	Prbj.g_01287	Syas.g_01645
OG0000033	Prbj.g_00518	Syas.g_02328
OG0000034	Prbj.g_01740	Syas.g_02371, Syas.g_02838
OG0000035	Prbj.g_01056	Syas.g_02814, Syas.g_02818
OG0000037	Prbj.g_00624	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbj.g_01959	Syas.g_01885
OG0000038	Prbj.g_01961	Syas.g_01887
OG0000039	Prbj.g_00429	Syas.g_02795
OG0000042	Prbj.g_01808, Prbj.g_00001	Syas.g_01121, Syas.g_02147
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syas.g_00894, Syas.g_02453
OG0000046	Prbj.g_00358	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbj.g_01393	Syas.g_01734
OG0000051	Prbj.g_00705	Syas.g_01445
OG0000053	Prbj.g_00638	Syas.g_01287
OG0000054	Prbj.g_01758	Syas.g_00961
OG0000059	Prbj.g_01029	Syas.g_01639
OG0000060	Prbj.g_01132	Syas.g_01680
