Orthogroup	Prbj	Syap
OG0000001	Prbj.g_01549, Prbj.g_02662	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Prbj.g_02690	Syap.g_00399
OG0000004	Prbj.g_01777	Syap.g_01987
OG0000005	Prbj.g_00883	Syap.g_01218
OG0000007	Prbj.g_01610	Syap.g_00275
OG0000007	Prbj.g_00857	Syap.g_00621
OG0000009	Prbj.g_01300, Prbj.g_00618	Syap.g_02081
OG0000010	Prbj.g_00129	Syap.g_02757
OG0000013	Prbj.g_00359	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbj.g_01442	Syap.g_01675
OG0000017	Prbj.g_01769	Syap.g_00449
OG0000018	Prbj.g_00641	Syap.g_02010
OG0000019	Prbj.g_00025, Prbj.g_01349	Syap.g_01586
OG0000025	Prbj.g_02475	Syap.g_01846
OG0000028	Prbj.g_01457	Syap.g_01658
OG0000030	Prbj.g_01288	Syap.g_00787
OG0000030	Prbj.g_01287	Syap.g_00788
OG0000032	Prbj.g_01468	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prbj.g_00518	Syap.g_01198
OG0000034	Prbj.g_01740	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbj.g_01056	Syap.g_02465
OG0000037	Prbj.g_00624	Syap.g_02492
OG0000038	Prbj.g_01961	Syap.g_00139
OG0000042	Prbj.g_01808, Prbj.g_00001	Syap.g_01891, Syap.g_01120
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syap.g_00378
OG0000045	Prbj.g_00563	Syap.g_02525
OG0000046	Prbj.g_00358	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbj.g_01393	Syap.g_02340
OG0000051	Prbj.g_00705	Syap.g_01574
OG0000053	Prbj.g_00638	Syap.g_02006
OG0000054	Prbj.g_01758	Syap.g_00678
OG0000058	Prbj.g_01467	Syap.g_02074
OG0000059	Prbj.g_01029	Syap.g_01918
OG0000059	Prbj.g_01521	Syap.g_01082, Syap.g_02478
OG0000061	Prbj.g_00971	Syap.g_00228
OG0000062	Prbj.g_00881	Syap.g_01220, Syap.g_01365
OG0000063	Prbj.g_01208	Syap.g_01796
OG0000066	Prbj.g_02141	Syap.g_01972
OG0000067	Prbj.g_02412	Syap.g_00194
OG0000068	Prbj.g_01639	Syap.g_00108, Syap.g_00144
OG0000070	Prbj.g_00118	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prbj.g_00516	Syap.g_00555
OG0000073	Prbj.g_01608	Syap.g_00273
OG0000075	Prbj.g_01502	Syap.g_01064, Syap.g_00664
OG0000076	Prbj.g_01598	Syap.g_01111
OG0000077	Prbj.g_01900	Syap.g_00416
OG0000079	Prbj.g_01353	Syap.g_01589
OG0000085	Prbj.g_00869	Syap.g_00611
OG0000087	Prbj.g_01547	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prbj.g_00912, Prbj.g_00521	Syap.g_01202
OG0000089	Prbj.g_00064	Syap.g_00115, Syap.g_02042
OG0000090	Prbj.g_02127	Syap.g_01451
OG0000091	Prbj.g_02581	Syap.g_01861
OG0000095	Prbj.g_01838	Syap.g_01556
OG0000098	Prbj.g_00669	Syap.g_01975
OG0000099	Prbj.g_01464	Syap.g_01385
OG0000101	Prbj.g_00415	Syap.g_00472
OG0000102	Prbj.g_01819	Syap.g_01116
OG0000103	Prbj.g_02055	Syap.g_02607, Syap.g_02608
