Orthogroup	Prab	Prah
OG0000000	Prab.g_00683	Prah.g_01226
OG0000001	Prab.g_01606	Prah.g_01346, Prah.g_01154, Prah.g_01152
OG0000001	Prab.g_00918, Prab.g_01620	Prah.g_01348
OG0000003	Prab.g_01308	Prah.g_01347
OG0000004	Prab.g_00921, Prab.g_00747, Prab.g_01307	Prah.g_01175, Prah.g_00215
OG0000006	Prab.g_00501	Prah.g_01546
OG0000006	Prab.g_01669	Prah.g_01676
OG0000007	Prab.g_00677	Prah.g_00969
OG0000009	Prab.g_00820, Prab.g_00239	Prah.g_02086
OG0000011	Prab.g_00318	Prah.g_00353
OG0000012	Prab.g_00602	Prah.g_01397
OG0000013	Prab.g_00789	Prah.g_01155, Prah.g_00576
OG0000016	Prab.g_01356	Prah.g_01007, Prah.g_01048
OG0000017	Prab.g_01486	Prah.g_00381
OG0000018	Prab.g_00231	Prah.g_00475, Prah.g_01767
OG0000019	Prab.g_00354	Prah.g_01410
OG0000020	Prab.g_00411, Prab.g_00363	Prah.g_02122
OG0000024	Prab.g_00294	Prah.g_02171
OG0000025	Prab.g_01130, Prab.g_01635, Prab.g_00394	Prah.g_01120
OG0000026	Prab.g_00033	Prah.g_00042
OG0000028	Prab.g_01466	Prah.g_00408
OG0000031	Prab.g_01304, Prab.g_01643	Prah.g_01166
OG0000032	Prab.g_01446	Prah.g_00091
OG0000033	Prab.g_00013	Prah.g_00015
OG0000033	Prab.g_01579	Prah.g_01270
OG0000036	Prab.g_00589	Prah.g_01427
OG0000037	Prab.g_00627	Prah.g_00524
OG0000038	Prab.g_00782	Prah.g_01209, Prah.g_00170
OG0000039	Prab.g_00157	Prah.g_00957, Prah.g_02304
OG0000040	Prab.g_00348	Prah.g_00688
OG0000042	Prab.g_00723	Prah.g_00958, Prah.g_00887
OG0000043	Prab.g_00825	Prah.g_01231, Prah.g_01233
OG0000044	Prab.g_01219	Prah.g_00104, Prah.g_01322
OG0000045	Prab.g_01393	Prah.g_02195
OG0000046	Prab.g_01662	Prah.g_01666
OG0000047	Prab.g_01857	Prah.g_00150
OG0000048	Prab.g_01864	Prah.g_01256, Prah.g_00135
OG0000050	Prab.g_01629	Prah.g_00038
OG0000051	Prab.g_00148	Prah.g_02295
OG0000052	Prab.g_00359	Prah.g_01660
OG0000053	Prab.g_00543	Prah.g_01485
OG0000054	Prab.g_00775, Prab.g_00803	Prah.g_01812
OG0000055	Prab.g_00862	Prah.g_00641
OG0000056	Prab.g_01634	Prah.g_02425
OG0000057	Prab.g_00228	Prah.g_01778
OG0000058	Prab.g_00479	Prah.g_00105, Prah.g_00312
OG0000059	Prab.g_00703	Prah.g_01027
OG0000062	Prab.g_01186	Prah.g_02524
OG0000063	Prab.g_00717	Prah.g_01257
OG0000065	Prab.g_01637, Prab.g_01326	Prah.g_01364
OG0000066	Prab.g_01447	Prah.g_02192
OG0000068	Prab.g_01802	Prah.g_01995
OG0000071	Prab.g_00011	Prah.g_00013
OG0000072	Prab.g_00310	Prah.g_02187
OG0000073	Prab.g_00674	Prah.g_00445
OG0000074	Prab.g_00696	Prah.g_00974
OG0000075	Prab.g_00847	Prah.g_00660
OG0000076	Prab.g_00929, Prab.g_01299	Prah.g_00915
OG0000078	Prab.g_01394	Prah.g_02191
OG0000079	Prab.g_01544	Prah.g_01654
OG0000080	Prab.g_00922, Prab.g_01290	Prah.g_01609
OG0000081	Prab.g_01832	Prah.g_02230
OG0000083	Prab.g_00003	Prah.g_00004
OG0000084	Prab.g_00006	Prah.g_00007
