Orthogroup	Prab	Pram
OG0000000	Prab.g_00683	Pram.g_00768, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278
OG0000002	Prab.g_00788, Prab.g_01279, Prab.g_01281	Pram.g_00719
OG0000003	Prab.g_01308	Pram.g_01513, Pram.g_01176
OG0000004	Prab.g_00921, Prab.g_00747, Prab.g_01307	Pram.g_01207
OG0000005	Prab.g_00760	Pram.g_01511
OG0000006	Prab.g_00501	Pram.g_00433
OG0000006	Prab.g_01669	Pram.g_01632
OG0000009	Prab.g_00820	Pram.g_01164
OG0000009	Prab.g_00239	Pram.g_00237
OG0000010	Prab.g_01596, Prab.g_01165	Pram.g_01505, Pram.g_00621
OG0000012	Prab.g_00602	Pram.g_00542
OG0000013	Prab.g_00789	Pram.g_00696, Pram.g_01545
OG0000015	Prab.g_00370	Pram.g_01597, Pram.g_00618, Pram.g_00662
OG0000016	Prab.g_01356	Pram.g_01283
OG0000017	Prab.g_01486	Pram.g_01357, Pram.g_01580
OG0000018	Prab.g_00231	Pram.g_00229
OG0000019	Prab.g_00354	Pram.g_00794
OG0000020	Prab.g_00411, Prab.g_00363	Pram.g_00259
OG0000021	Prab.g_00822	Pram.g_00644, Pram.g_01544
OG0000022	Prab.g_00915, Prab.g_01617	Pram.g_01561
OG0000023	Prab.g_01584	Pram.g_01573, Pram.g_01284, Pram.g_00390
OG0000024	Prab.g_00294	Pram.g_00295
OG0000025	Prab.g_01635, Prab.g_00394	Pram.g_00706
OG0000028	Prab.g_01466	Pram.g_01378, Pram.g_01381
OG0000029	Prab.g_01585	Pram.g_00391
OG0000033	Prab.g_01579	Pram.g_01193
OG0000035	Prab.g_01082	Pram.g_00681
OG0000036	Prab.g_00589	Pram.g_01559
OG0000037	Prab.g_00627	Pram.g_00561
OG0000038	Prab.g_00782	Pram.g_01287
OG0000039	Prab.g_00157	Pram.g_00151
OG0000040	Prab.g_00348	Pram.g_00689
OG0000041	Prab.g_00405	Pram.g_01587
OG0000042	Prab.g_00723	Pram.g_00801
OG0000043	Prab.g_00825	Pram.g_00905
OG0000044	Prab.g_01219	Pram.g_01140
OG0000045	Prab.g_01393	Pram.g_01447
OG0000046	Prab.g_01662	Pram.g_01265
OG0000047	Prab.g_01857	Pram.g_01833
OG0000048	Prab.g_01864	Pram.g_01841
OG0000050	Prab.g_01629	Pram.g_00018
OG0000051	Prab.g_00148	Pram.g_00142
OG0000052	Prab.g_00359	Pram.g_00677
OG0000053	Prab.g_00543	Pram.g_01558
OG0000054	Prab.g_00775, Prab.g_00803	Pram.g_01517
OG0000055	Prab.g_00862	Pram.g_00832
OG0000056	Prab.g_01634	Pram.g_01191
OG0000057	Prab.g_00228	Pram.g_00224
OG0000058	Prab.g_00479	Pram.g_00411
OG0000059	Prab.g_00703	Pram.g_00792
OG0000060	Prab.g_01297	Pram.g_00631
OG0000062	Prab.g_01186	Pram.g_01546
OG0000063	Prab.g_00717	Pram.g_01112
OG0000065	Prab.g_01637, Prab.g_01326	Pram.g_01230
OG0000066	Prab.g_01447	Pram.g_01446
OG0000067	Prab.g_00799	Pram.g_01579
OG0000068	Prab.g_01802	Pram.g_01770
OG0000071	Prab.g_00011	Pram.g_01949
OG0000072	Prab.g_00310	Pram.g_00310
OG0000073	Prab.g_00674	Pram.g_01039
OG0000074	Prab.g_00696	Pram.g_00782
OG0000075	Prab.g_00847	Pram.g_00816
OG0000076	Prab.g_00929, Prab.g_01299	Pram.g_00888
OG0000078	Prab.g_01394	Pram.g_01445
OG0000079	Prab.g_01544	Pram.g_01293
OG0000080	Prab.g_00922, Prab.g_01290	Pram.g_01554
OG0000081	Prab.g_01832	Pram.g_01805
OG0000083	Prab.g_00003	Pram.g_01941
OG0000084	Prab.g_00006	Pram.g_01944
OG0000085	Prab.g_00023	Pram.g_00010
OG0000086	Prab.g_00038	Pram.g_01588
OG0000087	Prab.g_00048	Pram.g_00036
OG0000088	Prab.g_00104	Pram.g_00099
OG0000089	Prab.g_00112	Pram.g_00108
OG0000090	Prab.g_00129	Pram.g_00125
OG0000091	Prab.g_00160	Pram.g_00154
OG0000092	Prab.g_00161	Pram.g_00155
OG0000093	Prab.g_00175	Pram.g_00168
OG0000094	Prab.g_00193	Pram.g_00187
OG0000095	Prab.g_00198	Pram.g_00192
OG0000096	Prab.g_00241	Pram.g_00239
OG0000097	Prab.g_00262	Pram.g_00262
OG0000099	Prab.g_00282	Pram.g_00283
OG0000100	Prab.g_00285	Pram.g_00286
OG0000101	Prab.g_00344	Pram.g_00354
OG0000102	Prab.g_00371	Pram.g_01589
OG0000103	Prab.g_00480	Pram.g_00412
OG0000104	Prab.g_00484	Pram.g_00416
OG0000105	Prab.g_00503	Pram.g_00437
OG0000107	Prab.g_00537	Pram.g_00471
OG0000108	Prab.g_00547	Pram.g_00480
OG0000109	Prab.g_00556	Pram.g_00489
OG0000110	Prab.g_00573	Pram.g_00507
OG0000111	Prab.g_00656	Pram.g_01059
OG0000112	Prab.g_00657	Pram.g_01058
OG0000113	Prab.g_00745	Pram.g_01006
OG0000114	Prab.g_00838	Pram.g_00807
OG0000115	Prab.g_01010	Pram.g_00943
OG0000116	Prab.g_01006	Pram.g_00947
OG0000117	Prab.g_00932	Pram.g_00891
OG0000118	Prab.g_01144	Pram.g_01185
OG0000119	Prab.g_01189	Pram.g_01549
OG0000120	Prab.g_01225	Pram.g_01133
OG0000121	Prab.g_01244	Pram.g_01110
OG0000122	Prab.g_01263	Pram.g_01090
OG0000123	Prab.g_01276	Pram.g_00571
OG0000124	Prab.g_01284	Pram.g_01254
OG0000125	Prab.g_01338	Pram.g_01242
OG0000126	Prab.g_01360	Pram.g_01468
OG0000127	Prab.g_01453	Pram.g_01393
OG0000128	Prab.g_01467	Pram.g_01377
OG0000129	Prab.g_01503	Pram.g_01341
OG0000130	Prab.g_01667	Pram.g_01629
OG0000131	Prab.g_01705	Pram.g_01669
OG0000132	Prab.g_01708	Pram.g_01672
OG0000133	Prab.g_01761	Pram.g_01728
OG0000134	Prab.g_01797	Pram.g_01764
OG0000135	Prab.g_01799	Pram.g_01766
OG0000136	Prab.g_01842	Pram.g_01817
OG0000137	Prab.g_01874	Pram.g_01851
OG0000138	Prab.g_01910	Pram.g_01886
OG0000139	Prab.g_01937	Pram.g_01917
OG0000140	Prab.g_00001	Pram.g_01939
OG0000141	Prab.g_00002	Pram.g_01940
OG0000142	Prab.g_00004	Pram.g_01942
OG0000143	Prab.g_00005	Pram.g_01943
OG0000144	Prab.g_00007	Pram.g_01945
OG0000145	Prab.g_00008	Pram.g_01946
OG0000146	Prab.g_00009	Pram.g_01947
OG0000147	Prab.g_00010	Pram.g_01948
OG0000148	Prab.g_00012	Pram.g_01950
OG0000149	Prab.g_00014	Pram.g_00001
OG0000150	Prab.g_00015	Pram.g_00002
OG0000151	Prab.g_00016	Pram.g_00003
OG0000152	Prab.g_00017	Pram.g_00004
OG0000153	Prab.g_00018	Pram.g_00005
OG0000154	Prab.g_00019	Pram.g_00006
OG0000155	Prab.g_00020	Pram.g_00007
OG0000156	Prab.g_00021	Pram.g_00008
OG0000157	Prab.g_00022	Pram.g_00009
OG0000158	Prab.g_00024	Pram.g_00011
OG0000159	Prab.g_00025	Pram.g_00012
OG0000160	Prab.g_00026	Pram.g_00013
OG0000161	Prab.g_00027	Pram.g_00014
OG0000162	Prab.g_00028	Pram.g_00015
OG0000163	Prab.g_00029	Pram.g_00016
OG0000164	Prab.g_00032	Pram.g_00019
OG0000165	Prab.g_00035	Pram.g_00021
OG0000166	Prab.g_00036	Pram.g_00022
OG0000167	Prab.g_00037	Pram.g_00023
OG0000168	Prab.g_00039	Pram.g_00024
OG0000169	Prab.g_00041	Pram.g_00026
OG0000170	Prab.g_00042	Pram.g_00028
OG0000171	Prab.g_00043	Pram.g_00029
OG0000172	Prab.g_00044	Pram.g_00030
OG0000173	Prab.g_00045	Pram.g_00033
