Orthogroup	Prab	Prai
OG0000000	Prab.g_00683	Prai.g_00707
OG0000001	Prab.g_01278	Prai.g_00908
OG0000001	Prab.g_01278	Prai.g_01234
OG0000001	Prab.g_01278	Prai.g_01591
OG0000001	Prab.g_01278	Prai.g_01775
OG0000001	Prab.g_01597	Prai.g_00908
OG0000001	Prab.g_01597	Prai.g_01234
OG0000001	Prab.g_01597	Prai.g_01591
OG0000001	Prab.g_01597	Prai.g_01775
OG0000002	Prab.g_00788	Prai.g_01236
OG0000003	Prab.g_00917, Prab.g_01619	Prai.g_00907, Prai.g_01774
OG0000004	Prab.g_00921	Prai.g_00441
OG0000004	Prab.g_00747, Prab.g_01307	Prai.g_01313
OG0000005	Prab.g_00760	Prai.g_01612
OG0000005	Prab.g_01598	Prai.g_01592
OG0000006	Prab.g_00501	Prai.g_00527
OG0000006	Prab.g_01669	Prai.g_01638
OG0000007	Prab.g_00677	Prai.g_00701
OG0000008	Prab.g_00372	Prai.g_00394
OG0000008	Prab.g_01613	Prai.g_01246
OG0000008	Prab.g_00971	Prai.g_00437
OG0000009	Prab.g_00820	Prai.g_00867
OG0000009	Prab.g_00239	Prai.g_00262
OG0000010	Prab.g_01596	Prai.g_01588
OG0000011	Prab.g_00318	Prai.g_00343
OG0000012	Prab.g_00602	Prai.g_00626
OG0000013	Prab.g_00789	Prai.g_01243
OG0000014	Prab.g_00914, Prab.g_01616	Prai.g_00904
OG0000015	Prab.g_00370	Prai.g_01259
OG0000016	Prab.g_01356	Prai.g_01366
OG0000017	Prab.g_01486	Prai.g_01483
OG0000018	Prab.g_00231	Prai.g_00252
OG0000018	Prab.g_00231	Prai.g_00254
OG0000019	Prab.g_00354	Prai.g_00378
OG0000020	Prab.g_00411, Prab.g_00363	Prai.g_00387
OG0000022	Prab.g_00915, Prab.g_01617	Prai.g_00905, Prai.g_01772
OG0000023	Prab.g_01584	Prai.g_01578
OG0000024	Prab.g_00294	Prai.g_00319
OG0000025	Prab.g_01130, Prab.g_01635, Prab.g_00394	Prai.g_01093
OG0000026	Prab.g_00033	Prai.g_00033
OG0000027	Prab.g_00719	Prai.g_01549, Prai.g_01266
OG0000028	Prab.g_01466	Prai.g_01463
OG0000029	Prab.g_01585	Prai.g_01579
OG0000031	Prab.g_01643	Prai.g_01263
OG0000033	Prab.g_00013	Prai.g_00013
OG0000033	Prab.g_01579	Prai.g_01573
OG0000034	Prab.g_01423	Prai.g_00154
OG0000035	Prab.g_01082	Prai.g_01059
OG0000035	Prab.g_01134	Prai.g_01097
OG0000036	Prab.g_00589	Prai.g_00613
OG0000037	Prab.g_00627	Prai.g_00652
OG0000038	Prab.g_00782	Prai.g_00885
OG0000039	Prab.g_00157	Prai.g_00177
OG0000040	Prab.g_00348	Prai.g_00373
OG0000041	Prab.g_00425	Prai.g_00448
OG0000042	Prab.g_00723	Prai.g_00748
OG0000043	Prab.g_00825	Prai.g_00862
OG0000044	Prab.g_01219	Prai.g_01171
OG0000046	Prab.g_01662	Prai.g_01631
OG0000047	Prab.g_01857	Prai.g_01838
OG0000048	Prab.g_01864	Prai.g_01845
OG0000050	Prab.g_00031, Prab.g_01629	Prai.g_00031
OG0000051	Prab.g_00148	Prai.g_00168
OG0000052	Prab.g_00359	Prai.g_00383
OG0000053	Prab.g_00543	Prai.g_00567
OG0000054	Prab.g_00775, Prab.g_00803	Prai.g_00909
OG0000055	Prab.g_00862	Prai.g_00825
OG0000056	Prab.g_01634, Prab.g_01171	Prai.g_01132
OG0000057	Prab.g_00228	Prai.g_00248
OG0000058	Prab.g_00479	Prai.g_00505
OG0000059	Prab.g_00703	Prai.g_00727
OG0000060	Prab.g_01297	Prai.g_00431
OG0000061	Prab.g_01184	Prai.g_01141
OG0000061	Prab.g_00990	Prai.g_00969
OG0000062	Prab.g_01186	Prai.g_01143
OG0000063	Prab.g_00717	Prai.g_01273
OG0000064	Prab.g_00720	Prai.g_01594
OG0000065	Prab.g_01637, Prab.g_01326	Prai.g_01335
OG0000066	Prab.g_01447	Prai.g_01443
OG0000068	Prab.g_01802	Prai.g_01782
OG0000071	Prab.g_00011	Prai.g_00011
OG0000072	Prab.g_00310	Prai.g_00335
OG0000073	Prab.g_00674	Prai.g_00698
OG0000074	Prab.g_00696	Prai.g_00720
OG0000075	Prab.g_00847	Prai.g_00840, Prai.g_00841
OG0000076	Prab.g_00929, Prab.g_01299	Prai.g_00918
OG0000078	Prab.g_01394	Prai.g_01393
OG0000079	Prab.g_01544	Prai.g_01540
OG0000080	Prab.g_00922, Prab.g_01290	Prai.g_01270
OG0000081	Prab.g_01832	Prai.g_01812
OG0000082	Prab.g_01920	Prai.g_01901
OG0000083	Prab.g_00003	Prai.g_00003
OG0000084	Prab.g_00006	Prai.g_00006
OG0000085	Prab.g_00023	Prai.g_00023
OG0000086	Prab.g_00038	Prai.g_00046
OG0000087	Prab.g_00048	Prai.g_00056
OG0000088	Prab.g_00104	Prai.g_00113
OG0000089	Prab.g_00112	Prai.g_00121
OG0000090	Prab.g_00129	Prai.g_00139
OG0000091	Prab.g_00160	Prai.g_00180
OG0000092	Prab.g_00161	Prai.g_00181
OG0000093	Prab.g_00175	Prai.g_00195
OG0000094	Prab.g_00193	Prai.g_00213
OG0000095	Prab.g_00198	Prai.g_00218
OG0000096	Prab.g_00241	Prai.g_00264
OG0000097	Prab.g_00262	Prai.g_00286, Prai.g_00287
OG0000098	Prab.g_00272	Prai.g_00297
OG0000099	Prab.g_00282	Prai.g_00307, Prai.g_00741
OG0000100	Prab.g_00285	Prai.g_00310
OG0000101	Prab.g_00344	Prai.g_00369
OG0000102	Prab.g_00371	Prai.g_00393
OG0000103	Prab.g_00480	Prai.g_00506
OG0000104	Prab.g_00484	Prai.g_00510
OG0000105	Prab.g_00503	Prai.g_00529
OG0000106	Prab.g_00536	Prai.g_00560
OG0000107	Prab.g_00537	Prai.g_00561
OG0000108	Prab.g_00547	Prai.g_00571
OG0000109	Prab.g_00556	Prai.g_00580
OG0000110	Prab.g_00573	Prai.g_00597
OG0000111	Prab.g_00656	Prai.g_00680
OG0000112	Prab.g_00657	Prai.g_00681
OG0000113	Prab.g_00745	Prai.g_00770
OG0000114	Prab.g_00838	Prai.g_00850
OG0000115	Prab.g_01010	Prai.g_00989
OG0000116	Prab.g_01006	Prai.g_00985
OG0000117	Prab.g_00932	Prai.g_00921
OG0000118	Prab.g_01144	Prai.g_01107
OG0000119	Prab.g_01189	Prai.g_01146
OG0000120	Prab.g_01225	Prai.g_01177
OG0000121	Prab.g_01244	Prai.g_01197
OG0000122	Prab.g_01263	Prai.g_01217
OG0000123	Prab.g_01276	Prai.g_01230
OG0000124	Prab.g_01284	Prai.g_01238
OG0000125	Prab.g_01338	Prai.g_01347
OG0000126	Prab.g_01360	Prai.g_01370
OG0000127	Prab.g_01453	Prai.g_01450
OG0000128	Prab.g_01467	Prai.g_01464
OG0000129	Prab.g_01503	Prai.g_01499
OG0000130	Prab.g_01667	Prai.g_01636
OG0000131	Prab.g_01705	Prai.g_01674
OG0000132	Prab.g_01708	Prai.g_01677
OG0000133	Prab.g_01761	Prai.g_01735
OG0000134	Prab.g_01797	Prai.g_01777
OG0000135	Prab.g_01799	Prai.g_01779
