locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prbm.g_00001	gene	1161	dnaN			
Prbm.g_00001	CDS	1161	dnaN			Beta sliding clamp
Prbm.g_00002	gene	783				
Prbm.g_00002	CDS	783				hypothetical protein
Prbm.g_00003	gene	2412	purL			
Prbm.g_00003	CDS	2412	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
Prbm.g_00004	gene	1458	purF			
Prbm.g_00004	CDS	1458	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
Prbm.g_00005	gene	2451	gyrA_1			
Prbm.g_00005	CDS	2451	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
Prbm.g_00006	gene	873	bepA_1			
Prbm.g_00006	CDS	873	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
Prbm.g_00007	gene	981	queG			
Prbm.g_00007	CDS	981	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
Prbm.g_00008	gene	780				
Prbm.g_00008	CDS	780				hypothetical protein
Prbm.g_00009	gene	627	nusB			
Prbm.g_00009	CDS	627	nusB			Transcription antitermination protein NusB
Prbm.g_00010	gene	1296	ftsY			
Prbm.g_00010	CDS	1296	ftsY			Signal recognition particle receptor FtsY
Prbm.g_00011	gene	1401				
Prbm.g_00011	CDS	1401				hypothetical protein
Prbm.g_00012	gene	1392	argH			
Prbm.g_00012	CDS	1392	argH	4.3.2.1	COG0165	Argininosuccinate lyase
Prbm.g_00013	gene	756				
Prbm.g_00013	CDS	756				hypothetical protein
Prbm.g_00014	gene	1008	dusA			
Prbm.g_00014	CDS	1008	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Prbm.g_00015	gene	468	msrB			
Prbm.g_00015	CDS	468	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
Prbm.g_00016	gene	780	grpE			
Prbm.g_00016	CDS	780	grpE			Protein GrpE
Prbm.g_00017	gene	1131	dnaJ_1			
Prbm.g_00017	CDS	1131	dnaJ_1		COG0484	Chaperone protein DnaJ
Prbm.g_00018	gene	240				
Prbm.g_00018	CDS	240				hypothetical protein
Prbm.g_00019	gene	939	rsgA			
Prbm.g_00019	CDS	939	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
Prbm.g_00020	gene	348	ybaB			
Prbm.g_00020	CDS	348	ybaB		COG0718	Nucleoid-associated protein YbaB
Prbm.g_00021	gene	876	murB			
Prbm.g_00021	CDS	876	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
Prbm.g_00022	gene	1485	murC			
Prbm.g_00022	CDS	1485	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
Prbm.g_00023	gene	1023	gap2			
