Orthogroup	Prbe	Prac
OG0000000	Prbe.g_01285, Prbe.g_01290	Prac.g_00210
OG0000000	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Prac.g_00693
OG0000002	Prbe.g_00400	Prac.g_00202
OG0000002	Prbe.g_00112	Prac.g_00925, Prac.g_00924
OG0000003	Prbe.g_01587	Prac.g_00157, Prac.g_00290
OG0000004	Prbe.g_01628	Prac.g_01529
OG0000005	Prbe.g_01119	Prac.g_00292, Prac.g_00277
OG0000006	Prbe.g_00636	Prac.g_00874
OG0000006	Prbe.g_00985	Prac.g_00625
OG0000007	Prbe.g_00036	Prac.g_00904
OG0000009	Prbe.g_01573	Prac.g_01496
OG0000009	Prbe.g_01802	Prac.g_01681
OG0000010	Prbe.g_00081	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Prbe.g_01921	Prac.g_01127
OG0000012	Prbe.g_00529, Prbe.g_00536	Prac.g_00773
OG0000013	Prbe.g_01046, Prbe.g_01000	Prac.g_00898
OG0000014	Prbe.g_01121, Prbe.g_00012	Prac.g_01074
OG0000015	Prbe.g_01130, Prbe.g_01024	Prac.g_01151
OG0000016	Prbe.g_01603, Prbe.g_00214	Prac.g_00213
OG0000017	Prbe.g_01040, Prbe.g_00290	Prac.g_01901
OG0000018	Prbe.g_01794	Prac.g_01689
OG0000019	Prbe.g_01208	Prac.g_01169
OG0000020	Prbe.g_01825	Prac.g_01159
OG0000021	Prbe.g_01003	Prac.g_01494
OG0000024	Prbe.g_01861	Prac.g_01625
OG0000026	Prbe.g_00021	Prac.g_00908
OG0000028	Prbe.g_00311	Prac.g_00411
OG0000029	Prbe.g_00678	Prac.g_00300, Prac.g_00890
OG0000032	Prbe.g_00352	Prac.g_00249
OG0000035	Prbe.g_00074	Prac.g_01399
OG0000036	Prbe.g_00549, Prbe.g_00996	Prac.g_00788
OG0000037	Prbe.g_00511, Prbe.g_00196	Prac.g_00748
OG0000038	Prbe.g_00220	Prac.g_01510
OG0000039	Prbe.g_01714	Prac.g_01764
OG0000040	Prbe.g_00062	Prac.g_01174
OG0000041	Prbe.g_01021, Prbe.g_01027	Prac.g_01119
OG0000042	Prbe.g_01214	Prac.g_01560
OG0000043	Prbe.g_01314	Prac.g_01491
OG0000044	Prbe.g_01549	Prac.g_00985
OG0000045	Prbe.g_00351	Prac.g_00434, Prac.g_00258
OG0000046	Prbe.g_00007, Prbe.g_00993	Prac.g_00632
OG0000047	Prbe.g_00774	Prac.g_01904, Prac.g_00041
OG0000048	Prbe.g_00766	Prac.g_00048
OG0000050	Prbe.g_00132	Prac.g_01916
OG0000051	Prbe.g_01705	Prac.g_01590, Prac.g_01773
OG0000052	Prbe.g_00740	Prac.g_01163
OG0000053	Prbe.g_01114, Prbe.g_00596	Prac.g_00833
OG0000055	Prbe.g_01245	Prac.g_01453
OG0000057	Prbe.g_01789	Prac.g_01693
OG0000058	Prbe.g_00658	Prac.g_01069
OG0000059	Prbe.g_01206	Prac.g_00673
OG0000062	Prbe.g_00041	Prac.g_01018
OG0000063	Prbe.g_01522	Prac.g_01955
OG0000065	Prbe.g_00893	Prac.g_00175
OG0000066	Prbe.g_00353	Prac.g_00248
OG0000068	Prbe.g_00836	Prac.g_00548
OG0000071	Prbe.g_01076	Prac.g_01936
OG0000072	Prbe.g_01875	Prac.g_01609
OG0000073	Prbe.g_01449	Prac.g_00702
OG0000074	Prbe.g_00466	Prac.g_00680
OG0000075	Prbe.g_01229	Prac.g_01468
OG0000076	Prbe.g_01297	Prac.g_01256
OG0000077	Prbe.g_01118	Prac.g_00276
OG0000078	Prbe.g_00350	Prac.g_00256
OG0000079	Prbe.g_00226	Prac.g_00333
OG0000080	Prbe.g_00714	Prac.g_00886
OG0000081	Prbe.g_00802	Prac.g_00015
OG0000083	Prbe.g_01068	Prac.g_01944
OG0000084	Prbe.g_01071	Prac.g_01941
OG0000085	Prbe.g_00123	Prac.g_01924
OG0000087	Prbe.g_00152	Prac.g_01882
OG0000088	Prbe.g_01657	Prac.g_01818
OG0000089	Prbe.g_01666	Prac.g_01810
OG0000090	Prbe.g_01683	Prac.g_01792
OG0000091	Prbe.g_01717	Prac.g_01761
OG0000092	Prbe.g_01718	Prac.g_01760
OG0000093	Prbe.g_01732	Prac.g_01746
OG0000094	Prbe.g_01751	Prac.g_01728
OG0000095	Prbe.g_01756	Prac.g_01723
OG0000096	Prbe.g_01804	Prac.g_01679
OG0000097	Prbe.g_01828	Prac.g_01657
OG0000098	Prbe.g_01839	Prac.g_01647
OG0000099	Prbe.g_01849	Prac.g_01637
OG0000100	Prbe.g_01852	Prac.g_01634
OG0000101	Prbe.g_01917	Prac.g_01177
OG0000102	Prbe.g_00911	Prac.g_01150
OG0000103	Prbe.g_00657	Prac.g_01068
OG0000104	Prbe.g_00653	Prac.g_01064
OG0000105	Prbe.g_00633	Prac.g_00872
OG0000106	Prbe.g_00603	Prac.g_00840
OG0000107	Prbe.g_00602	Prac.g_00839
OG0000108	Prbe.g_00592	Prac.g_00829
OG0000109	Prbe.g_00583	Prac.g_00820
OG0000110	Prbe.g_00566	Prac.g_00804
OG0000111	Prbe.g_01468	Prac.g_00720
OG0000112	Prbe.g_01467	Prac.g_00719
OG0000113	Prbe.g_01417	Prac.g_01538
OG0000114	Prbe.g_01220	Prac.g_01477
OG0000115	Prbe.g_01350	Prac.g_01327
OG0000116	Prbe.g_01354	Prac.g_01323
OG0000117	Prbe.g_01300	Prac.g_01259
OG0000118	Prbe.g_01594	Prac.g_01207
OG0000119	Prbe.g_00044	Prac.g_01015
OG0000120	Prbe.g_01543	Prac.g_00979
OG0000121	Prbe.g_01520	Prac.g_00960
OG0000122	Prbe.g_01500	Prac.g_00941
OG0000123	Prbe.g_00501	Prac.g_00928
OG0000124	Prbe.g_00215	Prac.g_00448
OG0000125	Prbe.g_00880	Prac.g_00187
OG0000126	Prbe.g_00373	Prac.g_00217
OG0000127	Prbe.g_00323	Prac.g_00424
OG0000128	Prbe.g_00310	Prac.g_00410
OG0000129	Prbe.g_00274	Prac.g_00374
OG0000130	Prbe.g_00988	Prac.g_00627
OG0000131	Prbe.g_00949	Prac.g_00589
OG0000132	Prbe.g_00946	Prac.g_00586
OG0000133	Prbe.g_01088	Prac.g_00507
OG0000134	Prbe.g_00842	Prac.g_00543
OG0000135	Prbe.g_00840	Prac.g_00545
OG0000136	Prbe.g_00790	Prac.g_00026
OG0000137	Prbe.g_00746	Prac.g_00057
OG0000138	Prbe.g_01158	Prac.g_00092
OG0000139	Prbe.g_01189	Prac.g_00118
OG0000140	Prbe.g_01066	Prac.g_01946
OG0000141	Prbe.g_01067	Prac.g_01945
OG0000142	Prbe.g_01069	Prac.g_01943
OG0000143	Prbe.g_01070	Prac.g_01942
OG0000144	Prbe.g_01072	Prac.g_01940
OG0000145	Prbe.g_01073	Prac.g_01939
OG0000146	Prbe.g_01074	Prac.g_01938
OG0000147	Prbe.g_01075	Prac.g_01937
OG0000148	Prbe.g_01077	Prac.g_01935
OG0000149	Prbe.g_00114	Prac.g_01933
OG0000150	Prbe.g_00115	Prac.g_01932
OG0000151	Prbe.g_00116	Prac.g_01931
OG0000152	Prbe.g_00117	Prac.g_01930
OG0000153	Prbe.g_00118	Prac.g_01929
OG0000154	Prbe.g_00119	Prac.g_01928
OG0000155	Prbe.g_00120	Prac.g_01927
OG0000156	Prbe.g_00121	Prac.g_01926
OG0000157	Prbe.g_00122	Prac.g_01925
OG0000158	Prbe.g_00124	Prac.g_01923
OG0000159	Prbe.g_00125	Prac.g_01922
OG0000160	Prbe.g_00126	Prac.g_01921
OG0000161	Prbe.g_00127	Prac.g_01920
OG0000162	Prbe.g_00128	Prac.g_01919
OG0000163	Prbe.g_00130	Prac.g_01918
OG0000164	Prbe.g_00133	Prac.g_01915
OG0000165	Prbe.g_00136	Prac.g_01911
OG0000166	Prbe.g_00137	Prac.g_01910
OG0000167	Prbe.g_00138	Prac.g_01909
OG0000168	Prbe.g_00140	Prac.g_01892
OG0000169	Prbe.g_00142	Prac.g_01890
OG0000170	Prbe.g_00144	Prac.g_01889
OG0000171	Prbe.g_00145	Prac.g_01888
OG0000172	Prbe.g_00146	Prac.g_01886
OG0000173	Prbe.g_00149	Prac.g_01885
OG0000174	Prbe.g_00150	Prac.g_01884
OG0000175	Prbe.g_00151	Prac.g_01883
OG0000176	Prbe.g_00153	Prac.g_01881
OG0000177	Prbe.g_00154	Prac.g_01880
OG0000178	Prbe.g_00156	Prac.g_01879
OG0000179	Prbe.g_00168	Prac.g_01867
OG0000180	Prbe.g_00169	Prac.g_01866
OG0000181	Prbe.g_00170	Prac.g_01865
OG0000182	Prbe.g_00174	Prac.g_01862
OG0000183	Prbe.g_00175	Prac.g_01861
OG0000184	Prbe.g_00178	Prac.g_01858
OG0000185	Prbe.g_00182	Prac.g_01854
OG0000186	Prbe.g_00183	Prac.g_01853
OG0000187	Prbe.g_00066	Prac.g_01852
OG0000188	Prbe.g_00184	Prac.g_01851
OG0000189	Prbe.g_00185	Prac.g_01850
OG0000190	Prbe.g_00186	Prac.g_01849
OG0000191	Prbe.g_00187	Prac.g_01848
OG0000192	Prbe.g_00188	Prac.g_01847
OG0000193	Prbe.g_00189	Prac.g_01846
OG0000194	Prbe.g_00190	Prac.g_01845
OG0000195	Prbe.g_00192	Prac.g_01843
OG0000196	Prbe.g_00193	Prac.g_01842
OG0000197	Prbe.g_01630	Prac.g_01841
OG0000198	Prbe.g_01631	Prac.g_01840
OG0000199	Prbe.g_01634	Prac.g_01837
OG0000200	Prbe.g_01635	Prac.g_01836
OG0000201	Prbe.g_01636	Prac.g_01835
OG0000202	Prbe.g_01638	Prac.g_01834
OG0000203	Prbe.g_01639	Prac.g_01833
OG0000204	Prbe.g_01640	Prac.g_01832
OG0000205	Prbe.g_01642	Prac.g_01831
OG0000206	Prbe.g_01643	Prac.g_01830
OG0000207	Prbe.g_01644	Prac.g_01829
OG0000208	Prbe.g_01645	Prac.g_01828
OG0000209	Prbe.g_01646	Prac.g_01827
OG0000210	Prbe.g_01647	Prac.g_01825
OG0000211	Prbe.g_01649	Prac.g_01824
OG0000212	Prbe.g_01650	Prac.g_01823
OG0000213	Prbe.g_01651	Prac.g_01822
OG0000214	Prbe.g_01655	Prac.g_01820
OG0000215	Prbe.g_01656	Prac.g_01819
OG0000216	Prbe.g_01658	Prac.g_01817
OG0000217	Prbe.g_01659	Prac.g_01816
OG0000218	Prbe.g_01660	Prac.g_01815
OG0000219	Prbe.g_01661	Prac.g_01814
OG0000220	Prbe.g_01664	Prac.g_01811
OG0000221	Prbe.g_01667	Prac.g_01809
OG0000222	Prbe.g_01668	Prac.g_01808
OG0000223	Prbe.g_01669	Prac.g_01807
OG0000224	Prbe.g_01671	Prac.g_01804
OG0000225	Prbe.g_01673	Prac.g_01802
OG0000226	Prbe.g_01675	Prac.g_01801
OG0000227	Prbe.g_01676	Prac.g_01800
OG0000228	Prbe.g_01677	Prac.g_01799
OG0000229	Prbe.g_01678	Prac.g_01798
OG0000230	Prbe.g_01679	Prac.g_01797
OG0000231	Prbe.g_01412	Prac.g_01795
OG0000232	Prbe.g_01681	Prac.g_01794
OG0000233	Prbe.g_01684	Prac.g_01791
OG0000234	Prbe.g_01686	Prac.g_01789
OG0000235	Prbe.g_01692	Prac.g_01785
OG0000236	Prbe.g_01693	Prac.g_01784
OG0000237	Prbe.g_01694	Prac.g_01783
OG0000238	Prbe.g_01695	Prac.g_01782
OG0000239	Prbe.g_01696	Prac.g_01781
OG0000240	Prbe.g_01698	Prac.g_01779
OG0000241	Prbe.g_01699	Prac.g_01778
OG0000242	Prbe.g_01700	Prac.g_01777
OG0000243	Prbe.g_01701	Prac.g_01776
OG0000244	Prbe.g_01702	Prac.g_01775
OG0000245	Prbe.g_01704	Prac.g_01774
OG0000246	Prbe.g_01706	Prac.g_01772
OG0000247	Prbe.g_01707	Prac.g_01771
OG0000248	Prbe.g_01708	Prac.g_01770
OG0000249	Prbe.g_01709	Prac.g_01769
OG0000250	Prbe.g_01710	Prac.g_01768
OG0000251	Prbe.g_01711	Prac.g_01767
OG0000252	Prbe.g_01712	Prac.g_01766
OG0000253	Prbe.g_01713	Prac.g_01765
OG0000254	Prbe.g_01715	Prac.g_01763
