Orthogroup	Prbe	Praw
OG0000000	Prbe.g_01285, Prbe.g_01290	Praw.g_01009
OG0000000	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Praw.g_01844
OG0000002	Prbe.g_00400	Praw.g_01000
OG0000002	Prbe.g_00112	Praw.g_00497, Praw.g_01951, Praw.g_01739
OG0000003	Prbe.g_01587	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000004	Prbe.g_01628	Praw.g_01769
OG0000005	Prbe.g_01119	Praw.g_01780, Praw.g_00455, Praw.g_00494, Praw.g_00893, Praw.g_00974
OG0000006	Prbe.g_00636	Praw.g_00651
OG0000006	Prbe.g_00985	Praw.g_00515
OG0000007	Prbe.g_00036	Praw.g_00501
OG0000007	Prbe.g_00037	Praw.g_00502
OG0000009	Prbe.g_01573	Praw.g_01717
OG0000009	Prbe.g_01802	Praw.g_00884
OG0000010	Prbe.g_00081	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000012	Prbe.g_00529, Prbe.g_00536	Praw.g_01944
OG0000013	Prbe.g_01046, Prbe.g_01000	Praw.g_01738
OG0000014	Prbe.g_01121, Prbe.g_00012	Praw.g_00962, Praw.g_00492, Praw.g_00677
OG0000015	Prbe.g_01130, Prbe.g_01024	Praw.g_00752
OG0000016	Prbe.g_01603, Prbe.g_00214	Praw.g_01012
OG0000018	Prbe.g_01794	Praw.g_01950
OG0000019	Prbe.g_01208	Praw.g_00479, Praw.g_00767
OG0000020	Prbe.g_01825	Praw.g_00758, Praw.g_00504
OG0000021	Prbe.g_01003	Praw.g_01715
OG0000024	Prbe.g_01861	Praw.g_00828
OG0000028	Prbe.g_00311	Praw.g_01083, Praw.g_01081
OG0000029	Prbe.g_00678	Praw.g_00448
OG0000032	Prbe.g_00352	Praw.g_01073
OG0000033	Prbe.g_01607	Praw.g_00484
OG0000034	Prbe.g_00333, Prbe.g_00158	Praw.g_01071
OG0000035	Prbe.g_00074	Praw.g_00323
OG0000036	Prbe.g_00549, Prbe.g_00996	Praw.g_01932
OG0000037	Prbe.g_00511, Prbe.g_00196	Praw.g_00159
OG0000038	Prbe.g_00220	Praw.g_01746
OG0000039	Prbe.g_01714	Praw.g_01269
OG0000040	Prbe.g_00062	Praw.g_00772
OG0000041	Prbe.g_01021, Prbe.g_01027	Praw.g_00730
OG0000042	Prbe.g_01214	Praw.g_01809
OG0000043	Prbe.g_01314	Praw.g_01712
OG0000044	Prbe.g_01549	Praw.g_00234
OG0000045	Prbe.g_00351	Praw.g_01055
OG0000046	Prbe.g_00007, Prbe.g_00993	Praw.g_00508
OG0000047	Prbe.g_00774	Praw.g_00039
OG0000048	Prbe.g_00766	Praw.g_00032
OG0000050	Prbe.g_00132	Praw.g_01397
OG0000051	Prbe.g_01705	Praw.g_01278
OG0000052	Prbe.g_00740	Praw.g_00762
OG0000053	Prbe.g_01114, Prbe.g_00596	Praw.g_00609
OG0000055	Prbe.g_01245	Praw.g_01675
OG0000057	Prbe.g_01789	Praw.g_01198
OG0000058	Prbe.g_00658	Praw.g_00672
OG0000059	Prbe.g_01206	Praw.g_01824
OG0000062	Prbe.g_00041	Praw.g_00201
OG0000063	Prbe.g_01522	Praw.g_00926
OG0000065	Prbe.g_00893	Praw.g_00981
OG0000066	Prbe.g_00353	Praw.g_01050
OG0000068	Prbe.g_00836	Praw.g_00096
OG0000069	Prbe.g_00272	Praw.g_01043
OG0000071	Prbe.g_01076	Praw.g_01125
OG0000072	Prbe.g_01875	Praw.g_00812
OG0000073	Prbe.g_01449	Praw.g_01853
OG0000074	Prbe.g_00466	Praw.g_01831
OG0000075	Prbe.g_01229	Praw.g_01690
OG0000076	Prbe.g_01297	Praw.g_01467
OG0000078	Prbe.g_00350	Praw.g_01051
OG0000079	Prbe.g_00226	Praw.g_00415
OG0000080	Prbe.g_00714	Praw.g_00464
OG0000081	Prbe.g_00802	Praw.g_00066
OG0000083	Prbe.g_01068	Praw.g_01133
OG0000084	Prbe.g_01071	Praw.g_01130
OG0000085	Prbe.g_00123	Praw.g_01405
OG0000087	Prbe.g_00152	Praw.g_01379
OG0000088	Prbe.g_01657	Praw.g_01322
OG0000089	Prbe.g_01666	Praw.g_01314
OG0000090	Prbe.g_01683	Praw.g_01296
OG0000091	Prbe.g_01717	Praw.g_01266
OG0000092	Prbe.g_01718	Praw.g_01265
OG0000093	Prbe.g_01732	Praw.g_01251
OG0000094	Prbe.g_01751	Praw.g_01233
OG0000095	Prbe.g_01756	Praw.g_01228
OG0000096	Prbe.g_01804	Praw.g_00882
OG0000097	Prbe.g_01828	Praw.g_00860
OG0000098	Prbe.g_01839	Praw.g_00850
OG0000099	Prbe.g_01849	Praw.g_00840
OG0000100	Prbe.g_01852	Praw.g_00837
OG0000101	Prbe.g_01917	Praw.g_00775
OG0000102	Prbe.g_00911	Praw.g_00751
OG0000103	Prbe.g_00657	Praw.g_00671
OG0000104	Prbe.g_00653	Praw.g_00667
OG0000105	Prbe.g_00633	Praw.g_00649
OG0000106	Prbe.g_00603	Praw.g_00616
OG0000107	Prbe.g_00602	Praw.g_00615
OG0000108	Prbe.g_00592	Praw.g_00605
OG0000109	Prbe.g_00583	Praw.g_00596
OG0000110	Prbe.g_00566	Praw.g_00580
OG0000111	Prbe.g_01468	Praw.g_01871
OG0000112	Prbe.g_01467	Praw.g_01870
OG0000113	Prbe.g_01417	Praw.g_01787
OG0000114	Prbe.g_01220	Praw.g_01699
OG0000115	Prbe.g_01350	Praw.g_01539
OG0000116	Prbe.g_01354	Praw.g_01535
OG0000117	Prbe.g_01300	Praw.g_01470
OG0000118	Prbe.g_01594	Praw.g_01418
OG0000119	Prbe.g_00044	Praw.g_00204
OG0000120	Prbe.g_01543	Praw.g_00240
OG0000121	Prbe.g_01520	Praw.g_00259
OG0000122	Prbe.g_01500	Praw.g_00278
OG0000123	Prbe.g_00501	Praw.g_00291
OG0000124	Prbe.g_00215	Praw.g_00904
OG0000125	Prbe.g_00880	Praw.g_00993
OG0000126	Prbe.g_00373	Praw.g_01016
OG0000127	Prbe.g_00323	Praw.g_01096
OG0000128	Prbe.g_00310	Praw.g_01079, Praw.g_01080
OG0000129	Prbe.g_00274	Praw.g_00374
OG0000130	Prbe.g_00988	Praw.g_00513
OG0000131	Prbe.g_00949	Praw.g_00551
OG0000132	Prbe.g_00946	Praw.g_00554
OG0000133	Prbe.g_01088	Praw.g_00137
OG0000134	Prbe.g_00842	Praw.g_00101
OG0000135	Prbe.g_00840	Praw.g_00099
OG0000136	Prbe.g_00790	Praw.g_00055
OG0000137	Prbe.g_00746	Praw.g_00022
OG0000138	Prbe.g_01158	Praw.g_01180
OG0000139	Prbe.g_01189	Praw.g_01153
OG0000140	Prbe.g_01066	Praw.g_01135
OG0000141	Prbe.g_01067	Praw.g_01134
OG0000142	Prbe.g_01069	Praw.g_01132
OG0000143	Prbe.g_01070	Praw.g_01131
OG0000144	Prbe.g_01072	Praw.g_01129
OG0000145	Prbe.g_01073	Praw.g_01128
OG0000146	Prbe.g_01074	Praw.g_01127
OG0000147	Prbe.g_01075	Praw.g_01126
OG0000148	Prbe.g_01077	Praw.g_01124
OG0000149	Prbe.g_00114	Praw.g_01414
OG0000150	Prbe.g_00115	Praw.g_01413
OG0000151	Prbe.g_00116	Praw.g_01412
OG0000152	Prbe.g_00117	Praw.g_01411
OG0000153	Prbe.g_00118	Praw.g_01410
OG0000154	Prbe.g_00119	Praw.g_01409
OG0000155	Prbe.g_00120	Praw.g_01408
OG0000156	Prbe.g_00121	Praw.g_01407
OG0000157	Prbe.g_00122	Praw.g_01406
OG0000158	Prbe.g_00124	Praw.g_01404
OG0000159	Prbe.g_00125	Praw.g_01403
OG0000160	Prbe.g_00126	Praw.g_01402
OG0000161	Prbe.g_00127	Praw.g_01401
OG0000162	Prbe.g_00128	Praw.g_01400
OG0000163	Prbe.g_00130	Praw.g_01399
OG0000164	Prbe.g_00133	Praw.g_01396
OG0000165	Prbe.g_00136	Praw.g_01393
OG0000166	Prbe.g_00137	Praw.g_01392
OG0000167	Prbe.g_00138	Praw.g_01391
OG0000168	Prbe.g_00140	Praw.g_01388
OG0000169	Prbe.g_00142	Praw.g_01386
OG0000170	Prbe.g_00144	Praw.g_01385
OG0000171	Prbe.g_00145	Praw.g_01384
OG0000172	Prbe.g_00146	Praw.g_01383
OG0000173	Prbe.g_00149	Praw.g_01382
OG0000174	Prbe.g_00150	Praw.g_01381
OG0000175	Prbe.g_00151	Praw.g_01380
OG0000176	Prbe.g_00153	Praw.g_01378
OG0000177	Prbe.g_00154	Praw.g_01377
OG0000178	Prbe.g_00156	Praw.g_01376
OG0000179	Prbe.g_00168	Praw.g_01370
OG0000180	Prbe.g_00169	Praw.g_01369
OG0000181	Prbe.g_00170	Praw.g_01368
OG0000182	Prbe.g_00174	Praw.g_01365
OG0000183	Prbe.g_00175	Praw.g_01364
OG0000184	Prbe.g_00178	Praw.g_01361
OG0000185	Prbe.g_00182	Praw.g_01357
OG0000186	Prbe.g_00183	Praw.g_01356
OG0000187	Prbe.g_00066	Praw.g_01355
OG0000188	Prbe.g_00184	Praw.g_01354
OG0000189	Prbe.g_00185	Praw.g_01353
OG0000190	Prbe.g_00186	Praw.g_01352
OG0000191	Prbe.g_00187	Praw.g_01351
OG0000192	Prbe.g_00188	Praw.g_01350
OG0000193	Prbe.g_00189	Praw.g_01349
OG0000194	Prbe.g_00190	Praw.g_01348
OG0000195	Prbe.g_00192	Praw.g_01346
OG0000196	Prbe.g_00193	Praw.g_01345
OG0000197	Prbe.g_01630	Praw.g_01344
OG0000198	Prbe.g_01631	Praw.g_01343
OG0000199	Prbe.g_01634	Praw.g_01341
OG0000200	Prbe.g_01635	Praw.g_01340
OG0000201	Prbe.g_01636	Praw.g_01339
OG0000202	Prbe.g_01638	Praw.g_01338
OG0000203	Prbe.g_01639	Praw.g_01337
OG0000204	Prbe.g_01640	Praw.g_01336
OG0000205	Prbe.g_01642	Praw.g_01335
OG0000206	Prbe.g_01643	Praw.g_01334
OG0000207	Prbe.g_01644	Praw.g_01333
OG0000208	Prbe.g_01645	Praw.g_01332
OG0000209	Prbe.g_01646	Praw.g_01331
OG0000210	Prbe.g_01647	Praw.g_01329
OG0000211	Prbe.g_01649	Praw.g_01328
OG0000212	Prbe.g_01650	Praw.g_01327
OG0000213	Prbe.g_01651	Praw.g_01326
OG0000214	Prbe.g_01655	Praw.g_01324
OG0000215	Prbe.g_01656	Praw.g_01323
OG0000216	Prbe.g_01658	Praw.g_01321
OG0000217	Prbe.g_01659	Praw.g_01320
OG0000218	Prbe.g_01660	Praw.g_01319
OG0000219	Prbe.g_01661	Praw.g_01318
OG0000220	Prbe.g_01664	Praw.g_01315
OG0000221	Prbe.g_01667	Praw.g_01313
OG0000222	Prbe.g_01668	Praw.g_01312
OG0000223	Prbe.g_01669	Praw.g_01311
OG0000224	Prbe.g_01671	Praw.g_01308
