Orthogroup	Prbe	Prbi
OG0000000	Prbe.g_01285, Prbe.g_01290	Prbi.g_01432
OG0000000	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Prbi.g_00681
OG0000002	Prbe.g_00400	Prbi.g_01424
OG0000002	Prbe.g_00112	Prbi.g_01270
OG0000003	Prbe.g_01587	Prbi.g_01371, Prbi.g_01710
OG0000004	Prbe.g_01628	Prbi.g_00782
OG0000005	Prbe.g_01119	Prbi.g_01709
OG0000006	Prbe.g_00636	Prbi.g_00500
OG0000006	Prbe.g_00985	Prbi.g_01787
OG0000007	Prbe.g_00036	Prbi.g_01764
OG0000007	Prbe.g_00037	Prbi.g_01539, Prbi.g_01765
OG0000009	Prbe.g_01573	Prbi.g_00827
OG0000009	Prbe.g_01802	Prbi.g_00273
OG0000010	Prbe.g_00081	Prbi.g_01156, Prbi.g_01352
OG0000012	Prbe.g_00529, Prbe.g_00536	Prbi.g_00600
OG0000013	Prbe.g_01046, Prbe.g_01000	Prbi.g_00810, Prbi.g_01304
OG0000014	Prbe.g_01121, Prbe.g_00012	Prbi.g_01374, Prbi.g_00472
OG0000015	Prbe.g_01130, Prbe.g_01024	Prbi.g_00406
OG0000016	Prbe.g_01603, Prbe.g_00214	Prbi.g_01435
OG0000018	Prbe.g_01794	Prbi.g_00265
OG0000019	Prbe.g_01208	Prbi.g_01742, Prbi.g_00389
OG0000020	Prbe.g_01825	Prbi.g_00398
OG0000021	Prbe.g_01003	Prbi.g_00829
OG0000023	Prbe.g_00216	Prbi.g_01338
OG0000024	Prbe.g_01861	Prbi.g_00330
OG0000028	Prbe.g_00311	Prbi.g_01589, Prbi.g_01591
OG0000029	Prbe.g_00678	Prbi.g_01702
OG0000031	Prbe.g_00720	Prbi.g_01281
OG0000032	Prbe.g_00352	Prbi.g_01467
OG0000034	Prbe.g_00333, Prbe.g_00158	Prbi.g_01478
OG0000035	Prbe.g_00074	Prbi.g_00936
OG0000036	Prbe.g_00549, Prbe.g_00996	Prbi.g_00587
OG0000037	Prbe.g_00511, Prbe.g_00196	Prbi.g_00625
OG0000038	Prbe.g_00220	Prbi.g_00805
OG0000039	Prbe.g_01714	Prbi.g_00190
OG0000040	Prbe.g_00062	Prbi.g_00384
OG0000042	Prbe.g_01214	Prbi.g_00745
OG0000043	Prbe.g_01314	Prbi.g_00832
OG0000044	Prbe.g_01549	Prbi.g_01207
OG0000045	Prbe.g_00351	Prbi.g_01461
OG0000046	Prbe.g_00007, Prbe.g_00993	Prbi.g_01780
OG0000047	Prbe.g_00774	Prbi.g_01994
OG0000048	Prbe.g_00766	Prbi.g_02001
OG0000050	Prbe.g_00132	Prbi.g_00031
OG0000051	Prbe.g_01705	Prbi.g_00181
OG0000052	Prbe.g_00740	Prbi.g_00394
OG0000053	Prbe.g_01114, Prbe.g_00596	Prbi.g_00542
OG0000055	Prbe.g_01245	Prbi.g_00869
OG0000057	Prbe.g_01789	Prbi.g_00261, Prbi.g_01748
OG0000058	Prbe.g_00658	Prbi.g_00478
OG0000059	Prbe.g_01206	Prbi.g_00702
OG0000062	Prbe.g_00041	Prbi.g_01174
OG0000063	Prbe.g_01522	Prbi.g_01330
OG0000065	Prbe.g_00893	Prbi.g_01391
OG0000066	Prbe.g_00353	Prbi.g_01460
OG0000068	Prbe.g_00836	Prbi.g_01938
OG0000071	Prbe.g_01076	Prbi.g_00011
OG0000072	Prbe.g_01875	Prbi.g_00346
OG0000073	Prbe.g_01449	Prbi.g_00672
OG0000074	Prbe.g_00466	Prbi.g_00694
OG0000075	Prbe.g_01229	Prbi.g_00854
OG0000076	Prbe.g_01297	Prbi.g_01086
OG0000078	Prbe.g_00350	Prbi.g_01462
OG0000079	Prbe.g_00226	Prbi.g_01482, Prbi.g_01668
OG0000080	Prbe.g_00714	Prbi.g_01725
OG0000081	Prbe.g_00802	Prbi.g_01968
OG0000083	Prbe.g_01068	Prbi.g_00003
OG0000084	Prbe.g_01071	Prbi.g_00006
OG0000085	Prbe.g_00123	Prbi.g_00023
OG0000087	Prbe.g_00152	Prbi.g_00060
OG0000088	Prbe.g_01657	Prbi.g_00120
OG0000089	Prbe.g_01666	Prbi.g_00129
OG0000090	Prbe.g_01683	Prbi.g_00147
OG0000091	Prbe.g_01717	Prbi.g_00193
OG0000092	Prbe.g_01718	Prbi.g_00194
OG0000093	Prbe.g_01732	Prbi.g_00208
OG0000094	Prbe.g_01751	Prbi.g_00226
OG0000095	Prbe.g_01756	Prbi.g_00231
OG0000096	Prbe.g_01804	Prbi.g_00275
OG0000097	Prbe.g_01828	Prbi.g_00298
OG0000099	Prbe.g_01849	Prbi.g_00318
OG0000100	Prbe.g_01852	Prbi.g_00321
OG0000101	Prbe.g_01917	Prbi.g_00381
OG0000102	Prbe.g_00911	Prbi.g_00407
OG0000103	Prbe.g_00657	Prbi.g_00479
OG0000104	Prbe.g_00653	Prbi.g_00483
OG0000105	Prbe.g_00633	Prbi.g_00502
OG0000106	Prbe.g_00603	Prbi.g_00535
OG0000107	Prbe.g_00602	Prbi.g_00536
OG0000108	Prbe.g_00592	Prbi.g_00546
OG0000109	Prbe.g_00583	Prbi.g_00555
OG0000110	Prbe.g_00566	Prbi.g_00571
OG0000111	Prbe.g_01468	Prbi.g_00654
OG0000112	Prbe.g_01467	Prbi.g_00655
OG0000113	Prbe.g_01417	Prbi.g_00767
OG0000114	Prbe.g_01220	Prbi.g_00845
OG0000115	Prbe.g_01350	Prbi.g_01009
OG0000116	Prbe.g_01354	Prbi.g_01013
OG0000117	Prbe.g_01300	Prbi.g_01083
OG0000118	Prbe.g_01594	Prbi.g_01136
OG0000119	Prbe.g_00044	Prbi.g_01177
OG0000120	Prbe.g_01543	Prbi.g_01213
OG0000121	Prbe.g_01520	Prbi.g_01232
OG0000122	Prbe.g_01500	Prbi.g_01251
OG0000123	Prbe.g_00501	Prbi.g_01264
OG0000124	Prbe.g_00215	Prbi.g_01277
OG0000125	Prbe.g_00880	Prbi.g_01403
OG0000126	Prbe.g_00373	Prbi.g_01439
OG0000127	Prbe.g_00323	Prbi.g_01576
OG0000128	Prbe.g_00310	Prbi.g_01592
OG0000129	Prbe.g_00274	Prbi.g_01627
OG0000130	Prbe.g_00988	Prbi.g_01785
OG0000131	Prbe.g_00949	Prbi.g_01823
OG0000132	Prbe.g_00946	Prbi.g_01826
OG0000133	Prbe.g_01088	Prbi.g_01897
OG0000134	Prbe.g_00842	Prbi.g_01933
OG0000135	Prbe.g_00840	Prbi.g_01935
OG0000136	Prbe.g_00790	Prbi.g_01979
OG0000137	Prbe.g_00746	Prbi.g_02011
OG0000138	Prbe.g_01158	Prbi.g_02059
OG0000139	Prbe.g_01189	Prbi.g_02086
OG0000140	Prbe.g_01066	Prbi.g_00001
OG0000141	Prbe.g_01067	Prbi.g_00002
OG0000142	Prbe.g_01069	Prbi.g_00004
OG0000143	Prbe.g_01070	Prbi.g_00005
OG0000144	Prbe.g_01072	Prbi.g_00007
OG0000145	Prbe.g_01073	Prbi.g_00008
OG0000146	Prbe.g_01074	Prbi.g_00009
OG0000147	Prbe.g_01075	Prbi.g_00010
OG0000148	Prbe.g_01077	Prbi.g_00012
OG0000149	Prbe.g_00114	Prbi.g_00014
OG0000150	Prbe.g_00115	Prbi.g_00015
OG0000151	Prbe.g_00116	Prbi.g_00016
OG0000152	Prbe.g_00117	Prbi.g_00017
OG0000153	Prbe.g_00118	Prbi.g_00018
OG0000154	Prbe.g_00119	Prbi.g_00019
OG0000155	Prbe.g_00120	Prbi.g_00020
OG0000156	Prbe.g_00121	Prbi.g_00021
OG0000157	Prbe.g_00122	Prbi.g_00022
OG0000158	Prbe.g_00124	Prbi.g_00024
OG0000159	Prbe.g_00125	Prbi.g_00025
OG0000160	Prbe.g_00126	Prbi.g_00026
OG0000161	Prbe.g_00127	Prbi.g_00027
OG0000162	Prbe.g_00128	Prbi.g_00028
OG0000163	Prbe.g_00130	Prbi.g_00029
OG0000164	Prbe.g_00133	Prbi.g_00032
OG0000165	Prbe.g_00136	Prbi.g_00035
OG0000166	Prbe.g_00137	Prbi.g_00036
OG0000167	Prbe.g_00138	Prbi.g_00037
OG0000168	Prbe.g_00140	Prbi.g_00049
OG0000169	Prbe.g_00142	Prbi.g_00051
OG0000170	Prbe.g_00144	Prbi.g_00052
OG0000171	Prbe.g_00145	Prbi.g_00053
OG0000172	Prbe.g_00146	Prbi.g_00056
OG0000173	Prbe.g_00149	Prbi.g_00057
OG0000174	Prbe.g_00150	Prbi.g_00058
OG0000175	Prbe.g_00151	Prbi.g_00059
OG0000176	Prbe.g_00153	Prbi.g_00061
OG0000177	Prbe.g_00154	Prbi.g_00062
OG0000178	Prbe.g_00156	Prbi.g_00063
OG0000179	Prbe.g_00168	Prbi.g_00071
OG0000180	Prbe.g_00169	Prbi.g_00072
OG0000181	Prbe.g_00170	Prbi.g_00073
OG0000182	Prbe.g_00174	Prbi.g_00076
OG0000183	Prbe.g_00175	Prbi.g_00077
OG0000184	Prbe.g_00178	Prbi.g_00080
OG0000185	Prbe.g_00182	Prbi.g_00084
OG0000186	Prbe.g_00183	Prbi.g_00085
OG0000187	Prbe.g_00066	Prbi.g_00086
OG0000188	Prbe.g_00184	Prbi.g_00087
OG0000189	Prbe.g_00185	Prbi.g_00088
OG0000190	Prbe.g_00186	Prbi.g_00089
OG0000191	Prbe.g_00187	Prbi.g_00090
OG0000192	Prbe.g_00188	Prbi.g_00091
OG0000193	Prbe.g_00189	Prbi.g_00092
OG0000194	Prbe.g_00190	Prbi.g_00093
OG0000195	Prbe.g_00192	Prbi.g_00095
OG0000196	Prbe.g_00193	Prbi.g_00096
OG0000197	Prbe.g_01630	Prbi.g_00097
OG0000198	Prbe.g_01631	Prbi.g_00098
OG0000199	Prbe.g_01634	Prbi.g_00101
OG0000200	Prbe.g_01635	Prbi.g_00102
OG0000201	Prbe.g_01636	Prbi.g_00103
OG0000202	Prbe.g_01638	Prbi.g_00104
OG0000203	Prbe.g_01639	Prbi.g_00105
OG0000204	Prbe.g_01640	Prbi.g_00106
OG0000205	Prbe.g_01642	Prbi.g_00107
OG0000206	Prbe.g_01643	Prbi.g_00108
OG0000207	Prbe.g_01644	Prbi.g_00109
OG0000208	Prbe.g_01645	Prbi.g_00110
OG0000209	Prbe.g_01646	Prbi.g_00111
OG0000210	Prbe.g_01647	Prbi.g_00113
OG0000211	Prbe.g_01649	Prbi.g_00114
OG0000212	Prbe.g_01650	Prbi.g_00115
OG0000213	Prbe.g_01651	Prbi.g_00116
OG0000214	Prbe.g_01655	Prbi.g_00118
OG0000215	Prbe.g_01656	Prbi.g_00119
OG0000216	Prbe.g_01658	Prbi.g_00121
OG0000217	Prbe.g_01659	Prbi.g_00123
OG0000218	Prbe.g_01660	Prbi.g_00124
OG0000219	Prbe.g_01661	Prbi.g_00125
OG0000220	Prbe.g_01664	Prbi.g_00128
OG0000221	Prbe.g_01667	Prbi.g_00130
OG0000222	Prbe.g_01668	Prbi.g_00131
OG0000223	Prbe.g_01669	Prbi.g_00132
OG0000224	Prbe.g_01671	Prbi.g_00135
OG0000225	Prbe.g_01673	Prbi.g_00137
OG0000226	Prbe.g_01675	Prbi.g_00138
OG0000227	Prbe.g_01676	Prbi.g_00139
OG0000228	Prbe.g_01677	Prbi.g_00140
OG0000229	Prbe.g_01678	Prbi.g_00141
OG0000230	Prbe.g_01679	Prbi.g_00142
OG0000231	Prbe.g_01412	Prbi.g_00144
OG0000232	Prbe.g_01681	Prbi.g_00145
OG0000233	Prbe.g_01684	Prbi.g_00148
OG0000234	Prbe.g_01686	Prbi.g_00150
OG0000235	Prbe.g_01692	Prbi.g_00169
OG0000236	Prbe.g_01693	Prbi.g_00170
OG0000237	Prbe.g_01694	Prbi.g_00171
OG0000238	Prbe.g_01695	Prbi.g_00172
OG0000239	Prbe.g_01696	Prbi.g_00173
OG0000240	Prbe.g_01698	Prbi.g_00175
OG0000241	Prbe.g_01699	Prbi.g_00176
OG0000242	Prbe.g_01700	Prbi.g_00177
OG0000243	Prbe.g_01701	Prbi.g_00178
