Orthogroup	Prbe	Prbg
OG0000000	Prbe.g_01285	Prbg.g_01222
OG0000000	Prbe.g_01290	Prbg.g_01227
OG0000000	Prbe.g_00452	Prbg.g_01119
OG0000000	Prbe.g_00208	Prbg.g_00694
OG0000000	Prbe.g_01579	Prbg.g_01516
OG0000000	Prbe.g_00379	Prbg.g_00523
OG0000000	Prbe.g_01577	Prbg.g_01514
OG0000000	Prbe.g_01584	Prbg.g_01521
OG0000001	Prbe.g_01052	Prbg.g_01583
OG0000001	Prbe.g_01586	Prbg.g_01568
OG0000002	Prbe.g_00400	Prbg.g_00502
OG0000002	Prbe.g_00112	Prbg.g_01069
OG0000003	Prbe.g_01587	Prbg.g_01524
OG0000004	Prbe.g_01628	Prbg.g_00451
OG0000005	Prbe.g_01119	Prbg.g_01567
OG0000006	Prbe.g_00636	Prbg.g_00216
OG0000006	Prbe.g_00985	Prbg.g_01650
OG0000007	Prbe.g_00036	Prbg.g_00744
OG0000007	Prbe.g_00037	Prbg.g_00745
OG0000009	Prbe.g_01573	Prbg.g_01510
OG0000009	Prbe.g_01802	Prbg.g_01032
OG0000010	Prbe.g_00081	Prbg.g_00032
OG0000011	Prbe.g_01921	Prbg.g_00143
OG0000012	Prbe.g_00529	Prbg.g_00324
OG0000012	Prbe.g_00536	Prbg.g_00317
OG0000013	Prbe.g_01046	Prbg.g_01589
OG0000013	Prbe.g_01000	Prbg.g_01635
OG0000014	Prbe.g_01121	Prbg.g_01569
OG0000014	Prbe.g_00012	Prbg.g_00721
OG0000015	Prbe.g_01130	Prbg.g_01578
OG0000015	Prbe.g_01024	Prbg.g_01611
OG0000016	Prbe.g_01603	Prbg.g_01540
OG0000016	Prbe.g_00214	Prbg.g_00688
OG0000017	Prbe.g_01040	Prbg.g_01595
OG0000017	Prbe.g_00290	Prbg.g_00612
OG0000018	Prbe.g_01794	Prbg.g_01024
OG0000019	Prbe.g_01208	Prbg.g_01145
OG0000020	Prbe.g_00906	Prbg.g_00464
OG0000020	Prbe.g_01825	Prbg.g_00050
OG0000021	Prbe.g_01003	Prbg.g_01632
OG0000023	Prbe.g_00216	Prbg.g_00686
OG0000024	Prbe.g_01861	Prbg.g_00086
OG0000025	Prbe.g_00098	Prbg.g_01055
OG0000026	Prbe.g_00021	Prbg.g_00730
OG0000028	Prbe.g_00311	Prbg.g_00591
OG0000029	Prbe.g_00678	Prbg.g_00174
OG0000031	Prbe.g_00720	Prbg.g_00408
OG0000032	Prbe.g_00352	Prbg.g_00550
OG0000033	Prbe.g_01607	Prbg.g_01544
OG0000034	Prbe.g_00333	Prbg.g_00569
OG0000034	Prbe.g_00158	Prbg.g_00816
OG0000035	Prbe.g_00074	Prbg.g_00025
OG0000036	Prbe.g_00549	Prbg.g_00304
OG0000036	Prbe.g_00996	Prbg.g_01639
OG0000037	Prbe.g_00511	Prbg.g_00342
OG0000037	Prbe.g_00196	Prbg.g_00706
OG0000038	Prbe.g_00220	Prbg.g_00682
OG0000039	Prbe.g_01714	Prbg.g_00944
OG0000040	Prbe.g_00062	Prbg.g_00013
OG0000041	Prbe.g_01021	Prbg.g_01614
OG0000041	Prbe.g_01027	Prbg.g_01608
OG0000042	Prbe.g_01214	Prbg.g_01151
OG0000043	Prbe.g_01314	Prbg.g_01251
OG0000044	Prbe.g_01549	Prbg.g_01486
OG0000045	Prbe.g_00351	Prbg.g_00551
OG0000046	Prbe.g_00007	Prbg.g_00716
OG0000046	Prbe.g_00993	Prbg.g_01642
OG0000047	Prbe.g_00774	Prbg.g_01847
OG0000048	Prbe.g_00766	Prbg.g_01855
OG0000050	Prbe.g_00132	Prbg.g_00842
OG0000051	Prbe.g_01705	Prbg.g_00935
OG0000052	Prbe.g_00740	Prbg.g_00388
OG0000053	Prbe.g_00596	Prbg.g_00256
OG0000054	Prbe.g_00494	Prbg.g_00359
OG0000055	Prbe.g_01245	Prbg.g_01182
OG0000056	Prbe.g_01605	Prbg.g_01542
OG0000057	Prbe.g_01789	Prbg.g_01019
OG0000058	Prbe.g_00658	Prbg.g_00194
OG0000059	Prbe.g_01206	Prbg.g_01143
OG0000062	Prbe.g_00041	Prbg.g_00749
OG0000063	Prbe.g_01522	Prbg.g_01459
OG0000065	Prbe.g_00893	Prbg.g_00477
OG0000066	Prbe.g_00353	Prbg.g_00549
OG0000067	Prbe.g_00713	Prbg.g_00415
OG0000068	Prbe.g_00836	Prbg.g_01785
OG0000069	Prbe.g_00272	Prbg.g_00630
OG0000071	Prbe.g_01076	Prbg.g_00778
OG0000072	Prbe.g_01875	Prbg.g_00100
OG0000073	Prbe.g_01449	Prbg.g_01386
OG0000074	Prbe.g_00466	Prbg.g_01133
OG0000075	Prbe.g_01229	Prbg.g_01166
OG0000076	Prbe.g_01297	Prbg.g_01234
OG0000077	Prbe.g_01118	Prbg.g_01566
OG0000078	Prbe.g_00350	Prbg.g_00552
OG0000079	Prbe.g_00226	Prbg.g_00676
OG0000080	Prbe.g_00714	Prbg.g_00414
OG0000081	Prbe.g_00802	Prbg.g_01819
OG0000082	Prbe.g_00709	Prbg.g_00419
OG0000083	Prbe.g_01068	Prbg.g_00770
OG0000084	Prbe.g_01071	Prbg.g_00773
OG0000085	Prbe.g_00123	Prbg.g_00851
OG0000087	Prbe.g_00152	Prbg.g_00822
OG0000088	Prbe.g_01657	Prbg.g_00887
OG0000089	Prbe.g_01666	Prbg.g_00896
OG0000090	Prbe.g_01683	Prbg.g_00913
OG0000091	Prbe.g_01717	Prbg.g_00947
OG0000092	Prbe.g_01718	Prbg.g_00948
OG0000093	Prbe.g_01732	Prbg.g_00962
OG0000094	Prbe.g_01751	Prbg.g_00981
OG0000095	Prbe.g_01756	Prbg.g_00986
OG0000096	Prbe.g_01804	Prbg.g_01034
OG0000097	Prbe.g_01828	Prbg.g_00053
OG0000098	Prbe.g_01839	Prbg.g_00064
OG0000099	Prbe.g_01849	Prbg.g_00074
OG0000100	Prbe.g_01852	Prbg.g_00077
OG0000101	Prbe.g_01917	Prbg.g_00139
OG0000102	Prbe.g_00911	Prbg.g_00459
OG0000103	Prbe.g_00657	Prbg.g_00195
OG0000104	Prbe.g_00653	Prbg.g_00199
OG0000105	Prbe.g_00633	Prbg.g_00219
OG0000106	Prbe.g_00603	Prbg.g_00249
OG0000107	Prbe.g_00602	Prbg.g_00250
OG0000108	Prbe.g_00592	Prbg.g_00260
OG0000109	Prbe.g_00583	Prbg.g_00270
OG0000110	Prbe.g_00566	Prbg.g_00287
OG0000111	Prbe.g_01468	Prbg.g_01405
OG0000112	Prbe.g_01467	Prbg.g_01404
