Orthogroup	Praq	Pras
OG0000000	Praq.g_00117	Pras.g_00184
OG0000000	Praq.g_01956	Pras.g_00493
OG0000000	Praq.g_00026	Pras.g_00470
OG0000000	Praq.g_00025	Pras.g_00117
OG0000000	Praq.g_00025	Pras.g_00469
OG0000000	Praq.g_01392	Pras.g_00117
OG0000000	Praq.g_01392	Pras.g_00469
OG0000000	Praq.g_00028	Pras.g_00182
OG0000001	Praq.g_00160	Pras.g_00235
OG0000001	Praq.g_01394	Pras.g_00118, Pras.g_00120
OG0000001	Praq.g_01393	Pras.g_00541
OG0000002	Praq.g_00168	Pras.g_00243
OG0000002	Praq.g_00807	Pras.g_01554
OG0000004	Praq.g_00824	Pras.g_01571
OG0000004	Praq.g_01770	Pras.g_01084
OG0000005	Praq.g_00484	Pras.g_00563
OG0000005	Praq.g_00370	Pras.g_00429
OG0000006	Praq.g_01761	Pras.g_00148, Pras.g_01093
OG0000007	Praq.g_01105	Pras.g_01375
OG0000007	Praq.g_00497	Pras.g_00550
OG0000008	Praq.g_00801	Pras.g_01548
OG0000009	Praq.g_00017	Pras.g_00463
OG0000009	Praq.g_01898	Pras.g_00956
OG0000010	Praq.g_00525	Pras.g_01352
OG0000010	Praq.g_00552	Pras.g_00523
OG0000010	Praq.g_01626	Pras.g_01942
OG0000011	Praq.g_00110	Pras.g_00176
OG0000011	Praq.g_00100	Pras.g_00142, Pras.g_00166
OG0000012	Praq.g_00979	Pras.g_01499
OG0000013	Praq.g_01675	Pras.g_01179
OG0000014	Praq.g_01696	Pras.g_01158
OG0000015	Praq.g_00065	Pras.g_00127
OG0000017	Praq.g_01004	Pras.g_01474
OG0000018	Praq.g_01425	Pras.g_01728
OG0000018	Praq.g_01314	Pras.g_00037
OG0000019	Praq.g_01753	Pras.g_01101
OG0000019	Praq.g_00649	Pras.g_01681
OG0000020	Praq.g_01281	Pras.g_00001
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Pras.g_00530
OG0000021	Praq.g_01179	Pras.g_01218
OG0000022	Praq.g_01296	Pras.g_00019
OG0000022	Praq.g_00635	Pras.g_01662
OG0000023	Praq.g_01184	Pras.g_01213
OG0000024	Praq.g_00618	Pras.g_01645
OG0000024	Praq.g_00804	Pras.g_01551
OG0000025	Praq.g_01671	Pras.g_01183
OG0000025	Praq.g_01432	Pras.g_01735
OG0000026	Praq.g_01234	Pras.g_00873
OG0000026	Praq.g_01633	Pras.g_01949
OG0000027	Praq.g_00521	Pras.g_01348
OG0000028	Praq.g_00103	Pras.g_00169
OG0000028	Praq.g_01682	Pras.g_01172
OG0000029	Praq.g_00627	Pras.g_01653
OG0000029	Praq.g_01168	Pras.g_01228
OG0000030	Praq.g_00772	Pras.g_00753
OG0000031	Praq.g_00209	Pras.g_00331
OG0000032	Praq.g_00202	Pras.g_00326
OG0000033	Praq.g_01833	Pras.g_01020
OG0000034	Praq.g_00143	Pras.g_00219
OG0000035	Praq.g_00294	Pras.g_00350
OG0000037	Praq.g_01894	Pras.g_00960
OG0000038	Praq.g_00716	Pras.g_00795
OG0000039	Praq.g_00815	Pras.g_01562
OG0000040	Praq.g_01955	Pras.g_00489
OG0000040	Praq.g_01313	Pras.g_00036
OG0000041	Praq.g_00451	Pras.g_00597
OG0000042	Praq.g_00770	Pras.g_00750
OG0000043	Praq.g_01469	Pras.g_01772
OG0000045	Praq.g_01172	Pras.g_01224
OG0000045	Praq.g_00567	Pras.g_00509
OG0000047	Praq.g_01672	Pras.g_01182
OG0000047	Praq.g_01137	Pras.g_01263
OG0000048	Praq.g_01169	Pras.g_01227
OG0000049	Praq.g_01159	Pras.g_01237
OG0000049	Praq.g_00085	Pras.g_00151
OG0000049	Praq.g_00046	Pras.g_01596, Pras.g_00139
OG0000050	Praq.g_01654	Pras.g_01969
OG0000053	Praq.g_01246	Pras.g_00886
OG0000053	Praq.g_00314	Pras.g_00370
OG0000054	Praq.g_00996	Pras.g_01482
OG0000055	Praq.g_00650	Pras.g_01682
OG0000057	Praq.g_00827	Pras.g_01574
