Orthogroup	Praq	Syal
OG0000000	Praq.g_00117	Syal.g_01111, Syal.g_01832
OG0000001	Praq.g_00160	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Praq.g_00824	Syal.g_01809
OG0000004	Praq.g_01770	Syal.g_02718, Syal.g_00691
OG0000005	Praq.g_00484	Syal.g_00606
OG0000005	Praq.g_00370	Syal.g_00565
OG0000006	Praq.g_01761	Syal.g_02611, Syal.g_00674
OG0000007	Praq.g_01105	Syal.g_02918
OG0000007	Praq.g_00497	Syal.g_00587
OG0000008	Praq.g_00071	Syal.g_02512
OG0000009	Praq.g_00017	Syal.g_02089
OG0000009	Praq.g_01898	Syal.g_00818
OG0000010	Praq.g_00552, Praq.g_01626	Syal.g_00464
OG0000011	Praq.g_00100	Syal.g_00702
OG0000012	Praq.g_00979	Syal.g_02535, Syal.g_01639
OG0000013	Praq.g_01675	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Praq.g_01696	Syal.g_01305
OG0000015	Praq.g_00065	Syal.g_02210, Syal.g_01183
OG0000017	Praq.g_01004	Syal.g_02752, Syal.g_02745
OG0000018	Praq.g_01314	Syal.g_00410
OG0000019	Praq.g_01753, Praq.g_00649	Syal.g_01209
OG0000022	Praq.g_01296	Syal.g_02587
OG0000023	Praq.g_01184	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Praq.g_00618, Praq.g_00804	Syal.g_02597
OG0000025	Praq.g_01671, Praq.g_01432	Syal.g_02459
OG0000026	Praq.g_01633	Syal.g_00132
OG0000027	Praq.g_00521	Syal.g_02543
OG0000028	Praq.g_00103, Praq.g_01682	Syal.g_01319
OG0000029	Praq.g_00627, Praq.g_01168	Syal.g_03014
OG0000030	Praq.g_00772	Syal.g_01511, Syal.g_01512
OG0000031	Praq.g_00209	Syal.g_01404, Syal.g_01432
OG0000032	Praq.g_00202	Syal.g_00183
OG0000034	Praq.g_00143	Syal.g_00881, Syal.g_01586
OG0000035	Praq.g_00294	Syal.g_00370, Syal.g_00020
OG0000037	Praq.g_01894	Syal.g_00601, Syal.g_00824
OG0000038	Praq.g_00716	Syal.g_01071, Syal.g_01073
OG0000039	Praq.g_00815	Syal.g_01097
OG0000040	Praq.g_01955	Syal.g_01187
OG0000040	Praq.g_01313	Syal.g_01149
OG0000041	Praq.g_00451	Syal.g_00649
OG0000042	Praq.g_00770	Syal.g_01705, Syal.g_01508
OG0000044	Praq.g_00058	Syal.g_01853, Syal.g_01847
OG0000045	Praq.g_00567	Syal.g_01563
OG0000047	Praq.g_01672, Praq.g_01137	Syal.g_01568
OG0000048	Praq.g_01169	Syal.g_01250
OG0000050	Praq.g_01654	Syal.g_01549
OG0000053	Praq.g_01246, Praq.g_00314	Syal.g_00406
OG0000054	Praq.g_00996	Syal.g_02739, Syal.g_02098
OG0000055	Praq.g_00650	Syal.g_01845
OG0000057	Praq.g_00827	Syal.g_01812
OG0000059	Praq.g_00927	Syal.g_00225
OG0000061	Praq.g_01333	Syal.g_01653
OG0000062	Praq.g_00372	Syal.g_00567
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syal.g_00136
