Orthogroup	Praq	Syat
OG0000001	Praq.g_00160	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Praq.g_00484	Syat.g_03065
OG0000005	Praq.g_00370	Syat.g_03105
OG0000006	Praq.g_01761	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Praq.g_01105	Syat.g_03191
OG0000007	Praq.g_00497	Syat.g_03124
OG0000008	Praq.g_00071	Syat.g_02626
OG0000009	Praq.g_01898	Syat.g_01567
OG0000010	Praq.g_00552, Praq.g_01626	Syat.g_01372
OG0000012	Praq.g_00979	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Praq.g_01675	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Praq.g_01696	Syat.g_02104
OG0000015	Praq.g_00065	Syat.g_00775, Syat.g_01677
OG0000017	Praq.g_01004	Syat.g_00015
OG0000018	Praq.g_01314	Syat.g_01334
OG0000019	Praq.g_01753, Praq.g_00649	Syat.g_01876
OG0000021	Praq.g_01179	Syat.g_00964
OG0000022	Praq.g_01296	Syat.g_00210
OG0000024	Praq.g_00618, Praq.g_00804	Syat.g_03394
OG0000025	Praq.g_01671, Praq.g_01432	Syat.g_00719
OG0000026	Praq.g_01234, Praq.g_01633	Syat.g_02306
OG0000027	Praq.g_00521	Syat.g_00850
OG0000028	Praq.g_00103, Praq.g_01682	Syat.g_02126
OG0000030	Praq.g_00772	Syat.g_00307, Syat.g_00308
OG0000031	Praq.g_00209	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Praq.g_00202	Syat.g_02237
OG0000034	Praq.g_00143	Syat.g_01165, Syat.g_02902
OG0000035	Praq.g_00294	Syat.g_01227, Syat.g_01226
OG0000037	Praq.g_01894	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Praq.g_00716	Syat.g_02688, Syat.g_02686
OG0000039	Praq.g_00815	Syat.g_01278
OG0000040	Praq.g_01313	Syat.g_02551
OG0000041	Praq.g_00451	Syat.g_00785, Syat.g_03006
OG0000042	Praq.g_00770	Syat.g_00223, Syat.g_02222
OG0000044	Praq.g_00058	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Praq.g_00567	Syat.g_00935
OG0000048	Praq.g_01169	Syat.g_02046
OG0000053	Praq.g_01246, Praq.g_00314	Syat.g_01330
OG0000054	Praq.g_00996	Syat.g_00987, Syat.g_03390
OG0000055	Praq.g_00650	Syat.g_00693
OG0000057	Praq.g_00827	Syat.g_00817, Syat.g_02055
OG0000058	Praq.g_00271	Syat.g_01189
OG0000059	Praq.g_00927	Syat.g_01832
OG0000061	Praq.g_01333	Syat.g_03260
OG0000062	Praq.g_00372	Syat.g_03107
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syat.g_02303
OG0000065	Praq.g_01896	Syat.g_01571
OG0000066	Praq.g_01063	Syat.g_03283
OG0000067	Praq.g_00670	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Praq.g_00175	Syat.g_00085, Syat.g_01295
OG0000069	Praq.g_00056, Praq.g_00018	Syat.g_00090, Syat.g_00879
