Orthogroup	Praq	Prbk
OG0000000	Praq.g_00117	Prbk.g_00167, Prbk.g_00166
OG0000000	Praq.g_00026	Prbk.g_00165
OG0000001	Praq.g_00160	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Praq.g_00168	Prbk.g_02574
OG0000002	Praq.g_00807	Prbk.g_01649
OG0000004	Praq.g_00824	Prbk.g_01760
OG0000004	Praq.g_01770	Prbk.g_01134
OG0000005	Praq.g_00370	Prbk.g_00933
OG0000006	Praq.g_01761	Prbk.g_02695
OG0000007	Praq.g_00497	Prbk.g_00907
OG0000008	Praq.g_00071	Prbk.g_01819
OG0000009	Praq.g_01898	Prbk.g_01932, Prbk.g_00013
OG0000010	Praq.g_00552, Praq.g_01626	Prbk.g_02112
OG0000011	Praq.g_00110	Prbk.g_01851
OG0000012	Praq.g_00979	Prbk.g_02610
OG0000013	Praq.g_01675	Prbk.g_00853
OG0000014	Praq.g_01696	Prbk.g_00454
OG0000015	Praq.g_00065	Prbk.g_02558
OG0000017	Praq.g_01004	Prbk.g_01142, Prbk.g_01150
OG0000018	Praq.g_01314	Prbk.g_01227
OG0000019	Praq.g_01753, Praq.g_00649	Prbk.g_01644, Prbk.g_01004
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Prbk.g_01331, Prbk.g_02697
OG0000021	Praq.g_01179	Prbk.g_01960, Prbk.g_01137
OG0000022	Praq.g_01296	Prbk.g_01667
OG0000022	Praq.g_00635	Prbk.g_00212
OG0000023	Praq.g_01184	Prbk.g_02448
OG0000024	Praq.g_00618, Praq.g_00804	Prbk.g_01780
OG0000025	Praq.g_01671, Praq.g_01432	Prbk.g_02531
OG0000026	Praq.g_01234, Praq.g_01633	Prbk.g_01617
OG0000028	Praq.g_01682	Prbk.g_00469
OG0000029	Praq.g_00627	Prbk.g_00833
OG0000030	Praq.g_00772	Prbk.g_01532, Prbk.g_01533
OG0000031	Praq.g_00209	Prbk.g_00534, Prbk.g_00539
OG0000032	Praq.g_00202	Prbk.g_00480
OG0000034	Praq.g_00143	Prbk.g_01171
OG0000035	Praq.g_00294	Prbk.g_00259
OG0000037	Praq.g_01894	Prbk.g_00007
OG0000038	Praq.g_00716	Prbk.g_02164, Prbk.g_02166
OG0000039	Praq.g_00815	Prbk.g_01385, Prbk.g_00642
OG0000041	Praq.g_00451	Prbk.g_01406
OG0000042	Praq.g_00770	Prbk.g_01495, Prbk.g_00140
OG0000044	Praq.g_00058	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Praq.g_00567	Prbk.g_01321
OG0000047	Praq.g_01672	Prbk.g_01202
OG0000047	Praq.g_01137	Prbk.g_02565
OG0000048	Praq.g_01169	Prbk.g_00405
OG0000053	Praq.g_01246, Praq.g_00314	Prbk.g_01230
OG0000054	Praq.g_00996	Prbk.g_01153
OG0000057	Praq.g_00827	Prbk.g_01765
OG0000059	Praq.g_00927	Prbk.g_00992
OG0000061	Praq.g_01333	Prbk.g_01019
OG0000062	Praq.g_00372	Prbk.g_00931
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Prbk.g_01613
OG0000065	Praq.g_01896	Prbk.g_00011
OG0000066	Praq.g_01063	Prbk.g_01094
OG0000067	Praq.g_00670	Prbk.g_02468
OG0000068	Praq.g_00175	Prbk.g_02052
OG0000070	Praq.g_01107	Prbk.g_00310
OG0000071	Praq.g_00133	Prbk.g_01183
OG0000072	Praq.g_01831	Prbk.g_00778
OG0000073	Praq.g_01103	Prbk.g_01862
OG0000075	Praq.g_00739	Prbk.g_00514
OG0000076	Praq.g_01243, Praq.g_00763	Prbk.g_00237
OG0000077	Praq.g_01925	Prbk.g_00307, Prbk.g_01308
OG0000078	Praq.g_01763	Prbk.g_01515
OG0000081	Praq.g_01071	Prbk.g_00733, Prbk.g_01772
OG0000082	Praq.g_01018	Prbk.g_01122
OG0000084	Praq.g_00290	Prbk.g_00255
OG0000086	Praq.g_01915	Prbk.g_01295
OG0000087	Praq.g_01864	Prbk.g_00559
OG0000088	Praq.g_01836	Prbk.g_00773, Prbk.g_01836
OG0000089	Praq.g_01188	Prbk.g_00364
OG0000090	Praq.g_01069	Prbk.g_01080
OG0000091	Praq.g_00960	Prbk.g_02639
OG0000093	Praq.g_01516	Prbk.g_02444
OG0000094	Praq.g_01600	Prbk.g_02190
OG0000095	Praq.g_01619	Prbk.g_00056
OG0000097	Praq.g_01374	Prbk.g_00189
OG0000098	Praq.g_00157	Prbk.g_01199
OG0000099	Praq.g_00216	Prbk.g_00476
OG0000100	Praq.g_00368	Prbk.g_01360, Prbk.g_02498
OG0000101	Praq.g_00879	Prbk.g_00796, Prbk.g_00944
OG0000102	Praq.g_00768	Prbk.g_01484
OG0000103	Praq.g_00414	Prbk.g_02260
OG0000104	Praq.g_00422	Prbk.g_02274
OG0000105	Praq.g_01729	Prbk.g_00409
OG0000106	Praq.g_01173	Prbk.g_00925
OG0000107	Praq.g_01158	Prbk.g_01902
OG0000108	Praq.g_00531	Prbk.g_02061
OG0000109	Praq.g_00545	Prbk.g_02077
OG0000110	Praq.g_01028	Prbk.g_01110
OG0000111	Praq.g_00828	Prbk.g_01766
OG0000112	Praq.g_00638	Prbk.g_02332
OG0000113	Praq.g_01420	Prbk.g_02493
OG0000114	Praq.g_01490	Prbk.g_02396
OG0000115	Praq.g_01278	Prbk.g_01234
OG0000116	Praq.g_01323	Prbk.g_01034
OG0000117	Praq.g_00084	Prbk.g_01496
OG0000118	Praq.g_00145	Prbk.g_01169
OG0000119	Praq.g_00171	Prbk.g_01746, Prbk.g_01786
OG0000120	Praq.g_00208	Prbk.g_00477
OG0000121	Praq.g_00296	Prbk.g_00267, Prbk.g_00261
OG0000122	Praq.g_00334	Prbk.g_02664
OG0000123	Praq.g_00873	Prbk.g_00805
OG0000124	Praq.g_00682	Prbk.g_01539
OG0000125	Praq.g_00718	Prbk.g_02168
OG0000126	Praq.g_00421	Prbk.g_02272
OG0000128	Praq.g_00437	Prbk.g_02290
OG0000129	Praq.g_01259	Prbk.g_02156
OG0000130	Praq.g_01934	Prbk.g_01320
OG0000131	Praq.g_01857	Prbk.g_00751
OG0000132	Praq.g_01838	Prbk.g_00771
OG0000133	Praq.g_01680	Prbk.g_00472
OG0000134	Praq.g_01187	Prbk.g_00361
OG0000135	Praq.g_01160	Prbk.g_02209
OG0000136	Praq.g_01116	Prbk.g_00323
OG0000137	Praq.g_00526	Prbk.g_02113
OG0000138	Praq.g_00546	Prbk.g_02078
OG0000139	Praq.g_01065	Prbk.g_01086
OG0000140	Praq.g_01064	Prbk.g_01092
OG0000141	Praq.g_00995	Prbk.g_01154
OG0000142	Praq.g_00967	Prbk.g_02631
OG0000143	Praq.g_00963	Prbk.g_02635
OG0000144	Praq.g_00781	Prbk.g_00739
OG0000145	Praq.g_00637	Prbk.g_01863
OG0000146	Praq.g_00639	Prbk.g_02333
OG0000147	Praq.g_00640	Prbk.g_02334
OG0000148	Praq.g_01414	Prbk.g_02487
OG0000149	Praq.g_01444	Prbk.g_02544
OG0000150	Praq.g_01452	Prbk.g_02567
OG0000151	Praq.g_01500	Prbk.g_02417
OG0000152	Praq.g_01548	Prbk.g_02324
OG0000153	Praq.g_01567	Prbk.g_02297
OG0000154	Praq.g_01593	Prbk.g_00584
OG0000155	Praq.g_01353	Prbk.g_00099
OG0000156	Praq.g_00122	Prbk.g_00164
OG0000157	Praq.g_00123	Prbk.g_00163
OG0000158	Praq.g_00258	Prbk.g_00526
OG0000160	Praq.g_00295	Prbk.g_00260
OG0000161	Praq.g_00301	Prbk.g_00274
OG0000162	Praq.g_00307	Prbk.g_00280
OG0000163	Praq.g_00341	Prbk.g_02002
OG0000164	Praq.g_00473	Prbk.g_01432
OG0000165	Praq.g_00466	Prbk.g_01423
OG0000166	Praq.g_00915	Prbk.g_00982
OG0000167	Praq.g_00737	Prbk.g_00512
OG0000168	Praq.g_00747	Prbk.g_00527
OG0000169	Praq.g_00757	Prbk.g_00220
OG0000170	Praq.g_00759	Prbk.g_00232
OG0000171	Praq.g_00681	Prbk.g_01538
OG0000172	Praq.g_00689	Prbk.g_01573
OG0000173	Praq.g_00704	Prbk.g_01594
OG0000174	Praq.g_00396	Prbk.g_02211
OG0000175	Praq.g_00406	Prbk.g_02249
OG0000176	Praq.g_00430	Prbk.g_02282
OG0000177	Praq.g_00431	Prbk.g_02283
OG0000178	Praq.g_00432	Prbk.g_02284
OG0000179	Praq.g_01219	Prbk.g_01633
OG0000180	Praq.g_01220	Prbk.g_01632
OG0000181	Praq.g_01221	Prbk.g_01631
OG0000182	Praq.g_01222	Prbk.g_01630
OG0000183	Praq.g_01226	Prbk.g_01626
OG0000184	Praq.g_01262	Prbk.g_02148
OG0000185	Praq.g_01265	Prbk.g_02126
OG0000186	Praq.g_01939	Prbk.g_01326
OG0000187	Praq.g_01938	Prbk.g_01324
OG0000188	Praq.g_01921	Prbk.g_01303
OG0000189	Praq.g_01907	Prbk.g_00024
OG0000190	Praq.g_01906	Prbk.g_00022
OG0000191	Praq.g_01886	Prbk.g_00197
OG0000192	Praq.g_01882	Prbk.g_00206
OG0000193	Praq.g_01856	Prbk.g_00752
OG0000194	Praq.g_01853	Prbk.g_00755
OG0000195	Praq.g_01851	Prbk.g_00757
OG0000196	Praq.g_01841	Prbk.g_00768
