Orthogroup	Praq	Praf
OG0000000	Praq.g_00117	Praf.g_00815, Praf.g_00814
OG0000000	Praq.g_00026	Praf.g_00813
OG0000001	Praq.g_00160	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000002	Praq.g_00168	Praf.g_01631
OG0000002	Praq.g_00807	Praf.g_00948
OG0000004	Praq.g_00824	Praf.g_01121
OG0000004	Praq.g_01770	Praf.g_00743
OG0000005	Praq.g_00370	Praf.g_00503
OG0000006	Praq.g_01761	Praf.g_00396, Praf.g_01719
OG0000007	Praq.g_01105	Praf.g_00614
OG0000007	Praq.g_00497	Praf.g_00480
OG0000008	Praq.g_00071	Praf.g_01223
OG0000009	Praq.g_01898	Praf.g_01768, Praf.g_00246
OG0000010	Praq.g_00552, Praq.g_01626	Praf.g_01908
OG0000011	Praq.g_00110	Praf.g_01188, Praf.g_01190
OG0000012	Praq.g_00979	Praf.g_01668
OG0000013	Praq.g_01675	Praf.g_02073
OG0000014	Praq.g_01696	Praf.g_02319
OG0000015	Praq.g_00065	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000017	Praq.g_01004	Praf.g_00752, Praf.g_00760
OG0000018	Praq.g_01314	Praf.g_01832
OG0000019	Praq.g_01753, Praq.g_00649	Praf.g_00943, Praf.g_02214
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Praf.g_01095
OG0000021	Praq.g_01179	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Praq.g_01296	Praf.g_00965
OG0000022	Praq.g_00635	Praf.g_00201
OG0000024	Praq.g_00618, Praq.g_00804	Praf.g_01139
OG0000025	Praq.g_01671, Praq.g_01432	Praf.g_01591
OG0000026	Praq.g_01234, Praq.g_01633	Praf.g_00037
OG0000028	Praq.g_01682	Praf.g_02333
OG0000029	Praq.g_00627	Praf.g_02091
OG0000029	Praq.g_01168	Praf.g_02647
OG0000030	Praq.g_00772	Praf.g_00160, Praf.g_00159
OG0000031	Praq.g_00209	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000032	Praq.g_00202	Praf.g_02346
OG0000034	Praq.g_00143	Praf.g_00783
OG0000035	Praq.g_00294	Praf.g_01794
OG0000037	Praq.g_01894	Praf.g_00240
OG0000038	Praq.g_00716	Praf.g_02660, Praf.g_02662
OG0000039	Praq.g_00815	Praf.g_00406, Praf.g_02541
OG0000041	Praq.g_00451	Praf.g_00426
OG0000042	Praq.g_00770	Praf.g_00164, Praf.g_00920
OG0000044	Praq.g_00058	Praf.g_00356, Praf.g_01078
OG0000045	Praq.g_00567	Praf.g_00322
OG0000047	Praq.g_01672	Praf.g_01864
OG0000047	Praq.g_01137	Praf.g_01898
OG0000048	Praq.g_01169	Praf.g_02267
OG0000050	Praq.g_01654	Praf.g_01105
OG0000053	Praq.g_01246, Praq.g_00314	Praf.g_01828
