Orthogroup	Prbl	Prak
OG0000000	Prbl.g_01582	Prak.g_00908, Prak.g_00913
OG0000000	Prbl.g_01092	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
OG0000002	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578	Prak.g_01302
OG0000003	Prbl.g_00117	Prak.g_01210
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prak.g_01251
OG0000006	Prbl.g_00531	Prak.g_00458
OG0000006	Prbl.g_00394	Prak.g_01645
OG0000007	Prbl.g_01855	Prak.g_01544
OG0000007	Prbl.g_01854	Prak.g_01545, Prak.g_01546
OG0000009	Prbl.g_01509	Prak.g_01196, Prak.g_00266
OG0000011	Prbl.g_01574	Prak.g_00385
OG0000012	Prbl.g_01763	Prak.g_00566
OG0000013	Prbl.g_01566	Prak.g_01584, Prak.g_01630
OG0000016	Prbl.g_00007	Prak.g_01226
OG0000016	Prbl.g_00046	Prak.g_01488
OG0000017	Prbl.g_00691	Prak.g_01412, Prak.g_01590
OG0000018	Prbl.g_02601	Prak.g_00258
OG0000019	Prbl.g_01768	Prak.g_00831
OG0000020	Prbl.g_01465	Prak.g_01264, Prak.g_00289
OG0000024	Prbl.g_01416	Prak.g_00325
OG0000026	Prbl.g_01981	Prak.g_01530
OG0000028	Prbl.g_00242	Prak.g_01391
OG0000031	Prbl.g_01677	Prak.g_00667
OG0000034	Prbl.g_00870	Prak.g_00058
OG0000036	Prbl.g_01783	Prak.g_00546
OG0000037	Prbl.g_01618	Prak.g_01506, Prak.g_00584
OG0000038	Prbl.g_01072, Prbl.g_01310	Prak.g_01482
OG0000039	Prbl.g_01838, Prbl.g_00281	Prak.g_00178
OG0000040	Prbl.g_02355	Prak.g_00721
OG0000042	Prbl.g_01839, Prbl.g_02567	Prak.g_00837
OG0000043	Prbl.g_01097, Prbl.g_01099	Prak.g_00937
OG0000044	Prbl.g_02084	Prak.g_01172
OG0000045	Prbl.g_00890	Prak.g_01351
OG0000046	Prbl.g_00405	Prak.g_01637, Prak.g_01516
OG0000047	Prbl.g_01285	Prak.g_01842
OG0000048	Prbl.g_01121, Prbl.g_01236	Prak.g_01850
OG0000050	Prbl.g_01977	Prak.g_00032
OG0000051	Prbl.g_00290	Prak.g_00169
OG0000052	Prbl.g_00411	Prak.g_00687
OG0000053	Prbl.g_00752	Prak.g_00498, Prak.g_01557
OG0000054	Prbl.g_01943	Prak.g_00601
OG0000055	Prbl.g_02310	Prak.g_00868
OG0000056	Prbl.g_00138	Prak.g_01228
OG0000058	Prbl.g_01340	Prak.g_00436
OG0000059	Prbl.g_00025	Prak.g_00829
OG0000062	Prbl.g_02204	Prak.g_01550
OG0000063	Prbl.g_01384	Prak.g_01145
OG0000065	Prbl.g_01722	Prak.g_01277
OG0000066	Prbl.g_00892	Prak.g_01349
OG0000068	Prbl.g_01126, Prbl.g_01000	Prak.g_01780
OG0000069	Prbl.g_00712	Prak.g_01430
OG0000071	Prbl.g_02109	Prak.g_00011
OG0000072	Prbl.g_00897	Prak.g_00339
